Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
CTAS|2025-09-02 13:30|207.5400|208.7000|207.1100|207.4400|311449|0.1000|1.1600|0.3300|BEARISH
CTAS|2025-09-02 14:30|207.5050|207.8100|206.9300|206.9300|240205|0.5750|0.3050|0.0000|BEARISH
CTAS|2025-09-02 15:30|206.8600|206.8600|205.5908|205.6250|215171|1.2350|0.0000|0.0342|BEARISH
CTAS|2025-09-02 16:30|205.6300|205.9850|205.0800|205.9300|181501|0.3000|0.0550|0.5500|BULLISH
CTAS|2025-09-02 17:30|205.8900|206.4500|205.8300|205.9600|134492|0.0700|0.4900|0.0600|BULLISH
CTAS|2025-09-02 18:30|206.0150|206.2900|205.8100|206.0050|244600|0.0100|0.2750|0.1950|BEARISH
CTAS|2025-09-02 19:30|205.9900|206.0790|205.1800|205.5050|497403|0.4850|0.0890|0.3250|BEARISH
CTAS|2025-09-03 13:30|204.1800|205.3450|203.5001|204.8150|334932|0.6350|0.5300|0.6799|BULLISH
CTAS|2025-09-03 14:30|204.9300|205.6200|204.7500|204.8900|395719|0.0400|0.6900|0.1400|BEARISH
CTAS|2025-09-03 15:30|204.9300|205.0350|204.2962|204.2962|118110|0.6338|0.1050|0.0000|BEARISH
CTAS|2025-09-03 16:30|204.3050|204.3600|203.5700|204.0550|138287|0.2500|0.0550|0.4850|BEARISH
CTAS|2025-09-03 17:30|204.0550|204.9400|203.9500|204.9200|124013|0.8650|0.0200|0.1050|BULLISH
CTAS|2025-09-03 18:30|204.8200|205.2300|204.5500|204.7500|130533|0.0700|0.4100|0.2000|BEARISH
CTAS|2025-09-03 19:30|204.7400|205.7100|204.6900|205.5000|405411|0.7600|0.2100|0.0500|BULLISH
CTAS|2025-09-04 13:30|205.8900|206.2800|205.1900|206.0400|146543|0.1500|0.2400|0.7000|BULLISH
CTAS|2025-09-04 14:30|206.1050|206.3000|205.4900|206.1750|93072|0.0700|0.1250|0.6150|BULLISH
CTAS|2025-09-04 15:30|206.1750|206.5100|206.1200|206.1750|74624|0.0000|0.3350|0.0550|BULLISH
CTAS|2025-09-04 16:30|206.1400|206.2400|205.9500|206.1100|66713|0.0300|0.1000|0.1600|BEARISH
CTAS|2025-09-04 17:30|206.0601|206.3100|205.8200|205.9400|67243|0.1201|0.2499|0.1200|BEARISH
CTAS|2025-09-04 18:30|205.9400|206.5200|205.8100|206.3950|107967|0.4550|0.1250|0.1300|BULLISH
CTAS|2025-09-04 19:30|206.3400|207.0700|206.2400|206.8500|178616|0.5100|0.2200|0.1000|BULLISH
CTAS|2025-09-05 13:30|207.0600|207.6800|205.2491|205.3000|170678|1.7600|0.6200|0.0509|BEARISH
CTAS|2025-09-05 14:30|205.3300|205.3300|203.6700|204.0400|111817|1.2900|0.0000|0.3700|BEARISH
CTAS|2025-09-05 15:30|204.0050|204.0200|203.3800|203.4200|90727|0.5850|0.0150|0.0400|BEARISH
CTAS|2025-09-05 16:30|203.4600|203.7500|203.2600|203.3700|84144|0.0900|0.2900|0.1100|BEARISH
CTAS|2025-09-05 17:30|203.3700|204.2199|203.2800|204.1280|61986|0.7580|0.0919|0.0900|BULLISH
CTAS|2025-09-05 18:30|204.2200|204.7500|204.2200|204.5708|111729|0.3508|0.1792|0.0000|BULLISH
CTAS|2025-09-05 19:30|204.5550|204.7000|204.1000|204.5600|299999|0.0050|0.1400|0.4550|BULLISH
CTAS|2025-09-08 13:30|204.3600|204.5900|203.0900|203.3700|251475|0.9900|0.2300|0.2800|BEARISH
CTAS|2025-09-08 14:30|203.3450|203.7300|203.0100|203.4550|321078|0.1100|0.2750|0.3350|BULLISH
CTAS|2025-09-08 15:30|203.4700|203.4750|202.2200|202.3300|187586|1.1400|0.0050|0.1100|BEARISH
CTAS|2025-09-08 16:30|202.3300|202.4250|201.5000|201.8400|259031|0.4900|0.0950|0.3400|BEARISH
CTAS|2025-09-08 17:30|201.8750|202.0800|201.1900|201.6900|224429|0.1850|0.2050|0.5000|BEARISH
CTAS|2025-09-08 18:30|201.7300|202.1900|201.4200|201.5100|235444|0.2200|0.4600|0.0900|BEARISH
CTAS|2025-09-08 19:30|201.5100|202.9400|201.5100|202.8800|446007|1.3700|0.0600|0.0000|BULLISH
CTAS|2025-09-09 13:30|201.7600|202.7400|201.0400|201.7600|254548|0.0000|0.9800|0.7200|BULLISH
CTAS|2025-09-09 14:30|201.7200|201.7300|200.3500|200.6327|139454|1.0873|0.0100|0.2827|BEARISH
CTAS|2025-09-09 15:30|200.6300|200.7500|200.0600|200.6000|144967|0.0300|0.1200|0.5400|BEARISH
CTAS|2025-09-09 16:30|200.6600|200.6600|200.0878|200.4500|127152|0.2100|0.0000|0.3622|BEARISH
CTAS|2025-09-09 17:30|200.4800|201.3850|200.3500|201.3600|134758|0.8800|0.0250|0.1300|BULLISH
CTAS|2025-09-09 18:30|201.3850|201.6950|201.1200|201.1400|168049|0.2450|0.3100|0.0200|BEARISH
CTAS|2025-09-09 19:30|201.1250|202.3300|200.7200|202.0700|598493|0.9450|0.2600|0.4050|BULLISH
CTAS|2025-09-10 13:30|201.1800|203.3500|200.9950|202.3900|246058|1.2100|0.9600|0.1850|BULLISH
CTAS|2025-09-10 14:30|202.4000|202.4632|201.2150|201.6600|213759|0.7400|0.0632|0.4450|BEARISH
CTAS|2025-09-10 15:30|201.6300|202.0900|200.4300|200.4502|137262|1.1798|0.4600|0.0202|BEARISH
CTAS|2025-09-10 16:30|200.4400|200.9700|199.9600|200.8663|124178|0.4263|0.1037|0.4800|BULLISH
CTAS|2025-09-10 17:30|200.8300|200.8300|200.2700|200.2930|90041|0.5370|0.0000|0.0230|BEARISH
CTAS|2025-09-10 18:30|200.3056|201.1315|200.0400|201.1315|205997|0.8259|0.0000|0.2656|BULLISH
CTAS|2025-09-10 19:30|201.1450|201.6850|200.5000|201.3500|408954|0.2050|0.3350|0.6450|BULLISH
CTAS|2025-09-11 13:30|201.6000|204.8427|201.1200|204.1400|335919|2.5400|0.7027|0.4800|BULLISH
