Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
DAL|2025-09-02 13:30|60.5400|61.3400|60.4400|60.8005|1522944|0.2605|0.5395|0.1000|BULLISH
DAL|2025-09-02 14:30|60.8000|60.9050|59.9700|60.2800|835311|0.5200|0.1050|0.3100|BEARISH
DAL|2025-09-02 15:30|60.2550|60.5487|60.1600|60.4201|409484|0.1651|0.1286|0.0950|BULLISH
DAL|2025-09-02 16:30|60.4400|61.0900|60.4400|61.0600|608724|0.6200|0.0300|0.0000|BULLISH
DAL|2025-09-02 17:30|61.0700|61.2999|61.0400|61.0450|424474|0.0250|0.2299|0.0050|BEARISH
DAL|2025-09-02 18:30|61.0500|61.1250|60.8300|61.0550|793587|0.0050|0.0700|0.2200|BULLISH
DAL|2025-09-02 19:30|61.0500|61.2200|60.9100|61.1400|1312462|0.0900|0.0800|0.1400|BULLISH
DAL|2025-09-03 13:30|61.4300|63.9100|61.1200|62.4326|2035291|1.0026|1.4774|0.3100|BULLISH
DAL|2025-09-03 14:30|62.4500|62.6600|61.7884|61.8500|729539|0.6000|0.2100|0.0616|BEARISH
DAL|2025-09-03 15:30|61.8600|62.0600|61.5700|61.6150|572523|0.2450|0.2000|0.0450|BEARISH
DAL|2025-09-03 16:30|61.6300|62.0000|61.4600|61.8100|475143|0.1800|0.1900|0.1700|BULLISH
DAL|2025-09-03 17:30|61.8100|61.9300|61.5000|61.6400|372947|0.1700|0.1200|0.1400|BEARISH
DAL|2025-09-03 18:30|61.6500|61.7600|61.4600|61.6150|429763|0.0350|0.1100|0.1550|BEARISH
DAL|2025-09-03 19:30|61.6200|61.8100|61.2300|61.2900|1608109|0.3300|0.1900|0.0600|BEARISH
DAL|2025-09-04 13:30|61.3400|62.6800|60.9900|62.3650|1516118|1.0250|0.3150|0.3500|BULLISH
DAL|2025-09-04 14:30|62.3800|62.3900|61.7850|62.0100|867020|0.3700|0.0100|0.2250|BEARISH
DAL|2025-09-04 15:30|62.0150|62.6600|61.6600|61.7500|986567|0.2650|0.6450|0.0900|BEARISH
DAL|2025-09-04 16:30|61.7600|61.7950|61.0400|61.2200|518706|0.5400|0.0350|0.1800|BEARISH
DAL|2025-09-04 17:30|61.2400|61.3000|60.5520|60.6700|793547|0.5700|0.0600|0.1180|BEARISH
DAL|2025-09-04 18:30|60.6699|60.7800|60.3700|60.5200|728040|0.1499|0.1101|0.1500|BEARISH
DAL|2025-09-04 19:30|60.5200|60.7600|60.4900|60.5700|822448|0.0500|0.1900|0.0300|BULLISH
DAL|2025-09-05 13:30|60.8600|62.3900|60.4400|61.3200|1853500|0.4600|1.0700|0.4200|BULLISH
DAL|2025-09-05 14:30|61.2900|61.6000|60.6100|61.5300|824920|0.2400|0.0700|0.6800|BULLISH
DAL|2025-09-05 15:30|61.5400|61.5700|61.2438|61.3500|594849|0.1900|0.0300|0.1062|BEARISH
DAL|2025-09-05 16:30|61.3500|61.6005|60.9800|61.0000|394011|0.3500|0.2505|0.0200|BEARISH
DAL|2025-09-05 17:30|60.9900|61.2300|60.9000|61.2000|486576|0.2100|0.0300|0.0900|BULLISH
DAL|2025-09-05 18:30|61.1900|61.3200|60.9327|61.0950|565566|0.0950|0.1300|0.1623|BEARISH
DAL|2025-09-05 19:30|61.1000|61.3700|61.0300|61.1900|897038|0.0900|0.1800|0.0700|BULLISH
DAL|2025-09-08 13:30|61.0000|61.8580|60.5000|61.6300|1773007|0.6300|0.2280|0.5000|BULLISH
DAL|2025-09-08 14:30|61.6250|61.7200|61.1400|61.2900|830934|0.3350|0.0950|0.1500|BEARISH
