Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
DHI|2025-09-02 13:30|167.6800|170.8200|167.0000|170.0944|811988|2.4144|0.7256|0.6800|BULLISH
DHI|2025-09-02 14:30|170.0850|170.7500|169.6900|170.2944|358851|0.2094|0.4556|0.3950|BULLISH
DHI|2025-09-02 15:30|170.2950|170.9200|169.7346|170.0400|342367|0.2550|0.6250|0.3054|BEARISH
DHI|2025-09-02 16:30|170.1000|171.0400|170.0150|170.9000|206750|0.8000|0.1400|0.0850|BULLISH
DHI|2025-09-02 17:30|170.8600|171.1200|170.5100|170.5500|238487|0.3100|0.2600|0.0400|BEARISH
DHI|2025-09-02 18:30|170.5500|170.5500|169.7450|169.9050|309734|0.6450|0.0000|0.1600|BEARISH
DHI|2025-09-02 19:30|169.9150|170.5600|169.8600|170.2600|573561|0.3450|0.3000|0.0550|BULLISH
DHI|2025-09-03 13:30|169.8600|172.5800|169.4100|171.9500|483320|2.0900|0.6300|0.4500|BULLISH
DHI|2025-09-03 14:30|171.9300|172.3385|171.6000|172.0800|345787|0.1500|0.2585|0.3300|BULLISH
DHI|2025-09-03 15:30|172.1200|173.0250|171.9800|172.8950|270284|0.7750|0.1300|0.1400|BULLISH
DHI|2025-09-03 16:30|172.9000|173.8400|172.8500|173.4350|217876|0.5350|0.4050|0.0500|BULLISH
DHI|2025-09-03 17:30|173.4000|173.4000|172.5150|172.8600|241085|0.5400|0.0000|0.3450|BEARISH
DHI|2025-09-03 18:30|172.8450|172.8800|172.0805|172.3300|395238|0.5150|0.0350|0.2495|BEARISH
DHI|2025-09-03 19:30|172.3300|172.9600|172.1000|172.1700|806401|0.1600|0.6300|0.0700|BEARISH
DHI|2025-09-04 13:30|173.8300|175.7500|173.0700|175.5900|636242|1.7600|0.1600|0.7600|BULLISH
DHI|2025-09-04 14:30|175.6600|176.2515|175.0300|175.4450|419097|0.2150|0.5915|0.4150|BEARISH
DHI|2025-09-04 15:30|175.4450|176.7800|175.2500|176.3600|288381|0.9150|0.4200|0.1950|BULLISH
DHI|2025-09-04 16:30|176.4099|176.5975|175.9650|176.4900|295561|0.0801|0.1075|0.4449|BULLISH
DHI|2025-09-04 17:30|176.5300|177.0850|176.3000|176.5900|271334|0.0600|0.4950|0.2300|BULLISH
DHI|2025-09-04 18:30|176.6200|177.0600|175.5400|176.9000|368196|0.2800|0.1600|1.0800|BULLISH
DHI|2025-09-04 19:30|176.9050|177.5000|176.6400|176.9300|612513|0.0250|0.5700|0.2650|BULLISH
DHI|2025-09-05 13:30|180.9300|183.6200|180.0020|180.1600|972349|0.7700|2.6900|0.1580|BEARISH
DHI|2025-09-05 14:30|180.2400|182.0100|179.6100|182.0000|539414|1.7600|0.0100|0.6300|BULLISH
DHI|2025-09-05 15:30|181.9900|183.0600|181.9334|182.1000|396673|0.1100|0.9600|0.0566|BULLISH
DHI|2025-09-05 16:30|182.1500|182.6827|181.6750|182.4800|309014|0.3300|0.2027|0.4750|BULLISH
DHI|2025-09-05 17:30|182.4600|182.6900|181.0800|181.2750|250284|1.1850|0.2300|0.1950|BEARISH
DHI|2025-09-05 18:30|181.3200|182.0550|181.3200|181.7400|312694|0.4200|0.3150|0.0000|BULLISH
DHI|2025-09-05 19:30|181.7700|182.0550|181.3400|181.8100|536348|0.0400|0.2450|0.4300|BULLISH
DHI|2025-09-08 13:30|180.7500|182.9000|180.0300|181.4350|703058|0.6850|1.4650|0.7200|BULLISH
DHI|2025-09-08 14:30|181.4700|183.9700|181.2200|183.8250|395538|2.3550|0.1450|0.2500|BULLISH
DHI|2025-09-08 15:30|183.8200|184.4000|183.3300|183.9000|319857|0.0800|0.5000|0.4900|BULLISH
DHI|2025-09-08 16:30|183.9100|184.2300|183.5500|183.8750|317606|0.0350|0.3200|0.3250|BEARISH
DHI|2025-09-08 17:30|183.8725|184.3700|183.6650|184.3600|241413|0.4875|0.0100|0.2075|BULLISH
DHI|2025-09-08 18:30|184.3900|184.4700|183.6000|183.7050|345171|0.6850|0.0800|0.1050|BEARISH
DHI|2025-09-08 19:30|183.7200|184.5450|183.5700|184.0500|682090|0.3300|0.4950|0.1500|BULLISH
DHI|2025-09-09 13:30|182.5900|183.0799|178.0000|178.1900|882871|4.4000|0.4899|0.1900|BEARISH
DHI|2025-09-09 14:30|178.1150|178.5400|176.2100|177.4600|538575|0.6550|0.4250|1.2500|BEARISH
DHI|2025-09-09 15:30|177.4600|177.7800|176.7500|177.5400|343221|0.0800|0.2400|0.7100|BULLISH
DHI|2025-09-09 16:30|177.5400|177.7399|176.8000|177.4350|311507|0.1050|0.1999|0.6350|BEARISH
DHI|2025-09-09 17:30|177.4900|178.4200|177.3972|178.0500|399170|0.5600|0.3700|0.0928|BULLISH
DHI|2025-09-09 18:30|178.0400|178.1800|177.2800|177.8700|371922|0.1700|0.1400|0.5900|BEARISH
DHI|2025-09-09 19:30|177.9000|178.2900|177.3000|177.8800|637629|0.0200|0.3900|0.5800|BEARISH
DHI|2025-09-10 13:30|178.7800|178.9250|174.5800|175.6400|818612|3.1400|0.1450|1.0600|BEARISH
DHI|2025-09-10 14:30|175.6400|175.7760|174.7800|175.1700|537058|0.4700|0.1360|0.3900|BEARISH
DHI|2025-09-10 15:30|175.1700|175.8350|174.9500|174.9500|330864|0.2200|0.6650|0.0000|BEARISH
DHI|2025-09-10 16:30|174.9100|175.3700|174.3000|175.3475|348396|0.4375|0.0225|0.6100|BULLISH
DHI|2025-09-10 17:30|175.3300|175.8700|175.0600|175.7500|322048|0.4200|0.1200|0.2700|BULLISH
DHI|2025-09-10 18:30|175.7450|176.6650|175.5200|175.6600|354070|0.0850|0.9200|0.1400|BEARISH
DHI|2025-09-10 19:30|175.6400|176.7800|175.4200|176.1200|609742|0.4800|0.6600|0.2200|BULLISH
DHI|2025-09-11 13:30|176.9900|180.1600|176.9900|180.0200|411609|3.0300|0.1400|0.0000|BULLISH
DHI|2025-09-11 14:30|179.9850|181.4700|179.7700|180.7900|245253|0.8050|0.6800|0.2150|BULLISH
DHI|2025-09-11 15:30|180.8450|181.1750|180.5700|180.5702|198016|0.2748|0.3300|0.0002|BEARISH
DHI|2025-09-11 16:30|180.6300|181.0800|180.4200|181.0000|141237|0.3700|0.0800|0.2100|BULLISH
DHI|2025-09-11 17:30|181.0400|181.0600|180.5500|180.8000|146077|0.2400|0.0200|0.2500|BEARISH
DHI|2025-09-11 18:30|180.8500|180.9800|180.5000|180.9100|184704|0.0600|0.0700|0.3500|BULLISH
DHI|2025-09-11 19:30|180.9000|181.4600|180.7840|181.0200|324508|0.1200|0.4400|0.1160|BULLISH
DHI|2025-09-12 13:30|178.6100|180.6400|177.3400|178.6000|496334|0.0100|2.0300|1.2600|BEARISH
DHI|2025-09-12 14:30|178.5200|178.6200|177.3000|177.5150|283384|1.0050|0.1000|0.2150|BEARISH
DHI|2025-09-12 15:30|177.5450|178.4600|177.3050|178.3600|204690|0.8150|0.1000|0.2400|BULLISH
DHI|2025-09-12 16:30|178.4200|178.6000|177.8100|178.3100|210359|0.1100|0.1800|0.5000|BEARISH
DHI|2025-09-12 17:30|178.2440|178.7700|178.0635|178.6400|184882|0.3960|0.1300|0.1805|BULLISH
DHI|2025-09-12 18:30|178.6800|179.2199|178.5300|178.6300|189048|0.0500|0.5399|0.1000|BEARISH
DHI|2025-09-12 19:30|178.6000|178.7100|177.8000|177.8900|420736|0.7100|0.1100|0.0900|BEARISH
DHI|2025-09-15 13:30|177.0000|177.0500|172.2700|173.7951|828351|3.2049|0.0500|1.5251|BEARISH
DHI|2025-09-15 14:30|173.8000|173.9400|171.0600|171.2750|797111|2.5250|0.1400|0.2150|BEARISH
DHI|2025-09-15 15:30|171.2750|171.6315|170.6700|171.1800|752585|0.0950|0.3565|0.5100|BEARISH
DHI|2025-09-15 16:30|171.1700|171.5250|170.1601|171.5200|450872|0.3500|0.0050|1.0099|BULLISH
DHI|2025-09-15 17:30|171.5200|171.6700|170.2300|170.8600|531257|0.6600|0.1500|0.6300|BEARISH
DHI|2025-09-15 18:30|170.8240|171.7000|170.6800|171.4700|544030|0.6460|0.2300|0.1440|BULLISH
DHI|2025-09-15 19:30|171.4650|172.4200|171.2850|172.0900|995147|0.6250|0.3300|0.1800|BULLISH
DHI|2025-09-16 13:30|172.5500|172.8242|168.2200|168.6200|756805|3.9300|0.2742|0.4000|BEARISH
DHI|2025-09-16 14:30|168.5700|170.1600|168.0200|169.6550|442326|1.0850|0.5050|0.5500|BULLISH
DHI|2025-09-16 15:30|169.6750|170.8100|169.5701|170.5700|245716|0.8950|0.2400|0.1049|BULLISH
DHI|2025-09-16 16:30|170.6000|170.9100|170.1800|170.5840|174860|0.0160|0.3100|0.4040|BEARISH
DHI|2025-09-16 17:30|170.5300|171.6300|170.3601|171.5800|253421|1.0500|0.0500|0.1699|BULLISH
DHI|2025-09-16 18:30|171.6000|171.7800|171.3200|171.5000|253229|0.1000|0.1800|0.1800|BEARISH
DHI|2025-09-16 19:30|171.5000|172.1600|170.8528|171.7300|558347|0.2300|0.4300|0.6472|BULLISH
DHI|2025-09-17 13:30|172.5200|174.8300|172.2300|173.4250|403530|0.9050|1.4050|0.2900|BULLISH
DHI|2025-09-17 14:30|173.4800|174.1800|173.2800|173.3300|201717|0.1500|0.7000|0.0500|BEARISH
DHI|2025-09-17 15:30|173.3900|173.6400|172.9000|172.9400|172770|0.4500|0.2500|0.0400|BEARISH
DHI|2025-09-17 16:30|172.9100|173.0650|172.2450|172.7300|187579|0.1800|0.1550|0.4850|BEARISH
DHI|2025-09-17 17:30|172.7600|177.5800|172.6810|175.2150|706291|2.4550|2.3650|0.0790|BULLISH
DHI|2025-09-17 18:30|175.1300|175.1550|168.5600|170.4050|847295|4.7250|0.0250|1.8450|BEARISH
DHI|2025-09-17 19:30|170.3000|170.7600|169.6500|169.9200|574194|0.3800|0.4600|0.2700|BEARISH
DHI|2025-09-18 13:30|169.6000|170.0088|167.0000|169.7600|643782|0.1600|0.2488|2.6000|BULLISH
DHI|2025-09-18 14:30|169.7950|169.9900|168.3500|169.3400|336069|0.4550|0.1950|0.9900|BEARISH
DHI|2025-09-18 15:30|169.3900|170.3900|169.3900|170.0700|212909|0.6800|0.3200|0.0000|BULLISH
DHI|2025-09-18 16:30|170.0750|170.5750|169.8235|169.8300|189258|0.2450|0.5000|0.0065|BEARISH
DHI|2025-09-18 17:30|169.8200|170.6500|169.0400|169.0750|215024|0.7450|0.8300|0.0350|BEARISH
DHI|2025-09-18 18:30|169.0950|169.8600|168.7800|169.2400|307350|0.1450|0.6200|0.3150|BULLISH
DHI|2025-09-18 19:30|169.2200|170.0200|168.9800|169.5900|543983|0.3700|0.4300|0.2400|BULLISH
DHI|2025-09-19 13:30|167.0000|170.0200|164.7600|169.5200|1284440|2.5200|0.5000|2.2400|BULLISH
DHI|2025-09-19 14:30|169.5350|169.9700|167.8800|168.7900|548048|0.7450|0.4350|0.9100|BEARISH
DHI|2025-09-19 15:30|168.7900|168.8100|167.6700|168.3050|448248|0.4850|0.0200|0.6350|BEARISH
DHI|2025-09-19 16:30|168.2700|168.5800|167.6100|168.1700|302248|0.1000|0.3100|0.5600|BEARISH
DHI|2025-09-19 17:30|168.1500|168.9500|167.5600|168.1900|380171|0.0400|0.7600|0.5900|BULLISH
DHI|2025-09-19 18:30|168.1700|169.5900|168.0310|169.4300|362474|1.2600|0.1600|0.1390|BULLISH
DHI|2025-09-19 19:30|169.4300|169.6080|168.1400|168.3300|817913|1.1000|0.1780|0.1900|BEARISH
DHI|2025-09-22 13:30|167.1500|167.1500|162.8200|164.4900|728028|2.6600|0.0000|1.6700|BEARISH
DHI|2025-09-22 14:30|164.4400|165.0900|163.5700|164.6150|419450|0.1750|0.4750|0.8700|BULLISH
DHI|2025-09-22 15:30|164.6500|164.9600|163.2400|163.5700|433740|1.0800|0.3100|0.3300|BEARISH
DHI|2025-09-22 16:30|163.6200|164.5900|163.4900|164.5550|321991|0.9350|0.0350|0.1300|BULLISH
DHI|2025-09-22 17:30|164.5550|164.9950|164.1850|164.7600|438484|0.2050|0.2350|0.3700|BULLISH
DHI|2025-09-22 18:30|164.7700|165.0700|164.3250|164.6900|443790|0.0800|0.3000|0.3650|BEARISH
DHI|2025-09-22 19:30|164.6800|164.7950|164.0900|164.2300|663980|0.4500|0.1150|0.1400|BEARISH
DHI|2025-09-23 13:30|165.0500|165.8150|163.9200|164.2200|447034|0.8300|0.7650|0.3000|BEARISH
DHI|2025-09-23 14:30|164.2250|164.5300|163.7900|164.1750|262095|0.0500|0.3050|0.3850|BEARISH
DHI|2025-09-23 15:30|164.1600|164.2300|162.9100|163.1950|373407|0.9650|0.0700|0.2850|BEARISH
DHI|2025-09-23 16:30|163.1950|163.4400|162.8500|163.1450|358894|0.0500|0.2450|0.2950|BEARISH
DHI|2025-09-23 17:30|163.1400|163.6380|163.0800|163.3600|252698|0.2200|0.2780|0.0600|BULLISH
DHI|2025-09-23 18:30|163.3400|165.1400|163.3400|165.0200|548820|1.6800|0.1200|0.0000|BULLISH
DHI|2025-09-23 19:30|164.9900|166.3500|164.8600|166.3100|641177|1.3200|0.0400|0.1300|BULLISH
DHI|2025-09-24 13:30|165.3100|168.8300|164.4900|167.7700|819861|2.4600|1.0600|0.8200|BULLISH
DHI|2025-09-24 14:30|167.7000|168.2400|166.7300|167.7400|394292|0.0400|0.5000|0.9700|BULLISH
DHI|2025-09-24 15:30|167.7500|167.8600|166.7900|167.1900|233699|0.5600|0.1100|0.4000|BEARISH
DHI|2025-09-24 16:30|167.2850|168.3100|167.1800|167.5700|209462|0.2850|0.7400|0.1050|BULLISH
DHI|2025-09-24 17:30|167.6050|167.7100|166.9300|167.3000|147203|0.3050|0.1050|0.3700|BEARISH
DHI|2025-09-24 18:30|167.2500|167.8700|167.1100|167.3800|264178|0.1300|0.4900|0.1400|BULLISH
DHI|2025-09-24 19:30|167.3700|168.1300|167.3100|167.4500|499590|0.0800|0.6800|0.0600|BULLISH
DHI|2025-09-25 13:30|165.2900|168.9368|164.0000|165.6300|450935|0.3400|3.3068|1.2900|BULLISH
DHI|2025-09-25 14:30|165.6900|165.9300|164.8100|165.1000|314143|0.5900|0.2400|0.2900|BEARISH
DHI|2025-09-25 15:30|165.0700|166.1600|165.0700|165.9350|189819|0.8650|0.2250|0.0000|BULLISH
DHI|2025-09-25 16:30|165.9800|166.4350|165.5500|165.7300|145964|0.2500|0.4550|0.1800|BEARISH
DHI|2025-09-25 17:30|165.6600|165.9200|165.1400|165.7200|215761|0.0600|0.2000|0.5200|BULLISH
DHI|2025-09-25 18:30|165.7150|166.1400|164.8900|165.0600|221927|0.6550|0.4250|0.1700|BEARISH
DHI|2025-09-25 19:30|165.0700|165.2300|164.3300|165.0100|518331|0.0600|0.1600|0.6800|BEARISH
DHI|2025-09-26 13:30|165.8600|167.0800|165.0000|166.8100|299798|0.9500|0.2700|0.8600|BULLISH
DHI|2025-09-26 14:30|166.8200|167.6000|166.1000|167.5900|180512|0.7700|0.0100|0.7200|BULLISH
DHI|2025-09-26 15:30|167.5900|167.8900|166.8600|167.4600|241659|0.1300|0.3000|0.6000|BEARISH
DHI|2025-09-26 16:30|167.4850|167.6450|166.9300|167.1900|226333|0.2950|0.1600|0.2600|BEARISH
DHI|2025-09-26 17:30|167.1600|168.1450|167.0600|167.9100|121434|0.7500|0.2350|0.1000|BULLISH
DHI|2025-09-26 18:30|167.8900|168.3800|167.6300|167.6400|229488|0.2500|0.4900|0.0100|BEARISH
DHI|2025-09-26 19:30|167.6163|168.2800|167.0900|167.1400|362029|0.4763|0.6637|0.0500|BEARISH
DHI|2025-09-29 13:30|168.3350|168.5500|166.7400|166.7500|249043|1.5850|0.2150|0.0100|BEARISH
DHI|2025-09-29 14:30|166.7150|168.4400|166.5600|168.4150|176799|1.7000|0.0250|0.1550|BULLISH
DHI|2025-09-29 15:30|168.4000|168.8558|168.0500|168.7000|127073|0.3000|0.1558|0.3500|BULLISH
DHI|2025-09-29 16:30|168.7700|169.5800|168.6400|169.3293|138233|0.5593|0.2507|0.1300|BULLISH
DHI|2025-09-29 17:30|169.4000|170.1800|169.2500|170.0100|123770|0.6100|0.1700|0.1500|BULLISH
DHI|2025-09-29 18:30|170.0000|170.1000|169.1700|169.8400|172077|0.1600|0.1000|0.6700|BEARISH
DHI|2025-09-29 19:30|169.8550|170.5660|169.8100|169.8400|475497|0.0150|0.7110|0.0300|BEARISH
DHI|2025-09-30 13:30|168.9250|170.1200|167.9850|168.0900|199159|0.8350|1.1950|0.1050|BEARISH
DHI|2025-09-30 14:30|168.0400|168.1500|166.9500|167.3200|196271|0.7200|0.1100|0.3700|BEARISH
DHI|2025-09-30 15:30|167.3400|168.2321|166.8050|168.1400|151922|0.8000|0.0921|0.5350|BULLISH
DHI|2025-09-30 16:30|168.1850|168.7000|168.0200|168.6260|120862|0.4410|0.0740|0.1650|BULLISH
DHI|2025-09-30 17:30|168.6400|169.1100|168.5200|169.0250|131768|0.3850|0.0850|0.1200|BULLISH
DHI|2025-09-30 18:30|168.9800|169.4450|168.5000|169.3200|154586|0.3400|0.1250|0.4800|BULLISH
DHI|2025-09-30 19:30|169.2800|169.7210|168.9700|169.4800|374001|0.2000|0.2410|0.3100|BULLISH
DHI|2025-10-01 13:30|169.8900|171.5700|169.8900|170.1300|341619|0.2400|1.4400|0.0000|BULLISH
DHI|2025-10-01 14:30|170.1650|170.5400|169.9200|170.2500|225464|0.0850|0.2900|0.2450|BULLISH
DHI|2025-10-01 15:30|170.2900|170.6000|170.0501|170.1031|154935|0.1869|0.3100|0.0530|BEARISH
DHI|2025-10-01 16:30|170.1500|170.6800|169.7800|170.6800|111159|0.5300|0.0000|0.3700|BULLISH
DHI|2025-10-01 17:30|170.7800|171.8461|170.3650|171.5400|137472|0.7600|0.3061|0.4150|BULLISH
DHI|2025-10-01 18:30|171.5500|171.7400|171.2710|171.5700|234096|0.0200|0.1700|0.2790|BULLISH
DHI|2025-10-01 19:30|171.5500|172.5300|171.4100|172.4500|521595|0.9000|0.0800|0.1400|BULLISH
DHI|2025-10-02 13:30|171.5000|172.2650|169.1950|169.7000|360837|1.8000|0.7650|0.5050|BEARISH
DHI|2025-10-02 14:30|169.6500|170.8350|169.3950|170.6400|287417|0.9900|0.1950|0.2550|BULLISH
DHI|2025-10-02 15:30|170.6400|171.6100|170.4601|171.1150|222063|0.4750|0.4950|0.1799|BULLISH
DHI|2025-10-02 16:30|171.1150|171.6000|170.6500|171.6000|146026|0.4850|0.0000|0.4650|BULLISH
DHI|2025-10-02 17:30|171.6540|171.8400|171.3900|171.6800|146119|0.0260|0.1600|0.2640|BULLISH
DHI|2025-10-02 18:30|171.6200|171.9200|171.1850|171.6200|186846|0.0000|0.3000|0.4350|BULLISH
DHI|2025-10-02 19:30|171.6250|171.6500|171.3600|171.4600|355242|0.1650|0.0250|0.1000|BEARISH
DHI|2025-10-03 13:30|172.0300|174.7500|171.6800|174.4200|340425|2.3900|0.3300|0.3500|BULLISH
DHI|2025-10-03 14:30|174.3210|174.4475|173.3800|173.6150|200461|0.7060|0.1265|0.2350|BEARISH
DHI|2025-10-03 15:30|173.6900|175.2600|173.6200|175.0650|200182|1.3750|0.1950|0.0700|BULLISH
DHI|2025-10-03 16:30|175.1050|176.2200|174.9612|175.9500|298148|0.8450|0.2700|0.1438|BULLISH
DHI|2025-10-03 17:30|175.9100|175.9600|174.3800|174.9000|196658|1.0100|0.0500|0.5200|BEARISH
DHI|2025-10-03 18:30|174.8650|175.2600|174.2700|175.2600|195278|0.3950|0.0000|0.5950|BULLISH
DHI|2025-10-03 19:30|175.2200|175.3600|174.6100|174.9200|364037|0.3000|0.1400|0.3100|BEARISH
DHI|2025-10-06 13:30|175.8000|176.0450|173.5900|174.1200|436610|1.6800|0.2450|0.5300|BEARISH
DHI|2025-10-06 14:30|174.1100|174.3300|172.7600|173.1000|203350|1.0100|0.2200|0.3400|BEARISH
DHI|2025-10-06 15:30|173.1000|173.1800|171.3800|171.6650|250830|1.4350|0.0800|0.2850|BEARISH
DHI|2025-10-06 16:30|171.6300|172.6500|171.3650|172.2900|173978|0.6600|0.3600|0.2650|BULLISH
DHI|2025-10-06 17:30|172.2300|172.2999|171.5800|171.6500|122178|0.5800|0.0699|0.0700|BEARISH
