Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
DLR|2025-09-02 13:30|165.0900|165.9200|163.7800|163.9125|259442|1.1775|0.8300|0.1325|BEARISH
DLR|2025-09-02 14:30|163.9900|164.1800|162.6200|163.7300|155674|0.2600|0.1900|1.1100|BEARISH
DLR|2025-09-02 15:30|163.6500|163.6500|162.5950|162.8700|160905|0.7800|0.0000|0.2750|BEARISH
DLR|2025-09-02 16:30|162.9200|162.9200|162.1100|162.5300|144883|0.3900|0.0000|0.4200|BEARISH
DLR|2025-09-02 17:30|162.5550|162.9200|162.0250|162.2000|100735|0.3550|0.3650|0.1750|BEARISH
DLR|2025-09-02 18:30|162.2000|162.3800|161.6850|162.3500|120062|0.1500|0.0300|0.5150|BULLISH
DLR|2025-09-02 19:30|162.3700|162.9500|162.3001|162.9400|194121|0.5700|0.0100|0.0699|BULLISH
DLR|2025-09-03 13:30|162.4100|163.1100|160.9100|161.8900|202560|0.5200|0.7000|0.9800|BEARISH
DLR|2025-09-03 14:30|161.7900|162.1100|160.8100|160.8600|188796|0.9300|0.3200|0.0500|BEARISH
DLR|2025-09-03 15:30|160.8600|161.4600|160.4700|160.8800|137703|0.0200|0.5800|0.3900|BULLISH
DLR|2025-09-03 16:30|160.8900|160.9700|159.8600|159.8800|192091|1.0100|0.0800|0.0200|BEARISH
DLR|2025-09-03 17:30|159.8800|160.8183|159.2200|160.6250|244502|0.7450|0.1933|0.6600|BULLISH
DLR|2025-09-03 18:30|160.6250|160.8000|160.2800|160.7350|164548|0.1100|0.0650|0.3450|BULLISH
DLR|2025-09-03 19:30|160.7171|161.5100|160.7000|161.4500|283839|0.7329|0.0600|0.0171|BULLISH
DLR|2025-09-04 13:30|161.6500|162.3960|160.5700|161.1700|130952|0.4800|0.7460|0.6000|BEARISH
DLR|2025-09-04 14:30|161.2000|162.5750|161.0300|162.5500|139961|1.3500|0.0250|0.1700|BULLISH
DLR|2025-09-04 15:30|162.5550|162.6100|161.1500|161.1950|122196|1.3600|0.0550|0.0450|BEARISH
DLR|2025-09-04 16:30|161.2600|161.6015|160.8200|161.5400|100241|0.2800|0.0615|0.4400|BULLISH
DLR|2025-09-04 17:30|161.4600|161.8200|161.2200|161.6053|108212|0.1453|0.2147|0.2400|BULLISH
DLR|2025-09-04 18:30|161.6400|163.1550|161.6400|162.9900|162101|1.3500|0.1650|0.0000|BULLISH
DLR|2025-09-04 19:30|163.0000|163.0300|162.1500|162.8700|294942|0.1300|0.0300|0.7200|BEARISH
DLR|2025-09-05 13:30|164.2700|165.5450|163.0200|163.5850|133673|0.6850|1.2750|0.5650|BEARISH
DLR|2025-09-05 14:30|163.5300|164.4000|163.1600|164.3600|162279|0.8300|0.0400|0.3700|BULLISH
DLR|2025-09-05 15:30|164.4100|164.6400|164.2300|164.3700|105745|0.0400|0.2300|0.1400|BEARISH
DLR|2025-09-05 16:30|164.3900|164.4100|163.1700|163.1900|125314|1.2000|0.0200|0.0200|BEARISH
DLR|2025-09-05 17:30|163.2600|163.5150|162.9234|163.1800|98271|0.0800|0.2550|0.2566|BEARISH
DLR|2025-09-05 18:30|163.1600|163.7950|163.1101|163.4900|166404|0.3300|0.3050|0.0499|BULLISH
DLR|2025-09-05 19:30|163.5350|164.0000|163.1200|163.2500|273916|0.2850|0.4650|0.1300|BEARISH
DLR|2025-09-08 13:30|162.0000|162.3700|159.2795|160.4700|409988|1.5300|0.3700|1.1905|BEARISH
DLR|2025-09-08 14:30|160.4550|160.6799|159.2200|160.5000|289925|0.0450|0.1799|1.2350|BULLISH
DLR|2025-09-08 15:30|160.5000|161.0100|160.2110|160.9600|177290|0.4600|0.0500|0.2890|BULLISH
DLR|2025-09-08 16:30|160.9700|161.6600|160.7600|161.5650|176737|0.5950|0.0950|0.2100|BULLISH
DLR|2025-09-08 17:30|161.6000|161.7200|160.6100|160.6600|104405|0.9400|0.1200|0.0500|BEARISH
DLR|2025-09-08 18:30|160.6200|160.7000|160.0000|160.6000|203185|0.0200|0.0800|0.6000|BEARISH
DLR|2025-09-08 19:30|160.5700|161.4700|160.5500|161.2100|274358|0.6400|0.2600|0.0200|BULLISH
DLR|2025-09-09 13:30|160.3300|162.1800|160.3300|161.5500|284627|1.2200|0.6300|0.0000|BULLISH
DLR|2025-09-09 14:30|161.5500|161.6600|160.2200|160.6600|223309|0.8900|0.1100|0.4400|BEARISH
DLR|2025-09-09 15:30|160.6800|161.3050|160.5700|161.3050|225556|0.6250|0.0000|0.1100|BULLISH
DLR|2025-09-09 16:30|161.3050|161.5200|161.1300|161.4900|72550|0.1850|0.0300|0.1750|BULLISH
DLR|2025-09-09 17:30|161.5400|163.0300|161.4500|162.9250|202595|1.3850|0.1050|0.0900|BULLISH
DLR|2025-09-09 18:30|162.9800|163.6300|162.9300|163.3250|212510|0.3450|0.3050|0.0500|BULLISH
DLR|2025-09-09 19:30|163.3250|164.0300|163.1500|163.9500|362182|0.6250|0.0800|0.1750|BULLISH
DLR|2025-09-10 13:30|166.5900|174.5600|166.4900|174.3200|554918|7.7300|0.2400|0.1000|BULLISH
DLR|2025-09-10 14:30|174.4100|174.9300|173.8800|173.8800|346505|0.5300|0.5200|0.0000|BEARISH
DLR|2025-09-10 15:30|173.9100|174.0900|173.2600|173.3200|272777|0.5900|0.1800|0.0600|BEARISH
DLR|2025-09-10 16:30|173.3600|174.1300|173.3600|173.7550|275148|0.3950|0.3750|0.0000|BULLISH
DLR|2025-09-10 17:30|173.7500|174.2500|172.6600|173.2700|299208|0.4800|0.5000|0.6100|BEARISH
DLR|2025-09-10 18:30|173.3100|174.2800|173.0112|173.9750|299052|0.6650|0.3050|0.2988|BULLISH
DLR|2025-09-10 19:30|174.0000|174.3200|173.6100|173.9300|533050|0.0700|0.3200|0.3200|BEARISH
DLR|2025-09-11 13:30|173.7400|174.9000|173.7400|173.9200|213110|0.1800|0.9800|0.0000|BULLISH
DLR|2025-09-11 14:30|174.0100|174.7900|173.4600|173.6600|147509|0.3500|0.7800|0.2000|BEARISH
DLR|2025-09-11 15:30|173.7250|174.7200|173.6884|173.8500|98109|0.1250|0.8700|0.0366|BULLISH
DLR|2025-09-11 16:30|173.7750|173.7750|173.3400|173.4450|144387|0.3300|0.0000|0.1050|BEARISH
