Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
DOC|2025-09-02 13:30|17.8600|17.9800|17.7950|17.9200|766269|0.0600|0.0600|0.0650|BULLISH
DOC|2025-09-02 14:30|17.9200|17.9600|17.8450|17.8700|692926|0.0500|0.0400|0.0250|BEARISH
DOC|2025-09-02 15:30|17.8700|17.9000|17.8328|17.8350|481054|0.0350|0.0300|0.0022|BEARISH
DOC|2025-09-02 16:30|17.8400|17.9400|17.8350|17.9100|489572|0.0700|0.0300|0.0050|BULLISH
DOC|2025-09-02 17:30|17.9100|17.9400|17.8610|17.8950|424298|0.0150|0.0300|0.0340|BEARISH
DOC|2025-09-02 18:30|17.8950|17.9050|17.8400|17.8850|691411|0.0100|0.0100|0.0450|BEARISH
DOC|2025-09-02 19:30|17.8850|17.9650|17.8800|17.9500|943499|0.0650|0.0150|0.0050|BULLISH
DOC|2025-09-03 13:30|17.8600|18.0600|17.7600|17.8000|709865|0.0600|0.2000|0.0400|BEARISH
DOC|2025-09-03 14:30|17.8050|17.8300|17.7350|17.7400|788910|0.0650|0.0250|0.0050|BEARISH
DOC|2025-09-03 15:30|17.7500|17.7750|17.7240|17.7547|594889|0.0047|0.0203|0.0260|BULLISH
DOC|2025-09-03 16:30|17.7600|17.7950|17.7250|17.7650|666140|0.0050|0.0300|0.0350|BULLISH
DOC|2025-09-03 17:30|17.7600|17.7850|17.7150|17.7850|606228|0.0250|0.0000|0.0450|BULLISH
DOC|2025-09-03 18:30|17.7800|17.7800|17.7100|17.7450|688152|0.0350|0.0000|0.0350|BEARISH
DOC|2025-09-03 19:30|17.7500|17.7600|17.7100|17.7300|1147987|0.0200|0.0100|0.0200|BEARISH
DOC|2025-09-04 13:30|17.8200|17.8800|17.7100|17.7789|448942|0.0411|0.0600|0.0689|BEARISH
DOC|2025-09-04 14:30|17.7800|17.8300|17.7300|17.7650|464526|0.0150|0.0500|0.0350|BEARISH
DOC|2025-09-04 15:30|17.7650|17.8150|17.7350|17.7650|448898|0.0000|0.0500|0.0300|BULLISH
DOC|2025-09-04 16:30|17.7700|17.8900|17.7135|17.8850|926891|0.1150|0.0050|0.0565|BULLISH
DOC|2025-09-04 17:30|17.8800|17.9000|17.8450|17.8850|508075|0.0050|0.0150|0.0350|BULLISH
DOC|2025-09-04 18:30|17.8900|18.0050|17.8845|17.9800|752535|0.0900|0.0250|0.0055|BULLISH
DOC|2025-09-04 19:30|17.9850|18.0200|17.9700|18.0100|691077|0.0250|0.0100|0.0150|BULLISH
DOC|2025-09-05 13:30|18.1600|18.3850|18.0650|18.1900|856278|0.0300|0.1950|0.0950|BULLISH
DOC|2025-09-05 14:30|18.1950|18.2300|18.0900|18.2300|499186|0.0350|0.0000|0.1050|BULLISH
DOC|2025-09-05 15:30|18.2350|18.2400|18.1550|18.1550|606673|0.0800|0.0050|0.0000|BEARISH
DOC|2025-09-05 16:30|18.1518|18.2600|18.1450|18.2450|787095|0.0932|0.0150|0.0068|BULLISH
DOC|2025-09-05 17:30|18.2450|18.2800|18.2100|18.2200|554956|0.0250|0.0350|0.0100|BEARISH
DOC|2025-09-05 18:30|18.2250|18.3650|18.2250|18.3350|796043|0.1100|0.0300|0.0000|BULLISH
DOC|2025-09-05 19:30|18.3350|18.4150|18.3300|18.4100|1141000|0.0750|0.0050|0.0050|BULLISH
DOC|2025-09-08 13:30|18.2400|18.4500|18.2400|18.4050|1148121|0.1650|0.0450|0.0000|BULLISH
DOC|2025-09-08 14:30|18.4050|18.4999|18.3550|18.4700|820272|0.0650|0.0299|0.0500|BULLISH
DOC|2025-09-08 15:30|18.4750|18.4750|18.3300|18.3350|864631|0.1400|0.0000|0.0050|BEARISH
DOC|2025-09-08 16:30|18.3350|18.3800|18.3000|18.3550|771135|0.0200|0.0250|0.0350|BULLISH
DOC|2025-09-08 17:30|18.3550|18.3750|18.1700|18.2599|1702243|0.0951|0.0200|0.0899|BEARISH
DOC|2025-09-08 18:30|18.2600|18.2600|18.1450|18.1550|732714|0.1050|0.0000|0.0100|BEARISH
