Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
DOV|2025-09-02 13:30|176.7000|176.8100|175.4500|175.9900|80210|0.7100|0.1100|0.5400|BEARISH
DOV|2025-09-02 14:30|175.8300|175.8300|174.9600|175.2700|64629|0.5600|0.0000|0.3100|BEARISH
DOV|2025-09-02 15:30|175.2200|175.2900|174.6600|174.7000|56502|0.5200|0.0700|0.0400|BEARISH
DOV|2025-09-02 16:30|174.7400|175.0300|174.4800|174.9900|68961|0.2500|0.0400|0.2600|BULLISH
DOV|2025-09-02 17:30|174.9600|175.2150|174.6500|174.7050|96565|0.2550|0.2550|0.0550|BEARISH
DOV|2025-09-02 18:30|174.7050|174.9800|174.3800|174.9800|131201|0.2750|0.0000|0.3250|BULLISH
DOV|2025-09-02 19:30|174.9300|175.8100|174.8800|175.7700|256035|0.8400|0.0400|0.0500|BULLISH
DOV|2025-09-03 13:30|175.4900|175.9900|174.6400|174.9900|60582|0.5000|0.5000|0.3500|BEARISH
DOV|2025-09-03 14:30|174.8450|175.3200|174.8450|175.0834|61271|0.2384|0.2366|0.0000|BULLISH
DOV|2025-09-03 15:30|175.0000|175.2200|174.3900|174.6000|36607|0.4000|0.2200|0.2100|BEARISH
DOV|2025-09-03 16:30|174.6300|174.9600|174.4000|174.9550|51646|0.3250|0.0050|0.2300|BULLISH
DOV|2025-09-03 17:30|174.9551|175.0000|174.1000|174.6941|50774|0.2610|0.0449|0.5941|BEARISH
DOV|2025-09-03 18:30|174.6800|174.6800|173.9625|174.0450|69641|0.6350|0.0000|0.0825|BEARISH
DOV|2025-09-03 19:30|174.0450|174.8300|174.0450|174.5700|218850|0.5250|0.2600|0.0000|BULLISH
DOV|2025-09-04 13:30|174.7400|175.1100|174.2550|175.0900|58601|0.3500|0.0200|0.4850|BULLISH
DOV|2025-09-04 14:30|175.0450|176.1600|175.0450|176.1200|36407|1.0750|0.0400|0.0000|BULLISH
DOV|2025-09-04 15:30|176.0200|176.1750|175.9400|176.0100|47298|0.0100|0.1550|0.0700|BEARISH
DOV|2025-09-04 16:30|176.0000|176.5000|175.5300|176.5000|51898|0.5000|0.0000|0.4700|BULLISH
DOV|2025-09-04 17:30|176.5000|177.2050|176.3816|176.7700|91337|0.2700|0.4350|0.1184|BULLISH
DOV|2025-09-04 18:30|176.7900|177.7700|176.7500|177.6700|152527|0.8800|0.1000|0.0400|BULLISH
DOV|2025-09-04 19:30|177.6500|178.4000|177.3800|178.3300|201727|0.6800|0.0700|0.2700|BULLISH
DOV|2025-09-05 13:30|178.9600|180.4750|177.4800|177.4800|168523|1.4800|1.5150|0.0000|BEARISH
DOV|2025-09-05 14:30|177.7000|177.7000|176.6300|176.9000|126778|0.8000|0.0000|0.2700|BEARISH
DOV|2025-09-05 15:30|176.8025|177.8000|176.6000|177.4900|108959|0.6875|0.3100|0.2025|BULLISH
DOV|2025-09-05 16:30|177.4600|177.5900|177.1000|177.1000|56818|0.3600|0.1300|0.0000|BEARISH
DOV|2025-09-05 17:30|177.2100|177.5800|176.8800|177.5100|78798|0.3000|0.0700|0.3300|BULLISH
DOV|2025-09-05 18:30|177.5050|178.0600|177.4300|178.0600|144460|0.5550|0.0000|0.0750|BULLISH
DOV|2025-09-05 19:30|178.0800|178.1450|177.4650|177.8100|188286|0.2700|0.0650|0.3450|BEARISH
DOV|2025-09-08 13:30|177.7700|177.7700|175.8550|177.5900|151692|0.1800|0.0000|1.7350|BEARISH
DOV|2025-09-08 14:30|177.6300|178.5900|177.6300|178.4900|146048|0.8600|0.1000|0.0000|BULLISH
DOV|2025-09-08 15:30|178.4900|178.6300|177.8600|177.9900|72650|0.5000|0.1400|0.1300|BEARISH
DOV|2025-09-08 16:30|177.9500|178.0900|177.5300|177.9800|88411|0.0300|0.1100|0.4200|BULLISH
DOV|2025-09-08 17:30|177.9800|177.9950|177.1750|177.7250|57431|0.2550|0.0150|0.5500|BEARISH
DOV|2025-09-08 18:30|177.8500|177.9999|177.3900|177.4700|106372|0.3800|0.1499|0.0800|BEARISH
DOV|2025-09-08 19:30|177.4700|178.2200|177.3400|178.0400|169504|0.5700|0.1800|0.1300|BULLISH
DOV|2025-09-09 13:30|177.5200|177.5200|175.3100|175.3950|59885|2.1250|0.0000|0.0850|BEARISH
DOV|2025-09-09 14:30|175.3800|175.3800|174.3000|174.8100|45805|0.5700|0.0000|0.5100|BEARISH
DOV|2025-09-09 15:30|174.8200|174.9499|174.0523|174.4500|37215|0.3700|0.1299|0.3977|BEARISH
DOV|2025-09-09 16:30|174.4500|175.0000|174.4400|174.8100|39212|0.3600|0.1900|0.0100|BULLISH
DOV|2025-09-09 17:30|174.7700|175.1400|174.7250|175.0800|45539|0.3100|0.0600|0.0450|BULLISH
