Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
DVN|2025-09-02 13:30|36.0000|36.5700|35.6650|36.2350|1370908|0.2350|0.3350|0.3350|BULLISH
DVN|2025-09-02 14:30|36.2300|36.2300|35.9900|36.1350|565370|0.0950|0.0000|0.1450|BEARISH
DVN|2025-09-02 15:30|36.1399|36.3550|36.1000|36.2900|481436|0.1501|0.0650|0.0399|BULLISH
DVN|2025-09-02 16:30|36.2900|36.4650|36.2800|36.4128|446413|0.1228|0.0522|0.0100|BULLISH
DVN|2025-09-02 17:30|36.4200|36.5300|36.3800|36.3900|372434|0.0300|0.1100|0.0100|BEARISH
DVN|2025-09-02 18:30|36.3950|36.4100|36.2800|36.3800|453557|0.0150|0.0150|0.1000|BEARISH
DVN|2025-09-02 19:30|36.3850|36.4200|36.2800|36.4200|1252889|0.0350|0.0000|0.1050|BULLISH
DVN|2025-09-03 13:30|35.8300|36.2000|35.1200|35.1350|1296632|0.6950|0.3700|0.0150|BEARISH
DVN|2025-09-03 14:30|35.1351|35.3000|35.0342|35.1250|623468|0.0101|0.1649|0.0908|BEARISH
DVN|2025-09-03 15:30|35.1300|35.3650|35.0700|35.1750|585309|0.0450|0.1900|0.0600|BULLISH
DVN|2025-09-03 16:30|35.1750|35.3050|35.1550|35.2800|472985|0.1050|0.0250|0.0200|BULLISH
DVN|2025-09-03 17:30|35.2800|35.3201|35.0600|35.2350|826830|0.0450|0.0401|0.1750|BEARISH
DVN|2025-09-03 18:30|35.2400|35.2400|34.9400|34.9550|761311|0.2850|0.0000|0.0150|BEARISH
DVN|2025-09-03 19:30|34.9600|35.1250|34.9200|35.0800|1186360|0.1200|0.0450|0.0400|BULLISH
DVN|2025-09-04 13:30|34.9300|35.1600|34.6700|35.0971|872112|0.1671|0.0629|0.2600|BULLISH
DVN|2025-09-04 14:30|35.1000|35.3400|35.0300|35.2900|594047|0.1900|0.0500|0.0700|BULLISH
DVN|2025-09-04 15:30|35.2950|35.5600|35.2500|35.5500|561560|0.2550|0.0100|0.0450|BULLISH
DVN|2025-09-04 16:30|35.5500|35.6000|35.4627|35.5550|370913|0.0050|0.0450|0.0873|BULLISH
DVN|2025-09-04 17:30|35.5550|35.6250|35.4600|35.4950|512443|0.0600|0.0700|0.0350|BEARISH
DVN|2025-09-04 18:30|35.4850|35.5950|35.4700|35.5772|537393|0.0922|0.0178|0.0150|BULLISH
DVN|2025-09-04 19:30|35.5700|35.6150|35.4850|35.5750|632963|0.0050|0.0400|0.0850|BULLISH
DVN|2025-09-05 13:30|35.0400|35.5350|34.7300|35.0800|1763314|0.0400|0.4550|0.3100|BULLISH
DVN|2025-09-05 14:30|35.0700|35.1000|34.5200|34.5800|968150|0.4900|0.0300|0.0600|BEARISH
DVN|2025-09-05 15:30|34.5850|34.8000|34.5400|34.5850|665976|0.0000|0.2150|0.0450|BULLISH
DVN|2025-09-05 16:30|34.5851|34.7350|34.5200|34.5300|673907|0.0551|0.1499|0.0100|BEARISH
DVN|2025-09-05 17:30|34.5400|34.5650|34.3400|34.4850|817886|0.0550|0.0250|0.1450|BEARISH
DVN|2025-09-05 18:30|34.4900|34.6150|34.4900|34.5850|757617|0.0950|0.0300|0.0000|BULLISH
DVN|2025-09-05 19:30|34.5850|34.7850|34.5350|34.7800|1593404|0.1950|0.0050|0.0500|BULLISH
DVN|2025-09-08 13:30|35.0500|35.0500|34.1250|34.3250|1249804|0.7250|0.0000|0.2000|BEARISH
DVN|2025-09-08 14:30|34.3200|34.6200|34.2600|34.5700|578845|0.2500|0.0500|0.0600|BULLISH
DVN|2025-09-08 15:30|34.5700|34.5700|34.2750|34.3700|607008|0.2000|0.0000|0.0950|BEARISH
DVN|2025-09-08 16:30|34.3650|34.4100|34.3100|34.4000|373917|0.0350|0.0100|0.0550|BULLISH
DVN|2025-09-08 17:30|34.4100|34.4350|34.2800|34.3799|403283|0.0301|0.0250|0.0999|BEARISH
DVN|2025-09-08 18:30|34.3800|34.5490|34.3500|34.3600|648000|0.0200|0.1690|0.0100|BEARISH
DVN|2025-09-08 19:30|34.3650|34.5300|34.3400|34.5200|849859|0.1550|0.0100|0.0250|BULLISH
DVN|2025-09-09 13:30|34.7200|35.2800|34.7001|34.9600|954484|0.2400|0.3200|0.0199|BULLISH
DVN|2025-09-09 14:30|34.9550|35.0900|34.9200|34.9900|754472|0.0350|0.1000|0.0350|BULLISH
DVN|2025-09-09 15:30|35.0000|35.0100|34.6950|34.8100|705996|0.1900|0.0100|0.1150|BEARISH
