Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
DXCM|2025-09-02 13:30|74.1700|75.0900|73.4700|74.9000|531598|0.7300|0.1900|0.7000|BULLISH
DXCM|2025-09-02 14:30|74.8900|75.0175|74.6100|74.7200|443648|0.1700|0.1275|0.1100|BEARISH
DXCM|2025-09-02 15:30|74.6901|74.7050|74.0800|74.1000|353764|0.5901|0.0149|0.0200|BEARISH
DXCM|2025-09-02 16:30|74.1100|74.2694|73.8200|74.0300|501054|0.0800|0.1594|0.2100|BEARISH
DXCM|2025-09-02 17:30|74.0100|74.3100|74.0100|74.0200|416366|0.0100|0.2900|0.0000|BULLISH
DXCM|2025-09-02 18:30|74.0200|74.5700|74.0000|74.5000|571992|0.4800|0.0700|0.0200|BULLISH
DXCM|2025-09-02 19:30|74.4900|74.6600|74.1700|74.2900|718976|0.2000|0.1700|0.1200|BEARISH
DXCM|2025-09-03 13:30|74.3000|77.2400|74.0000|76.6600|771238|2.3600|0.5800|0.3000|BULLISH
DXCM|2025-09-03 14:30|76.6700|77.1000|76.2350|76.3700|436882|0.3000|0.4300|0.1350|BEARISH
DXCM|2025-09-03 15:30|76.4100|76.5500|76.0000|76.1600|330225|0.2500|0.1400|0.1600|BEARISH
DXCM|2025-09-03 16:30|76.1800|76.7950|76.1200|76.5700|596451|0.3900|0.2250|0.0600|BULLISH
DXCM|2025-09-03 17:30|76.5905|79.5100|76.1800|78.9521|1431322|2.3616|0.5579|0.4105|BULLISH
DXCM|2025-09-03 18:30|79.0550|79.4500|78.1300|78.5950|1400457|0.4600|0.3950|0.4650|BEARISH
DXCM|2025-09-03 19:30|78.5950|79.0025|78.4500|78.9200|922079|0.3250|0.0825|0.1450|BULLISH
DXCM|2025-09-04 13:30|79.2000|80.5200|78.6800|80.0950|925948|0.8950|0.4250|0.5200|BULLISH
DXCM|2025-09-04 14:30|80.1100|80.2400|79.6000|80.0000|525293|0.1100|0.1300|0.4000|BEARISH
DXCM|2025-09-04 15:30|79.9900|81.0100|79.9400|80.9950|399627|1.0050|0.0150|0.0500|BULLISH
DXCM|2025-09-04 16:30|81.0000|81.5850|80.9050|81.4800|392788|0.4800|0.1050|0.0950|BULLISH
DXCM|2025-09-04 17:30|81.4600|81.6400|81.1400|81.2300|352092|0.2300|0.1800|0.0900|BEARISH
DXCM|2025-09-04 18:30|81.2250|81.2300|80.3000|80.4300|492415|0.7950|0.0050|0.1300|BEARISH
DXCM|2025-09-04 19:30|80.4200|80.8700|80.4000|80.7800|721411|0.3600|0.0900|0.0200|BULLISH
DXCM|2025-09-05 13:30|80.8750|81.6000|80.1245|80.2200|350172|0.6550|0.7250|0.0955|BEARISH
DXCM|2025-09-05 14:30|80.1900|80.2000|79.6000|79.8400|322895|0.3500|0.0100|0.2400|BEARISH
DXCM|2025-09-05 15:30|79.8250|80.0500|79.4800|80.0000|250254|0.1750|0.0500|0.3450|BULLISH
DXCM|2025-09-05 16:30|80.0000|80.3400|79.6800|79.7950|168360|0.2050|0.3400|0.1150|BEARISH
DXCM|2025-09-05 17:30|79.7900|80.1500|79.6500|79.6800|295994|0.1100|0.3600|0.0300|BEARISH
DXCM|2025-09-05 18:30|79.7000|80.1250|79.7000|80.0250|215033|0.3250|0.1000|0.0000|BULLISH
DXCM|2025-09-05 19:30|80.0300|80.6135|79.9700|80.5400|396447|0.5100|0.0735|0.0600|BULLISH
DXCM|2025-09-08 13:30|79.6500|79.6500|77.8400|78.2900|784441|1.3600|0.0000|0.4500|BEARISH
DXCM|2025-09-08 14:30|78.2600|79.3500|77.9600|79.2800|629929|1.0200|0.0700|0.3000|BULLISH
DXCM|2025-09-08 15:30|79.2400|79.2500|78.6600|78.7000|263417|0.5400|0.0100|0.0400|BEARISH
DXCM|2025-09-08 16:30|78.6800|78.7200|78.1300|78.1600|239258|0.5200|0.0400|0.0300|BEARISH
DXCM|2025-09-08 17:30|78.1500|78.3500|77.9700|78.0200|286033|0.1300|0.2000|0.0500|BEARISH
DXCM|2025-09-08 18:30|77.9900|78.0200|77.7400|77.7700|359078|0.2200|0.0300|0.0300|BEARISH
DXCM|2025-09-08 19:30|77.7650|78.0900|77.7650|77.9990|899848|0.2340|0.0910|0.0000|BULLISH
DXCM|2025-09-09 13:30|77.6100|78.9900|77.6100|78.6100|356130|1.0000|0.3800|0.0000|BULLISH
DXCM|2025-09-09 14:30|78.4900|78.5400|77.7900|78.3500|332804|0.1400|0.0500|0.5600|BEARISH
DXCM|2025-09-09 15:30|78.3315|78.4400|78.0300|78.1600|209941|0.1715|0.1085|0.1300|BEARISH
DXCM|2025-09-09 16:30|78.1700|79.1700|78.0001|79.1500|300971|0.9800|0.0200|0.1699|BULLISH
DXCM|2025-09-09 17:30|79.1556|79.1572|78.0900|78.2400|250682|0.9156|0.0016|0.1500|BEARISH
DXCM|2025-09-09 18:30|78.1900|78.5650|78.1700|78.3090|206490|0.1190|0.2560|0.0200|BULLISH
DXCM|2025-09-09 19:30|78.3050|78.5400|78.2300|78.3800|420638|0.0750|0.1600|0.0750|BULLISH
DXCM|2025-09-10 13:30|77.9700|78.2800|75.7200|76.0850|563071|1.8850|0.3100|0.3650|BEARISH
DXCM|2025-09-10 14:30|76.0600|76.6650|76.0200|76.0800|443545|0.0200|0.5850|0.0400|BULLISH
DXCM|2025-09-10 15:30|76.0500|76.3700|75.8800|76.1500|381663|0.1000|0.2200|0.1700|BULLISH
DXCM|2025-09-10 16:30|76.1300|76.2300|75.6600|75.7500|444252|0.3800|0.1000|0.0900|BEARISH
DXCM|2025-09-10 17:30|75.7300|76.0600|75.5600|75.7678|499652|0.0378|0.2922|0.1700|BULLISH
DXCM|2025-09-10 18:30|75.7800|76.2000|75.7600|75.8000|612620|0.0200|0.4000|0.0200|BULLISH
DXCM|2025-09-10 19:30|75.8150|76.2100|75.7900|75.9900|1154467|0.1750|0.2200|0.0250|BULLISH
DXCM|2025-09-11 13:30|76.1700|77.9300|76.1700|77.0900|801218|0.9200|0.8400|0.0000|BULLISH
DXCM|2025-09-11 14:30|77.1000|77.2900|76.1500|76.2650|263583|0.8350|0.1900|0.1150|BEARISH
DXCM|2025-09-11 15:30|76.2750|77.1350|75.8500|77.0850|2378604|0.8100|0.0500|0.4250|BULLISH
DXCM|2025-09-11 16:30|77.0800|77.1400|76.5100|76.6800|343655|0.4000|0.0600|0.1700|BEARISH
DXCM|2025-09-11 17:30|76.6800|76.9450|76.4600|76.5000|412142|0.1800|0.2650|0.0400|BEARISH
DXCM|2025-09-11 18:30|76.5050|76.6600|76.3300|76.4100|347536|0.0950|0.1550|0.0800|BEARISH
DXCM|2025-09-11 19:30|76.4080|76.4200|75.8900|75.9850|1053468|0.4230|0.0120|0.0950|BEARISH
DXCM|2025-09-12 13:30|75.7700|76.0400|75.3900|75.6305|273857|0.1395|0.2700|0.2405|BEARISH
DXCM|2025-09-12 14:30|75.5501|75.9100|75.5160|75.5800|168544|0.0299|0.3300|0.0341|BULLISH
DXCM|2025-09-12 15:30|75.5800|76.6900|75.4900|76.3800|358426|0.8000|0.3100|0.0900|BULLISH
DXCM|2025-09-12 16:30|76.3925|76.4500|76.1500|76.1800|204196|0.2125|0.0575|0.0300|BEARISH
DXCM|2025-09-12 17:30|76.1700|76.5200|75.9100|76.4400|217468|0.2700|0.0800|0.2600|BULLISH
DXCM|2025-09-12 18:30|76.4700|76.5900|76.1000|76.2700|333283|0.2000|0.1200|0.1700|BEARISH
DXCM|2025-09-12 19:30|76.2700|76.3700|75.9950|76.2300|705188|0.0400|0.1000|0.2350|BEARISH
DXCM|2025-09-15 13:30|76.4400|78.9600|76.3150|77.5200|496504|1.0800|1.4400|0.1250|BULLISH
DXCM|2025-09-15 14:30|77.4950|77.8000|76.3500|76.5650|498588|0.9300|0.3050|0.2150|BEARISH
DXCM|2025-09-15 15:30|76.5100|76.8600|76.4500|76.6600|372276|0.1500|0.2000|0.0600|BULLISH
DXCM|2025-09-15 16:30|76.6300|76.9000|76.2600|76.3100|257310|0.3200|0.2700|0.0500|BEARISH
DXCM|2025-09-15 17:30|76.3215|76.6500|75.5800|75.5950|371510|0.7265|0.3285|0.0150|BEARISH
DXCM|2025-09-15 18:30|75.6008|76.3300|75.5850|76.0400|247027|0.4392|0.2900|0.0158|BULLISH
DXCM|2025-09-15 19:30|76.0000|76.0230|75.5300|75.5700|417421|0.4300|0.0230|0.0400|BEARISH
DXCM|2025-09-16 13:30|75.7900|77.7300|75.6100|77.5550|468573|1.7650|0.1750|0.1800|BULLISH
DXCM|2025-09-16 14:30|77.5550|77.5550|76.8850|77.1300|414796|0.4250|0.0000|0.2450|BEARISH
DXCM|2025-09-16 15:30|77.1300|77.3200|76.5800|76.6550|296656|0.4750|0.1900|0.0750|BEARISH
