Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
EA|2025-09-02 13:30|170.0000|172.9500|169.7975|172.9050|485322|2.9050|0.0450|0.2025|BULLISH
EA|2025-09-02 14:30|172.9050|173.2600|172.3300|172.4100|234888|0.4950|0.3550|0.0800|BEARISH
EA|2025-09-02 15:30|172.4400|172.4400|171.4350|171.4350|159108|1.0050|0.0000|0.0000|BEARISH
EA|2025-09-02 16:30|171.4400|171.8300|171.1900|171.2700|181880|0.1700|0.3900|0.0800|BEARISH
EA|2025-09-02 17:30|171.2600|171.9300|171.2600|171.6800|175582|0.4200|0.2500|0.0000|BULLISH
EA|2025-09-02 18:30|171.6600|171.9900|171.3300|171.9650|279415|0.3050|0.0250|0.3300|BULLISH
EA|2025-09-02 19:30|171.9400|171.9650|171.1400|171.4100|406838|0.5300|0.0250|0.2700|BEARISH
EA|2025-09-03 13:30|171.3775|171.8800|168.9200|168.9350|398989|2.4425|0.5025|0.0150|BEARISH
EA|2025-09-03 14:30|168.9300|169.3900|168.3500|169.0500|289896|0.1200|0.3400|0.5800|BULLISH
EA|2025-09-03 15:30|169.1200|169.1200|168.0400|168.2100|232075|0.9100|0.0000|0.1700|BEARISH
EA|2025-09-03 16:30|168.2700|168.5350|167.5000|168.2300|207539|0.0400|0.2650|0.7300|BEARISH
EA|2025-09-03 17:30|168.1700|168.9600|168.0500|168.9100|241590|0.7400|0.0500|0.1200|BULLISH
EA|2025-09-03 18:30|168.8800|168.9050|167.6600|167.8100|287910|1.0700|0.0250|0.1500|BEARISH
EA|2025-09-03 19:30|167.7900|168.1400|167.7250|167.8500|586653|0.0600|0.2900|0.0650|BULLISH
EA|2025-09-04 13:30|168.1700|168.2050|165.5300|166.1500|370970|2.0200|0.0350|0.6200|BEARISH
EA|2025-09-04 14:30|165.9800|167.1700|165.8500|167.0400|287153|1.0600|0.1300|0.1300|BULLISH
EA|2025-09-04 15:30|167.1000|167.3900|166.4850|166.7050|484919|0.3950|0.2900|0.2200|BEARISH
EA|2025-09-04 16:30|166.7050|168.0700|166.6800|168.0700|663873|1.3650|0.0000|0.0250|BULLISH
EA|2025-09-04 17:30|168.0700|168.2900|167.5550|168.0900|224670|0.0200|0.2000|0.5150|BULLISH
EA|2025-09-04 18:30|168.1300|168.2847|167.4800|167.5150|297220|0.6150|0.1547|0.0350|BEARISH
EA|2025-09-04 19:30|167.5600|168.1500|167.3900|168.0200|470941|0.4600|0.1300|0.1700|BULLISH
EA|2025-09-05 13:30|168.8400|169.1500|167.4000|167.4300|301551|1.4100|0.3100|0.0300|BEARISH
EA|2025-09-05 14:30|167.3800|167.4600|166.7750|167.3700|195473|0.0100|0.0800|0.5950|BEARISH
EA|2025-09-05 15:30|167.3600|167.7550|167.0500|167.6300|139551|0.2700|0.1250|0.3100|BULLISH
EA|2025-09-05 16:30|167.5800|168.4500|167.4600|168.4300|167772|0.8500|0.0200|0.1200|BULLISH
EA|2025-09-05 17:30|168.4900|168.7900|168.0000|168.5111|165459|0.0211|0.2789|0.4900|BULLISH
EA|2025-09-05 18:30|168.5900|169.3200|168.5800|169.2650|188040|0.6750|0.0550|0.0100|BULLISH
EA|2025-09-05 19:30|169.2650|169.2700|168.2700|168.6500|404248|0.6150|0.0050|0.3800|BEARISH
EA|2025-09-08 13:30|169.4400|170.1250|168.5600|168.8300|277724|0.6100|0.6850|0.2700|BEARISH
EA|2025-09-08 14:30|168.8150|169.1600|168.5900|169.0600|171418|0.2450|0.1000|0.2250|BULLISH
EA|2025-09-08 15:30|169.0900|169.4700|168.7600|169.4700|140855|0.3800|0.0000|0.3300|BULLISH
EA|2025-09-08 16:30|169.5300|169.5700|168.7500|168.9850|116448|0.5450|0.0400|0.2350|BEARISH
EA|2025-09-08 17:30|168.9850|169.0850|168.4750|168.4850|114067|0.5000|0.1000|0.0100|BEARISH
EA|2025-09-08 18:30|168.4900|168.4900|167.4200|167.4700|193058|1.0200|0.0000|0.0500|BEARISH
EA|2025-09-08 19:30|167.4900|168.1800|167.1800|168.0400|338316|0.5500|0.1400|0.3100|BULLISH
EA|2025-09-09 13:30|168.3200|168.3200|165.9800|166.8450|316950|1.4750|0.0000|0.8650|BEARISH
EA|2025-09-09 14:30|166.8300|167.7600|166.6500|167.0800|172987|0.2500|0.6800|0.1800|BULLISH
EA|2025-09-09 15:30|167.1100|167.1616|166.1600|166.3300|106967|0.7800|0.0516|0.1700|BEARISH
EA|2025-09-09 16:30|166.3300|166.7000|166.0950|166.7000|111561|0.3700|0.0000|0.2350|BULLISH
EA|2025-09-09 17:30|166.7100|167.2300|166.5000|166.8928|106659|0.1828|0.3372|0.2100|BULLISH
EA|2025-09-09 18:30|166.8750|167.3000|166.7900|167.0050|250959|0.1300|0.2950|0.0850|BULLISH
EA|2025-09-09 19:30|166.9800|166.9850|165.9600|166.0400|513458|0.9400|0.0050|0.0800|BEARISH
EA|2025-09-10 13:30|165.8100|169.4300|164.5000|169.3950|512289|3.5850|0.0350|1.3100|BULLISH
EA|2025-09-10 14:30|169.3900|169.6300|168.3950|168.5150|301398|0.8750|0.2400|0.1200|BEARISH
EA|2025-09-10 15:30|168.5500|169.2000|168.2200|168.6650|283791|0.1150|0.5350|0.3300|BULLISH
EA|2025-09-10 16:30|168.6650|169.5600|168.6100|169.2750|298358|0.6100|0.2850|0.0550|BULLISH
EA|2025-09-10 17:30|169.2800|169.8000|169.1000|169.7300|188901|0.4500|0.0700|0.1800|BULLISH
EA|2025-09-10 18:30|169.7550|169.9000|169.2200|169.5650|230953|0.1900|0.1450|0.3450|BEARISH
EA|2025-09-10 19:30|169.5700|170.3500|169.5700|170.3000|532224|0.7300|0.0500|0.0000|BULLISH
EA|2025-09-11 13:30|171.0750|171.2600|169.7100|170.5300|342125|0.5450|0.1850|0.8200|BEARISH
EA|2025-09-11 14:30|170.5200|170.6000|168.6500|169.0900|392703|1.4300|0.0800|0.4400|BEARISH
EA|2025-09-11 15:30|169.1000|169.7800|168.7000|169.3050|329791|0.2050|0.4750|0.4000|BULLISH
EA|2025-09-11 16:30|169.3000|169.7300|168.9550|169.6900|192811|0.3900|0.0400|0.3450|BULLISH
EA|2025-09-11 17:30|169.6900|169.7700|168.5300|168.6750|200500|1.0150|0.0800|0.1450|BEARISH
EA|2025-09-11 18:30|168.6850|169.7900|168.6850|169.3300|219542|0.6450|0.4600|0.0000|BULLISH
EA|2025-09-11 19:30|169.4000|170.3300|169.4000|169.8300|356113|0.4300|0.5000|0.0000|BULLISH
EA|2025-09-12 13:30|169.2600|172.4600|169.0800|170.6200|258279|1.3600|1.8400|0.1800|BULLISH
EA|2025-09-12 14:30|170.5500|171.9150|170.3000|171.7800|179329|1.2300|0.1350|0.2500|BULLISH
EA|2025-09-12 15:30|171.7800|171.8100|170.7100|170.7400|175249|1.0400|0.0300|0.0300|BEARISH
EA|2025-09-12 16:30|170.7496|171.5900|170.7400|171.4600|152946|0.7104|0.1300|0.0096|BULLISH
EA|2025-09-12 17:30|171.4700|171.9150|171.4100|171.6900|164235|0.2200|0.2250|0.0600|BULLISH
EA|2025-09-12 18:30|171.6650|172.4800|171.6650|172.4800|178591|0.8150|0.0000|0.0000|BULLISH
EA|2025-09-12 19:30|172.5200|173.0300|172.1650|172.3800|532063|0.1400|0.5100|0.2150|BEARISH
EA|2025-09-15 13:30|171.5200|172.5000|170.7300|171.6900|220628|0.1700|0.8100|0.7900|BULLISH
