Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
EBAY|2025-09-02 13:30|89.4200|90.6800|89.1554|90.3235|1342509|0.9035|0.3565|0.2646|BULLISH
EBAY|2025-09-02 14:30|90.3100|90.5800|90.0400|90.0600|546885|0.2500|0.2700|0.0200|BEARISH
EBAY|2025-09-02 15:30|90.0500|90.1300|89.5900|89.6100|463956|0.4400|0.0800|0.0200|BEARISH
EBAY|2025-09-02 16:30|89.6150|89.9500|89.4400|89.9250|481184|0.3100|0.0250|0.1750|BULLISH
EBAY|2025-09-02 17:30|89.9307|90.2450|89.6100|89.7700|574425|0.1607|0.3143|0.1600|BEARISH
EBAY|2025-09-02 18:30|89.7670|90.0900|89.6538|89.9600|601323|0.1930|0.1300|0.1132|BULLISH
EBAY|2025-09-02 19:30|89.9600|90.0200|89.8000|89.8800|971550|0.0800|0.0600|0.0800|BEARISH
EBAY|2025-09-03 13:30|89.2000|89.3200|87.9500|89.2325|1083980|0.0325|0.0875|1.2500|BULLISH
EBAY|2025-09-03 14:30|89.2500|90.1000|89.1400|89.8200|498761|0.5700|0.2800|0.1100|BULLISH
EBAY|2025-09-03 15:30|89.8400|89.8600|89.3300|89.4400|353125|0.4000|0.0200|0.1100|BEARISH
EBAY|2025-09-03 16:30|89.4252|89.7200|89.2900|89.5950|264065|0.1698|0.1250|0.1352|BULLISH
EBAY|2025-09-03 17:30|89.6100|89.8800|89.3200|89.6700|288651|0.0600|0.2100|0.2900|BULLISH
EBAY|2025-09-03 18:30|89.6500|89.8600|89.5200|89.8400|474356|0.1900|0.0200|0.1300|BULLISH
EBAY|2025-09-03 19:30|89.8400|90.1650|89.8300|90.1500|918845|0.3100|0.0150|0.0100|BULLISH
EBAY|2025-09-04 13:30|90.7200|91.6900|90.4900|91.6700|647060|0.9500|0.0200|0.2300|BULLISH
EBAY|2025-09-04 14:30|91.6400|92.3600|91.6000|92.2400|467117|0.6000|0.1200|0.0400|BULLISH
EBAY|2025-09-04 15:30|92.2400|92.3350|91.9800|92.2350|311276|0.0050|0.0950|0.2550|BEARISH
EBAY|2025-09-04 16:30|92.2500|92.5500|92.2500|92.5500|322249|0.3000|0.0000|0.0000|BULLISH
