Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
EG|2025-09-02 13:30|341.5200|346.0000|339.9300|344.7200|42705|3.2000|1.2800|1.5900|BULLISH
EG|2025-09-02 14:30|344.6250|345.4600|342.8750|344.2100|36508|0.4150|0.8350|1.3350|BEARISH
EG|2025-09-02 15:30|344.1500|344.4300|342.0450|342.2900|22205|1.8600|0.2800|0.2450|BEARISH
EG|2025-09-02 16:30|342.1700|343.3900|341.6800|343.3900|33856|1.2200|0.0000|0.4900|BULLISH
EG|2025-09-02 17:30|343.5000|344.2600|342.9800|344.2600|53918|0.7600|0.0000|0.5200|BULLISH
EG|2025-09-02 18:30|344.2400|345.1600|343.0150|344.8000|70680|0.5600|0.3600|1.2250|BULLISH
EG|2025-09-02 19:30|344.9600|345.5500|344.7000|345.5500|94075|0.5900|0.0000|0.2600|BULLISH
EG|2025-09-03 13:30|342.0000|345.3600|341.7300|341.9150|34424|0.0850|3.3600|0.1850|BEARISH
EG|2025-09-03 14:30|341.7250|343.3800|341.1000|343.0200|27741|1.2950|0.3600|0.6250|BULLISH
EG|2025-09-03 15:30|343.0950|343.6800|342.5140|343.4550|40253|0.3600|0.2250|0.5810|BULLISH
EG|2025-09-03 16:30|343.8000|346.4200|343.7300|346.3500|45097|2.5500|0.0700|0.0700|BULLISH
EG|2025-09-03 17:30|346.3900|347.7600|346.1250|347.7600|46106|1.3700|0.0000|0.2650|BULLISH
EG|2025-09-03 18:30|347.5000|347.9600|346.5600|347.1300|66196|0.3700|0.4600|0.5700|BEARISH
EG|2025-09-03 19:30|346.9050|349.7400|346.8800|348.6000|167333|1.6950|1.1400|0.0250|BULLISH
EG|2025-09-04 13:30|350.0000|351.7550|347.5810|347.9400|38073|2.0600|1.7550|0.3590|BEARISH
EG|2025-09-04 14:30|348.0000|348.6600|347.3000|348.5000|35181|0.5000|0.1600|0.7000|BULLISH
EG|2025-09-04 15:30|348.2500|348.5100|347.5500|347.8300|26389|0.4200|0.2600|0.2800|BEARISH
EG|2025-09-04 16:30|348.1300|348.1300|346.0950|347.3650|24042|0.7650|0.0000|1.2700|BEARISH
EG|2025-09-04 17:30|347.3650|347.3650|346.3500|346.5600|22253|0.8050|0.0000|0.2100|BEARISH
EG|2025-09-04 18:30|346.4600|346.4600|344.9400|344.9800|35289|1.4800|0.0000|0.0400|BEARISH
EG|2025-09-04 19:30|345.1200|345.6300|344.9300|345.2300|69600|0.1100|0.4000|0.1900|BULLISH
EG|2025-09-05 13:30|343.6000|345.2650|342.8900|342.8900|14640|0.7100|1.6650|0.0000|BEARISH
EG|2025-09-05 14:30|342.9600|342.9600|340.5500|341.1300|20872|1.8300|0.0000|0.5800|BEARISH
EG|2025-09-05 15:30|341.4300|341.4300|340.1600|341.2000|11871|0.2300|0.0000|1.0400|BEARISH
EG|2025-09-05 16:30|340.9350|341.3000|340.1400|340.1400|11418|0.7950|0.3650|0.0000|BEARISH
EG|2025-09-05 17:30|340.3400|340.9200|339.3900|340.2700|20373|0.0700|0.5800|0.8800|BEARISH
EG|2025-09-05 18:30|340.4600|341.1700|340.2000|340.6450|19529|0.1850|0.5250|0.2600|BULLISH
EG|2025-09-05 19:30|340.6000|340.7900|339.6900|340.0500|46257|0.5500|0.1900|0.3600|BEARISH
EG|2025-09-08 13:30|338.7900|340.2950|334.6500|335.4425|25810|3.3475|1.5050|0.7925|BEARISH
EG|2025-09-08 14:30|336.0800|338.9100|335.5975|338.7600|26177|2.6800|0.1500|0.4825|BULLISH
EG|2025-09-08 15:30|338.6000|338.8250|337.5450|338.4900|20426|0.1100|0.2250|0.9450|BEARISH
EG|2025-09-08 16:30|338.5050|338.9499|338.1500|338.7700|17501|0.2650|0.1799|0.3550|BULLISH
