Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
EIX|2025-09-02 13:30|55.5100|56.5000|54.9000|55.8900|546757|0.3800|0.6100|0.6100|BULLISH
EIX|2025-09-02 14:30|55.8945|55.9400|55.4500|55.5600|430846|0.3345|0.0455|0.1100|BEARISH
EIX|2025-09-02 15:30|55.5600|55.5900|55.1300|55.1400|241294|0.4200|0.0300|0.0100|BEARISH
EIX|2025-09-02 16:30|55.1200|55.4800|55.0850|55.4600|159778|0.3400|0.0200|0.0350|BULLISH
EIX|2025-09-02 17:30|55.4550|55.5900|55.4300|55.4700|138743|0.0150|0.1200|0.0250|BULLISH
EIX|2025-09-02 18:30|55.4736|55.4900|55.3600|55.4400|268007|0.0336|0.0164|0.0800|BEARISH
EIX|2025-09-02 19:30|55.4300|55.7900|55.4100|55.7900|481607|0.3600|0.0000|0.0200|BULLISH
EIX|2025-09-03 13:30|56.0600|56.4300|55.1000|55.1000|1372331|0.9600|0.3700|0.0000|BEARISH
EIX|2025-09-03 14:30|55.1300|55.5100|55.1300|55.2750|200385|0.1450|0.2350|0.0000|BULLISH
EIX|2025-09-03 15:30|55.3000|55.3700|55.0300|55.1000|193164|0.2000|0.0700|0.0700|BEARISH
EIX|2025-09-03 16:30|55.1000|55.3300|55.0500|55.2100|142412|0.1100|0.1200|0.0500|BULLISH
EIX|2025-09-03 17:30|55.2100|55.4600|55.0400|55.3800|164508|0.1700|0.0800|0.1700|BULLISH
EIX|2025-09-03 18:30|55.3710|55.4300|55.1300|55.1400|171346|0.2310|0.0590|0.0100|BEARISH
EIX|2025-09-03 19:30|55.1400|55.4500|55.0950|55.3500|535907|0.2100|0.1000|0.0450|BULLISH
EIX|2025-09-04 13:30|55.7100|55.9300|55.0743|55.2450|235959|0.4650|0.2200|0.1707|BEARISH
EIX|2025-09-04 14:30|55.2300|55.3300|54.8850|54.9000|266872|0.3300|0.1000|0.0150|BEARISH
EIX|2025-09-04 15:30|54.8900|54.8900|53.4190|54.5050|1188834|0.3850|0.0000|1.0860|BEARISH
EIX|2025-09-04 16:30|54.5300|54.7300|54.3100|54.7300|288877|0.2000|0.0000|0.2200|BULLISH
EIX|2025-09-04 17:30|54.7150|54.7200|54.1900|54.2800|253729|0.4350|0.0050|0.0900|BEARISH
EIX|2025-09-04 18:30|54.2800|54.6300|54.2100|54.5300|285658|0.2500|0.1000|0.0700|BULLISH
EIX|2025-09-04 19:30|54.5400|54.7866|54.4110|54.6700|492002|0.1300|0.1166|0.1290|BULLISH
EIX|2025-09-05 13:30|54.7000|54.9500|54.4000|54.5600|269528|0.1400|0.2500|0.1600|BEARISH
EIX|2025-09-05 14:30|54.5471|54.5800|54.1300|54.3800|174296|0.1671|0.0329|0.2500|BEARISH
EIX|2025-09-05 15:30|54.4100|54.4400|54.1600|54.2500|92237|0.1600|0.0300|0.0900|BEARISH
EIX|2025-09-05 16:30|54.2500|54.5000|54.2400|54.4250|104005|0.1750|0.0750|0.0100|BULLISH
EIX|2025-09-05 17:30|54.4350|54.4600|54.2900|54.3495|95675|0.0855|0.0250|0.0595|BEARISH
EIX|2025-09-05 18:30|54.3317|54.5300|54.2750|54.2800|137727|0.0517|0.1983|0.0050|BEARISH
EIX|2025-09-05 19:30|54.2800|54.5850|54.2250|54.4700|418569|0.1900|0.1150|0.0550|BULLISH
EIX|2025-09-08 13:30|54.4500|55.1500|53.7301|53.7400|467233|0.7100|0.7000|0.0099|BEARISH
EIX|2025-09-08 14:30|53.7150|53.7745|53.3800|53.5300|310271|0.1850|0.0595|0.1500|BEARISH
EIX|2025-09-08 15:30|53.5300|53.5950|53.2805|53.4561|209738|0.0739|0.0650|0.1756|BEARISH
EIX|2025-09-08 16:30|53.4700|53.6050|53.3700|53.5750|236165|0.1050|0.0300|0.1000|BULLISH
EIX|2025-09-08 17:30|53.5750|53.6550|53.2400|53.2500|259011|0.3250|0.0800|0.0100|BEARISH
EIX|2025-09-08 18:30|53.2500|53.3800|53.1150|53.1800|428846|0.0700|0.1300|0.0650|BEARISH
EIX|2025-09-08 19:30|53.1800|53.3800|53.0000|53.3150|659405|0.1350|0.0650|0.1800|BULLISH
EIX|2025-09-09 13:30|53.3400|53.9500|52.9550|53.8700|290640|0.5300|0.0800|0.3850|BULLISH
EIX|2025-09-09 14:30|53.8600|54.2400|53.7600|54.1400|338375|0.2800|0.1000|0.1000|BULLISH
EIX|2025-09-09 15:30|54.1400|54.5750|54.0600|54.5000|323131|0.3600|0.0750|0.0800|BULLISH
EIX|2025-09-09 16:30|54.4900|54.6700|54.4000|54.5000|236060|0.0100|0.1700|0.0900|BULLISH
EIX|2025-09-09 17:30|54.5000|54.5500|54.2300|54.3300|271104|0.1700|0.0500|0.1000|BEARISH
EIX|2025-09-09 18:30|54.3200|54.5000|54.2700|54.4900|414680|0.1700|0.0100|0.0500|BULLISH
EIX|2025-09-09 19:30|54.4900|55.0400|54.4300|54.7900|1252806|0.3000|0.2500|0.0600|BULLISH
EIX|2025-09-10 13:30|54.5700|54.6550|54.0974|54.6050|645622|0.0350|0.0500|0.4726|BULLISH
EIX|2025-09-10 14:30|54.5850|54.5850|53.7400|54.1300|550448|0.4550|0.0000|0.3900|BEARISH
EIX|2025-09-10 15:30|54.1200|56.4200|54.0500|55.1200|2168416|1.0000|1.3000|0.0700|BULLISH
EIX|2025-09-10 16:30|55.0800|55.8300|54.7100|55.0600|1192313|0.0200|0.7500|0.3500|BEARISH
EIX|2025-09-10 17:30|55.0900|55.8900|55.0400|55.6900|670998|0.6000|0.2000|0.0500|BULLISH
EIX|2025-09-10 18:30|55.6825|56.0000|55.5770|55.8150|637683|0.1325|0.1850|0.1055|BULLISH
EIX|2025-09-10 19:30|55.8100|55.8550|55.5700|55.5800|1053931|0.2300|0.0450|0.0100|BEARISH
EIX|2025-09-11 13:30|55.2600|57.3600|55.2600|56.8200|825980|1.5600|0.5400|0.0000|BULLISH
EIX|2025-09-11 14:30|56.8600|57.0400|55.8200|55.8800|730677|0.9800|0.1800|0.0600|BEARISH
EIX|2025-09-11 15:30|55.8750|56.1450|55.4250|55.8200|371160|0.0550|0.2700|0.3950|BEARISH
EIX|2025-09-11 16:30|55.8200|55.8200|55.3050|55.3950|335725|0.4250|0.0000|0.0900|BEARISH
EIX|2025-09-11 17:30|55.3950|55.8200|55.2400|55.7265|284369|0.3315|0.0935|0.1550|BULLISH
EIX|2025-09-11 18:30|55.7400|56.0300|55.6200|55.9610|371691|0.2210|0.0690|0.1200|BULLISH
EIX|2025-09-11 19:30|55.9650|56.3000|55.9600|56.2100|723242|0.2450|0.0900|0.0050|BULLISH
EIX|2025-09-12 13:30|56.0800|56.6200|55.9200|56.5850|224735|0.5050|0.0350|0.1600|BULLISH
EIX|2025-09-12 14:30|56.6300|56.7800|56.3500|56.3800|412365|0.2500|0.1500|0.0300|BEARISH
EIX|2025-09-12 15:30|56.4000|56.5200|56.2650|56.3400|146512|0.0600|0.1200|0.0750|BEARISH
EIX|2025-09-12 16:30|56.3300|56.3500|56.0600|56.1600|155057|0.1700|0.0200|0.1000|BEARISH
EIX|2025-09-12 17:30|56.1550|56.3400|56.0300|56.1250|171943|0.0300|0.1850|0.0950|BEARISH
EIX|2025-09-12 18:30|56.1400|56.4300|56.1200|56.2700|228758|0.1300|0.1600|0.0200|BULLISH
EIX|2025-09-12 19:30|56.2800|56.3900|56.1800|56.2100|437112|0.0700|0.1100|0.0300|BEARISH
EIX|2025-09-15 13:30|56.6500|57.0000|56.1900|56.6150|312209|0.0350|0.3500|0.4250|BEARISH
EIX|2025-09-15 14:30|56.6100|56.6100|55.9700|55.9800|323202|0.6300|0.0000|0.0100|BEARISH
EIX|2025-09-15 15:30|56.0200|56.2000|55.9200|55.9400|440161|0.0800|0.1800|0.0200|BEARISH
EIX|2025-09-15 16:30|55.9300|56.1400|55.9200|55.9950|205352|0.0650|0.1450|0.0100|BULLISH
EIX|2025-09-15 17:30|55.9900|56.1000|55.8150|55.9700|233021|0.0200|0.1100|0.1550|BEARISH
EIX|2025-09-15 18:30|55.9400|56.1900|55.7850|55.9600|403522|0.0200|0.2300|0.1550|BULLISH
EIX|2025-09-15 19:30|55.9600|55.9600|55.7500|55.8900|458367|0.0700|0.0000|0.1400|BEARISH
EIX|2025-09-16 13:30|56.0000|56.2200|55.3350|55.4700|294995|0.5300|0.2200|0.1350|BEARISH
EIX|2025-09-16 14:30|55.4550|56.0400|55.4550|55.7600|269201|0.3050|0.2800|0.0000|BULLISH
EIX|2025-09-16 15:30|55.7700|56.0286|55.5700|55.6000|137344|0.1700|0.2586|0.0300|BEARISH
EIX|2025-09-16 16:30|55.6100|55.8900|55.5400|55.8500|168376|0.2400|0.0400|0.0700|BULLISH
EIX|2025-09-16 17:30|55.8307|55.9800|55.3500|55.4100|225261|0.4207|0.1493|0.0600|BEARISH
EIX|2025-09-16 18:30|55.4200|55.4500|55.1500|55.1700|220153|0.2500|0.0300|0.0200|BEARISH
EIX|2025-09-16 19:30|55.1400|55.2700|54.8800|55.1500|738052|0.0100|0.1200|0.2600|BULLISH
EIX|2025-09-17 13:30|55.6000|56.6200|55.6000|56.2800|296909|0.6800|0.3400|0.0000|BULLISH
EIX|2025-09-17 14:30|56.2500|56.5722|56.1900|56.2000|248890|0.0500|0.3222|0.0100|BEARISH
EIX|2025-09-17 15:30|56.2000|56.2700|55.9150|55.9350|163289|0.2650|0.0700|0.0200|BEARISH
EIX|2025-09-17 16:30|55.9500|55.9700|55.5500|55.6300|180438|0.3200|0.0200|0.0800|BEARISH
EIX|2025-09-17 17:30|55.6350|56.2643|55.5700|56.2643|235175|0.6293|0.0000|0.0650|BULLISH
EIX|2025-09-17 18:30|56.2700|56.2900|55.4950|55.6800|292844|0.5900|0.0200|0.1850|BEARISH
EIX|2025-09-17 19:30|55.6700|55.8150|55.5300|55.5600|398106|0.1100|0.1450|0.0300|BEARISH
EIX|2025-09-18 13:30|55.6100|55.8200|54.8450|55.6800|344233|0.0700|0.1400|0.7650|BULLISH
EIX|2025-09-18 14:30|55.6700|55.6700|55.0500|55.4250|206243|0.2450|0.0000|0.3750|BEARISH
EIX|2025-09-18 15:30|55.4250|55.6500|55.3350|55.5400|143999|0.1150|0.1100|0.0900|BULLISH
EIX|2025-09-18 16:30|55.5400|55.7600|55.5000|55.5600|105086|0.0200|0.2000|0.0400|BULLISH
EIX|2025-09-18 17:30|55.5800|55.6100|55.4000|55.4150|120985|0.1650|0.0300|0.0150|BEARISH
EIX|2025-09-18 18:30|55.4200|55.6300|55.3850|55.5300|180696|0.1100|0.1000|0.0350|BULLISH
EIX|2025-09-18 19:30|55.5250|55.7100|55.3900|55.5800|315013|0.0550|0.1300|0.1350|BULLISH
EIX|2025-09-19 13:30|55.8600|56.5000|55.5700|56.1200|938942|0.2600|0.3800|0.2900|BULLISH
EIX|2025-09-19 14:30|56.1300|56.3600|55.4650|55.4650|242217|0.6650|0.2300|0.0000|BEARISH
EIX|2025-09-19 15:30|55.4650|55.8000|55.3700|55.6600|223956|0.1950|0.1400|0.0950|BULLISH
EIX|2025-09-19 16:30|55.6500|55.7700|55.4600|55.6000|154797|0.0500|0.1200|0.1400|BEARISH
EIX|2025-09-19 17:30|55.6100|55.7600|55.4650|55.6400|168566|0.0300|0.1200|0.1450|BULLISH
EIX|2025-09-19 18:30|55.6550|55.8100|55.5299|55.7700|237426|0.1150|0.0400|0.1251|BULLISH
EIX|2025-09-19 19:30|55.7700|55.9300|55.6300|55.6500|617777|0.1200|0.1600|0.0200|BEARISH
EIX|2025-09-22 13:30|55.4700|55.4700|54.3250|54.3488|733649|1.1212|0.0000|0.0238|BEARISH
EIX|2025-09-22 14:30|54.3400|54.3700|54.0500|54.0900|374629|0.2500|0.0300|0.0400|BEARISH
EIX|2025-09-22 15:30|54.0950|54.1450|53.7500|53.8699|417260|0.2251|0.0500|0.1199|BEARISH
EIX|2025-09-22 16:30|53.8500|54.2347|53.8300|54.1600|293726|0.3100|0.0747|0.0200|BULLISH
EIX|2025-09-22 17:30|54.1550|54.3000|54.0800|54.2150|164525|0.0600|0.0850|0.0750|BULLISH
