Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
ELV|2025-09-02 13:30|319.4900|324.1000|317.7500|322.2400|316949|2.7500|1.8600|1.7400|BULLISH
ELV|2025-09-02 14:30|322.2950|325.2300|322.2950|324.1650|237034|1.8700|1.0650|0.0000|BULLISH
ELV|2025-09-02 15:30|324.2200|325.6550|323.5300|323.5300|147158|0.6900|1.4350|0.0000|BEARISH
ELV|2025-09-02 16:30|323.6700|323.6800|321.6002|321.6800|124150|1.9900|0.0100|0.0798|BEARISH
ELV|2025-09-02 17:30|321.8100|322.2700|321.1900|321.7500|133263|0.0600|0.4600|0.5600|BEARISH
ELV|2025-09-02 18:30|321.6400|321.7800|320.5900|321.7400|194359|0.1000|0.0400|1.0500|BULLISH
ELV|2025-09-02 19:30|321.7400|322.2500|321.0100|322.2500|343822|0.5100|0.0000|0.7300|BULLISH
ELV|2025-09-03 13:30|319.6600|323.9550|317.4600|318.0000|280915|1.6600|4.2950|0.5400|BEARISH
ELV|2025-09-03 14:30|318.0800|320.0000|318.0000|319.4400|195717|1.3600|0.5600|0.0800|BULLISH
ELV|2025-09-03 15:30|319.5600|319.7599|318.6300|319.2900|115541|0.2700|0.1999|0.6600|BEARISH
ELV|2025-09-03 16:30|319.2800|320.9600|319.1100|320.9600|146592|1.6800|0.0000|0.1700|BULLISH
ELV|2025-09-03 17:30|320.9790|321.6500|320.6200|321.3100|131774|0.3310|0.3400|0.3590|BULLISH
ELV|2025-09-03 18:30|321.2100|322.0100|320.7800|320.7800|149180|0.4300|0.8000|0.0000|BEARISH
ELV|2025-09-03 19:30|320.8600|322.0800|320.7800|321.7300|270283|0.8700|0.3500|0.0800|BULLISH
ELV|2025-09-04 13:30|308.6000|313.8500|306.3750|311.4650|842134|2.8650|2.3850|2.2250|BULLISH
ELV|2025-09-04 14:30|311.4300|311.5250|308.2000|308.7600|314876|2.6700|0.0950|0.5600|BEARISH
ELV|2025-09-04 15:30|308.8300|311.6000|308.6950|311.4200|216276|2.5900|0.1800|0.1350|BULLISH
ELV|2025-09-04 16:30|311.4250|311.6400|309.5300|309.6500|203336|1.7750|0.2150|0.1200|BEARISH
ELV|2025-09-04 17:30|309.6800|310.3650|308.2250|308.3250|237577|1.3550|0.6850|0.1000|BEARISH
ELV|2025-09-04 18:30|308.3200|308.5600|307.1400|307.5772|285386|0.7428|0.2400|0.4372|BEARISH
ELV|2025-09-04 19:30|307.5900|308.4915|307.2200|308.0100|450248|0.4200|0.4815|0.3700|BULLISH
ELV|2025-09-05 13:30|308.5000|314.4150|304.1600|311.0100|364112|2.5100|3.4050|4.3400|BULLISH
ELV|2025-09-05 14:30|311.0100|314.0000|310.4900|313.7300|151131|2.7200|0.2700|0.5200|BULLISH
ELV|2025-09-05 15:30|313.6000|314.5750|313.2300|314.3200|92743|0.7200|0.2550|0.3700|BULLISH
ELV|2025-09-05 16:30|314.3750|315.2674|313.7200|314.3100|133171|0.0650|0.8924|0.5900|BEARISH
ELV|2025-09-05 17:30|314.4400|314.7800|312.8900|312.9650|82875|1.4750|0.3400|0.0750|BEARISH
ELV|2025-09-05 18:30|313.0000|314.8600|312.7500|314.1000|183680|1.1000|0.7600|0.2500|BULLISH
ELV|2025-09-05 19:30|314.1400|314.8000|313.3000|313.5900|305438|0.5500|0.6600|0.2900|BEARISH
ELV|2025-09-08 13:30|315.6200|318.1250|308.0000|308.8600|246592|6.7600|2.5050|0.8600|BEARISH
ELV|2025-09-08 14:30|308.9800|310.5175|308.4000|308.7400|169196|0.2400|1.5375|0.3400|BEARISH
ELV|2025-09-08 15:30|308.6000|309.1300|308.1650|308.2100|151544|0.3900|0.5300|0.0450|BEARISH
ELV|2025-09-08 16:30|308.3400|310.2150|308.1200|309.7700|148657|1.4300|0.4450|0.2200|BULLISH
ELV|2025-09-08 17:30|309.9050|310.0200|307.8800|308.5650|217813|1.3400|0.1150|0.6850|BEARISH
ELV|2025-09-08 18:30|308.5000|308.8400|306.6966|306.7550|341868|1.7450|0.3400|0.0584|BEARISH
ELV|2025-09-08 19:30|306.8700|308.3000|306.7950|308.1800|467659|1.3100|0.1200|0.0750|BULLISH
ELV|2025-09-09 13:30|311.1550|313.0000|309.3000|311.0350|256441|0.1200|1.8450|1.7350|BEARISH
ELV|2025-09-09 14:30|311.0675|312.3400|309.7275|312.3300|158396|1.2625|0.0100|1.3400|BULLISH
ELV|2025-09-09 15:30|312.4100|314.7600|312.3300|314.5400|195864|2.1300|0.2200|0.0800|BULLISH
ELV|2025-09-09 16:30|314.6700|315.2399|313.8800|314.9225|134077|0.2525|0.3174|0.7900|BULLISH
ELV|2025-09-09 17:30|315.5900|316.8750|313.8000|315.2675|245879|0.3225|1.2850|1.4675|BEARISH
ELV|2025-09-09 18:30|315.4100|315.9000|314.1500|315.3000|180708|0.1100|0.4900|1.1500|BEARISH
ELV|2025-09-09 19:30|315.2120|315.8500|314.4550|315.1500|314332|0.0620|0.6380|0.6950|BEARISH
ELV|2025-09-10 13:30|310.2200|312.8138|306.5050|306.7350|268707|3.4850|2.5938|0.2300|BEARISH
ELV|2025-09-10 14:30|306.7000|306.9000|304.6300|306.1650|212175|0.5350|0.2000|1.5350|BEARISH
ELV|2025-09-10 15:30|306.2100|308.4400|306.0500|306.5000|211875|0.2900|1.9400|0.1600|BULLISH
ELV|2025-09-10 16:30|306.4500|306.8893|305.4700|306.4000|160307|0.0500|0.4393|0.9300|BEARISH
ELV|2025-09-10 17:30|306.4600|307.1500|306.1800|306.8950|118368|0.4350|0.2550|0.2800|BULLISH
ELV|2025-09-10 18:30|306.8000|308.5500|306.7200|306.9100|195780|0.1100|1.6400|0.0800|BULLISH
ELV|2025-09-10 19:30|307.0466|307.2200|306.1850|306.6800|350589|0.3666|0.1734|0.4950|BEARISH
ELV|2025-09-11 13:30|314.0100|315.7100|311.1350|313.4300|813861|0.5800|1.7000|2.2950|BEARISH
ELV|2025-09-11 14:30|313.5350|317.6000|313.5350|315.5000|694575|1.9650|2.1000|0.0000|BULLISH
ELV|2025-09-11 15:30|315.6500|316.2950|314.5000|315.9800|389347|0.3300|0.3150|1.1500|BULLISH
ELV|2025-09-11 16:30|315.9800|317.0000|315.3000|316.0500|363665|0.0700|0.9500|0.6800|BULLISH
ELV|2025-09-11 17:30|316.0500|316.0700|313.9600|314.3350|304396|1.7150|0.0200|0.3750|BEARISH
ELV|2025-09-11 18:30|314.3900|316.9000|313.8700|316.0000|271681|1.6100|0.9000|0.5200|BULLISH
ELV|2025-09-11 19:30|316.0550|316.2400|314.3100|314.9250|529828|1.1300|0.1850|0.6150|BEARISH
ELV|2025-09-12 13:30|317.4200|319.2400|315.1402|316.3000|359779|1.1200|1.8200|1.1598|BEARISH
ELV|2025-09-12 14:30|316.4600|316.4600|313.3250|313.8300|181298|2.6300|0.0000|0.5050|BEARISH
ELV|2025-09-12 15:30|314.0400|315.4900|313.7400|314.5250|101434|0.4850|0.9650|0.3000|BULLISH
ELV|2025-09-12 16:30|314.8349|315.1100|313.7500|314.1000|74138|0.7349|0.2751|0.3500|BEARISH
ELV|2025-09-12 17:30|314.1200|314.3800|313.0500|313.6500|113063|0.4700|0.2600|0.6000|BEARISH
ELV|2025-09-12 18:30|313.6800|314.9400|312.9750|313.5350|218858|0.1450|1.2600|0.5600|BEARISH
ELV|2025-09-12 19:30|313.4430|313.5400|311.3400|311.7600|257298|1.6830|0.0970|0.4200|BEARISH
ELV|2025-09-15 13:30|311.8000|313.4600|307.6150|308.9250|260455|2.8750|1.6600|1.3100|BEARISH
ELV|2025-09-15 14:30|309.0950|310.5500|307.5500|307.6850|210219|1.4100|1.4550|0.1350|BEARISH
ELV|2025-09-15 15:30|307.5250|308.1000|306.8200|307.8600|126231|0.3350|0.2400|0.7050|BULLISH
ELV|2025-09-15 16:30|307.8850|308.1000|306.6900|307.3150|182882|0.5700|0.2150|0.6250|BEARISH
ELV|2025-09-15 17:30|307.3150|308.0600|306.9200|306.9200|213532|0.3950|0.7450|0.0000|BEARISH
ELV|2025-09-15 18:30|306.9200|307.4400|306.0000|307.3350|379428|0.4150|0.1050|0.9200|BULLISH
ELV|2025-09-15 19:30|307.3700|307.6800|306.6275|306.7200|346761|0.6500|0.3100|0.0925|BEARISH
ELV|2025-09-16 13:30|307.6900|309.5000|304.3303|305.9850|281662|1.7050|1.8100|1.6547|BEARISH
ELV|2025-09-16 14:30|305.9950|308.1350|305.0000|307.5700|278790|1.5750|0.5650|0.9950|BULLISH
ELV|2025-09-16 15:30|307.6000|308.7279|306.5000|308.3000|153137|0.7000|0.4279|1.1000|BULLISH
ELV|2025-09-16 16:30|308.3050|309.2000|307.4100|308.9450|110935|0.6400|0.2550|0.8950|BULLISH
ELV|2025-09-16 17:30|308.8600|309.0700|307.8400|307.9900|118541|0.8700|0.2100|0.1500|BEARISH
ELV|2025-09-16 18:30|308.0100|310.0000|308.0100|309.5900|288090|1.5800|0.4100|0.0000|BULLISH
ELV|2025-09-16 19:30|309.6600|311.3300|309.4900|309.9800|462555|0.3200|1.3500|0.1700|BULLISH
ELV|2025-09-17 13:30|311.5000|315.7900|310.6850|311.6800|253814|0.1800|4.1100|0.8150|BULLISH
ELV|2025-09-17 14:30|311.7550|312.1300|310.2300|311.8300|132254|0.0750|0.3000|1.5250|BULLISH
ELV|2025-09-17 15:30|312.0100|313.1600|309.6442|309.7201|141689|2.2899|1.1500|0.0759|BEARISH
ELV|2025-09-17 16:30|309.8000|310.7300|309.6500|310.3100|108369|0.5100|0.4200|0.1500|BULLISH
ELV|2025-09-17 17:30|310.4600|312.8300|310.1400|311.2600|205588|0.8000|1.5700|0.3200|BULLISH
ELV|2025-09-17 18:30|311.3200|311.3900|307.1800|307.9200|239678|3.4000|0.0700|0.7400|BEARISH
ELV|2025-09-17 19:30|307.8000|308.9000|307.4900|308.3200|309230|0.5200|0.5800|0.3100|BULLISH
ELV|2025-09-18 13:30|309.2300|315.6530|307.9650|315.2700|477406|6.0400|0.3830|1.2650|BULLISH
ELV|2025-09-18 14:30|315.3300|316.5000|313.2500|313.4500|162713|1.8800|1.1700|0.2000|BEARISH
ELV|2025-09-18 15:30|313.4500|314.5550|313.3862|314.2350|121217|0.7850|0.3200|0.0638|BULLISH
ELV|2025-09-18 16:30|314.1900|314.6850|312.8300|313.1100|132797|1.0800|0.4950|0.2800|BEARISH
ELV|2025-09-18 17:30|313.1600|314.1500|312.8300|313.7500|140877|0.5900|0.4000|0.3300|BULLISH
ELV|2025-09-18 18:30|313.7900|315.3700|313.7650|314.2700|181322|0.4800|1.1000|0.0250|BULLISH
ELV|2025-09-18 19:30|314.3300|315.9700|314.0700|315.7300|353072|1.4000|0.2400|0.2600|BULLISH
