Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
EL|2025-09-02 13:30|90.1400|90.9100|89.5200|89.9094|397683|0.2306|0.7700|0.3894|BEARISH
EL|2025-09-02 14:30|89.8710|89.9094|89.2250|89.4050|191991|0.4660|0.0384|0.1800|BEARISH
EL|2025-09-02 15:30|89.4000|89.9700|89.1700|89.7750|284973|0.3750|0.1950|0.2300|BULLISH
EL|2025-09-02 16:30|89.7750|90.2450|89.6650|90.0600|238101|0.2850|0.1850|0.1100|BULLISH
EL|2025-09-02 17:30|90.0550|90.5700|90.0550|90.4000|168022|0.3450|0.1700|0.0000|BULLISH
EL|2025-09-02 18:30|90.4000|90.8900|90.2900|90.8400|257567|0.4400|0.0500|0.1100|BULLISH
EL|2025-09-02 19:30|90.8500|91.0200|90.7200|90.7900|675452|0.0600|0.1700|0.0700|BEARISH
EL|2025-09-03 13:30|90.7400|91.3000|90.2500|90.4300|404864|0.3100|0.5600|0.1800|BEARISH
EL|2025-09-03 14:30|90.4800|90.6700|89.9450|89.9700|366972|0.5100|0.1900|0.0250|BEARISH
EL|2025-09-03 15:30|90.0100|90.4800|89.8800|90.3450|212820|0.3350|0.1350|0.1300|BULLISH
EL|2025-09-03 16:30|90.3750|90.8900|90.3400|90.6600|247149|0.2850|0.2300|0.0350|BULLISH
EL|2025-09-03 17:30|90.6600|90.8100|90.1600|90.6050|368347|0.0550|0.1500|0.4450|BEARISH
EL|2025-09-03 18:30|90.6050|91.2500|90.5300|91.2500|336473|0.6450|0.0000|0.0750|BULLISH
EL|2025-09-03 19:30|91.2600|92.0200|91.2600|91.9400|739892|0.6800|0.0800|0.0000|BULLISH
EL|2025-09-04 13:30|91.7900|92.2100|89.1340|89.9558|1248165|1.8342|0.4200|0.8218|BEARISH
EL|2025-09-04 14:30|89.9400|90.1000|88.9800|89.3400|378735|0.6000|0.1600|0.3600|BEARISH
EL|2025-09-04 15:30|89.2900|89.4200|88.2500|88.3500|402235|0.9400|0.1300|0.1000|BEARISH
EL|2025-09-04 16:30|88.3300|88.9500|88.1500|88.3100|286320|0.0200|0.6200|0.1600|BEARISH
EL|2025-09-04 17:30|88.3000|88.3000|87.8000|87.9400|297429|0.3600|0.0000|0.1400|BEARISH
EL|2025-09-04 18:30|87.9025|88.2000|87.1310|87.1950|517037|0.7075|0.2975|0.0640|BEARISH
EL|2025-09-04 19:30|87.1950|87.8300|87.1500|87.4600|966919|0.2650|0.3700|0.0450|BULLISH
EL|2025-09-05 13:30|87.4600|89.8800|86.8710|88.9950|705306|1.5350|0.8850|0.5890|BULLISH
EL|2025-09-05 14:30|88.9395|89.7500|88.8150|89.5450|329187|0.6055|0.2050|0.1245|BULLISH
EL|2025-09-05 15:30|89.5300|89.6900|89.2250|89.3850|369750|0.1450|0.1600|0.1600|BEARISH
EL|2025-09-05 16:30|89.3850|89.7000|89.0300|89.2900|254035|0.0950|0.3150|0.2600|BEARISH
EL|2025-09-05 17:30|89.3000|89.4800|88.9000|89.2300|565502|0.0700|0.1800|0.3300|BEARISH
EL|2025-09-05 18:30|89.2300|89.5800|88.6200|89.3800|488474|0.1500|0.2000|0.6100|BULLISH
EL|2025-09-05 19:30|89.3600|89.3700|88.9600|89.2000|493853|0.1600|0.0100|0.2400|BEARISH
EL|2025-09-08 13:30|89.5600|89.6150|87.2601|88.3000|474322|1.2600|0.0550|1.0399|BEARISH
EL|2025-09-08 14:30|88.2500|88.5500|87.8300|88.0500|264260|0.2000|0.3000|0.2200|BEARISH
EL|2025-09-08 15:30|88.0500|88.2500|87.7300|88.0250|188398|0.0250|0.2000|0.2950|BEARISH
EL|2025-09-08 16:30|88.0300|88.1800|87.8900|88.1400|137160|0.1100|0.0400|0.1400|BULLISH
EL|2025-09-08 17:30|88.1400|88.3700|87.8750|88.1700|223428|0.0300|0.2000|0.2650|BULLISH
EL|2025-09-08 18:30|88.1800|88.5000|87.9100|88.4600|259542|0.2800|0.0400|0.2700|BULLISH
EL|2025-09-08 19:30|88.4570|88.9400|88.4200|88.8800|405849|0.4230|0.0600|0.0370|BULLISH
EL|2025-09-09 13:30|89.0500|89.5450|88.3158|88.8100|245538|0.2400|0.4950|0.4942|BEARISH
EL|2025-09-09 14:30|88.8250|88.9450|88.4500|88.8750|190812|0.0500|0.0700|0.3750|BULLISH
EL|2025-09-09 15:30|88.8500|88.9350|88.5550|88.9050|117945|0.0550|0.0300|0.2950|BULLISH
EL|2025-09-09 16:30|88.8874|89.3200|88.8350|89.3150|142770|0.4276|0.0050|0.0524|BULLISH
EL|2025-09-09 17:30|89.3200|89.4400|89.1100|89.2050|173940|0.1150|0.1200|0.0950|BEARISH
