Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
EMN|2025-09-02 13:30|69.2600|69.7000|68.6200|68.8502|169595|0.4098|0.4400|0.2302|BEARISH
EMN|2025-09-02 14:30|68.8450|68.9100|68.4100|68.6800|146952|0.1650|0.0650|0.2700|BEARISH
EMN|2025-09-02 15:30|68.6700|69.0600|68.5900|69.0600|190666|0.3900|0.0000|0.0800|BULLISH
EMN|2025-09-02 16:30|69.0800|69.3950|68.9517|69.2700|170038|0.1900|0.1250|0.1283|BULLISH
EMN|2025-09-02 17:30|69.3000|69.5600|69.2367|69.2500|108522|0.0500|0.2600|0.0133|BEARISH
EMN|2025-09-02 18:30|69.2550|69.4500|69.1800|69.2350|119077|0.0200|0.1950|0.0550|BEARISH
EMN|2025-09-02 19:30|69.2300|69.4950|69.1600|69.4200|185377|0.1900|0.0750|0.0700|BULLISH
EMN|2025-09-03 13:30|68.8000|69.6100|68.3000|68.3800|119011|0.4200|0.8100|0.0800|BEARISH
EMN|2025-09-03 14:30|68.3786|68.6100|67.7800|67.8350|91655|0.5436|0.2314|0.0550|BEARISH
EMN|2025-09-03 15:30|67.9300|67.9700|67.5900|67.7850|70479|0.1450|0.0400|0.1950|BEARISH
EMN|2025-09-03 16:30|67.8000|68.3500|67.6600|68.2701|132560|0.4701|0.0799|0.1400|BULLISH
EMN|2025-09-03 17:30|68.2600|68.2600|67.5900|68.0800|101909|0.1800|0.0000|0.4900|BEARISH
EMN|2025-09-03 18:30|68.0500|68.1400|67.4600|67.5600|88444|0.4900|0.0900|0.1000|BEARISH
EMN|2025-09-03 19:30|67.5800|67.6800|67.4400|67.5700|251949|0.0100|0.1000|0.1300|BEARISH
EMN|2025-09-04 13:30|67.4300|67.7325|66.6600|67.3300|98749|0.1000|0.3025|0.6700|BEARISH
EMN|2025-09-04 14:30|67.3100|67.7850|67.1800|67.7650|96403|0.4550|0.0200|0.1300|BULLISH
EMN|2025-09-04 15:30|67.7500|68.2100|67.7450|68.1600|72884|0.4100|0.0500|0.0050|BULLISH
EMN|2025-09-04 16:30|68.1503|68.4300|68.1500|68.3500|63507|0.1997|0.0800|0.0003|BULLISH
EMN|2025-09-04 17:30|68.3460|68.5000|68.1900|68.3750|53275|0.0290|0.1250|0.1560|BULLISH
EMN|2025-09-04 18:30|68.3700|68.6100|68.3200|68.4900|77799|0.1200|0.1200|0.0500|BULLISH
EMN|2025-09-04 19:30|68.4500|68.6200|68.3700|68.5600|161005|0.1100|0.0600|0.0800|BULLISH
EMN|2025-09-05 13:30|69.0100|70.4000|68.7850|69.2100|195705|0.2000|1.1900|0.2250|BULLISH
EMN|2025-09-05 14:30|69.2100|69.2500|68.3000|68.6450|117153|0.5650|0.0400|0.3450|BEARISH
EMN|2025-09-05 15:30|68.6800|69.0300|68.5300|68.7800|93270|0.1000|0.2500|0.1500|BULLISH
EMN|2025-09-05 16:30|68.7900|68.8000|68.5000|68.5000|79710|0.2900|0.0100|0.0000|BEARISH
EMN|2025-09-05 17:30|68.5000|68.7900|68.4100|68.6750|92425|0.1750|0.1150|0.0900|BULLISH
EMN|2025-09-05 18:30|68.7000|69.1200|68.7000|68.9600|180186|0.2600|0.1600|0.0000|BULLISH
EMN|2025-09-05 19:30|68.9500|69.2000|68.8450|69.0600|229250|0.1100|0.1400|0.1050|BULLISH
EMN|2025-09-08 13:30|69.1900|69.1900|66.9400|67.2950|245076|1.8950|0.0000|0.3550|BEARISH
EMN|2025-09-08 14:30|67.3400|68.4500|67.2950|68.4500|134669|1.1100|0.0000|0.0450|BULLISH
EMN|2025-09-08 15:30|68.4500|68.6800|68.2650|68.3250|206399|0.1250|0.2300|0.0600|BEARISH
EMN|2025-09-08 16:30|68.3800|68.4700|68.0700|68.2326|105407|0.1474|0.0900|0.1626|BEARISH
EMN|2025-09-08 17:30|68.2500|68.4100|67.9650|68.4100|170109|0.1600|0.0000|0.2850|BULLISH
EMN|2025-09-08 18:30|68.4700|68.7200|68.4000|68.5500|202128|0.0800|0.1700|0.0700|BULLISH
EMN|2025-09-08 19:30|68.5500|68.9900|68.4700|68.9000|281454|0.3500|0.0900|0.0800|BULLISH
EMN|2025-09-09 13:30|68.7350|69.0200|67.7500|68.0300|360173|0.7050|0.2850|0.2800|BEARISH
EMN|2025-09-09 14:30|68.1000|68.1100|67.3500|67.6300|194532|0.4700|0.0100|0.2800|BEARISH
EMN|2025-09-09 15:30|67.6300|67.6700|66.9400|67.1100|200396|0.5200|0.0400|0.1700|BEARISH
EMN|2025-09-09 16:30|67.1500|67.3600|67.0000|67.3250|139575|0.1750|0.0350|0.1500|BULLISH
EMN|2025-09-09 17:30|67.3900|67.8400|67.3600|67.8400|138513|0.4500|0.0000|0.0300|BULLISH
EMN|2025-09-09 18:30|67.8800|67.9200|67.5100|67.7100|228124|0.1700|0.0400|0.2000|BEARISH
EMN|2025-09-09 19:30|67.7171|67.8200|67.5900|67.5900|354997|0.1271|0.1029|0.0000|BEARISH
EMN|2025-09-10 13:30|66.7300|67.7475|66.7300|67.0000|203569|0.2700|0.7475|0.0000|BULLISH
EMN|2025-09-10 14:30|67.0000|67.0000|66.4300|66.6300|155099|0.3700|0.0000|0.2000|BEARISH
EMN|2025-09-10 15:30|66.6300|66.9250|66.4450|66.6200|133749|0.0100|0.2950|0.1750|BEARISH
EMN|2025-09-10 16:30|66.6200|66.7309|66.4100|66.4650|63866|0.1550|0.1109|0.0550|BEARISH
EMN|2025-09-10 17:30|66.4800|66.5100|66.1300|66.2443|97939|0.2357|0.0300|0.1143|BEARISH
EMN|2025-09-10 18:30|66.2400|66.4050|64.6650|64.7700|478436|1.4700|0.1650|0.1050|BEARISH
EMN|2025-09-10 19:30|64.9999|65.4100|64.5106|65.0300|883831|0.0301|0.3800|0.4893|BULLISH
EMN|2025-09-11 13:30|65.0100|67.6500|65.0000|67.6150|355787|2.6050|0.0350|0.0100|BULLISH
EMN|2025-09-11 14:30|67.6100|67.9100|67.0450|67.1100|217893|0.5000|0.3000|0.0650|BEARISH
EMN|2025-09-11 15:30|67.1050|67.5550|67.0400|67.2800|127164|0.1750|0.2750|0.0650|BULLISH
EMN|2025-09-11 16:30|67.2800|67.6100|67.0900|67.3470|273898|0.0670|0.2630|0.1900|BULLISH
EMN|2025-09-11 17:30|67.3100|67.7300|67.2400|67.3550|138261|0.0450|0.3750|0.0700|BULLISH
EMN|2025-09-11 18:30|67.3550|67.9500|67.2700|67.9300|182166|0.5750|0.0200|0.0850|BULLISH
EMN|2025-09-11 19:30|67.9300|68.1800|67.8200|67.9200|414137|0.0100|0.2500|0.1000|BEARISH
EMN|2025-09-12 13:30|67.4100|67.7300|66.7450|66.7700|193704|0.6400|0.3200|0.0250|BEARISH
EMN|2025-09-12 14:30|66.7700|67.3100|66.7700|66.9800|158852|0.2100|0.3300|0.0000|BULLISH
EMN|2025-09-12 15:30|66.9900|67.2600|66.9500|67.1900|100465|0.2000|0.0700|0.0400|BULLISH
EMN|2025-09-12 16:30|67.2000|67.4500|67.0900|67.3200|107175|0.1200|0.1300|0.1100|BULLISH
EMN|2025-09-12 17:30|67.2700|67.3900|67.1100|67.2750|145314|0.0050|0.1150|0.1600|BULLISH
EMN|2025-09-12 18:30|67.2750|67.3268|66.9700|67.1150|236406|0.1600|0.0518|0.1450|BEARISH
EMN|2025-09-12 19:30|67.1300|67.3200|66.9500|67.1800|407126|0.0500|0.1400|0.1800|BULLISH
EMN|2025-09-15 13:30|66.7300|66.8500|66.2150|66.8500|109657|0.1200|0.0000|0.5150|BULLISH
EMN|2025-09-15 14:30|66.8950|66.9400|65.8900|65.8900|99695|1.0050|0.0450|0.0000|BEARISH
EMN|2025-09-15 15:30|65.9000|65.9500|65.4725|65.8300|129446|0.0700|0.0500|0.3575|BEARISH
EMN|2025-09-15 16:30|65.8350|65.8440|65.3900|65.4300|108520|0.4050|0.0090|0.0400|BEARISH
EMN|2025-09-15 17:30|65.4100|65.7300|64.9450|65.1200|109272|0.2900|0.3200|0.1750|BEARISH
EMN|2025-09-15 18:30|65.1200|65.4400|64.9000|65.1500|139665|0.0300|0.2900|0.2200|BULLISH
EMN|2025-09-15 19:30|65.1500|65.3950|65.0700|65.2000|235515|0.0500|0.1950|0.0800|BULLISH
EMN|2025-09-16 13:30|65.7400|66.5900|65.3900|65.9900|142244|0.2500|0.6000|0.3500|BULLISH
EMN|2025-09-16 14:30|65.9700|66.1750|65.6600|65.7400|72223|0.2300|0.2050|0.0800|BEARISH
EMN|2025-09-16 15:30|65.7400|66.0400|65.7200|65.8550|64309|0.1150|0.1850|0.0200|BULLISH
EMN|2025-09-16 16:30|65.8500|66.0300|65.5600|66.0250|76412|0.1750|0.0050|0.2900|BULLISH
EMN|2025-09-16 17:30|66.0250|66.1150|65.8150|65.9100|85278|0.1150|0.0900|0.0950|BEARISH
EMN|2025-09-16 18:30|65.9500|66.2200|65.7200|65.7500|109545|0.2000|0.2700|0.0300|BEARISH
EMN|2025-09-16 19:30|65.7900|66.0900|65.5600|66.0000|291935|0.2100|0.0900|0.2300|BULLISH
EMN|2025-09-17 13:30|66.1500|66.9307|65.8100|66.9200|112363|0.7700|0.0107|0.3400|BULLISH
EMN|2025-09-17 14:30|66.9095|67.1500|66.7500|66.7550|96494|0.1545|0.2405|0.0050|BEARISH
EMN|2025-09-17 15:30|66.7700|67.0300|66.4900|66.5148|100084|0.2552|0.2600|0.0248|BEARISH
EMN|2025-09-17 16:30|66.5100|66.7800|66.4251|66.7400|87812|0.2300|0.0400|0.0849|BULLISH
EMN|2025-09-17 17:30|66.7450|68.4000|66.5950|67.4250|180751|0.6800|0.9750|0.1500|BULLISH
EMN|2025-09-17 18:30|67.3600|67.3700|65.4200|65.7250|238533|1.6350|0.0100|0.3050|BEARISH
EMN|2025-09-17 19:30|65.7000|66.2850|65.5750|66.0200|211185|0.3200|0.2650|0.1250|BULLISH
EMN|2025-09-18 13:30|66.6800|67.3800|65.8100|66.5400|210920|0.1400|0.7000|0.7300|BEARISH
