Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
EOG|2025-09-02 13:30|124.4800|125.6150|123.5400|124.9500|403679|0.4700|0.6650|0.9400|BULLISH
EOG|2025-09-02 14:30|124.9500|125.1500|124.7200|124.9200|195861|0.0300|0.2000|0.2000|BEARISH
EOG|2025-09-02 15:30|124.9300|125.5800|124.8200|125.4450|154960|0.5150|0.1350|0.1100|BULLISH
EOG|2025-09-02 16:30|125.4300|125.8500|125.3200|125.7500|132762|0.3200|0.1000|0.1100|BULLISH
EOG|2025-09-02 17:30|125.7400|126.0400|125.7300|125.9200|150493|0.1800|0.1200|0.0100|BULLISH
EOG|2025-09-02 18:30|125.9600|126.0700|125.5450|125.9700|176486|0.0100|0.1000|0.4150|BULLISH
EOG|2025-09-02 19:30|125.9600|126.1150|125.8500|126.1000|399807|0.1400|0.0150|0.1100|BULLISH
EOG|2025-09-03 13:30|124.9100|125.7800|122.2600|122.3130|328095|2.5970|0.8700|0.0530|BEARISH
EOG|2025-09-03 14:30|122.3400|122.6500|121.6700|121.7900|191899|0.5500|0.3100|0.1200|BEARISH
EOG|2025-09-03 15:30|121.8200|122.3100|121.3400|121.3550|180357|0.4650|0.4900|0.0150|BEARISH
EOG|2025-09-03 16:30|121.3800|121.5500|121.2150|121.4600|120237|0.0800|0.0900|0.1650|BULLISH
EOG|2025-09-03 17:30|121.4800|121.5300|120.5200|120.8000|220678|0.6800|0.0500|0.2800|BEARISH
EOG|2025-09-03 18:30|120.8000|120.8100|119.9900|120.0200|284974|0.7800|0.0100|0.0300|BEARISH
EOG|2025-09-03 19:30|120.0100|120.7900|119.9300|120.5800|582004|0.5700|0.2100|0.0800|BULLISH
EOG|2025-09-04 13:30|120.3800|121.1490|119.8000|120.9000|237647|0.5200|0.2490|0.5800|BULLISH
EOG|2025-09-04 14:30|120.8700|121.6000|120.7500|121.4700|222632|0.6000|0.1300|0.1200|BULLISH
EOG|2025-09-04 15:30|121.4800|122.2100|121.3900|122.1850|126499|0.7050|0.0250|0.0900|BULLISH
EOG|2025-09-04 16:30|122.1550|122.2600|121.9100|122.0100|111735|0.1450|0.1050|0.1000|BEARISH
EOG|2025-09-04 17:30|121.9600|121.9900|121.5000|121.5079|112249|0.4521|0.0300|0.0079|BEARISH
EOG|2025-09-04 18:30|121.5000|121.8800|121.4200|121.6700|140156|0.1700|0.2100|0.0800|BULLISH
EOG|2025-09-04 19:30|121.6500|121.7500|121.4530|121.5100|412079|0.1400|0.1000|0.0570|BEARISH
EOG|2025-09-05 13:30|119.9100|120.5700|118.3300|118.4900|694256|1.4200|0.6600|0.1600|BEARISH
EOG|2025-09-05 14:30|118.4400|118.6400|117.2700|117.6815|370073|0.7585|0.2000|0.4115|BEARISH
EOG|2025-09-05 15:30|117.7000|118.3100|117.5800|117.8100|312203|0.1100|0.5000|0.1200|BULLISH
EOG|2025-09-05 16:30|117.8000|118.0900|117.2700|117.2900|218770|0.5100|0.2900|0.0200|BEARISH
EOG|2025-09-05 17:30|117.3100|117.6800|117.0400|117.5100|340660|0.2000|0.1700|0.2700|BULLISH
EOG|2025-09-05 18:30|117.5200|117.8900|117.5000|117.5800|494260|0.0600|0.3100|0.0200|BULLISH
EOG|2025-09-05 19:30|117.5800|118.0300|117.3200|117.9300|722919|0.3500|0.1000|0.2600|BULLISH
EOG|2025-09-08 13:30|117.8500|118.4200|116.0600|116.5700|403477|1.2800|0.5700|0.5100|BEARISH
EOG|2025-09-08 14:30|116.5700|117.3300|116.5400|117.2300|268427|0.6600|0.1000|0.0300|BULLISH
EOG|2025-09-08 15:30|117.2300|117.2300|116.4000|116.7400|217636|0.4900|0.0000|0.3400|BEARISH
EOG|2025-09-08 16:30|116.7500|117.3150|116.6850|117.1550|183515|0.4050|0.1600|0.0650|BULLISH
EOG|2025-09-08 17:30|117.1800|117.4200|117.0700|117.3250|221530|0.1450|0.0950|0.1100|BULLISH
