Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
EPAM|2025-09-02 13:30|172.7300|174.7300|172.0000|174.6000|108904|1.8700|0.1300|0.7300|BULLISH
EPAM|2025-09-02 14:30|174.5500|174.5500|171.7450|172.3000|61987|2.2500|0.0000|0.5550|BEARISH
EPAM|2025-09-02 15:30|172.2800|173.5900|171.8750|173.2000|52145|0.9200|0.3900|0.4050|BULLISH
EPAM|2025-09-02 16:30|173.2900|174.5300|173.2700|174.5300|42408|1.2400|0.0000|0.0200|BULLISH
EPAM|2025-09-02 17:30|174.6400|175.3000|174.4650|174.4650|33464|0.1750|0.6600|0.0000|BEARISH
EPAM|2025-09-02 18:30|174.5025|174.9600|174.1400|174.9100|51764|0.4075|0.0500|0.3625|BULLISH
EPAM|2025-09-02 19:30|174.8900|175.2200|174.6000|174.7100|91498|0.1800|0.3300|0.1100|BEARISH
EPAM|2025-09-03 13:30|173.8700|175.1200|171.9400|172.6700|80711|1.2000|1.2500|0.7300|BEARISH
EPAM|2025-09-03 14:30|172.0500|172.3450|170.0800|170.4600|49712|1.5900|0.2950|0.3800|BEARISH
EPAM|2025-09-03 15:30|170.4650|171.2400|170.1300|171.1600|50533|0.6950|0.0800|0.3350|BULLISH
EPAM|2025-09-03 16:30|171.1600|172.4600|171.1600|172.2900|31461|1.1300|0.1700|0.0000|BULLISH
EPAM|2025-09-03 17:30|172.2700|172.3500|171.0000|171.6250|79111|0.6450|0.0800|0.6250|BEARISH
EPAM|2025-09-03 18:30|171.6300|172.9000|171.6200|172.8150|56258|1.1850|0.0850|0.0100|BULLISH
EPAM|2025-09-03 19:30|172.8200|174.6100|172.8200|173.9600|122008|1.1400|0.6500|0.0000|BULLISH
EPAM|2025-09-04 13:30|172.4400|172.4400|166.8400|168.6400|111539|3.8000|0.0000|1.8000|BEARISH
EPAM|2025-09-04 14:30|168.7800|169.5100|168.0500|169.4300|51365|0.6500|0.0800|0.7300|BULLISH
EPAM|2025-09-04 15:30|169.3450|170.4400|169.2750|170.1100|39365|0.7650|0.3300|0.0700|BULLISH
EPAM|2025-09-04 16:30|170.1400|170.3600|169.6200|170.3300|29692|0.1900|0.0300|0.5200|BULLISH
EPAM|2025-09-04 17:30|170.3800|170.9100|169.6200|169.6200|77656|0.7600|0.5300|0.0000|BEARISH
EPAM|2025-09-04 18:30|169.5900|169.9700|168.6500|168.7600|85918|0.8300|0.3800|0.1100|BEARISH
EPAM|2025-09-04 19:30|168.5700|168.8300|168.0500|168.0900|131904|0.4800|0.2600|0.0400|BEARISH
EPAM|2025-09-05 13:30|168.5000|173.4500|168.5000|169.5600|147347|1.0600|3.8900|0.0000|BULLISH
EPAM|2025-09-05 14:30|169.5650|169.7500|168.1000|168.9050|75542|0.6600|0.1850|0.8050|BEARISH
EPAM|2025-09-05 15:30|169.0400|169.9900|168.5100|169.6400|52372|0.6000|0.3500|0.5300|BULLISH
EPAM|2025-09-05 16:30|169.6300|169.6300|168.2400|168.2400|138231|1.3900|0.0000|0.0000|BEARISH
EPAM|2025-09-05 17:30|168.2150|168.9800|167.7500|168.8550|127102|0.6400|0.1250|0.4650|BULLISH
EPAM|2025-09-05 18:30|168.8600|170.3300|168.8600|169.6450|102652|0.7850|0.6850|0.0000|BULLISH
EPAM|2025-09-05 19:30|169.7050|169.7800|169.1370|169.4300|224302|0.2750|0.0750|0.2930|BEARISH
EPAM|2025-09-08 13:30|169.8500|170.1700|162.5300|164.3100|168565|5.5400|0.3200|1.7800|BEARISH
EPAM|2025-09-08 14:30|164.3050|164.5000|161.6500|162.7000|173668|1.6050|0.1950|1.0500|BEARISH
EPAM|2025-09-08 15:30|162.7500|163.0300|161.8500|162.1850|141588|0.5650|0.2800|0.3350|BEARISH
EPAM|2025-09-08 16:30|162.2050|163.6400|162.1150|163.0500|141284|0.8450|0.5900|0.0900|BULLISH
EPAM|2025-09-08 17:30|163.2100|163.2300|162.1200|162.9000|135114|0.3100|0.0200|0.7800|BEARISH
EPAM|2025-09-08 18:30|162.9900|163.4900|162.0600|162.0600|224429|0.9300|0.5000|0.0000|BEARISH
EPAM|2025-09-08 19:30|162.0800|164.4500|161.4700|164.4400|272447|2.3600|0.0100|0.6100|BULLISH
EPAM|2025-09-09 13:30|163.3900|164.7600|163.1300|163.4500|85171|0.0600|1.3100|0.2600|BULLISH
EPAM|2025-09-09 14:30|163.2900|163.8200|162.5500|162.6800|46790|0.6100|0.5300|0.1300|BEARISH
EPAM|2025-09-09 15:30|162.5500|162.7300|161.4200|162.4000|58256|0.1500|0.1800|0.9800|BEARISH
EPAM|2025-09-09 16:30|162.2350|163.3800|162.0600|163.3800|45636|1.1450|0.0000|0.1750|BULLISH
EPAM|2025-09-09 17:30|163.3700|164.4900|163.2650|164.4900|65708|1.1200|0.0000|0.1050|BULLISH
EPAM|2025-09-09 18:30|164.4900|165.1800|164.3000|164.9400|96342|0.4500|0.2400|0.1900|BULLISH
EPAM|2025-09-09 19:30|164.9700|165.3900|164.6600|165.0000|159064|0.0300|0.3900|0.3100|BULLISH
EPAM|2025-09-10 13:30|162.5800|164.0500|159.3550|159.9200|174298|2.6600|1.4700|0.5650|BEARISH
EPAM|2025-09-10 14:30|159.9350|159.9350|156.0400|156.5750|269643|3.3600|0.0000|0.5350|BEARISH
EPAM|2025-09-10 15:30|156.5750|156.6500|155.1000|155.9100|97513|0.6650|0.0750|0.8100|BEARISH
EPAM|2025-09-10 16:30|155.7750|156.5100|154.8250|155.0630|123236|0.7120|0.7350|0.2380|BEARISH
EPAM|2025-09-10 17:30|154.8400|155.3900|153.0200|153.2100|185971|1.6300|0.5500|0.1900|BEARISH
EPAM|2025-09-10 18:30|153.1450|153.8600|151.6790|152.0000|214285|1.1450|0.7150|0.3210|BEARISH
EPAM|2025-09-10 19:30|152.0200|153.4600|150.8700|153.1000|623379|1.0800|0.3600|1.1500|BULLISH
EPAM|2025-09-11 13:30|155.1000|155.5000|153.1550|154.6100|177463|0.4900|0.4000|1.4550|BEARISH
EPAM|2025-09-11 14:30|154.7200|155.3300|153.7250|154.0300|133648|0.6900|0.6100|0.3050|BEARISH
EPAM|2025-09-11 15:30|154.0300|155.4150|153.7200|155.4150|68489|1.3850|0.0000|0.3100|BULLISH
EPAM|2025-09-11 16:30|155.4150|157.5350|155.0000|157.2800|224650|1.8650|0.2550|0.4150|BULLISH
EPAM|2025-09-11 17:30|157.3450|158.0300|156.9800|157.2500|166645|0.0950|0.6850|0.2700|BEARISH
EPAM|2025-09-11 18:30|157.2700|157.7400|156.9600|157.4350|138151|0.1650|0.3050|0.3100|BULLISH
EPAM|2025-09-11 19:30|157.3700|158.2400|157.2750|157.7600|273570|0.3900|0.4800|0.0950|BULLISH
EPAM|2025-09-12 13:30|158.1200|158.1200|155.4000|156.0600|91646|2.0600|0.0000|0.6600|BEARISH
EPAM|2025-09-12 14:30|155.8200|157.6700|155.8200|156.6800|75877|0.8600|0.9900|0.0000|BULLISH
EPAM|2025-09-12 15:30|156.6600|156.6600|155.3300|155.3400|35546|1.3200|0.0000|0.0100|BEARISH
EPAM|2025-09-12 16:30|155.5500|155.5500|154.6950|155.1800|20486|0.3700|0.0000|0.4850|BEARISH
EPAM|2025-09-12 17:30|155.0700|155.8700|154.9100|155.8650|40797|0.7950|0.0050|0.1600|BULLISH
EPAM|2025-09-12 18:30|155.6100|156.5300|155.5300|156.0050|79367|0.3950|0.5250|0.0800|BULLISH
EPAM|2025-09-12 19:30|155.9900|156.5300|155.5800|156.0900|135974|0.1000|0.4400|0.4100|BULLISH
EPAM|2025-09-15 13:30|157.3500|158.1000|154.4000|156.0550|65219|1.2950|0.7500|1.6550|BEARISH
EPAM|2025-09-15 14:30|156.0700|156.2500|153.6800|153.7600|49920|2.3100|0.1800|0.0800|BEARISH
EPAM|2025-09-15 15:30|154.1500|154.6500|153.2800|153.4950|77361|0.6550|0.5000|0.2150|BEARISH
EPAM|2025-09-15 16:30|153.5550|154.0225|152.9100|153.0000|36229|0.5550|0.4675|0.0900|BEARISH
EPAM|2025-09-15 17:30|152.9400|154.0300|152.9400|153.0600|46354|0.1200|0.9700|0.0000|BULLISH
EPAM|2025-09-15 18:30|153.0600|154.5800|152.8200|153.9300|66633|0.8700|0.6500|0.2400|BULLISH
EPAM|2025-09-15 19:30|153.9300|154.5700|153.3200|154.5100|165181|0.5800|0.0600|0.6100|BULLISH
EPAM|2025-09-16 13:30|154.1750|155.1000|152.1000|153.8600|102180|0.3150|0.9250|1.7600|BEARISH
EPAM|2025-09-16 14:30|153.8225|154.8000|153.3500|153.7950|77274|0.0275|0.9775|0.4450|BEARISH
EPAM|2025-09-16 15:30|153.7800|154.5700|153.3300|154.0000|59672|0.2200|0.5700|0.4500|BULLISH
EPAM|2025-09-16 16:30|154.0550|154.5000|153.5725|153.9700|47928|0.0850|0.4450|0.3975|BEARISH
EPAM|2025-09-16 17:30|153.9850|154.5200|153.5600|154.0550|49721|0.0700|0.4650|0.4250|BULLISH
EPAM|2025-09-16 18:30|154.1250|155.0850|154.0600|154.6600|93979|0.5350|0.4250|0.0650|BULLISH
EPAM|2025-09-16 19:30|154.6075|155.0800|153.7900|154.5600|180217|0.0475|0.4725|0.7700|BEARISH
EPAM|2025-09-17 13:30|154.3300|157.4000|153.9375|156.0300|144045|1.7000|1.3700|0.3925|BULLISH
EPAM|2025-09-17 14:30|156.7700|156.9000|155.5750|156.0500|44135|0.7200|0.1300|0.4750|BEARISH
