Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
EQIX|2025-09-02 13:30|777.4500|779.6200|771.2150|774.1650|63511|3.2850|2.1700|2.9500|BEARISH
EQIX|2025-09-02 14:30|774.5500|775.0700|770.7450|772.7539|43922|1.7961|0.5200|2.0089|BEARISH
EQIX|2025-09-02 15:30|771.0000|772.3850|769.1000|770.3300|40626|0.6700|1.3850|1.2300|BEARISH
EQIX|2025-09-02 16:30|770.5000|772.6100|770.0800|772.5150|25091|2.0150|0.0950|0.4200|BULLISH
EQIX|2025-09-02 17:30|773.0000|773.8700|770.5100|771.4600|32475|1.5400|0.8700|0.9500|BEARISH
EQIX|2025-09-02 18:30|771.7400|772.1500|769.4600|770.9250|32996|0.8150|0.4100|1.4650|BEARISH
EQIX|2025-09-02 19:30|771.5800|773.1200|770.8750|771.5600|98774|0.0200|1.5400|0.6850|BEARISH
EQIX|2025-09-03 13:30|770.0000|770.6100|760.1500|761.9900|94269|8.0100|0.6100|1.8400|BEARISH
EQIX|2025-09-03 14:30|762.5000|766.7900|759.8800|760.9800|80273|1.5200|4.2900|1.1000|BEARISH
EQIX|2025-09-03 15:30|760.8650|763.5600|760.6200|762.0600|63045|1.1950|1.5000|0.2450|BULLISH
EQIX|2025-09-03 16:30|762.2300|762.6850|756.0200|756.2400|46111|5.9900|0.4550|0.2200|BEARISH
EQIX|2025-09-03 17:30|756.1950|760.3900|751.2900|760.1200|50896|3.9250|0.2700|4.9050|BULLISH
EQIX|2025-09-03 18:30|759.3700|760.0000|758.3000|759.7350|31668|0.3650|0.2650|1.0700|BULLISH
EQIX|2025-09-03 19:30|760.3500|763.5300|759.9500|761.5500|76389|1.2000|1.9800|0.4000|BULLISH
EQIX|2025-09-04 13:30|764.8000|767.6650|759.9799|762.9500|54524|1.8500|2.8650|2.9701|BEARISH
EQIX|2025-09-04 14:30|762.7400|765.9700|761.2925|765.9700|33475|3.2300|0.0000|1.4475|BULLISH
EQIX|2025-09-04 15:30|766.2900|766.5700|762.9000|763.1700|20083|3.1200|0.2800|0.2700|BEARISH
EQIX|2025-09-04 16:30|762.7500|763.1600|757.7500|761.9900|48376|0.7600|0.4100|4.2400|BEARISH
EQIX|2025-09-04 17:30|761.3500|762.5850|759.7700|760.5300|43096|0.8199|1.2350|0.7600|BEARISH
EQIX|2025-09-04 18:30|761.0500|766.4700|760.8800|766.4700|40226|5.4200|0.0000|0.1700|BULLISH
EQIX|2025-09-04 19:30|766.1500|768.5900|766.1300|768.2200|75909|2.0699|0.3701|0.0200|BULLISH
EQIX|2025-09-05 13:30|769.0000|777.9699|769.0000|772.9500|44399|3.9500|5.0199|0.0000|BULLISH
EQIX|2025-09-05 14:30|772.0000|776.3900|769.9900|776.3900|26179|4.3900|0.0000|2.0100|BULLISH
