Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
EQR|2025-09-02 13:30|65.6600|65.7000|64.6000|64.7300|241994|0.9300|0.0400|0.1300|BEARISH
EQR|2025-09-02 14:30|64.7450|64.8000|64.2750|64.3600|142924|0.3850|0.0550|0.0850|BEARISH
EQR|2025-09-02 15:30|64.3200|64.4100|64.0250|64.0400|128733|0.2800|0.0900|0.0150|BEARISH
EQR|2025-09-02 16:30|64.0400|64.1300|63.8200|64.0350|135315|0.0050|0.0900|0.2150|BEARISH
EQR|2025-09-02 17:30|64.0200|64.1450|63.8100|63.8750|176479|0.1450|0.1250|0.0650|BEARISH
EQR|2025-09-02 18:30|63.8950|63.9300|63.6450|63.9100|177835|0.0150|0.0200|0.2500|BULLISH
EQR|2025-09-02 19:30|63.9300|64.0950|63.9100|63.9950|366823|0.0650|0.1000|0.0200|BULLISH
EQR|2025-09-03 13:30|63.6500|64.2650|63.6100|64.0950|143074|0.4450|0.1700|0.0400|BULLISH
EQR|2025-09-03 14:30|64.1000|64.2500|64.0400|64.1800|99113|0.0800|0.0700|0.0600|BULLISH
EQR|2025-09-03 15:30|64.1900|64.4100|64.1200|64.1600|93002|0.0300|0.2200|0.0400|BEARISH
EQR|2025-09-03 16:30|64.1700|64.3200|64.1300|64.3200|79375|0.1500|0.0000|0.0400|BULLISH
EQR|2025-09-03 17:30|64.3200|64.4400|64.1600|64.4300|84298|0.1100|0.0100|0.1600|BULLISH
EQR|2025-09-03 18:30|64.4200|64.4900|64.2300|64.4300|130915|0.0100|0.0600|0.1900|BULLISH
EQR|2025-09-03 19:30|64.4300|64.6750|64.4300|64.6700|309674|0.2400|0.0050|0.0000|BULLISH
EQR|2025-09-04 13:30|65.0000|65.3500|64.7400|65.1250|122472|0.1250|0.2250|0.2600|BULLISH
EQR|2025-09-04 14:30|65.1150|65.1632|64.8150|65.0100|109447|0.1050|0.0482|0.1950|BEARISH
EQR|2025-09-04 15:30|64.9900|65.0900|64.8300|64.8450|84646|0.1450|0.1000|0.0150|BEARISH
EQR|2025-09-04 16:30|64.8500|65.1000|64.8225|65.0999|151867|0.2499|0.0001|0.0275|BULLISH
EQR|2025-09-04 17:30|65.0816|65.3550|65.0000|65.3200|104845|0.2384|0.0350|0.0816|BULLISH
EQR|2025-09-04 18:30|65.3300|65.4850|65.2000|65.4700|143808|0.1400|0.0150|0.1300|BULLISH
EQR|2025-09-04 19:30|65.4650|65.6200|65.3950|65.6100|273626|0.1450|0.0100|0.0700|BULLISH
EQR|2025-09-05 13:30|66.0000|67.0700|65.8500|66.5800|290014|0.5800|0.4900|0.1500|BULLISH
EQR|2025-09-05 14:30|66.5700|66.6900|66.2200|66.6900|184454|0.1200|0.0000|0.3500|BULLISH
EQR|2025-09-05 15:30|66.6800|66.6800|66.4100|66.5200|158273|0.1600|0.0000|0.1100|BEARISH
EQR|2025-09-05 16:30|66.5150|66.5900|66.4300|66.4300|183731|0.0850|0.0750|0.0000|BEARISH
EQR|2025-09-05 17:30|66.4150|66.5500|66.3100|66.3400|235931|0.0750|0.1350|0.0300|BEARISH
EQR|2025-09-05 18:30|66.3400|66.7200|66.3400|66.6500|202895|0.3100|0.0700|0.0000|BULLISH
EQR|2025-09-05 19:30|66.6550|66.8300|66.6200|66.8100|424660|0.1550|0.0200|0.0350|BULLISH
EQR|2025-09-08 13:30|66.2200|66.6600|66.0000|66.1100|182048|0.1100|0.4400|0.1100|BEARISH
EQR|2025-09-08 14:30|66.1200|66.2750|66.0450|66.2700|132374|0.1500|0.0050|0.0750|BULLISH
EQR|2025-09-08 15:30|66.2900|66.3200|66.0600|66.0600|134965|0.2300|0.0300|0.0000|BEARISH
EQR|2025-09-08 16:30|66.0800|66.2200|66.0100|66.2150|83355|0.1350|0.0050|0.0700|BULLISH
EQR|2025-09-08 17:30|66.2150|66.4200|66.0150|66.1000|120259|0.1150|0.2050|0.0850|BEARISH
EQR|2025-09-08 18:30|66.1050|66.1400|65.8050|65.8350|177851|0.2700|0.0350|0.0300|BEARISH
EQR|2025-09-08 19:30|65.8350|66.4300|65.8150|66.3700|567267|0.5350|0.0600|0.0200|BULLISH
EQR|2025-09-09 13:30|66.3350|66.5800|66.0200|66.3350|130469|0.0000|0.2450|0.3150|BULLISH
EQR|2025-09-09 14:30|66.3400|66.5750|66.1325|66.5632|177333|0.2232|0.0118|0.2075|BULLISH
EQR|2025-09-09 15:30|66.5400|66.7600|66.3100|66.3600|146532|0.1800|0.2200|0.0500|BEARISH
EQR|2025-09-09 16:30|66.3774|66.5050|66.2500|66.4600|101419|0.0826|0.0450|0.1274|BULLISH
EQR|2025-09-09 17:30|66.4600|66.5400|66.4300|66.4500|121693|0.0100|0.0800|0.0200|BEARISH
EQR|2025-09-09 18:30|66.4500|66.4800|66.2700|66.3400|141023|0.1100|0.0300|0.0700|BEARISH
EQR|2025-09-09 19:30|66.3500|66.6900|66.3000|66.6300|258456|0.2800|0.0600|0.0500|BULLISH
EQR|2025-09-10 13:30|66.6200|67.1200|66.4250|66.6800|211815|0.0600|0.4400|0.1950|BULLISH
EQR|2025-09-10 14:30|66.6800|66.6900|66.3200|66.4200|173191|0.2600|0.0100|0.1000|BEARISH
EQR|2025-09-10 15:30|66.4300|66.4500|66.1100|66.1153|154425|0.3147|0.0200|0.0053|BEARISH
EQR|2025-09-10 16:30|66.1100|66.3600|66.0600|66.0700|81735|0.0400|0.2500|0.0100|BEARISH
EQR|2025-09-10 17:30|66.1000|66.1250|65.8500|66.0100|105692|0.0900|0.0250|0.1600|BEARISH
EQR|2025-09-10 18:30|66.0000|66.1400|65.8650|65.8800|170579|0.1200|0.1400|0.0150|BEARISH
EQR|2025-09-10 19:30|65.8700|65.9900|65.7300|65.8600|320757|0.0100|0.1200|0.1300|BEARISH
EQR|2025-09-11 13:30|65.8900|66.5053|65.5600|66.5053|127937|0.6153|0.0000|0.3300|BULLISH
EQR|2025-09-11 14:30|66.5100|66.5900|66.2900|66.2900|142223|0.2200|0.0800|0.0000|BEARISH
EQR|2025-09-11 15:30|66.2900|66.7300|66.2900|66.6100|105508|0.3200|0.1200|0.0000|BULLISH
EQR|2025-09-11 16:30|66.6100|66.6600|66.3800|66.4622|127945|0.1478|0.0500|0.0822|BEARISH
EQR|2025-09-11 17:30|66.4700|66.7400|66.4555|66.7100|113148|0.2400|0.0300|0.0145|BULLISH
EQR|2025-09-11 18:30|66.7100|66.9600|66.5700|66.9400|139745|0.2300|0.0200|0.1400|BULLISH
EQR|2025-09-11 19:30|66.9400|67.0500|66.8300|66.8600|306255|0.0800|0.1100|0.0300|BEARISH
EQR|2025-09-12 13:30|66.9200|67.1050|66.6450|66.6600|78313|0.2600|0.1850|0.0150|BEARISH
EQR|2025-09-12 14:30|66.6200|66.7000|66.5300|66.5500|70587|0.0700|0.0800|0.0200|BEARISH
EQR|2025-09-12 15:30|66.5800|66.6400|66.3900|66.6300|77367|0.0500|0.0100|0.1900|BULLISH
EQR|2025-09-12 16:30|66.6100|66.6801|66.5000|66.6100|89522|0.0000|0.0701|0.1100|BULLISH
EQR|2025-09-12 17:30|66.6200|66.7250|66.4600|66.7100|98705|0.0900|0.0150|0.1600|BULLISH
EQR|2025-09-12 18:30|66.7250|66.8050|66.6000|66.6700|178942|0.0550|0.0800|0.0700|BEARISH
EQR|2025-09-12 19:30|66.6800|66.7400|66.4450|66.4500|325518|0.2300|0.0600|0.0050|BEARISH
