Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
EQT|2025-09-02 13:30|51.2000|52.4050|51.0121|52.2600|1044170|1.0600|0.1450|0.1879|BULLISH
EQT|2025-09-02 14:30|52.2600|52.8100|52.1600|52.3900|810325|0.1300|0.4200|0.1000|BULLISH
EQT|2025-09-02 15:30|52.3800|52.5700|52.0050|52.0600|471601|0.3200|0.1900|0.0550|BEARISH
EQT|2025-09-02 16:30|52.0500|52.4350|51.8400|52.4216|585278|0.3716|0.0134|0.2100|BULLISH
EQT|2025-09-02 17:30|52.4100|52.5600|52.2150|52.4200|558327|0.0100|0.1400|0.1950|BULLISH
EQT|2025-09-02 18:30|52.4100|52.5300|52.1800|52.4450|660175|0.0350|0.0850|0.2300|BULLISH
EQT|2025-09-02 19:30|52.4800|52.6650|52.3400|52.3500|1358194|0.1300|0.1850|0.0100|BEARISH
EQT|2025-09-03 13:30|52.4200|53.0000|52.2000|52.4287|792968|0.0087|0.5713|0.2200|BULLISH
EQT|2025-09-03 14:30|52.4300|52.5450|51.7560|51.7700|606021|0.6600|0.1150|0.0140|BEARISH
EQT|2025-09-03 15:30|51.7701|52.1100|51.7600|51.7600|543227|0.0101|0.3399|0.0000|BEARISH
EQT|2025-09-03 16:30|51.7500|51.7600|51.2850|51.2950|381207|0.4550|0.0100|0.0100|BEARISH
EQT|2025-09-03 17:30|51.2985|51.6900|51.1100|51.6280|335928|0.3295|0.0620|0.1885|BULLISH
EQT|2025-09-03 18:30|51.6250|51.6700|51.3150|51.5250|499525|0.1000|0.0450|0.2100|BEARISH
EQT|2025-09-03 19:30|51.5250|51.6700|51.3800|51.5400|1061054|0.0150|0.1300|0.1450|BULLISH
EQT|2025-09-04 13:30|51.7500|52.0300|50.8220|50.8800|1127841|0.8700|0.2800|0.0580|BEARISH
EQT|2025-09-04 14:30|50.9100|51.0600|50.6600|50.9600|905394|0.0500|0.1000|0.2500|BULLISH
EQT|2025-09-04 15:30|50.9750|51.4842|50.9100|51.4600|529189|0.4850|0.0242|0.0650|BULLISH
EQT|2025-09-04 16:30|51.4500|51.5600|51.3100|51.4800|457251|0.0300|0.0800|0.1400|BULLISH
EQT|2025-09-04 17:30|51.4700|51.7250|51.4300|51.4900|308049|0.0200|0.2350|0.0400|BULLISH
EQT|2025-09-04 18:30|51.4900|51.7800|51.4600|51.7200|461200|0.2300|0.0600|0.0300|BULLISH
EQT|2025-09-04 19:30|51.7250|51.8300|51.6700|51.8100|614386|0.0850|0.0200|0.0550|BULLISH
EQT|2025-09-05 13:30|51.5700|51.9800|51.1800|51.6410|758895|0.0710|0.3390|0.3900|BULLISH
EQT|2025-09-05 14:30|51.6500|51.7000|50.5100|50.8400|827871|0.8100|0.0500|0.3300|BEARISH
EQT|2025-09-05 15:30|50.8550|51.0900|50.7300|50.8000|470827|0.0550|0.2350|0.0700|BEARISH
EQT|2025-09-05 16:30|50.8200|51.3000|50.8000|51.0600|373788|0.2400|0.2400|0.0200|BULLISH
EQT|2025-09-05 17:30|51.0500|51.3200|50.9000|51.2500|308308|0.2000|0.0700|0.1500|BULLISH
EQT|2025-09-05 18:30|51.2500|51.5515|51.2000|51.5200|501879|0.2700|0.0315|0.0500|BULLISH
EQT|2025-09-05 19:30|51.5200|51.6200|51.3900|51.6000|940002|0.0800|0.0200|0.1300|BULLISH
EQT|2025-09-08 13:30|52.3850|52.5600|50.6601|50.7700|1008630|1.6150|0.1750|0.1099|BEARISH
EQT|2025-09-08 14:30|50.8000|51.2200|50.7000|51.0950|941893|0.2950|0.1250|0.1000|BULLISH
EQT|2025-09-08 15:30|51.0900|51.2200|50.6500|51.2200|885063|0.1300|0.0000|0.4400|BULLISH
EQT|2025-09-08 16:30|51.2100|51.4100|51.1700|51.2800|487120|0.0700|0.1300|0.0400|BULLISH
EQT|2025-09-08 17:30|51.2900|51.3600|50.9750|50.9750|471223|0.3150|0.0700|0.0000|BEARISH
EQT|2025-09-08 18:30|50.9800|51.1790|50.6800|50.7450|549044|0.2350|0.1990|0.0650|BEARISH
EQT|2025-09-08 19:30|50.7500|50.8650|50.6600|50.7800|1051463|0.0300|0.0850|0.0900|BULLISH
EQT|2025-09-09 13:30|50.9400|51.4000|50.7100|50.7250|1082197|0.2150|0.4600|0.0150|BEARISH
EQT|2025-09-09 14:30|50.7100|50.8398|50.1850|50.2000|920441|0.5100|0.1298|0.0150|BEARISH
EQT|2025-09-09 15:30|50.2000|50.4800|50.0400|50.4300|495926|0.2300|0.0500|0.1600|BULLISH
