Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
ETN|2025-09-02 13:30|343.1300|344.3400|339.8900|344.0650|431688|0.9350|0.2750|3.2400|BULLISH
ETN|2025-09-02 14:30|344.3599|344.6000|342.5300|343.8750|194055|0.4849|0.2401|1.3450|BEARISH
ETN|2025-09-02 15:30|343.8600|343.8600|340.8472|341.2300|182971|2.6300|0.0000|0.3828|BEARISH
ETN|2025-09-02 16:30|341.1900|341.8900|340.9500|341.8750|173360|0.6850|0.0150|0.2400|BULLISH
ETN|2025-09-02 17:30|341.9800|342.9500|341.8200|342.0505|155178|0.0705|0.8995|0.1600|BULLISH
ETN|2025-09-02 18:30|342.0200|342.9800|341.8000|342.9000|233850|0.8800|0.0800|0.2200|BULLISH
ETN|2025-09-02 19:30|342.8400|343.7800|342.4700|343.7100|471829|0.8700|0.0700|0.3700|BULLISH
ETN|2025-09-03 13:30|345.7800|346.0650|341.8550|342.6450|199217|3.1350|0.2850|0.7900|BEARISH
ETN|2025-09-03 14:30|342.7600|343.4850|341.6100|341.6350|142120|1.1250|0.7250|0.0250|BEARISH
ETN|2025-09-03 15:30|341.6300|342.3300|341.4300|341.6608|114384|0.0308|0.6692|0.2000|BULLISH
ETN|2025-09-03 16:30|341.6501|341.6501|340.0900|340.7185|139093|0.9316|0.0000|0.6285|BEARISH
ETN|2025-09-03 17:30|340.7800|341.2235|339.9600|340.8600|125920|0.0800|0.3635|0.8200|BULLISH
ETN|2025-09-03 18:30|340.6900|340.8800|339.6600|339.9100|161836|0.7800|0.1900|0.2500|BEARISH
ETN|2025-09-03 19:30|339.9600|342.9900|339.9600|342.9400|354849|2.9800|0.0500|0.0000|BULLISH
ETN|2025-09-04 13:30|344.2200|345.0000|341.6100|344.4900|231718|0.2700|0.5100|2.6100|BULLISH
ETN|2025-09-04 14:30|344.4900|346.5200|344.3419|346.2100|216061|1.7200|0.3100|0.1481|BULLISH
ETN|2025-09-04 15:30|346.3900|346.7400|345.8300|345.9850|171206|0.4050|0.3500|0.1550|BEARISH
ETN|2025-09-04 16:30|345.9800|345.9800|345.0900|345.7900|128883|0.1900|0.0000|0.7000|BEARISH
ETN|2025-09-04 17:30|345.8400|347.1655|345.6500|346.5150|135055|0.6750|0.6505|0.1900|BULLISH
ETN|2025-09-04 18:30|346.5150|347.3400|346.5150|347.1700|153039|0.6550|0.1700|0.0000|BULLISH
ETN|2025-09-04 19:30|347.1800|348.2700|346.7900|348.2600|324585|1.0800|0.0100|0.3900|BULLISH
ETN|2025-09-05 13:30|350.4700|351.2800|342.6850|344.8050|539523|5.6650|0.8100|2.1200|BEARISH
ETN|2025-09-05 14:30|344.8050|346.3500|342.2700|344.3200|358905|0.4850|1.5450|2.0500|BEARISH
ETN|2025-09-05 15:30|344.3600|346.4000|343.5900|345.3900|207974|1.0300|1.0100|0.7700|BULLISH
ETN|2025-09-05 16:30|345.5100|346.8299|345.3500|346.4000|98409|0.8900|0.4299|0.1600|BULLISH
ETN|2025-09-05 17:30|346.3000|347.9200|345.5900|347.7524|85510|1.4524|0.1676|0.7100|BULLISH
ETN|2025-09-05 18:30|347.9850|349.7752|347.9850|349.4050|144777|1.4200|0.3702|0.0000|BULLISH
ETN|2025-09-05 19:30|349.3300|349.4200|348.1900|349.1500|254855|0.1800|0.0900|0.9600|BEARISH
ETN|2025-09-08 13:30|350.0000|350.7200|347.7650|349.6850|265922|0.3150|0.7200|1.9200|BEARISH
ETN|2025-09-08 14:30|349.6850|352.2400|348.9100|352.1200|169780|2.4350|0.1200|0.7750|BULLISH
ETN|2025-09-08 15:30|352.0950|352.5800|350.1300|350.4400|126789|1.6550|0.4850|0.3100|BEARISH
ETN|2025-09-08 16:30|350.3400|350.8800|349.7700|350.5750|151925|0.2350|0.3050|0.5700|BULLISH
ETN|2025-09-08 17:30|350.5950|350.6050|348.7600|349.6774|116161|0.9176|0.0100|0.9174|BEARISH
ETN|2025-09-08 18:30|349.5300|349.6000|348.3450|348.4000|125433|1.1300|0.0700|0.0550|BEARISH
ETN|2025-09-08 19:30|348.4300|349.7100|348.0200|349.6000|280509|1.1700|0.1100|0.4100|BULLISH
ETN|2025-09-09 13:30|348.5900|349.6850|345.3900|345.5317|201611|3.0583|1.0950|0.1417|BEARISH
ETN|2025-09-09 14:30|345.7101|346.0000|343.6400|344.6400|220364|1.0701|0.2899|1.0000|BEARISH
ETN|2025-09-09 15:30|344.6850|345.8800|344.3200|345.8800|143745|1.1950|0.0000|0.3650|BULLISH
ETN|2025-09-09 16:30|345.8450|346.6050|345.1300|345.3650|155921|0.4800|0.7600|0.2350|BEARISH
