Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
ETR|2025-09-02 13:30|87.6300|87.6800|86.8900|87.5700|247097|0.0600|0.0500|0.6800|BEARISH
ETR|2025-09-02 14:30|87.5800|88.0600|87.5750|87.9050|149928|0.3250|0.1550|0.0050|BULLISH
ETR|2025-09-02 15:30|87.8950|88.0700|87.3700|87.5100|158040|0.3850|0.1750|0.1400|BEARISH
ETR|2025-09-02 16:30|87.5100|87.5100|87.2000|87.3200|112672|0.1900|0.0000|0.1200|BEARISH
ETR|2025-09-02 17:30|87.3100|87.4900|87.2550|87.3150|159933|0.0050|0.1750|0.0550|BULLISH
ETR|2025-09-02 18:30|87.3200|87.3600|87.0500|87.1200|187750|0.2000|0.0400|0.0700|BEARISH
ETR|2025-09-02 19:30|87.1300|87.4200|87.1050|87.3900|296328|0.2600|0.0300|0.0250|BULLISH
ETR|2025-09-03 13:30|87.0400|87.5700|86.8300|87.5100|190764|0.4700|0.0600|0.2100|BULLISH
ETR|2025-09-03 14:30|87.4831|87.6400|87.2301|87.5201|190788|0.0370|0.1199|0.2530|BULLISH
ETR|2025-09-03 15:30|87.5500|87.5800|87.0600|87.0600|93868|0.4900|0.0300|0.0000|BEARISH
ETR|2025-09-03 16:30|87.0600|87.0600|86.7200|86.8300|73726|0.2300|0.0000|0.1100|BEARISH
ETR|2025-09-03 17:30|86.8270|87.1600|86.7100|87.0700|100284|0.2430|0.0900|0.1170|BULLISH
ETR|2025-09-03 18:30|87.0500|87.2300|86.8200|86.9500|180047|0.1000|0.1800|0.1300|BEARISH
ETR|2025-09-03 19:30|86.9600|87.3000|86.9350|87.1900|352115|0.2300|0.1100|0.0250|BULLISH
ETR|2025-09-04 13:30|88.7800|89.6000|88.2900|88.3600|553121|0.4200|0.8200|0.0700|BEARISH
ETR|2025-09-04 14:30|88.3550|88.8100|88.2200|88.2400|459340|0.1150|0.4550|0.0200|BEARISH
ETR|2025-09-04 15:30|88.2275|88.2500|87.5821|87.6800|322415|0.5475|0.0225|0.0979|BEARISH
ETR|2025-09-04 16:30|87.6700|88.1800|87.4475|88.0900|223810|0.4200|0.0900|0.2225|BULLISH
ETR|2025-09-04 17:30|88.0800|88.1550|87.5750|87.6200|247232|0.4600|0.0750|0.0450|BEARISH
ETR|2025-09-04 18:30|87.6200|88.0400|87.5900|87.9700|239811|0.3500|0.0700|0.0300|BULLISH
ETR|2025-09-04 19:30|87.9700|88.2800|87.9150|88.2000|714102|0.2300|0.0800|0.0550|BULLISH
ETR|2025-09-05 13:30|88.3200|88.5550|86.8100|86.9750|301117|1.3450|0.2350|0.1650|BEARISH
ETR|2025-09-05 14:30|86.9900|87.2400|86.8500|87.2250|180841|0.2350|0.0150|0.1400|BULLISH
ETR|2025-09-05 15:30|87.2600|87.2800|86.9400|87.0200|149337|0.2400|0.0200|0.0800|BEARISH
ETR|2025-09-05 16:30|87.0150|87.7100|87.0150|87.5200|196847|0.5050|0.1900|0.0000|BULLISH
