Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
ETSY|2025-09-02 13:30|52.1200|52.1500|51.2400|51.6000|780628|0.5200|0.0300|0.3600|BEARISH
ETSY|2025-09-02 14:30|51.5950|51.7800|51.2316|51.7000|657385|0.1050|0.0800|0.3634|BULLISH
ETSY|2025-09-02 15:30|51.6900|51.7100|51.1458|51.1600|425311|0.5300|0.0200|0.0142|BEARISH
ETSY|2025-09-02 16:30|51.1700|51.7400|51.1700|51.6500|399984|0.4800|0.0900|0.0000|BULLISH
ETSY|2025-09-02 17:30|51.6500|52.0000|51.6500|51.7646|489253|0.1146|0.2354|0.0000|BULLISH
ETSY|2025-09-02 18:30|51.7650|51.9450|51.6000|51.7400|509198|0.0250|0.1800|0.1400|BEARISH
ETSY|2025-09-02 19:30|51.7400|51.8250|51.6200|51.7300|972793|0.0100|0.0850|0.1100|BEARISH
ETSY|2025-09-03 13:30|51.3700|52.1885|51.1400|51.8200|627180|0.4500|0.3685|0.2300|BULLISH
ETSY|2025-09-03 14:30|51.8200|51.9700|51.5600|51.6150|303039|0.2050|0.1500|0.0550|BEARISH
ETSY|2025-09-03 15:30|51.6200|52.5500|51.5400|52.1800|705780|0.5600|0.3700|0.0800|BULLISH
ETSY|2025-09-03 16:30|52.1800|52.3900|52.0450|52.1950|376683|0.0150|0.1950|0.1350|BULLISH
ETSY|2025-09-03 17:30|52.2000|52.2200|51.7200|51.7800|336290|0.4200|0.0200|0.0600|BEARISH
ETSY|2025-09-03 18:30|51.7800|51.9000|51.5500|51.8950|548064|0.1150|0.0050|0.2300|BULLISH
ETSY|2025-09-03 19:30|51.8950|52.0300|51.7450|51.9600|805953|0.0650|0.0700|0.1500|BULLISH
ETSY|2025-09-04 13:30|51.7750|51.7750|50.2600|51.7200|1448973|0.0550|0.0000|1.4600|BEARISH
ETSY|2025-09-04 14:30|51.7500|52.4000|51.7500|52.1800|749533|0.4300|0.2200|0.0000|BULLISH
ETSY|2025-09-04 15:30|52.1900|52.3600|51.8000|52.0800|453840|0.1100|0.1700|0.2800|BEARISH
ETSY|2025-09-04 16:30|52.0850|52.2700|51.7900|51.8288|314094|0.2562|0.1850|0.0388|BEARISH
ETSY|2025-09-04 17:30|51.8200|52.0100|51.6000|52.0003|299672|0.1803|0.0097|0.2200|BULLISH
ETSY|2025-09-04 18:30|52.0100|52.3650|51.9700|52.1350|478733|0.1250|0.2300|0.0400|BULLISH
ETSY|2025-09-04 19:30|52.1400|52.3500|51.9850|52.2150|907186|0.0750|0.1350|0.1550|BULLISH
ETSY|2025-09-05 13:30|52.3600|53.8900|52.3500|53.2200|937774|0.8600|0.6700|0.0100|BULLISH
ETSY|2025-09-05 14:30|53.2300|53.8900|53.1400|53.5600|599793|0.3300|0.3300|0.0900|BULLISH
ETSY|2025-09-05 15:30|53.5800|54.1000|53.3850|53.8900|701245|0.3100|0.2100|0.1950|BULLISH
ETSY|2025-09-05 16:30|53.8800|53.9500|53.4500|53.4800|300362|0.4000|0.0700|0.0300|BEARISH
ETSY|2025-09-05 17:30|53.5000|53.7200|53.3600|53.4300|300781|0.0700|0.2200|0.0700|BEARISH
ETSY|2025-09-05 18:30|53.4200|53.9900|53.3500|53.9800|635834|0.5600|0.0100|0.0700|BULLISH
ETSY|2025-09-05 19:30|53.9800|54.0900|53.7700|54.0700|1106362|0.0900|0.0200|0.2100|BULLISH
ETSY|2025-09-08 13:30|54.2700|57.4100|54.1500|57.3700|2414818|3.1000|0.0400|0.1200|BULLISH
ETSY|2025-09-08 14:30|57.3400|58.3100|57.0900|57.9000|2111135|0.5600|0.4100|0.2500|BULLISH
ETSY|2025-09-08 15:30|57.9100|58.1000|57.6327|57.8600|758794|0.0500|0.1900|0.2273|BEARISH
ETSY|2025-09-08 16:30|57.9000|58.1150|57.6900|58.0800|577161|0.1800|0.0350|0.2100|BULLISH
ETSY|2025-09-08 17:30|58.0900|58.2200|57.7900|58.0350|601414|0.0550|0.1300|0.2450|BEARISH
ETSY|2025-09-08 18:30|58.0300|58.1800|57.9300|58.0700|670190|0.0400|0.1100|0.1000|BULLISH
ETSY|2025-09-08 19:30|58.0700|58.3350|57.7900|58.2100|1430599|0.1400|0.1250|0.2800|BULLISH
ETSY|2025-09-09 13:30|57.2100|57.2100|53.9700|55.7100|2316282|1.5000|0.0000|1.7400|BEARISH
ETSY|2025-09-09 14:30|55.7000|56.7700|55.6800|56.5845|1095859|0.8845|0.1855|0.0200|BULLISH
ETSY|2025-09-09 15:30|56.5600|56.7100|56.3205|56.6100|521924|0.0500|0.1000|0.2395|BULLISH
ETSY|2025-09-09 16:30|56.6100|56.7000|55.8350|56.2750|405386|0.3350|0.0900|0.4400|BEARISH
ETSY|2025-09-09 17:30|56.2600|56.6000|56.0850|56.5400|396799|0.2800|0.0600|0.1750|BULLISH
ETSY|2025-09-09 18:30|56.5200|57.6000|56.5050|57.4900|1067481|0.9700|0.1100|0.0150|BULLISH
ETSY|2025-09-09 19:30|57.5000|57.6800|55.9900|56.0200|1659358|1.4800|0.1800|0.0300|BEARISH
ETSY|2025-09-10 13:30|55.5100|56.5100|55.0000|56.3250|650224|0.8150|0.1850|0.5100|BULLISH
ETSY|2025-09-10 14:30|56.3200|57.1000|55.9550|57.1000|563669|0.7800|0.0000|0.3650|BULLISH
ETSY|2025-09-10 15:30|57.0950|57.2500|56.6150|57.0700|524189|0.0250|0.1550|0.4550|BEARISH
ETSY|2025-09-10 16:30|57.0700|57.6410|56.9050|57.6410|440144|0.5710|0.0000|0.1650|BULLISH
ETSY|2025-09-10 17:30|57.6400|58.2200|57.5700|58.1100|841087|0.4700|0.1100|0.0700|BULLISH
ETSY|2025-09-10 18:30|58.1000|58.4100|57.4300|57.4500|825041|0.6500|0.3100|0.0200|BEARISH
ETSY|2025-09-10 19:30|57.4250|57.9650|57.4250|57.8400|1029186|0.4150|0.1250|0.0000|BULLISH
ETSY|2025-09-11 13:30|59.4632|61.5000|58.6500|61.0600|2562178|1.5968|0.4400|0.8132|BULLISH
ETSY|2025-09-11 14:30|61.0200|61.3200|60.5659|60.6600|117166|0.3600|0.3000|0.0941|BEARISH
ETSY|2025-09-11 15:30|60.6600|60.9500|60.4400|60.9450|1534297|0.2850|0.0050|0.2200|BULLISH
ETSY|2025-09-11 16:30|60.9450|61.0050|60.2900|60.7800|457414|0.1650|0.0600|0.4900|BEARISH
ETSY|2025-09-11 17:30|60.7850|60.9295|60.1650|60.1750|375445|0.6100|0.1445|0.0100|BEARISH
ETSY|2025-09-11 18:30|60.1750|60.2100|59.4450|60.0100|792560|0.1650|0.0350|0.5650|BEARISH
ETSY|2025-09-11 19:30|60.0050|60.1000|59.2800|59.5800|1046989|0.4250|0.0950|0.3000|BEARISH
ETSY|2025-09-12 13:30|58.8600|59.5900|58.7100|58.8600|533768|0.0000|0.7300|0.1500|BULLISH
ETSY|2025-09-12 14:30|58.8800|59.0700|58.3650|58.4600|363785|0.4200|0.1900|0.0950|BEARISH
ETSY|2025-09-12 15:30|58.4700|58.5550|58.0900|58.3900|326810|0.0800|0.0850|0.3000|BEARISH
ETSY|2025-09-12 16:30|58.4100|58.5300|57.9600|58.0200|440381|0.3900|0.1200|0.0600|BEARISH
ETSY|2025-09-12 17:30|58.0200|58.3000|57.8500|58.1500|430842|0.1300|0.1500|0.1700|BULLISH
ETSY|2025-09-12 18:30|58.1400|58.7400|58.1300|58.2700|637036|0.1300|0.4700|0.0100|BULLISH
ETSY|2025-09-12 19:30|58.2800|59.0100|58.2600|58.9500|956753|0.6700|0.0600|0.0200|BULLISH
ETSY|2025-09-15 13:30|58.9100|59.2300|57.2100|57.8400|707163|1.0700|0.3200|0.6300|BEARISH
ETSY|2025-09-15 14:30|57.8700|58.0000|57.4600|57.7400|338530|0.1300|0.1300|0.2800|BEARISH
ETSY|2025-09-15 15:30|57.7700|57.8300|57.2100|57.3500|347472|0.4200|0.0600|0.1400|BEARISH
ETSY|2025-09-15 16:30|57.3600|57.4650|57.0600|57.0800|344864|0.2800|0.1050|0.0200|BEARISH
ETSY|2025-09-15 17:30|57.0900|57.4000|56.6650|56.6847|442261|0.4053|0.3100|0.0197|BEARISH
ETSY|2025-09-15 18:30|56.6650|57.0200|56.6300|56.8450|595396|0.1800|0.1750|0.0350|BULLISH
ETSY|2025-09-15 19:30|56.8000|58.0000|56.8000|57.8300|1282186|1.0300|0.1700|0.0000|BULLISH
ETSY|2025-09-16 13:30|57.8100|57.9500|55.9500|56.2800|1010066|1.5300|0.1400|0.3300|BEARISH
ETSY|2025-09-16 14:30|56.3100|56.7200|55.9600|56.7200|463515|0.4100|0.0000|0.3500|BULLISH
ETSY|2025-09-16 15:30|56.7100|57.1699|56.5900|57.0100|279200|0.3000|0.1599|0.1200|BULLISH
ETSY|2025-09-16 16:30|57.0000|57.3000|56.8500|57.2300|186033|0.2300|0.0700|0.1500|BULLISH
ETSY|2025-09-16 17:30|57.2100|58.4900|57.1800|58.4300|436240|1.2200|0.0600|0.0300|BULLISH
ETSY|2025-09-16 18:30|58.4300|59.2900|58.3400|59.2700|812966|0.8400|0.0200|0.0900|BULLISH
ETSY|2025-09-16 19:30|59.2900|59.6500|59.2100|59.4000|1463122|0.1100|0.2500|0.0800|BULLISH
ETSY|2025-09-17 13:30|59.4500|60.8400|59.1900|60.7950|803838|1.3450|0.0450|0.2600|BULLISH
ETSY|2025-09-17 14:30|60.8000|61.8450|60.7500|61.6650|794923|0.8650|0.1800|0.0500|BULLISH
ETSY|2025-09-17 15:30|61.6100|62.0000|60.9100|61.3700|615023|0.2400|0.3900|0.4600|BEARISH
ETSY|2025-09-17 16:30|61.3600|61.5450|60.9300|61.0600|229220|0.3000|0.1850|0.1300|BEARISH
ETSY|2025-09-17 17:30|61.0800|61.9390|60.9050|61.2300|387866|0.1500|0.7090|0.1750|BULLISH
ETSY|2025-09-17 18:30|61.2300|61.2500|60.1500|60.3900|720948|0.8400|0.0200|0.2400|BEARISH
ETSY|2025-09-17 19:30|60.3900|60.8400|60.0185|60.6600|804095|0.2700|0.1800|0.3715|BULLISH
