Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
EW|2025-09-02 13:30|80.7500|82.0400|80.1200|82.0200|765011|1.2700|0.0200|0.6300|BULLISH
EW|2025-09-02 14:30|82.0400|82.0500|81.6000|81.8400|425542|0.2000|0.0100|0.2400|BEARISH
EW|2025-09-02 15:30|81.8400|81.8400|81.3000|81.4500|262816|0.3900|0.0000|0.1500|BEARISH
EW|2025-09-02 16:30|81.4450|81.6400|81.3624|81.6100|132500|0.1650|0.0300|0.0826|BULLISH
EW|2025-09-02 17:30|81.6050|81.8200|81.6000|81.7750|141279|0.1700|0.0450|0.0050|BULLISH
EW|2025-09-02 18:30|81.7800|82.0000|81.6500|82.0000|201796|0.2200|0.0000|0.1300|BULLISH
EW|2025-09-02 19:30|82.0000|82.0200|81.6800|81.7700|661401|0.2300|0.0200|0.0900|BEARISH
EW|2025-09-03 13:30|81.7700|82.6650|81.2500|81.5650|315549|0.2050|0.8950|0.3150|BEARISH
EW|2025-09-03 14:30|81.5800|82.0000|81.5200|81.5500|213783|0.0300|0.4200|0.0300|BEARISH
EW|2025-09-03 15:30|81.5450|81.5700|80.9300|81.0400|262376|0.5050|0.0250|0.1100|BEARISH
EW|2025-09-03 16:30|81.0400|81.0800|80.0800|80.4800|200290|0.5600|0.0400|0.4000|BEARISH
EW|2025-09-03 17:30|80.4600|80.8150|80.3300|80.7600|326055|0.3000|0.0550|0.1300|BULLISH
EW|2025-09-03 18:30|80.7300|81.0100|80.7000|80.8600|281679|0.1300|0.1500|0.0300|BULLISH
EW|2025-09-03 19:30|80.8600|81.3000|80.8150|81.2300|706541|0.3700|0.0700|0.0450|BULLISH
EW|2025-09-04 13:30|81.0100|81.5700|80.5600|81.4500|313308|0.4400|0.1200|0.4500|BULLISH
EW|2025-09-04 14:30|81.4500|81.4500|81.1000|81.2700|190102|0.1800|0.0000|0.1700|BEARISH
EW|2025-09-04 15:30|81.2800|81.3400|81.1500|81.1900|165907|0.0900|0.0600|0.0400|BEARISH
EW|2025-09-04 16:30|81.2150|81.2150|80.5350|80.8900|257090|0.3250|0.0000|0.3550|BEARISH
EW|2025-09-04 17:30|80.8950|80.8950|80.6200|80.6400|200667|0.2550|0.0000|0.0200|BEARISH
EW|2025-09-04 18:30|80.6500|80.9800|80.5850|80.7500|264873|0.1000|0.2300|0.0650|BULLISH
EW|2025-09-04 19:30|80.7450|81.0200|80.6700|80.9600|633341|0.2150|0.0600|0.0750|BULLISH
EW|2025-09-05 13:30|80.7800|81.6200|80.5500|81.0800|404477|0.3000|0.5400|0.2300|BULLISH
EW|2025-09-05 14:30|81.0800|81.3100|80.8700|81.2800|194126|0.2000|0.0300|0.2100|BULLISH
EW|2025-09-05 15:30|81.2700|81.3150|81.0100|81.0100|123377|0.2600|0.0450|0.0000|BEARISH
EW|2025-09-05 16:30|81.0100|81.0100|80.6100|80.6650|173727|0.3450|0.0000|0.0550|BEARISH
EW|2025-09-05 17:30|80.6800|80.8700|80.4800|80.8200|175221|0.1400|0.0500|0.2000|BULLISH
EW|2025-09-05 18:30|80.8750|81.1800|80.8400|80.9500|189848|0.0750|0.2300|0.0350|BULLISH
EW|2025-09-05 19:30|80.9550|80.9600|80.5900|80.9150|539537|0.0400|0.0050|0.3250|BEARISH
EW|2025-09-08 13:30|80.5700|80.7950|79.8300|79.9450|387052|0.6250|0.2250|0.1150|BEARISH
EW|2025-09-08 14:30|79.9400|80.3000|79.6600|79.8700|431120|0.0700|0.3600|0.2100|BEARISH
EW|2025-09-08 15:30|79.8500|79.9300|79.7200|79.8000|319708|0.0500|0.0800|0.0800|BEARISH
EW|2025-09-08 16:30|79.8000|79.9550|79.5300|79.8900|281795|0.0900|0.0650|0.2700|BULLISH
EW|2025-09-08 17:30|79.8900|80.0700|79.8550|80.0300|185715|0.1400|0.0400|0.0350|BULLISH
EW|2025-09-08 18:30|80.0600|80.0800|79.7500|79.8500|244749|0.2100|0.0200|0.1000|BEARISH
EW|2025-09-08 19:30|79.8500|80.3450|79.7400|80.2400|723801|0.3900|0.1050|0.1100|BULLISH
EW|2025-09-09 13:30|80.2400|80.7350|79.5600|79.7625|340808|0.4775|0.4950|0.2025|BEARISH
EW|2025-09-09 14:30|79.7700|79.9200|79.5500|79.7600|282016|0.0100|0.1500|0.2100|BEARISH
EW|2025-09-09 15:30|79.7900|80.0900|79.5100|79.6600|209825|0.1300|0.3000|0.1500|BEARISH
EW|2025-09-09 16:30|79.6600|79.8600|79.5100|79.8550|173580|0.1950|0.0050|0.1500|BULLISH
EW|2025-09-09 17:30|79.7900|80.0500|79.7850|79.7850|187345|0.0050|0.2600|0.0000|BEARISH
EW|2025-09-09 18:30|79.7800|79.8800|79.6600|79.7400|223033|0.0400|0.1000|0.0800|BEARISH
EW|2025-09-09 19:30|79.7300|79.9350|79.6900|79.8300|472694|0.1000|0.1050|0.0400|BULLISH
EW|2025-09-10 13:30|80.1750|80.4500|78.8200|78.8400|425956|1.3350|0.2750|0.0200|BEARISH
EW|2025-09-10 14:30|78.8400|79.0400|78.1750|78.5600|465637|0.2800|0.2000|0.3850|BEARISH
EW|2025-09-10 15:30|78.5600|78.7300|78.1300|78.1950|334295|0.3650|0.1700|0.0650|BEARISH
EW|2025-09-10 16:30|78.1950|78.2100|77.9000|77.9650|331786|0.2300|0.0150|0.0650|BEARISH
EW|2025-09-10 17:30|77.9400|78.2400|77.8900|77.9900|382230|0.0500|0.2500|0.0500|BULLISH
EW|2025-09-10 18:30|77.9900|78.1800|77.9300|78.0700|425317|0.0800|0.1100|0.0600|BULLISH
EW|2025-09-10 19:30|78.0900|78.3900|78.0700|78.2900|553622|0.2000|0.1000|0.0200|BULLISH
EW|2025-09-11 13:30|78.2400|78.5400|77.9300|77.9400|323810|0.3000|0.3000|0.0100|BEARISH
EW|2025-09-11 14:30|77.9400|77.9900|77.5500|77.6000|515213|0.3400|0.0500|0.0500|BEARISH
EW|2025-09-11 15:30|77.6000|77.9000|77.4900|77.7300|334931|0.1300|0.1700|0.1100|BULLISH
EW|2025-09-11 16:30|77.7300|77.7400|77.2350|77.2400|662781|0.4900|0.0100|0.0050|BEARISH
EW|2025-09-11 17:30|77.2400|77.8200|77.1400|77.8100|475053|0.5700|0.0100|0.1000|BULLISH
EW|2025-09-11 18:30|77.8067|78.0600|77.6800|77.9850|573416|0.1783|0.0750|0.1267|BULLISH
EW|2025-09-11 19:30|77.9800|78.1300|77.7700|77.9850|963032|0.0050|0.1450|0.2100|BULLISH
EW|2025-09-12 13:30|77.4900|77.8250|76.8400|77.3500|606949|0.1400|0.3350|0.5100|BEARISH
EW|2025-09-12 14:30|77.3550|77.4600|76.9950|77.0350|532477|0.3200|0.1050|0.0400|BEARISH
EW|2025-09-12 15:30|77.0350|77.0600|76.5600|76.6900|477347|0.3450|0.0250|0.1300|BEARISH
EW|2025-09-12 16:30|76.6800|76.7750|76.4900|76.7750|306879|0.0950|0.0000|0.1900|BULLISH
EW|2025-09-12 17:30|76.7900|76.9900|76.5650|76.9300|414766|0.1400|0.0600|0.2250|BULLISH
EW|2025-09-12 18:30|76.9300|77.3600|76.9200|77.3500|478256|0.4200|0.0100|0.0100|BULLISH
EW|2025-09-12 19:30|77.3500|77.6600|77.1900|77.6000|1532437|0.2500|0.0600|0.1600|BULLISH
EW|2025-09-15 13:30|77.6400|78.1000|77.2000|77.7800|378397|0.1400|0.3200|0.4400|BULLISH
EW|2025-09-15 14:30|77.7800|77.9601|77.4400|77.4800|291482|0.3000|0.1801|0.0400|BEARISH
EW|2025-09-15 15:30|77.4900|77.5600|76.7900|76.8100|411155|0.6800|0.0700|0.0200|BEARISH
EW|2025-09-15 16:30|76.8042|76.9700|76.5900|76.7000|343861|0.1042|0.1658|0.1100|BEARISH
EW|2025-09-15 17:30|76.6950|76.7800|76.5000|76.5200|276800|0.1750|0.0850|0.0200|BEARISH
EW|2025-09-15 18:30|76.5000|76.7600|76.4800|76.5400|474565|0.0400|0.2200|0.0200|BULLISH
EW|2025-09-15 19:30|76.5400|76.5400|75.9900|76.0500|1004755|0.4900|0.0000|0.0600|BEARISH
EW|2025-09-16 13:30|75.7300|76.0750|74.8900|75.7350|926723|0.0050|0.3400|0.8400|BULLISH
EW|2025-09-16 14:30|75.7200|75.9300|75.4900|75.6100|590671|0.1100|0.2100|0.1200|BEARISH
EW|2025-09-16 15:30|75.6100|75.6100|75.2600|75.3600|272665|0.2500|0.0000|0.1000|BEARISH
EW|2025-09-16 16:30|75.3500|75.3500|75.0900|75.1800|315036|0.1700|0.0000|0.0900|BEARISH
EW|2025-09-16 17:30|75.1700|75.3200|74.9200|75.2750|537974|0.1050|0.0450|0.2500|BULLISH
EW|2025-09-16 18:30|75.2700|75.6900|75.2400|75.3700|457775|0.1000|0.3200|0.0300|BULLISH
EW|2025-09-16 19:30|75.3600|75.3900|75.0000|75.0950|1180233|0.2650|0.0300|0.0950|BEARISH
EW|2025-09-17 13:30|75.4200|76.4300|75.3300|75.7400|797959|0.3200|0.6900|0.0900|BULLISH
EW|2025-09-17 14:30|75.7150|75.8600|75.3300|75.4600|465810|0.2550|0.1450|0.1300|BEARISH
EW|2025-09-17 15:30|75.4800|75.5300|75.1600|75.2600|391745|0.2200|0.0500|0.1000|BEARISH
EW|2025-09-17 16:30|75.2500|75.4900|75.1100|75.2350|488695|0.0150|0.2400|0.1250|BEARISH
EW|2025-09-17 17:30|75.2350|75.5300|75.1500|75.3100|488217|0.0750|0.2200|0.0850|BULLISH
EW|2025-09-17 18:30|75.3000|75.3000|74.7900|75.1600|510154|0.1400|0.0000|0.3700|BEARISH
EW|2025-09-17 19:30|75.1600|75.4100|74.9600|75.2100|844783|0.0500|0.2000|0.2000|BULLISH
EW|2025-09-18 13:30|75.3000|75.9200|73.8800|73.9000|681436|1.4000|0.6200|0.0200|BEARISH
EW|2025-09-18 14:30|73.8900|74.3700|73.0500|73.6000|1289806|0.2900|0.4800|0.5500|BEARISH
EW|2025-09-18 15:30|73.5750|73.8300|73.3200|73.5950|990062|0.0200|0.2350|0.2550|BULLISH
EW|2025-09-18 16:30|73.5900|74.2500|73.5600|74.1850|518326|0.5950|0.0650|0.0300|BULLISH
EW|2025-09-18 17:30|74.1600|74.6200|73.9600|74.5800|1077231|0.4200|0.0400|0.2000|BULLISH
EW|2025-09-18 18:30|74.6000|74.7600|74.4500|74.4500|777155|0.1500|0.1600|0.0000|BEARISH
EW|2025-09-18 19:30|74.4600|74.7000|74.1200|74.5500|1658663|0.0900|0.1500|0.3400|BULLISH
EW|2025-09-19 13:30|74.4550|74.7500|74.1600|74.2900|1282181|0.1650|0.2950|0.1300|BEARISH
EW|2025-09-19 14:30|74.2950|74.5200|74.0000|74.1150|607020|0.1800|0.2250|0.1150|BEARISH
EW|2025-09-19 15:30|74.1300|74.4250|74.0800|74.2200|350423|0.0900|0.2050|0.0500|BULLISH
EW|2025-09-19 16:30|74.2100|74.4600|74.0200|74.4200|277631|0.2100|0.0400|0.1900|BULLISH
EW|2025-09-19 17:30|74.4100|74.6000|74.3548|74.4500|351122|0.0400|0.1500|0.0552|BULLISH
EW|2025-09-19 18:30|74.4500|74.5350|74.3250|74.4200|395897|0.0300|0.0850|0.0950|BEARISH
EW|2025-09-19 19:30|74.4200|74.6000|74.3200|74.3900|1051076|0.0300|0.1800|0.0700|BEARISH
EW|2025-09-22 13:30|74.2000|74.5550|73.3800|73.9700|630162|0.2300|0.3550|0.5900|BEARISH
