Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
EXPD|2025-09-02 13:30|119.3800|120.5000|119.2750|119.9500|111601|0.5700|0.5500|0.1050|BULLISH
EXPD|2025-09-02 14:30|120.0500|120.1900|119.8600|119.8950|111482|0.1550|0.1400|0.0350|BEARISH
EXPD|2025-09-02 15:30|119.8700|120.0300|119.6700|119.7400|119484|0.1300|0.1600|0.0700|BEARISH
EXPD|2025-09-02 16:30|119.7700|119.7900|119.4500|119.7800|130024|0.0100|0.0100|0.3200|BULLISH
EXPD|2025-09-02 17:30|119.7959|120.2000|119.4600|120.1984|253028|0.4025|0.0016|0.3359|BULLISH
EXPD|2025-09-02 18:30|120.1800|120.4900|120.0750|120.4600|140475|0.2800|0.0300|0.1050|BULLISH
EXPD|2025-09-02 19:30|120.4750|120.8800|120.4150|120.8350|256013|0.3600|0.0450|0.0600|BULLISH
EXPD|2025-09-03 13:30|120.8100|121.4500|119.8050|119.8400|151506|0.9700|0.6400|0.0350|BEARISH
EXPD|2025-09-03 14:30|119.8400|120.1700|119.6400|119.9550|151337|0.1150|0.2150|0.2000|BULLISH
EXPD|2025-09-03 15:30|119.9500|120.3100|119.9100|120.2300|99754|0.2800|0.0800|0.0400|BULLISH
EXPD|2025-09-03 16:30|120.2450|120.7300|120.2450|120.6650|69128|0.4200|0.0650|0.0000|BULLISH
EXPD|2025-09-03 17:30|120.6650|120.6650|120.2300|120.5600|102726|0.1050|0.0000|0.3300|BEARISH
EXPD|2025-09-03 18:30|120.5400|120.5400|119.9700|120.0300|161823|0.5100|0.0000|0.0600|BEARISH
EXPD|2025-09-03 19:30|120.0100|120.4000|120.0100|120.3850|241944|0.3750|0.0150|0.0000|BULLISH
EXPD|2025-09-04 13:30|120.8600|120.8600|119.3800|120.3450|69700|0.5150|0.0000|0.9650|BEARISH
EXPD|2025-09-04 14:30|120.3450|121.0500|120.2600|121.0300|53185|0.6850|0.0200|0.0850|BULLISH
EXPD|2025-09-04 15:30|121.0350|121.3100|121.0200|121.2400|59596|0.2050|0.0700|0.0150|BULLISH
EXPD|2025-09-04 16:30|121.2900|121.3400|120.9200|121.0500|60594|0.2400|0.0500|0.1300|BEARISH
EXPD|2025-09-04 17:30|121.0200|121.1540|120.8257|121.0550|71768|0.0350|0.0990|0.1943|BULLISH
EXPD|2025-09-04 18:30|121.0550|121.3000|120.8400|121.1050|105802|0.0500|0.1950|0.2150|BULLISH
EXPD|2025-09-04 19:30|121.0950|121.6800|121.0300|121.6400|181978|0.5450|0.0400|0.0650|BULLISH
EXPD|2025-09-05 13:30|121.9200|123.1300|121.7400|121.9100|141865|0.0100|1.2100|0.1700|BEARISH
EXPD|2025-09-05 14:30|121.8500|122.2300|121.5000|122.0650|85847|0.2150|0.1650|0.3500|BULLISH
EXPD|2025-09-05 15:30|122.0650|122.2950|121.4150|121.6050|50767|0.4600|0.2300|0.1900|BEARISH
EXPD|2025-09-05 16:30|121.5700|121.6250|120.9400|120.9500|64122|0.6200|0.0550|0.0100|BEARISH
EXPD|2025-09-05 17:30|120.9700|121.0050|120.4818|120.5200|112414|0.4500|0.0350|0.0382|BEARISH
EXPD|2025-09-05 18:30|120.5700|121.0100|120.5050|120.9000|126546|0.3300|0.1100|0.0650|BULLISH
EXPD|2025-09-05 19:30|120.9000|121.3250|120.7300|120.9000|271797|0.0000|0.4250|0.1700|BULLISH
EXPD|2025-09-08 13:30|120.8800|121.2250|119.8150|120.7300|102882|0.1500|0.3450|0.9150|BEARISH
EXPD|2025-09-08 14:30|120.7300|121.6100|120.7300|121.6100|77673|0.8800|0.0000|0.0000|BULLISH
EXPD|2025-09-08 15:30|121.5800|121.7900|120.9700|120.9700|136958|0.6100|0.2100|0.0000|BEARISH
EXPD|2025-09-08 16:30|121.0300|121.1400|120.6700|120.9500|358180|0.0800|0.1100|0.2800|BEARISH
EXPD|2025-09-08 17:30|120.9000|121.2500|120.6000|121.2500|340583|0.3500|0.0000|0.3000|BULLISH
EXPD|2025-09-08 18:30|121.2400|121.4900|121.0000|121.0600|183137|0.1800|0.2500|0.0600|BEARISH
EXPD|2025-09-08 19:30|121.1000|121.8850|121.0550|121.7700|305563|0.6700|0.1150|0.0450|BULLISH
EXPD|2025-09-09 13:30|121.2650|121.7400|120.8700|120.9700|102493|0.2950|0.4750|0.1000|BEARISH
EXPD|2025-09-09 14:30|120.9300|120.9400|120.5000|120.8700|93010|0.0600|0.0100|0.3700|BEARISH
EXPD|2025-09-09 15:30|120.8700|121.1200|120.6400|121.0950|73409|0.2250|0.0250|0.2300|BULLISH
EXPD|2025-09-09 16:30|121.0950|121.2000|120.8000|121.1500|81298|0.0550|0.0500|0.2950|BULLISH
EXPD|2025-09-09 17:30|121.2000|121.4200|121.1600|121.2700|108462|0.0700|0.1500|0.0400|BULLISH
EXPD|2025-09-09 18:30|121.3000|121.3000|120.6000|120.6650|138988|0.6350|0.0000|0.0650|BEARISH
EXPD|2025-09-09 19:30|120.6700|121.1700|120.5750|120.9800|241514|0.3100|0.1900|0.0950|BULLISH
EXPD|2025-09-10 13:30|120.3100|121.5000|120.0800|120.6650|114395|0.3550|0.8350|0.2300|BULLISH
EXPD|2025-09-10 14:30|120.6600|120.6600|119.8300|119.9600|163048|0.7000|0.0000|0.1300|BEARISH
EXPD|2025-09-10 15:30|119.9600|120.2900|119.7900|119.8000|71950|0.1600|0.3300|0.0100|BEARISH
EXPD|2025-09-10 16:30|119.8050|120.3200|119.7700|120.1850|90050|0.3800|0.1350|0.0350|BULLISH
EXPD|2025-09-10 17:30|120.1850|121.1100|120.1300|121.0450|109415|0.8600|0.0650|0.0550|BULLISH
EXPD|2025-09-10 18:30|120.9500|121.7900|120.9500|121.4590|241640|0.5090|0.3310|0.0000|BULLISH
EXPD|2025-09-10 19:30|121.4700|122.0100|121.2800|121.3650|364723|0.1050|0.5400|0.0850|BEARISH
EXPD|2025-09-11 13:30|121.2800|123.6500|120.8000|123.3800|186131|2.1000|0.2700|0.4800|BULLISH
EXPD|2025-09-11 14:30|123.3600|123.9800|123.2850|123.5850|113175|0.2250|0.3950|0.0750|BULLISH
EXPD|2025-09-11 15:30|123.5900|123.5900|122.7850|122.9900|75690|0.6000|0.0000|0.2050|BEARISH
EXPD|2025-09-11 16:30|123.0000|123.2200|122.9200|123.1300|78848|0.1300|0.0900|0.0800|BULLISH
EXPD|2025-09-11 17:30|123.1300|123.4425|123.0200|123.0700|80463|0.0600|0.3125|0.0500|BEARISH
EXPD|2025-09-11 18:30|123.1000|123.3100|122.9900|123.0650|95183|0.0350|0.2100|0.0750|BEARISH
EXPD|2025-09-11 19:30|123.0650|123.6600|123.0200|123.3100|217346|0.2450|0.3500|0.0450|BULLISH
EXPD|2025-09-12 13:30|122.7800|123.4950|122.4600|122.9200|132509|0.1400|0.5750|0.3200|BULLISH
EXPD|2025-09-12 14:30|122.8900|123.3000|122.7700|122.7840|121861|0.1060|0.4100|0.0140|BEARISH
EXPD|2025-09-12 15:30|122.7800|123.3500|122.6800|123.1000|273935|0.3200|0.2500|0.1000|BULLISH
EXPD|2025-09-12 16:30|123.1200|123.8100|123.0950|123.7500|49534|0.6300|0.0600|0.0250|BULLISH
EXPD|2025-09-12 17:30|123.7500|123.9050|123.6600|123.8250|58917|0.0750|0.0800|0.0900|BULLISH
EXPD|2025-09-12 18:30|123.8000|124.0250|123.6300|123.6650|82967|0.1350|0.2250|0.0350|BEARISH
EXPD|2025-09-12 19:30|123.6600|123.9750|123.2900|123.5400|177427|0.1200|0.3150|0.2500|BEARISH
EXPD|2025-09-15 13:30|123.8700|124.0800|123.2750|123.9650|77959|0.0950|0.1150|0.5950|BULLISH
EXPD|2025-09-15 14:30|124.0400|124.4550|123.8550|124.1300|50921|0.0900|0.3250|0.1850|BULLISH
EXPD|2025-09-15 15:30|124.1300|124.6300|123.9800|124.6250|47770|0.4950|0.0050|0.1500|BULLISH
EXPD|2025-09-15 16:30|124.6000|124.8400|124.5100|124.5750|63384|0.0250|0.2400|0.0650|BEARISH
EXPD|2025-09-15 17:30|124.5750|125.1100|124.5650|124.8000|71876|0.2250|0.3100|0.0100|BULLISH
EXPD|2025-09-15 18:30|124.7800|124.7800|124.0500|124.5100|92317|0.2700|0.0000|0.4600|BEARISH
EXPD|2025-09-15 19:30|124.4600|124.7100|124.1000|124.2000|232794|0.2600|0.2500|0.1000|BEARISH
EXPD|2025-09-16 13:30|124.3200|124.8500|124.1250|124.4050|90143|0.0850|0.4450|0.1950|BULLISH
EXPD|2025-09-16 14:30|124.4050|124.9500|124.3800|124.6100|65300|0.2050|0.3400|0.0250|BULLISH
EXPD|2025-09-16 15:30|124.6691|124.8050|124.3200|124.6200|64411|0.0491|0.1359|0.3000|BEARISH
EXPD|2025-09-16 16:30|124.6250|124.9600|124.6250|124.9300|56687|0.3050|0.0300|0.0000|BULLISH
EXPD|2025-09-16 17:30|124.9100|125.3450|124.8750|125.3450|80808|0.4350|0.0000|0.0350|BULLISH
EXPD|2025-09-16 18:30|125.3500|125.5650|125.0300|125.0750|126699|0.2750|0.2150|0.0450|BEARISH
EXPD|2025-09-16 19:30|125.0600|125.0600|124.6400|124.7600|157526|0.3000|0.0000|0.1200|BEARISH
EXPD|2025-09-17 13:30|124.9000|125.6500|124.7800|125.6100|49613|0.7100|0.0400|0.1200|BULLISH
EXPD|2025-09-17 14:30|125.5400|125.9100|125.3800|125.7300|49979|0.1900|0.1800|0.1600|BULLISH
