Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
EXR|2025-09-02 13:30|142.1000|142.6300|141.7800|142.0500|115539|0.0500|0.5300|0.2700|BEARISH
EXR|2025-09-02 14:30|142.1100|142.2500|141.3600|141.9000|104580|0.2100|0.1400|0.5400|BEARISH
EXR|2025-09-02 15:30|141.8350|141.8540|141.2800|141.3400|92869|0.4950|0.0190|0.0600|BEARISH
EXR|2025-09-02 16:30|141.3400|141.8200|141.2000|141.5300|105641|0.1900|0.2900|0.1400|BULLISH
EXR|2025-09-02 17:30|141.6200|141.6900|140.7150|140.8500|91627|0.7700|0.0700|0.1350|BEARISH
EXR|2025-09-02 18:30|140.8800|140.8800|140.5000|140.6200|107293|0.2600|0.0000|0.1200|BEARISH
EXR|2025-09-02 19:30|140.6300|140.9800|140.4700|140.8300|287744|0.2000|0.1500|0.1600|BULLISH
EXR|2025-09-03 13:30|140.6400|142.6200|140.5600|142.2300|90303|1.5900|0.3900|0.0800|BULLISH
EXR|2025-09-03 14:30|142.3800|143.1700|142.2700|142.5250|95593|0.1450|0.6450|0.1100|BULLISH
EXR|2025-09-03 15:30|142.5800|142.8800|142.1280|142.4000|112526|0.1800|0.3000|0.2720|BEARISH
EXR|2025-09-03 16:30|142.4500|143.0800|142.4500|143.0300|54713|0.5800|0.0500|0.0000|BULLISH
EXR|2025-09-03 17:30|143.0700|143.0700|142.4800|142.9200|79810|0.1500|0.0000|0.4400|BEARISH
EXR|2025-09-03 18:30|142.9200|143.0400|142.4000|142.5150|76067|0.4050|0.1200|0.1150|BEARISH
EXR|2025-09-03 19:30|142.5300|143.1700|142.5300|143.1700|208097|0.6400|0.0000|0.0000|BULLISH
EXR|2025-09-04 13:30|144.1700|144.3100|142.9500|143.4500|99575|0.7200|0.1400|0.5000|BEARISH
EXR|2025-09-04 14:30|143.3500|143.4400|142.4000|142.6200|169601|0.7300|0.0900|0.2200|BEARISH
EXR|2025-09-04 15:30|142.5900|142.8500|142.1750|142.2450|117294|0.3450|0.2600|0.0700|BEARISH
EXR|2025-09-04 16:30|142.2400|142.3200|142.0000|142.2668|117278|0.0268|0.0532|0.2400|BULLISH
EXR|2025-09-04 17:30|142.2700|142.9200|141.9612|142.6950|168138|0.4250|0.2250|0.3088|BULLISH
EXR|2025-09-04 18:30|142.6950|143.5700|142.6600|143.4850|233069|0.7900|0.0850|0.0350|BULLISH
EXR|2025-09-04 19:30|143.4850|143.9300|143.4100|143.8200|303071|0.3350|0.1100|0.0750|BULLISH
EXR|2025-09-05 13:30|144.9800|148.0022|144.6900|146.5500|118139|1.5700|1.4522|0.2900|BULLISH
EXR|2025-09-05 14:30|146.6300|146.6300|145.5800|146.5200|182680|0.1100|0.0000|0.9400|BEARISH
EXR|2025-09-05 15:30|146.5300|146.7600|146.0600|146.4188|61784|0.1112|0.2300|0.3588|BEARISH
EXR|2025-09-05 16:30|146.4900|146.6600|146.1450|146.2900|69324|0.2000|0.1700|0.1450|BEARISH
EXR|2025-09-05 17:30|146.2250|146.3600|146.0000|146.0900|84774|0.1350|0.1350|0.0900|BEARISH
EXR|2025-09-05 18:30|146.1700|147.2400|146.1700|147.0100|191812|0.8400|0.2300|0.0000|BULLISH
EXR|2025-09-05 19:30|147.0100|147.5500|146.9100|147.3000|262514|0.2900|0.2500|0.1000|BULLISH
EXR|2025-09-08 13:30|145.1700|146.2900|144.1100|144.7500|139104|0.4200|1.1200|0.6400|BEARISH
EXR|2025-09-08 14:30|144.6700|146.1100|144.5600|146.0700|164688|1.4000|0.0400|0.1100|BULLISH
EXR|2025-09-08 15:30|146.0650|146.5600|145.6600|145.9800|167118|0.0850|0.4950|0.3200|BEARISH
EXR|2025-09-08 16:30|146.0150|146.3500|145.8567|146.3400|87718|0.3250|0.0100|0.1583|BULLISH
EXR|2025-09-08 17:30|146.3500|146.4000|145.5150|145.7500|109948|0.6000|0.0500|0.2350|BEARISH
EXR|2025-09-08 18:30|145.7300|145.9700|145.3550|145.6100|150633|0.1200|0.2400|0.2550|BEARISH
EXR|2025-09-08 19:30|145.6200|147.1500|145.6050|147.0400|373020|1.4200|0.1100|0.0150|BULLISH
EXR|2025-09-09 13:30|145.9200|146.9800|145.3450|145.3450|214095|0.5750|1.0600|0.0000|BEARISH
EXR|2025-09-09 14:30|145.3450|145.5250|145.0000|145.4000|108641|0.0550|0.1250|0.3450|BULLISH
EXR|2025-09-09 15:30|145.4278|145.5100|144.6100|144.8200|76460|0.6078|0.0822|0.2100|BEARISH
EXR|2025-09-09 16:30|144.9150|145.1400|144.6500|145.0000|50846|0.0850|0.1400|0.2650|BULLISH
EXR|2025-09-09 17:30|145.0250|145.0250|144.6600|144.7300|104578|0.2950|0.0000|0.0700|BEARISH
EXR|2025-09-09 18:30|144.7850|144.7850|143.9150|144.1000|201589|0.6850|0.0000|0.1850|BEARISH
EXR|2025-09-09 19:30|144.1100|144.8900|143.9150|144.8400|227476|0.7300|0.0500|0.1950|BULLISH
EXR|2025-09-10 13:30|145.0000|145.2800|144.5800|144.9900|112615|0.0100|0.2800|0.4100|BEARISH
EXR|2025-09-10 14:30|144.9900|145.5000|144.7900|145.4750|64066|0.4850|0.0250|0.2000|BULLISH
EXR|2025-09-10 15:30|145.4750|145.6000|145.1700|145.2100|46175|0.2650|0.1250|0.0400|BEARISH
EXR|2025-09-10 16:30|145.2100|145.5800|144.9700|145.0100|52759|0.2000|0.3700|0.0400|BEARISH
EXR|2025-09-10 17:30|145.0200|145.3300|144.9900|145.2050|60253|0.1850|0.1250|0.0300|BULLISH
EXR|2025-09-10 18:30|145.2400|145.4150|144.9500|145.0000|108481|0.2400|0.1750|0.0500|BEARISH
EXR|2025-09-10 19:30|145.0000|145.5000|144.9300|145.1000|258214|0.1000|0.4000|0.0700|BULLISH
EXR|2025-09-11 13:30|145.0400|147.2850|145.0100|146.8000|84651|1.7600|0.4850|0.0300|BULLISH
EXR|2025-09-11 14:30|146.6600|147.5300|146.5600|147.4200|46662|0.7600|0.1100|0.1000|BULLISH
EXR|2025-09-11 15:30|147.4250|148.5600|147.3800|148.3700|71474|0.9450|0.1900|0.0450|BULLISH
EXR|2025-09-11 16:30|148.3550|148.4400|147.6400|147.8600|92238|0.4950|0.0850|0.2200|BEARISH
EXR|2025-09-11 17:30|147.8900|148.0100|147.5500|147.8700|71330|0.0200|0.1200|0.3200|BEARISH
EXR|2025-09-11 18:30|147.8300|148.0500|147.6500|147.9950|105182|0.1650|0.0550|0.1800|BULLISH
EXR|2025-09-11 19:30|148.0000|148.5500|147.9100|148.3100|168751|0.3100|0.2400|0.0900|BULLISH
EXR|2025-09-12 13:30|148.3100|149.3100|147.3650|148.3300|94893|0.0200|0.9800|0.9450|BULLISH
EXR|2025-09-12 14:30|148.3300|148.5400|147.6500|147.6500|100209|0.6800|0.2100|0.0000|BEARISH
EXR|2025-09-12 15:30|147.6950|147.8200|147.3150|147.8200|84080|0.1250|0.0000|0.3800|BULLISH
EXR|2025-09-12 16:30|147.8200|148.1300|147.5500|147.5500|80368|0.2700|0.3100|0.0000|BEARISH
EXR|2025-09-12 17:30|147.6475|147.9500|147.3500|147.9500|129818|0.3025|0.0000|0.2975|BULLISH
EXR|2025-09-12 18:30|147.9500|148.1700|147.5000|147.5000|167412|0.4500|0.2200|0.0000|BEARISH
EXR|2025-09-12 19:30|147.5100|148.0200|147.0600|147.0600|277628|0.4500|0.5100|0.0000|BEARISH
EXR|2025-09-15 13:30|146.4550|147.1500|144.4600|145.0700|119835|1.3850|0.6950|0.6100|BEARISH
EXR|2025-09-15 14:30|145.0000|145.3150|144.3900|144.5000|92522|0.5000|0.3150|0.1100|BEARISH
EXR|2025-09-15 15:30|144.2900|144.5200|143.6900|144.1200|51514|0.1700|0.2300|0.4300|BEARISH
EXR|2025-09-15 16:30|144.0300|144.1150|143.5800|143.6028|84722|0.4272|0.0850|0.0228|BEARISH
EXR|2025-09-15 17:30|143.7200|144.6000|143.6900|144.0600|95544|0.3400|0.5400|0.0300|BULLISH
EXR|2025-09-15 18:30|144.0500|144.2400|143.6000|144.0900|79983|0.0400|0.1500|0.4500|BULLISH
EXR|2025-09-15 19:30|144.1500|144.2500|143.6950|143.7300|201000|0.4200|0.1000|0.0350|BEARISH
EXR|2025-09-16 13:30|143.3600|144.3500|143.0800|143.6700|109194|0.3100|0.6800|0.2800|BULLISH
EXR|2025-09-16 14:30|143.7300|144.1000|143.0700|143.2300|142695|0.5000|0.3700|0.1600|BEARISH
EXR|2025-09-16 15:30|143.3050|143.7800|142.8200|142.9300|130358|0.3750|0.4750|0.1100|BEARISH
EXR|2025-09-16 16:30|142.8750|143.4100|142.8500|143.4000|64732|0.5250|0.0100|0.0250|BULLISH
EXR|2025-09-16 17:30|143.3550|143.4500|142.7200|143.4500|84198|0.0950|0.0000|0.6350|BULLISH
EXR|2025-09-16 18:30|143.4500|144.0200|143.4500|143.6450|70350|0.1950|0.3750|0.0000|BULLISH
EXR|2025-09-16 19:30|143.7000|143.9500|143.3300|143.4100|168098|0.2900|0.2500|0.0800|BEARISH
EXR|2025-09-17 13:30|144.0100|145.1100|143.5800|144.4400|53140|0.4300|0.6700|0.4300|BULLISH
EXR|2025-09-17 14:30|144.3100|144.9000|144.2800|144.7700|47568|0.4600|0.1300|0.0300|BULLISH
EXR|2025-09-17 15:30|144.7650|144.8900|144.2300|144.3500|41846|0.4150|0.1250|0.1200|BEARISH
EXR|2025-09-17 16:30|144.3600|144.6000|144.2000|144.3250|43570|0.0350|0.2400|0.1250|BEARISH
EXR|2025-09-17 17:30|144.3900|145.8400|144.0600|145.5500|85241|1.1600|0.2900|0.3300|BULLISH
EXR|2025-09-17 18:30|145.4550|145.4550|142.6600|143.7000|111541|1.7550|0.0000|1.0400|BEARISH
EXR|2025-09-17 19:30|143.5100|143.6600|143.0000|143.1500|143511|0.3600|0.1500|0.1500|BEARISH
EXR|2025-09-18 13:30|142.8400|143.7300|142.3180|143.1550|109455|0.3150|0.5750|0.5220|BULLISH
EXR|2025-09-18 14:30|143.1500|143.2000|142.0101|142.4900|99726|0.6600|0.0500|0.4799|BEARISH
EXR|2025-09-18 15:30|142.4600|143.3000|142.4600|143.2900|68467|0.8300|0.0100|0.0000|BULLISH
EXR|2025-09-18 16:30|143.2950|143.5800|143.1200|143.3100|103766|0.0150|0.2700|0.1750|BULLISH
EXR|2025-09-18 17:30|143.3050|143.5500|143.2200|143.3800|58155|0.0750|0.1700|0.0850|BULLISH
EXR|2025-09-18 18:30|143.3800|143.5600|142.7800|142.7900|89080|0.5900|0.1800|0.0100|BEARISH
EXR|2025-09-18 19:30|142.8000|142.9300|142.3500|142.7700|142742|0.0300|0.1300|0.4200|BEARISH
EXR|2025-09-19 13:30|142.3100|143.0900|141.3200|141.3950|402850|0.9150|0.7800|0.0750|BEARISH
EXR|2025-09-19 14:30|141.3700|141.8150|141.1200|141.1850|59281|0.1850|0.4450|0.0650|BEARISH
EXR|2025-09-19 15:30|141.1650|141.6850|140.8900|141.1300|72958|0.0350|0.5200|0.2400|BEARISH
EXR|2025-09-19 16:30|141.0600|141.1200|140.5200|140.7600|52941|0.3000|0.0600|0.2400|BEARISH
EXR|2025-09-19 17:30|140.7107|141.0700|140.1600|140.3100|76729|0.4007|0.3593|0.1500|BEARISH
EXR|2025-09-19 18:30|140.2300|140.5000|139.9203|140.3150|86095|0.0850|0.1850|0.3097|BULLISH
EXR|2025-09-19 19:30|140.2950|140.5100|139.2800|139.2800|291057|1.0150|0.2150|0.0000|BEARISH
EXR|2025-09-22 13:30|140.2000|140.2000|138.5700|139.1000|79987|1.1000|0.0000|0.5300|BEARISH
EXR|2025-09-22 14:30|139.1000|139.6000|139.0200|139.4500|79640|0.3500|0.1500|0.0800|BULLISH
EXR|2025-09-22 15:30|139.4800|139.5200|139.0950|139.2350|57030|0.2450|0.0400|0.1400|BEARISH
EXR|2025-09-22 16:30|139.2350|139.4700|139.0200|139.4000|54046|0.1650|0.0700|0.2150|BULLISH
EXR|2025-09-22 17:30|139.4800|139.7400|139.3500|139.3600|60645|0.1200|0.2600|0.0100|BEARISH
EXR|2025-09-22 18:30|139.4050|139.6400|139.0300|139.0500|71848|0.3550|0.2350|0.0200|BEARISH
EXR|2025-09-22 19:30|139.0450|139.2500|138.6000|138.6000|133458|0.4450|0.2050|0.0000|BEARISH
EXR|2025-09-23 13:30|138.4900|139.2000|138.2700|138.6400|51411|0.1500|0.5600|0.2200|BULLISH
EXR|2025-09-23 14:30|138.6400|139.0950|138.4675|138.9275|43613|0.2875|0.1675|0.1725|BULLISH
