Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
FANG|2025-09-02 13:30|148.4600|149.8150|146.9500|148.5700|184940|0.1100|1.2450|1.5100|BULLISH
FANG|2025-09-02 14:30|148.5400|148.7600|148.0668|148.6566|135293|0.1166|0.1034|0.4732|BULLISH
FANG|2025-09-02 15:30|148.5100|149.6375|148.4635|149.3900|112122|0.8800|0.2475|0.0465|BULLISH
FANG|2025-09-02 16:30|149.4700|149.8500|149.4000|149.6100|114867|0.1400|0.2400|0.0700|BULLISH
FANG|2025-09-02 17:30|149.6200|149.8003|149.1000|149.2900|137092|0.3300|0.1803|0.1900|BEARISH
FANG|2025-09-02 18:30|149.3150|149.7000|148.6800|149.6800|172321|0.3650|0.0200|0.6350|BULLISH
FANG|2025-09-02 19:30|149.7150|150.0000|149.6000|149.8400|289057|0.1250|0.1600|0.1150|BULLISH
FANG|2025-09-03 13:30|147.8900|148.6900|144.0000|144.1200|277423|3.7700|0.8000|0.1200|BEARISH
FANG|2025-09-03 14:30|144.2100|144.7600|143.5900|144.0455|192321|0.1645|0.5500|0.4555|BEARISH
FANG|2025-09-03 15:30|143.9850|144.2499|142.8000|142.8000|261253|1.1850|0.2649|0.0000|BEARISH
FANG|2025-09-03 16:30|142.9400|143.5450|142.7200|142.7400|167182|0.2000|0.6050|0.0200|BEARISH
FANG|2025-09-03 17:30|142.7800|142.9300|141.8950|142.7050|168569|0.0750|0.1500|0.8100|BEARISH
FANG|2025-09-03 18:30|142.6425|142.6900|141.5202|141.6100|182341|1.0325|0.0475|0.0898|BEARISH
FANG|2025-09-03 19:30|141.5500|142.7000|141.5500|142.2900|363322|0.7400|0.4100|0.0000|BULLISH
FANG|2025-09-04 13:30|141.9400|141.9400|140.5400|141.4200|314681|0.5200|0.0000|0.8800|BEARISH
FANG|2025-09-04 14:30|141.3700|142.5000|141.1900|142.1400|162125|0.7700|0.3600|0.1800|BULLISH
FANG|2025-09-04 15:30|142.2300|143.3100|142.0300|143.2500|122928|1.0200|0.0600|0.2000|BULLISH
FANG|2025-09-04 16:30|143.3150|143.6200|142.8900|143.6126|140905|0.2976|0.0074|0.4250|BULLISH
FANG|2025-09-04 17:30|143.6025|143.8000|142.7900|142.9800|132802|0.6225|0.1975|0.1900|BEARISH
