Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
FAST|2025-09-02 13:30|49.3400|49.6100|48.8500|49.6100|698611|0.2700|0.0000|0.4900|BULLISH
FAST|2025-09-02 14:30|49.6050|49.6099|49.2708|49.2859|356008|0.3191|0.0049|0.0151|BEARISH
FAST|2025-09-02 15:30|49.2850|49.3500|49.2100|49.2700|268887|0.0150|0.0650|0.0600|BEARISH
FAST|2025-09-02 16:30|49.2754|49.2800|49.1100|49.1600|295921|0.1154|0.0046|0.0500|BEARISH
FAST|2025-09-02 17:30|49.1600|49.2500|49.0850|49.1700|501888|0.0100|0.0800|0.0750|BULLISH
FAST|2025-09-02 18:30|49.1750|49.2650|49.1500|49.2150|344458|0.0400|0.0500|0.0250|BULLISH
FAST|2025-09-02 19:30|49.2150|49.2200|49.1300|49.1900|734796|0.0250|0.0050|0.0600|BEARISH
FAST|2025-09-03 13:30|49.3500|49.5200|49.0708|49.4750|488848|0.1250|0.0450|0.2792|BULLISH
FAST|2025-09-03 14:30|49.4800|49.6350|49.4650|49.5400|305056|0.0600|0.0950|0.0150|BULLISH
FAST|2025-09-03 15:30|49.5500|49.7150|49.3950|49.3950|363793|0.1550|0.1650|0.0000|BEARISH
FAST|2025-09-03 16:30|49.4000|49.5850|49.3744|49.5400|169007|0.1400|0.0450|0.0256|BULLISH
FAST|2025-09-03 17:30|49.5400|49.5450|49.3550|49.5000|223425|0.0400|0.0050|0.1450|BEARISH
FAST|2025-09-03 18:30|49.5000|49.5099|49.3500|49.3650|288608|0.1350|0.0099|0.0150|BEARISH
FAST|2025-09-03 19:30|49.3650|49.5500|49.3650|49.5300|575665|0.1650|0.0200|0.0000|BULLISH
FAST|2025-09-04 13:30|49.5200|49.7600|49.1600|49.6450|942626|0.1250|0.1150|0.3600|BULLISH
FAST|2025-09-04 14:30|49.6450|50.1400|49.6450|50.1200|728438|0.4750|0.0200|0.0000|BULLISH
FAST|2025-09-04 15:30|50.1100|50.1650|50.0400|50.0950|546871|0.0150|0.0550|0.0550|BEARISH
FAST|2025-09-04 16:30|50.1000|50.1200|49.6800|49.9350|543274|0.1650|0.0200|0.2550|BEARISH
FAST|2025-09-04 17:30|49.9250|49.9500|49.7903|49.8450|557160|0.0800|0.0250|0.0547|BEARISH
FAST|2025-09-04 18:30|49.8400|50.1350|49.8300|50.1050|626810|0.2650|0.0300|0.0100|BULLISH
FAST|2025-09-04 19:30|50.1000|50.3100|50.0609|50.2700|1084220|0.1700|0.0400|0.0391|BULLISH
FAST|2025-09-05 13:30|49.2500|49.3600|47.8800|48.3250|2635563|0.9250|0.1100|0.4450|BEARISH
FAST|2025-09-05 14:30|48.3250|48.3650|47.8350|48.1100|944307|0.2150|0.0400|0.2750|BEARISH
FAST|2025-09-05 15:30|48.1050|48.1050|47.4950|47.5050|578414|0.6000|0.0000|0.0100|BEARISH
FAST|2025-09-05 16:30|47.5050|47.8300|47.3750|47.7250|1047855|0.2200|0.1050|0.1300|BULLISH
FAST|2025-09-05 17:30|47.7250|47.9500|47.5750|47.9500|696358|0.2250|0.0000|0.1500|BULLISH
FAST|2025-09-05 18:30|47.9450|48.2900|47.9450|48.1800|957465|0.2350|0.1100|0.0000|BULLISH
FAST|2025-09-05 19:30|48.1800|48.1950|47.9000|47.9900|1378876|0.1900|0.0150|0.0900|BEARISH
FAST|2025-09-08 13:30|48.1000|48.2700|47.6750|48.0200|905292|0.0800|0.1700|0.3450|BEARISH
FAST|2025-09-08 14:30|48.0300|48.2650|47.9250|48.2650|981060|0.2350|0.0000|0.1050|BULLISH
FAST|2025-09-08 15:30|48.2650|48.2700|47.8716|47.9150|403796|0.3500|0.0050|0.0434|BEARISH
FAST|2025-09-08 16:30|47.9150|48.0550|47.8600|47.9700|382457|0.0550|0.0850|0.0550|BULLISH
FAST|2025-09-08 17:30|47.9650|48.0900|47.8450|48.0750|459092|0.1100|0.0150|0.1200|BULLISH
FAST|2025-09-08 18:30|48.0750|48.0850|47.9500|47.9550|592152|0.1200|0.0100|0.0050|BEARISH
FAST|2025-09-08 19:30|47.9550|48.2100|47.9200|48.2000|1156161|0.2450|0.0100|0.0350|BULLISH
FAST|2025-09-09 13:30|47.7531|47.9600|47.2750|47.2900|638015|0.4631|0.2069|0.0150|BEARISH
FAST|2025-09-09 14:30|47.2850|47.4900|47.0800|47.4750|642133|0.1900|0.0150|0.2050|BULLISH
FAST|2025-09-09 15:30|47.4700|47.6050|47.4350|47.5750|280832|0.1050|0.0300|0.0350|BULLISH
FAST|2025-09-09 16:30|47.5700|47.6900|47.5206|47.6350|297472|0.0650|0.0550|0.0494|BULLISH
FAST|2025-09-09 17:30|47.6300|47.8250|47.6050|47.7850|291716|0.1550|0.0400|0.0250|BULLISH
FAST|2025-09-09 18:30|47.7850|47.8450|47.7500|47.7500|328281|0.0350|0.0600|0.0000|BEARISH
FAST|2025-09-09 19:30|47.7550|47.9890|47.7000|47.8950|878492|0.1400|0.0940|0.0550|BULLISH
