Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
FCX|2025-09-02 13:30|43.7600|44.1200|42.7400|44.1050|3294395|0.3450|0.0150|1.0200|BULLISH
FCX|2025-09-02 14:30|44.1050|44.3700|43.8800|44.3250|1176336|0.2200|0.0450|0.2250|BULLISH
FCX|2025-09-02 15:30|44.3300|44.5900|44.1200|44.5750|1030084|0.2450|0.0150|0.2100|BULLISH
FCX|2025-09-02 16:30|44.5700|44.8600|44.5600|44.7400|1473632|0.1700|0.1200|0.0100|BULLISH
FCX|2025-09-02 17:30|44.7400|44.8900|44.6300|44.6850|775081|0.0550|0.1500|0.0550|BEARISH
FCX|2025-09-02 18:30|44.6875|44.8200|44.6100|44.7950|738005|0.1075|0.0250|0.0775|BULLISH
FCX|2025-09-02 19:30|44.8000|44.9500|44.7900|44.9500|1472087|0.1500|0.0000|0.0100|BULLISH
FCX|2025-09-03 13:30|45.2500|46.2500|45.1100|45.7000|2846375|0.4500|0.5500|0.1400|BULLISH
FCX|2025-09-03 14:30|45.6950|45.9300|45.6350|45.8500|1068931|0.1550|0.0800|0.0600|BULLISH
FCX|2025-09-03 15:30|45.8400|46.1700|45.8100|46.0900|1542368|0.2500|0.0800|0.0300|BULLISH
FCX|2025-09-03 16:30|46.1000|46.1750|45.8300|46.1350|953407|0.0350|0.0400|0.2700|BULLISH
FCX|2025-09-03 17:30|46.1350|46.2850|46.0100|46.2700|887250|0.1350|0.0150|0.1250|BULLISH
FCX|2025-09-03 18:30|46.2700|46.2700|46.0300|46.0950|1097562|0.1750|0.0000|0.0650|BEARISH
FCX|2025-09-03 19:30|46.0950|46.2950|46.0950|46.2200|1889413|0.1250|0.0750|0.0000|BULLISH
FCX|2025-09-04 13:30|45.7200|45.9050|45.1802|45.4859|1817779|0.2341|0.1850|0.3057|BEARISH
FCX|2025-09-04 14:30|45.4950|45.6600|45.3800|45.5900|1116146|0.0950|0.0700|0.1150|BULLISH
FCX|2025-09-04 15:30|45.5900|45.7500|45.5200|45.7000|604064|0.1100|0.0500|0.0700|BULLISH
FCX|2025-09-04 16:30|45.7000|45.7500|45.5750|45.6800|828269|0.0200|0.0500|0.1050|BEARISH
FCX|2025-09-04 17:30|45.6900|46.1050|45.6700|46.0800|918697|0.3900|0.0250|0.0200|BULLISH
FCX|2025-09-04 18:30|46.0700|46.1150|45.9900|46.0550|602754|0.0150|0.0450|0.0650|BEARISH
FCX|2025-09-04 19:30|46.0550|46.1450|46.0500|46.0900|992681|0.0350|0.0550|0.0050|BULLISH
FCX|2025-09-05 13:30|46.7150|46.9800|46.2450|46.2600|1923725|0.4550|0.2650|0.0150|BEARISH
