Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
FDS|2025-09-02 13:30|371.9300|372.8800|368.9000|369.2850|47721|2.6450|0.9500|0.3850|BEARISH
FDS|2025-09-02 14:30|369.7400|370.0146|366.5700|366.5700|97119|3.1700|0.2746|0.0000|BEARISH
FDS|2025-09-02 15:30|366.5200|366.5200|362.7300|362.7300|49620|3.7900|0.0000|0.0000|BEARISH
FDS|2025-09-02 16:30|362.9800|365.0700|362.4100|365.0700|28109|2.0900|0.0000|0.5700|BULLISH
FDS|2025-09-02 17:30|365.1750|365.9000|364.9100|364.9250|19415|0.2500|0.7250|0.0150|BEARISH
FDS|2025-09-02 18:30|364.9150|366.3100|364.9150|365.8650|50055|0.9500|0.4450|0.0000|BULLISH
FDS|2025-09-02 19:30|365.8450|368.8700|365.8450|368.8600|117566|3.0150|0.0100|0.0000|BULLISH
FDS|2025-09-03 13:30|367.3700|368.8500|365.6200|368.6050|23300|1.2350|0.2450|1.7500|BULLISH
FDS|2025-09-03 14:30|368.4900|370.2800|368.0300|370.1450|43006|1.6550|0.1350|0.4600|BULLISH
FDS|2025-09-03 15:30|369.7250|370.2800|368.6500|368.7400|28361|0.9850|0.5550|0.0900|BEARISH
FDS|2025-09-03 16:30|368.8700|370.0450|368.3700|369.0100|23115|0.1400|1.0350|0.5000|BULLISH
FDS|2025-09-03 17:30|369.0780|369.0780|367.4900|368.3500|25279|0.7280|0.0000|0.8600|BEARISH
FDS|2025-09-03 18:30|368.7050|369.3600|368.4600|369.3600|31362|0.6550|0.0000|0.2450|BULLISH
FDS|2025-09-03 19:30|369.4400|371.0300|369.4400|370.7800|66683|1.3400|0.2500|0.0000|BULLISH
FDS|2025-09-04 13:30|372.0600|372.0600|366.3100|367.6250|43440|4.4350|0.0000|1.3150|BEARISH
FDS|2025-09-04 14:30|367.9250|369.5000|367.1413|368.6100|36609|0.6850|0.8900|0.7837|BULLISH
FDS|2025-09-04 15:30|368.5100|369.5100|367.7400|368.9900|24809|0.4800|0.5200|0.7700|BULLISH
FDS|2025-09-04 16:30|368.9850|368.9850|367.3400|367.6250|18347|1.3600|0.0000|0.2850|BEARISH
FDS|2025-09-04 17:30|367.2700|367.2700|366.1200|366.3450|23501|0.9250|0.0000|0.2250|BEARISH
FDS|2025-09-04 18:30|366.4050|368.2850|366.2800|368.0300|39758|1.6250|0.2550|0.1250|BULLISH
FDS|2025-09-04 19:30|368.0200|369.6700|367.7000|369.4600|98666|1.4400|0.2100|0.3200|BULLISH
FDS|2025-09-05 13:30|370.3900|373.1000|368.7350|369.6200|34740|0.7700|2.7100|0.8850|BEARISH
FDS|2025-09-05 14:30|369.5050|371.3000|368.5500|370.3200|22355|0.8150|0.9800|0.9550|BULLISH
FDS|2025-09-05 15:30|370.5350|372.4300|370.1500|372.3200|25028|1.7850|0.1100|0.3850|BULLISH
FDS|2025-09-05 16:30|372.4400|372.9400|371.0900|371.0900|24047|1.3500|0.5000|0.0000|BEARISH
FDS|2025-09-05 17:30|370.7200|371.5700|370.2350|371.1950|25646|0.4750|0.3750|0.4850|BULLISH
FDS|2025-09-05 18:30|371.5500|372.2500|371.1650|371.7800|40699|0.2300|0.4700|0.3850|BULLISH
FDS|2025-09-05 19:30|371.7100|371.7100|370.5700|371.1400|80317|0.5700|0.0000|0.5700|BEARISH
FDS|2025-09-08 13:30|371.5300|374.0600|369.4400|372.7700|61507|1.2400|1.2900|2.0900|BULLISH
FDS|2025-09-08 14:30|373.0650|374.6750|373.0000|374.4500|28440|1.3850|0.2250|0.0650|BULLISH
FDS|2025-09-08 15:30|374.5100|374.7000|373.3300|374.1200|49581|0.3900|0.1900|0.7900|BEARISH
FDS|2025-09-08 16:30|374.1500|375.4950|373.8600|375.1100|50646|0.9600|0.3850|0.2900|BULLISH
FDS|2025-09-08 17:30|375.4000|375.9900|374.6500|375.9550|30264|0.5550|0.0350|0.7500|BULLISH
FDS|2025-09-08 18:30|376.2850|376.6300|374.9800|374.9800|44866|1.3050|0.3450|0.0000|BEARISH
FDS|2025-09-08 19:30|374.9900|377.0700|374.8950|375.3500|131626|0.3600|1.7200|0.0950|BULLISH
FDS|2025-09-09 13:30|374.5750|375.5000|368.7000|372.6350|65673|1.9400|0.9250|3.9350|BEARISH
FDS|2025-09-09 14:30|372.1975|373.0300|371.3100|371.7600|35520|0.4375|0.8325|0.4500|BEARISH
FDS|2025-09-09 15:30|371.6500|373.2050|370.8601|373.0350|30589|1.3850|0.1700|0.7899|BULLISH
FDS|2025-09-09 16:30|372.9250|373.2500|372.0850|372.7900|22151|0.1350|0.3250|0.7050|BEARISH
FDS|2025-09-09 17:30|372.6800|373.5826|372.5702|373.2850|19050|0.6050|0.2976|0.1098|BULLISH
FDS|2025-09-09 18:30|373.5300|374.0300|371.2800|372.0800|47941|1.4500|0.5000|0.8000|BEARISH
FDS|2025-09-09 19:30|371.9500|373.2150|371.1400|373.0200|103039|1.0700|0.1950|0.8100|BULLISH
FDS|2025-09-10 13:30|371.5300|371.5300|366.7100|367.3100|39502|4.2200|0.0000|0.6000|BEARISH
FDS|2025-09-10 14:30|366.7900|366.7900|363.1300|364.6500|29213|2.1400|0.0000|1.5200|BEARISH
FDS|2025-09-10 15:30|364.4600|364.5400|361.9800|362.8500|29954|1.6100|0.0800|0.8700|BEARISH
FDS|2025-09-10 16:30|362.9000|363.1750|361.0000|361.3050|29046|1.5950|0.2750|0.3050|BEARISH
FDS|2025-09-10 17:30|360.9800|363.0150|360.8200|363.0150|42139|2.0350|0.0000|0.1600|BULLISH
FDS|2025-09-10 18:30|362.9200|363.1000|362.1500|362.2700|39063|0.6500|0.1800|0.1200|BEARISH
FDS|2025-09-10 19:30|362.2700|363.3100|361.3150|361.8200|137446|0.4500|1.0400|0.5050|BEARISH
FDS|2025-09-11 13:30|363.3600|367.4700|362.3350|367.2600|59065|3.9000|0.2100|1.0250|BULLISH
FDS|2025-09-11 14:30|367.4300|368.3800|367.0000|367.9400|27700|0.5100|0.4400|0.4300|BULLISH
FDS|2025-09-11 15:30|367.7796|368.0350|366.1200|367.9900|20461|0.2104|0.0450|1.6596|BULLISH
FDS|2025-09-11 16:30|367.6850|368.5755|367.0400|368.5755|35342|0.8905|0.0000|0.6450|BULLISH
FDS|2025-09-11 17:30|368.7700|369.8600|368.2600|368.2600|27566|0.5100|1.0900|0.0000|BEARISH
FDS|2025-09-11 18:30|368.1200|369.2100|367.9400|368.4650|57930|0.3450|0.7450|0.1800|BULLISH
FDS|2025-09-11 19:30|368.5000|370.6100|368.4200|370.1800|155615|1.6800|0.4300|0.0800|BULLISH
FDS|2025-09-12 13:30|370.0100|370.9750|367.3450|367.7650|32555|2.2450|0.9650|0.4200|BEARISH
FDS|2025-09-12 14:30|367.9600|367.9600|365.3200|365.9900|33973|1.9700|0.0000|0.6700|BEARISH
FDS|2025-09-12 15:30|366.1000|366.1000|363.9500|365.3700|22087|0.7300|0.0000|1.4200|BEARISH
FDS|2025-09-12 16:30|365.6950|366.3900|364.3400|366.3250|27524|0.6300|0.0650|1.3550|BULLISH
FDS|2025-09-12 17:30|366.2450|366.4850|363.1000|364.4350|39265|1.8100|0.2400|1.3350|BEARISH
FDS|2025-09-12 18:30|364.7400|365.0500|363.0850|363.1100|48229|1.6300|0.3100|0.0250|BEARISH
FDS|2025-09-12 19:30|363.0700|364.6400|361.7300|361.8800|124139|1.1900|1.5700|0.1500|BEARISH
FDS|2025-09-15 13:30|363.3300|364.8300|361.7600|362.7300|34623|0.6000|1.5000|0.9700|BEARISH
FDS|2025-09-15 14:30|362.5300|362.7700|355.7700|357.2550|99502|5.2750|0.2400|1.4850|BEARISH
FDS|2025-09-15 15:30|357.1600|357.2500|355.0200|355.6400|44300|1.5200|0.0900|0.6200|BEARISH
FDS|2025-09-15 16:30|355.3800|355.9899|350.2200|350.9500|93043|4.4300|0.6099|0.7300|BEARISH
FDS|2025-09-15 17:30|350.9500|351.6400|347.9050|349.3600|121970|1.5900|0.6900|1.4550|BEARISH
FDS|2025-09-15 18:30|349.2900|349.2900|346.4900|346.7700|119324|2.5200|0.0000|0.2800|BEARISH
FDS|2025-09-15 19:30|346.5900|346.7421|343.6000|343.9300|204894|2.6600|0.1521|0.3300|BEARISH
FDS|2025-09-16 13:30|344.1400|345.9000|341.7900|344.5076|96431|0.3676|1.3924|2.3500|BULLISH
FDS|2025-09-16 14:30|344.3525|345.5300|343.5050|344.7700|52868|0.4175|0.7600|0.8475|BULLISH
FDS|2025-09-16 15:30|344.3900|346.2779|343.9400|343.9400|49297|0.4500|1.8879|0.0000|BEARISH
FDS|2025-09-16 16:30|343.9500|344.6600|342.6100|342.7800|40135|1.1700|0.7100|0.1700|BEARISH
FDS|2025-09-16 17:30|343.1200|343.8800|342.3050|343.8800|48888|0.7600|0.0000|0.8150|BULLISH
FDS|2025-09-16 18:30|343.9800|345.0450|343.6900|344.1100|76493|0.1300|0.9350|0.2900|BULLISH
FDS|2025-09-16 19:30|344.1250|346.1900|343.2400|345.1800|175077|1.0550|1.0100|0.8850|BULLISH
FDS|2025-09-17 13:30|345.9400|348.3900|339.6550|340.4600|138921|5.4800|2.4500|0.8050|BEARISH
FDS|2025-09-17 14:30|340.3100|345.0750|340.3000|341.7000|128104|1.3900|3.3750|0.0100|BULLISH
FDS|2025-09-17 15:30|341.6100|341.9950|338.3500|340.2050|129472|1.4050|0.3850|1.8550|BEARISH
FDS|2025-09-17 16:30|339.9400|340.2900|337.3856|337.3856|69901|2.5544|0.3500|0.0000|BEARISH
FDS|2025-09-17 17:30|337.5900|339.5150|336.1100|338.0450|114159|0.4550|1.4700|1.4800|BULLISH
FDS|2025-09-17 18:30|337.8700|337.8800|332.7950|334.6100|129444|3.2600|0.0100|1.8150|BEARISH
FDS|2025-09-17 19:30|334.6500|337.0300|334.0800|335.9800|249006|1.3300|1.0500|0.5700|BULLISH
FDS|2025-09-18 13:30|338.5300|338.5300|318.0000|323.5500|716075|14.9800|0.0000|5.5500|BEARISH
