Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
FITB|2025-09-02 13:30|45.3350|45.5500|44.9850|45.5050|924740|0.1700|0.0450|0.3500|BULLISH
FITB|2025-09-02 14:30|45.5050|45.5050|45.1300|45.1900|544134|0.3150|0.0000|0.0600|BEARISH
FITB|2025-09-02 15:30|45.1950|45.2000|45.0300|45.1100|485440|0.0850|0.0050|0.0800|BEARISH
FITB|2025-09-02 16:30|45.1000|45.2300|45.1000|45.1850|439875|0.0850|0.0450|0.0000|BULLISH
FITB|2025-09-02 17:30|45.1900|45.3250|45.1850|45.2503|410149|0.0603|0.0747|0.0050|BULLISH
FITB|2025-09-02 18:30|45.2600|45.3850|45.2450|45.3750|383449|0.1150|0.0100|0.0150|BULLISH
FITB|2025-09-02 19:30|45.3700|45.6050|45.3650|45.5750|1145202|0.2050|0.0300|0.0050|BULLISH
FITB|2025-09-03 13:30|45.5700|45.9600|45.4200|45.5500|378162|0.0200|0.3900|0.1300|BEARISH
FITB|2025-09-03 14:30|45.5500|45.6300|45.4550|45.4600|324562|0.0900|0.0800|0.0050|BEARISH
FITB|2025-09-03 15:30|45.4700|45.5190|45.3300|45.3800|303220|0.0900|0.0490|0.0500|BEARISH
FITB|2025-09-03 16:30|45.3754|45.4900|45.3200|45.4600|286965|0.0846|0.0300|0.0554|BULLISH
FITB|2025-09-03 17:30|45.4650|45.4965|45.2150|45.3950|256252|0.0700|0.0315|0.1800|BEARISH
FITB|2025-09-03 18:30|45.3950|45.4550|45.3050|45.4400|424229|0.0450|0.0150|0.0900|BULLISH
FITB|2025-09-03 19:30|45.4500|45.6450|45.4500|45.5800|909308|0.1300|0.0650|0.0000|BULLISH
FITB|2025-09-04 13:30|45.8800|46.0500|45.6150|45.9900|464973|0.1100|0.0600|0.2650|BULLISH
FITB|2025-09-04 14:30|45.9950|46.0800|45.9210|46.0100|340801|0.0150|0.0700|0.0740|BULLISH
FITB|2025-09-04 15:30|46.0100|46.0600|45.9550|46.0100|175379|0.0000|0.0500|0.0550|BULLISH
FITB|2025-09-04 16:30|46.0200|46.1050|45.9746|46.1050|195855|0.0850|0.0000|0.0454|BULLISH
FITB|2025-09-04 17:30|46.1000|46.2850|46.0650|46.2350|150306|0.1350|0.0500|0.0350|BULLISH
FITB|2025-09-04 18:30|46.2350|46.2500|46.1300|46.2210|197462|0.0140|0.0150|0.0910|BEARISH
FITB|2025-09-04 19:30|46.2200|46.2800|46.1300|46.2600|1016660|0.0400|0.0200|0.0900|BULLISH
FITB|2025-09-05 13:30|46.3900|46.5900|46.0300|46.0600|665659|0.3300|0.2000|0.0300|BEARISH
FITB|2025-09-05 14:30|46.0550|46.0900|45.5333|45.8150|598165|0.2400|0.0350|0.2817|BEARISH
FITB|2025-09-05 15:30|45.8200|45.9200|45.6650|45.7050|242103|0.1150|0.1000|0.0400|BEARISH
FITB|2025-09-05 16:30|45.7000|45.8500|45.6450|45.7000|215348|0.0000|0.1500|0.0550|BULLISH
FITB|2025-09-05 17:30|45.7000|45.7200|45.5300|45.6250|375101|0.0750|0.0200|0.0950|BEARISH
FITB|2025-09-05 18:30|45.6499|45.7450|45.6499|45.6750|344826|0.0251|0.0700|0.0000|BULLISH
FITB|2025-09-05 19:30|45.6800|45.7250|45.5700|45.6200|968394|0.0600|0.0450|0.0500|BEARISH
FITB|2025-09-08 13:30|45.7000|45.7000|44.7600|44.8850|932307|0.8150|0.0000|0.1250|BEARISH
FITB|2025-09-08 14:30|44.8850|45.2050|44.8550|45.1454|470658|0.2604|0.0596|0.0300|BULLISH
FITB|2025-09-08 15:30|45.1400|45.1550|44.8200|44.9800|467511|0.1600|0.0150|0.1600|BEARISH
FITB|2025-09-08 16:30|44.9750|45.1550|44.9600|45.1150|505314|0.1400|0.0400|0.0150|BULLISH
FITB|2025-09-08 17:30|45.1150|45.2000|45.0000|45.1500|589999|0.0350|0.0500|0.1150|BULLISH
FITB|2025-09-08 18:30|45.1500|45.3300|45.1300|45.2300|522659|0.0800|0.1000|0.0200|BULLISH
FITB|2025-09-08 19:30|45.2350|45.5150|45.1950|45.5100|1022638|0.2750|0.0050|0.0400|BULLISH
FITB|2025-09-09 13:30|45.3600|45.8800|45.3600|45.6550|441741|0.2950|0.2250|0.0000|BULLISH
FITB|2025-09-09 14:30|45.6600|45.8350|45.5300|45.8200|292275|0.1600|0.0150|0.1300|BULLISH
FITB|2025-09-09 15:30|45.8250|45.8450|45.3400|45.4200|279420|0.4050|0.0200|0.0800|BEARISH
FITB|2025-09-09 16:30|45.4050|45.4950|45.2300|45.3050|214642|0.1000|0.0900|0.0750|BEARISH
FITB|2025-09-09 17:30|45.3050|45.5900|45.2800|45.5100|276642|0.2050|0.0800|0.0250|BULLISH
FITB|2025-09-09 18:30|45.5050|45.5200|45.2375|45.2950|409031|0.2100|0.0150|0.0575|BEARISH
FITB|2025-09-09 19:30|45.3000|45.5750|45.2700|45.4200|1583999|0.1200|0.1550|0.0300|BULLISH
FITB|2025-09-10 13:30|45.2000|46.5000|45.2000|45.4400|2322800|0.2400|1.0600|0.0000|BULLISH
FITB|2025-09-10 14:30|45.4400|45.4900|45.2450|45.4350|786254|0.0050|0.0500|0.1900|BEARISH
FITB|2025-09-10 15:30|45.4350|45.6900|45.3550|45.3850|611541|0.0500|0.2550|0.0300|BEARISH
FITB|2025-09-10 16:30|45.3900|45.7350|45.3300|45.6050|532699|0.2150|0.1300|0.0600|BULLISH
FITB|2025-09-10 17:30|45.6000|45.6350|45.4700|45.5750|420255|0.0250|0.0350|0.1050|BEARISH
FITB|2025-09-10 18:30|45.5750|45.6900|45.4300|45.4350|478922|0.1400|0.1150|0.0050|BEARISH
FITB|2025-09-10 19:30|45.4400|45.5650|45.3600|45.5100|997788|0.0700|0.0550|0.0800|BULLISH
FITB|2025-09-11 13:30|45.6050|45.6500|45.2400|45.5200|682723|0.0850|0.0450|0.2800|BEARISH
FITB|2025-09-11 14:30|45.5300|45.6200|45.2050|45.3300|134312|0.2000|0.0900|0.1250|BEARISH
FITB|2025-09-11 15:30|45.3350|45.4300|45.2750|45.3250|733748|0.0100|0.0950|0.0500|BEARISH
FITB|2025-09-11 16:30|45.3250|45.3500|45.2150|45.2650|292935|0.0600|0.0250|0.0500|BEARISH
FITB|2025-09-11 17:30|45.2700|45.3200|45.1450|45.1800|317003|0.0900|0.0500|0.0350|BEARISH
FITB|2025-09-11 18:30|45.1700|45.2450|45.0400|45.1750|539743|0.0050|0.0700|0.1300|BULLISH
FITB|2025-09-11 19:30|45.1800|45.3250|45.1600|45.2600|886674|0.0800|0.0650|0.0200|BULLISH
FITB|2025-09-12 13:30|45.2800|45.5500|45.1400|45.2950|675080|0.0150|0.2550|0.1400|BULLISH
FITB|2025-09-12 14:30|45.2900|45.4050|45.1750|45.4050|368335|0.1150|0.0000|0.1150|BULLISH
FITB|2025-09-12 15:30|45.4050|45.4200|45.2350|45.4150|445792|0.0100|0.0050|0.1700|BULLISH
FITB|2025-09-12 16:30|45.4150|45.6200|45.4000|45.5750|177715|0.1600|0.0450|0.0150|BULLISH
FITB|2025-09-12 17:30|45.5750|45.6600|45.5050|45.6000|232392|0.0250|0.0600|0.0700|BULLISH
FITB|2025-09-12 18:30|45.6050|45.6900|45.5700|45.5700|307581|0.0350|0.0850|0.0000|BEARISH
FITB|2025-09-12 19:30|45.5700|45.6500|45.4650|45.5700|633680|0.0000|0.0800|0.1050|BULLISH
FITB|2025-09-15 13:30|45.6700|45.7800|45.4400|45.7700|656706|0.1000|0.0100|0.2300|BULLISH
