Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
FOXA|2025-09-02 13:30|59.3800|60.6650|59.3000|60.6650|559730|1.2850|0.0000|0.0800|BULLISH
FOXA|2025-09-02 14:30|60.6700|60.8400|60.3600|60.3600|354028|0.3100|0.1700|0.0000|BEARISH
FOXA|2025-09-02 15:30|60.3700|60.6850|60.2300|60.4800|212726|0.1100|0.2050|0.1400|BULLISH
FOXA|2025-09-02 16:30|60.4800|60.5481|60.1300|60.5283|195503|0.0483|0.0198|0.3500|BULLISH
FOXA|2025-09-02 17:30|60.5200|60.9100|60.5000|60.8300|284546|0.3100|0.0800|0.0200|BULLISH
FOXA|2025-09-02 18:30|60.8300|60.9400|60.7100|60.9300|307667|0.1000|0.0100|0.1200|BULLISH
FOXA|2025-09-02 19:30|60.9100|61.1000|60.8500|61.0600|548120|0.1500|0.0400|0.0600|BULLISH
FOXA|2025-09-03 13:30|60.7200|61.2800|60.5250|60.5800|354299|0.1400|0.5600|0.0550|BEARISH
FOXA|2025-09-03 14:30|60.6000|60.6700|60.0900|60.1300|162685|0.4700|0.0700|0.0400|BEARISH
FOXA|2025-09-03 15:30|60.1300|60.3350|59.9500|60.2700|148737|0.1400|0.0650|0.1800|BULLISH
FOXA|2025-09-03 16:30|60.2800|60.3900|59.9900|60.3300|208861|0.0500|0.0600|0.2900|BULLISH
FOXA|2025-09-03 17:30|60.3300|60.3300|59.9800|60.2700|206364|0.0600|0.0000|0.2900|BEARISH
FOXA|2025-09-03 18:30|60.2600|60.3900|60.1300|60.1900|231029|0.0700|0.1300|0.0600|BEARISH
FOXA|2025-09-03 19:30|60.1750|60.2700|60.0000|60.0800|685253|0.0950|0.0950|0.0800|BEARISH
FOXA|2025-09-04 13:30|60.3100|60.8100|59.9650|60.6600|257830|0.3500|0.1500|0.3450|BULLISH
FOXA|2025-09-04 14:30|60.6550|60.6850|60.1600|60.5100|265387|0.1450|0.0300|0.3500|BEARISH
FOXA|2025-09-04 15:30|60.5109|60.7250|60.3550|60.3700|266359|0.1409|0.2141|0.0150|BEARISH
FOXA|2025-09-04 16:30|60.3700|60.3800|60.0150|60.2900|209736|0.0800|0.0100|0.2750|BEARISH
FOXA|2025-09-04 17:30|60.2800|60.4800|60.2300|60.4400|221292|0.1600|0.0400|0.0500|BULLISH
FOXA|2025-09-04 18:30|60.4400|60.6150|60.3500|60.5650|289972|0.1250|0.0500|0.0900|BULLISH
FOXA|2025-09-04 19:30|60.5650|60.8700|60.5100|60.8200|677972|0.2550|0.0500|0.0550|BULLISH
