Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
FOX|2025-09-02 13:30|54.0200|55.2600|54.0100|55.2600|236978|1.2400|0.0000|0.0100|BULLISH
FOX|2025-09-02 14:30|55.2500|55.4400|54.9900|54.9900|84493|0.2600|0.1900|0.0000|BEARISH
FOX|2025-09-02 15:30|54.9850|55.3000|54.8600|55.1200|54833|0.1350|0.1800|0.1250|BULLISH
FOX|2025-09-02 16:30|55.1400|55.1900|54.8400|55.1600|118801|0.0200|0.0300|0.3000|BULLISH
FOX|2025-09-02 17:30|55.1900|55.4900|55.1700|55.4000|78040|0.2100|0.0900|0.0200|BULLISH
FOX|2025-09-02 18:30|55.4050|55.5250|55.2900|55.5100|93290|0.1050|0.0150|0.1150|BULLISH
FOX|2025-09-02 19:30|55.5000|55.7000|55.4500|55.6100|257736|0.1100|0.0900|0.0500|BULLISH
FOX|2025-09-03 13:30|55.1000|55.8100|55.1000|55.2000|93152|0.1000|0.6100|0.0000|BULLISH
FOX|2025-09-03 14:30|55.2600|55.2600|54.7400|54.7900|81472|0.4700|0.0000|0.0500|BEARISH
FOX|2025-09-03 15:30|54.7800|55.0500|54.6900|54.9900|56419|0.2100|0.0600|0.0900|BULLISH
FOX|2025-09-03 16:30|55.0000|55.0800|54.7100|54.9900|111566|0.0100|0.0800|0.2800|BEARISH
FOX|2025-09-03 17:30|54.9738|54.9750|54.6500|54.9100|62182|0.0638|0.0012|0.2600|BEARISH
FOX|2025-09-03 18:30|54.9000|54.9800|54.7300|54.8100|111682|0.0900|0.0800|0.0800|BEARISH
FOX|2025-09-03 19:30|54.8250|55.0200|54.7900|54.8700|227693|0.0450|0.1500|0.0350|BULLISH
FOX|2025-09-04 13:30|55.1600|55.4000|54.7400|55.1920|107515|0.0320|0.2080|0.4200|BULLISH
FOX|2025-09-04 14:30|55.1900|55.2300|54.7200|55.1100|107832|0.0800|0.0400|0.3900|BEARISH
FOX|2025-09-04 15:30|55.1100|55.3000|54.9600|54.9600|64671|0.1500|0.1900|0.0000|BEARISH
FOX|2025-09-04 16:30|54.9900|54.9900|54.6404|54.9300|100640|0.0600|0.0000|0.2896|BEARISH
