Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
FRT|2025-09-02 13:30|99.6100|100.7700|99.4600|100.5200|114829|0.9100|0.2500|0.1500|BULLISH
FRT|2025-09-02 14:30|100.5150|100.5150|100.0200|100.2400|106575|0.2750|0.0000|0.2200|BEARISH
FRT|2025-09-02 15:30|100.2400|100.2550|99.7950|99.7950|93411|0.4450|0.0150|0.0000|BEARISH
FRT|2025-09-02 16:30|99.7450|99.9800|99.5000|99.8850|83114|0.1400|0.0950|0.2450|BULLISH
FRT|2025-09-02 17:30|99.8900|100.0000|99.2450|99.3200|63899|0.5700|0.1100|0.0750|BEARISH
FRT|2025-09-02 18:30|99.3150|99.3600|98.8100|99.0350|106072|0.2800|0.0450|0.2250|BEARISH
FRT|2025-09-02 19:30|99.0300|99.2700|98.9600|99.1300|178755|0.1000|0.1400|0.0700|BULLISH
FRT|2025-09-03 13:30|98.6400|99.8900|98.4200|99.3800|70732|0.7400|0.5100|0.2200|BULLISH
FRT|2025-09-03 14:30|99.3700|99.6550|99.3000|99.5650|41615|0.1950|0.0900|0.0700|BULLISH
FRT|2025-09-03 15:30|99.6200|99.8400|99.4800|99.7400|56734|0.1200|0.1000|0.1400|BULLISH
FRT|2025-09-03 16:30|99.7450|100.0600|99.6200|100.0200|44698|0.2750|0.0400|0.1250|BULLISH
FRT|2025-09-03 17:30|100.0650|100.2800|99.8600|100.2600|30901|0.1950|0.0200|0.2050|BULLISH
FRT|2025-09-03 18:30|100.2650|100.3350|99.9800|100.1800|55592|0.0850|0.0700|0.2000|BEARISH
FRT|2025-09-03 19:30|100.1900|100.4000|100.0700|100.0700|105080|0.1200|0.2100|0.0000|BEARISH
FRT|2025-09-04 13:30|100.6800|101.0800|100.1694|100.4500|42865|0.2300|0.4000|0.2806|BEARISH
FRT|2025-09-04 14:30|100.4300|100.6600|100.3200|100.4400|27459|0.0100|0.2200|0.1100|BULLISH
FRT|2025-09-04 15:30|100.4200|100.4600|100.1500|100.1850|17292|0.2350|0.0400|0.0350|BEARISH
FRT|2025-09-04 16:30|100.2500|100.5500|100.0475|100.5245|19238|0.2745|0.0255|0.2025|BULLISH
FRT|2025-09-04 17:30|100.5350|100.6600|100.3700|100.5100|34499|0.0250|0.1250|0.1400|BEARISH
FRT|2025-09-04 18:30|100.5550|100.8400|100.4500|100.7900|54255|0.2350|0.0500|0.1050|BULLISH
FRT|2025-09-04 19:30|100.7600|101.0800|100.7200|101.0200|74634|0.2600|0.0600|0.0400|BULLISH
FRT|2025-09-05 13:30|101.4600|102.9400|101.4300|102.3100|90707|0.8500|0.6300|0.0300|BULLISH
FRT|2025-09-05 14:30|102.2900|102.4300|102.0800|102.3800|65906|0.0900|0.0500|0.2100|BULLISH
FRT|2025-09-05 15:30|102.3900|102.6900|102.3200|102.3300|55099|0.0600|0.3000|0.0100|BEARISH
FRT|2025-09-05 16:30|102.3500|102.4300|102.0900|102.1400|46906|0.2100|0.0800|0.0500|BEARISH
FRT|2025-09-05 17:30|102.1800|102.2100|101.8600|101.9800|41806|0.2000|0.0300|0.1200|BEARISH
FRT|2025-09-05 18:30|102.0100|102.5400|102.0000|102.4500|66517|0.4400|0.0900|0.0100|BULLISH
FRT|2025-09-05 19:30|102.4500|102.7000|102.3600|102.6500|120328|0.2000|0.0500|0.0900|BULLISH
FRT|2025-09-08 13:30|101.5900|102.4600|101.1400|101.2850|70011|0.3050|0.8700|0.1450|BEARISH
FRT|2025-09-08 14:30|101.3600|101.6200|101.1000|101.2400|53274|0.1200|0.2600|0.1400|BEARISH
FRT|2025-09-08 15:30|101.2200|101.2800|100.8900|101.0250|70227|0.1950|0.0600|0.1350|BEARISH
FRT|2025-09-08 16:30|101.0500|101.3900|100.9350|101.3900|48106|0.3400|0.0000|0.1150|BULLISH
FRT|2025-09-08 17:30|101.4500|101.4500|100.9950|101.3100|44261|0.1400|0.0000|0.3150|BEARISH
FRT|2025-09-08 18:30|101.3200|101.4400|101.0100|101.0850|66821|0.2350|0.1200|0.0750|BEARISH
FRT|2025-09-08 19:30|101.0700|101.8500|101.0700|101.7050|177261|0.6350|0.1450|0.0000|BULLISH
FRT|2025-09-09 13:30|101.5250|101.7500|100.9400|100.9600|33868|0.5650|0.2250|0.0200|BEARISH
FRT|2025-09-09 14:30|101.0800|101.3600|101.0800|101.3400|40803|0.2600|0.0200|0.0000|BULLISH
FRT|2025-09-09 15:30|101.3500|101.4150|100.9700|101.0400|35916|0.3100|0.0650|0.0700|BEARISH
FRT|2025-09-09 16:30|101.0100|101.1100|100.8150|101.0000|21257|0.0100|0.1000|0.1850|BEARISH
FRT|2025-09-09 17:30|101.0600|101.1050|100.6600|100.6900|37474|0.3700|0.0450|0.0300|BEARISH
FRT|2025-09-09 18:30|100.7000|100.7300|100.2550|100.2750|90739|0.4250|0.0300|0.0200|BEARISH
FRT|2025-09-09 19:30|100.2850|100.5050|100.1600|100.3200|126267|0.0350|0.1850|0.1250|BULLISH
FRT|2025-09-10 13:30|99.9400|100.6300|99.9400|100.6100|42604|0.6700|0.0200|0.0000|BULLISH
FRT|2025-09-10 14:30|100.6150|100.6500|100.4250|100.5150|34932|0.1000|0.0350|0.0900|BEARISH
FRT|2025-09-10 15:30|100.5700|100.8550|100.5600|100.5900|22285|0.0200|0.2650|0.0100|BULLISH
FRT|2025-09-10 16:30|100.5300|100.8150|100.2750|100.2750|29813|0.2550|0.2850|0.0000|BEARISH
FRT|2025-09-10 17:30|100.2616|100.4000|100.2000|100.3100|33208|0.0484|0.0900|0.0616|BULLISH
FRT|2025-09-10 18:30|100.3300|100.6800|100.2900|100.3196|84108|0.0104|0.3500|0.0296|BEARISH
FRT|2025-09-10 19:30|100.3100|100.6900|100.2400|100.4300|118268|0.1200|0.2600|0.0700|BULLISH
FRT|2025-09-11 13:30|100.3500|101.5200|100.3500|101.3300|58522|0.9800|0.1900|0.0000|BULLISH
FRT|2025-09-11 14:30|101.2550|101.4200|101.0000|101.2450|61787|0.0100|0.1650|0.2450|BEARISH
FRT|2025-09-11 15:30|101.3500|101.4900|101.1800|101.4150|48780|0.0650|0.0750|0.1700|BULLISH
FRT|2025-09-11 16:30|101.3900|101.3900|101.1050|101.2100|40577|0.1800|0.0000|0.1050|BEARISH
FRT|2025-09-11 17:30|101.2400|101.5500|101.2300|101.5100|43988|0.2700|0.0400|0.0100|BULLISH
FRT|2025-09-11 18:30|101.5000|101.6500|101.2450|101.6500|65234|0.1500|0.0000|0.2550|BULLISH
FRT|2025-09-11 19:30|101.6700|102.0200|101.6700|101.7800|112348|0.1100|0.2400|0.0000|BULLISH
FRT|2025-09-12 13:30|101.8400|102.3100|101.6400|101.8600|49290|0.0200|0.4500|0.2000|BULLISH
