Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
FTNT|2025-09-02 13:30|75.2350|77.2600|75.0000|75.8900|2107297|0.6550|1.3700|0.2350|BULLISH
FTNT|2025-09-02 14:30|75.8900|76.3200|75.6400|75.8295|1265399|0.0605|0.4300|0.1895|BEARISH
FTNT|2025-09-02 15:30|75.8300|76.1300|75.5500|75.8800|626788|0.0500|0.2500|0.2800|BULLISH
FTNT|2025-09-02 16:30|75.8850|76.3700|75.7900|76.3500|519524|0.4650|0.0200|0.0950|BULLISH
FTNT|2025-09-02 17:30|76.3500|77.0350|76.3500|76.5550|580934|0.2050|0.4800|0.0000|BULLISH
FTNT|2025-09-02 18:30|76.5650|76.9250|76.4100|76.9000|515575|0.3350|0.0250|0.1550|BULLISH
FTNT|2025-09-02 19:30|76.9050|77.0200|76.6100|76.9300|938488|0.0250|0.0900|0.2950|BULLISH
FTNT|2025-09-03 13:30|76.7300|77.1300|76.1000|76.5800|1064010|0.1500|0.4000|0.4800|BEARISH
FTNT|2025-09-03 14:30|76.5800|77.0201|76.5800|76.7700|462780|0.1900|0.2501|0.0000|BULLISH
FTNT|2025-09-03 15:30|76.7800|77.0700|76.6900|76.8150|364144|0.0350|0.2550|0.0900|BULLISH
FTNT|2025-09-03 16:30|76.8150|76.9200|76.6950|76.8300|308268|0.0150|0.0900|0.1200|BULLISH
FTNT|2025-09-03 17:30|76.8200|76.8600|76.2300|76.4650|474289|0.3550|0.0400|0.2350|BEARISH
FTNT|2025-09-03 18:30|76.4600|76.7300|76.2800|76.7150|463827|0.2550|0.0150|0.1800|BULLISH
FTNT|2025-09-03 19:30|76.7200|76.8600|76.5550|76.5700|848055|0.1500|0.1400|0.0150|BEARISH
FTNT|2025-09-04 13:30|76.2000|76.2600|75.1100|75.5500|1325454|0.6500|0.0600|0.4400|BEARISH
FTNT|2025-09-04 14:30|75.5400|75.8700|75.1300|75.6100|1127103|0.0700|0.2600|0.4100|BULLISH
FTNT|2025-09-04 15:30|75.6300|76.0700|75.6200|76.0700|642448|0.4400|0.0000|0.0100|BULLISH
FTNT|2025-09-04 16:30|76.0600|76.3600|75.9900|76.3100|341926|0.2500|0.0500|0.0700|BULLISH
FTNT|2025-09-04 17:30|76.3201|76.6100|76.1900|76.4850|581409|0.1649|0.1250|0.1301|BULLISH
FTNT|2025-09-04 18:30|76.4800|76.6300|76.3400|76.5100|557200|0.0300|0.1200|0.1400|BULLISH
FTNT|2025-09-04 19:30|76.5100|76.5800|76.3300|76.4400|854116|0.0700|0.0700|0.1100|BEARISH
FTNT|2025-09-05 13:30|76.9100|78.2500|76.8800|77.6600|1754026|0.7500|0.5900|0.0300|BULLISH
FTNT|2025-09-05 14:30|77.6600|78.4400|77.4700|78.2600|1373311|0.6000|0.1800|0.1900|BULLISH
FTNT|2025-09-05 15:30|78.2700|78.8950|78.2350|78.7250|1019349|0.4550|0.1700|0.0350|BULLISH
