Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
FTV|2025-09-02 13:30|47.1200|47.3500|46.9960|47.1900|547320|0.0700|0.1600|0.1240|BULLISH
FTV|2025-09-02 14:30|47.1850|47.2050|46.6200|46.6200|413216|0.5650|0.0200|0.0000|BEARISH
FTV|2025-09-02 15:30|46.6200|46.7400|46.5750|46.6000|326694|0.0200|0.1200|0.0250|BEARISH
FTV|2025-09-02 16:30|46.6000|46.7850|46.5400|46.7700|235674|0.1700|0.0150|0.0600|BULLISH
FTV|2025-09-02 17:30|46.7750|46.9100|46.7750|46.8250|338377|0.0500|0.0850|0.0000|BULLISH
FTV|2025-09-02 18:30|46.8250|47.0700|46.8150|47.0550|498280|0.2300|0.0150|0.0100|BULLISH
FTV|2025-09-02 19:30|47.0600|47.3600|47.0500|47.3500|910177|0.2900|0.0100|0.0100|BULLISH
FTV|2025-09-03 13:30|47.2200|47.4400|46.8350|46.8400|234036|0.3800|0.2200|0.0050|BEARISH
FTV|2025-09-03 14:30|46.8500|47.0000|46.8150|46.8200|318364|0.0300|0.1500|0.0050|BEARISH
FTV|2025-09-03 15:30|46.8400|46.8500|46.6700|46.7800|206126|0.0600|0.0100|0.1100|BEARISH
FTV|2025-09-03 16:30|46.7800|46.9550|46.7800|46.9500|307871|0.1700|0.0050|0.0000|BULLISH
FTV|2025-09-03 17:30|46.9500|46.9500|46.6550|46.8500|347786|0.1000|0.0000|0.1950|BEARISH
FTV|2025-09-03 18:30|46.8500|46.8800|46.7300|46.8100|259605|0.0400|0.0300|0.0800|BEARISH
FTV|2025-09-03 19:30|46.8150|47.0400|46.8100|47.0400|628139|0.2250|0.0000|0.0050|BULLISH
FTV|2025-09-04 13:30|47.0600|47.1450|46.7500|47.0700|317003|0.0100|0.0750|0.3100|BULLISH
FTV|2025-09-04 14:30|47.0850|47.2400|46.9800|47.2150|214253|0.1300|0.0250|0.1050|BULLISH
FTV|2025-09-04 15:30|47.2150|47.3250|47.1600|47.1650|254741|0.0500|0.1100|0.0050|BEARISH
FTV|2025-09-04 16:30|47.1650|47.2050|47.0350|47.1950|190933|0.0300|0.0100|0.1300|BULLISH
FTV|2025-09-04 17:30|47.1950|47.2700|47.1381|47.2150|295947|0.0200|0.0550|0.0569|BULLISH
FTV|2025-09-04 18:30|47.2150|47.4550|47.2100|47.4500|433105|0.2350|0.0050|0.0050|BULLISH
FTV|2025-09-04 19:30|47.4500|47.6050|47.4150|47.5850|597270|0.1350|0.0200|0.0350|BULLISH
FTV|2025-09-05 13:30|47.7700|48.3400|47.5850|47.6100|571817|0.1600|0.5700|0.0250|BEARISH
FTV|2025-09-05 14:30|47.6100|47.6700|47.4100|47.6100|226132|0.0000|0.0600|0.2000|BULLISH
FTV|2025-09-05 15:30|47.6200|47.6900|47.4750|47.5300|166004|0.0900|0.0700|0.0550|BEARISH
FTV|2025-09-05 16:30|47.5350|47.8400|47.4900|47.6300|340170|0.0950|0.2100|0.0450|BULLISH
FTV|2025-09-05 17:30|47.6300|47.7300|47.5300|47.6950|280965|0.0650|0.0350|0.1000|BULLISH
FTV|2025-09-05 18:30|47.7000|47.7800|47.6700|47.7350|201831|0.0350|0.0450|0.0300|BULLISH
FTV|2025-09-05 19:30|47.7400|47.8820|47.6850|47.8600|586335|0.1200|0.0220|0.0550|BULLISH
FTV|2025-09-08 13:30|47.7000|47.8600|47.0300|47.5100|499443|0.1900|0.1600|0.4800|BEARISH
FTV|2025-09-08 14:30|47.5200|48.0400|47.5200|47.9850|424984|0.4650|0.0550|0.0000|BULLISH
