Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
GEN|2025-09-02 13:30|29.8400|29.8900|29.6050|29.6450|289918|0.1950|0.0500|0.0400|BEARISH
GEN|2025-09-02 14:30|29.6450|29.6808|29.4800|29.4850|202597|0.1600|0.0358|0.0050|BEARISH
GEN|2025-09-02 15:30|29.4858|29.4950|29.3700|29.3700|390517|0.1158|0.0092|0.0000|BEARISH
GEN|2025-09-02 16:30|29.3700|29.3700|29.1650|29.2550|329817|0.1150|0.0000|0.0900|BEARISH
GEN|2025-09-02 17:30|29.2600|29.4662|29.2550|29.4350|251435|0.1750|0.0312|0.0050|BULLISH
GEN|2025-09-02 18:30|29.4350|29.5689|29.4050|29.5650|650903|0.1300|0.0039|0.0300|BULLISH
GEN|2025-09-02 19:30|29.5650|29.5950|29.4700|29.4800|1146440|0.0850|0.0300|0.0100|BEARISH
GEN|2025-09-03 13:30|29.3900|29.4400|29.1750|29.3650|455179|0.0250|0.0500|0.1900|BEARISH
GEN|2025-09-03 14:30|29.3650|29.5350|29.3450|29.4100|311213|0.0450|0.1250|0.0200|BULLISH
GEN|2025-09-03 15:30|29.4100|29.4360|29.3001|29.3450|219444|0.0650|0.0260|0.0449|BEARISH
GEN|2025-09-03 16:30|29.3450|29.4000|29.3100|29.3350|271943|0.0100|0.0550|0.0250|BEARISH
GEN|2025-09-03 17:30|29.3400|29.3550|29.1700|29.3550|214184|0.0150|0.0000|0.1700|BULLISH
GEN|2025-09-03 18:30|29.3500|29.5100|29.3300|29.4250|482984|0.0750|0.0850|0.0200|BULLISH
GEN|2025-09-03 19:30|29.4250|29.6800|29.4250|29.6700|1095301|0.2450|0.0100|0.0000|BULLISH
GEN|2025-09-04 13:30|29.6000|29.6500|29.2800|29.3950|387029|0.2050|0.0500|0.1150|BEARISH
GEN|2025-09-04 14:30|29.3950|29.5400|29.3800|29.5050|287859|0.1100|0.0350|0.0150|BULLISH
GEN|2025-09-04 15:30|29.5000|29.5450|29.4500|29.4750|181334|0.0250|0.0450|0.0250|BEARISH
GEN|2025-09-04 16:30|29.4700|29.5600|29.4450|29.5500|175904|0.0800|0.0100|0.0250|BULLISH
GEN|2025-09-04 17:30|29.5500|29.5650|29.4700|29.4700|218219|0.0800|0.0150|0.0000|BEARISH
GEN|2025-09-04 18:30|29.4800|29.5200|29.4300|29.4450|328829|0.0350|0.0400|0.0150|BEARISH
GEN|2025-09-04 19:30|29.4450|29.5400|29.4150|29.5350|587259|0.0900|0.0050|0.0300|BULLISH
GEN|2025-09-05 13:30|29.7300|29.8219|29.4250|29.4450|278292|0.2850|0.0919|0.0200|BEARISH
GEN|2025-09-05 14:30|29.4450|29.4500|29.2800|29.3400|202678|0.1050|0.0050|0.0600|BEARISH
