Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
GIS|2025-09-02 13:30|49.4300|49.9100|49.0400|49.1900|1147601|0.2400|0.4800|0.1500|BEARISH
GIS|2025-09-02 14:30|49.1843|49.7300|49.1100|49.3700|795628|0.1857|0.3600|0.0743|BULLISH
GIS|2025-09-02 15:30|49.3600|49.4800|49.2011|49.2150|785614|0.1450|0.1200|0.0139|BEARISH
GIS|2025-09-02 16:30|49.2117|49.2350|48.9800|49.1100|496727|0.1017|0.0233|0.1300|BEARISH
GIS|2025-09-02 17:30|49.1100|49.1850|48.8745|49.0046|466434|0.1054|0.0750|0.1301|BEARISH
GIS|2025-09-02 18:30|49.0015|49.1550|48.9950|49.1100|687546|0.1085|0.0450|0.0065|BULLISH
GIS|2025-09-02 19:30|49.1100|49.3250|49.1050|49.3100|989518|0.2000|0.0150|0.0050|BULLISH
GIS|2025-09-03 13:30|48.9300|49.4500|48.9200|49.0162|859094|0.0862|0.4338|0.0100|BULLISH
GIS|2025-09-03 14:30|49.0100|49.4000|49.0000|49.3700|597941|0.3600|0.0300|0.0100|BULLISH
GIS|2025-09-03 15:30|49.3750|49.3850|49.0600|49.1300|322568|0.2450|0.0100|0.0700|BEARISH
GIS|2025-09-03 16:30|49.1350|49.3700|49.1301|49.3401|337156|0.2051|0.0299|0.0049|BULLISH
GIS|2025-09-03 17:30|49.3550|49.6651|49.3200|49.6500|365520|0.2950|0.0151|0.0350|BULLISH
GIS|2025-09-03 18:30|49.6451|49.7800|49.4990|49.6150|594706|0.0301|0.1349|0.1160|BEARISH
GIS|2025-09-03 19:30|49.6200|49.7750|49.5948|49.7500|1170495|0.1300|0.0250|0.0252|BULLISH
GIS|2025-09-04 13:30|50.0000|50.4000|49.6700|49.8100|900903|0.1900|0.4000|0.1400|BEARISH
GIS|2025-09-04 14:30|49.8200|49.8800|49.6800|49.7550|428076|0.0650|0.0600|0.0750|BEARISH
GIS|2025-09-04 15:30|49.7600|49.8100|49.5450|49.7600|427576|0.0000|0.0500|0.2150|BULLISH
GIS|2025-09-04 16:30|49.7650|49.7650|49.5700|49.6750|309616|0.0900|0.0000|0.1050|BEARISH
GIS|2025-09-04 17:30|49.6700|49.7500|49.5900|49.7400|340375|0.0700|0.0100|0.0800|BULLISH
GIS|2025-09-04 18:30|49.7450|49.7700|49.6200|49.7300|467184|0.0150|0.0250|0.1100|BEARISH
GIS|2025-09-04 19:30|49.7202|49.7202|49.5900|49.6100|603061|0.1102|0.0000|0.0200|BEARISH
GIS|2025-09-05 13:30|49.5600|50.6500|49.4300|50.3400|976592|0.7800|0.3100|0.1300|BULLISH
GIS|2025-09-05 14:30|50.3500|50.7500|50.1400|50.6600|1150513|0.3100|0.0900|0.2100|BULLISH
GIS|2025-09-05 15:30|50.6550|50.6900|50.2590|50.3250|401406|0.3300|0.0350|0.0660|BEARISH
GIS|2025-09-05 16:30|50.3250|50.3390|50.1850|50.2250|335056|0.1000|0.0140|0.0400|BEARISH
GIS|2025-09-05 17:30|50.2300|50.3484|50.2000|50.2300|347303|0.0000|0.1184|0.0300|BULLISH
GIS|2025-09-05 18:30|50.2400|50.4400|50.2400|50.3550|456137|0.1150|0.0850|0.0000|BULLISH
GIS|2025-09-05 19:30|50.3600|50.5900|50.3000|50.5800|895961|0.2200|0.0100|0.0600|BULLISH
GIS|2025-09-08 13:30|50.2300|50.3100|49.6700|50.0300|852642|0.2000|0.0800|0.3600|BEARISH
GIS|2025-09-08 14:30|50.0200|50.3900|50.0150|50.3200|696758|0.3000|0.0700|0.0050|BULLISH
GIS|2025-09-08 15:30|50.3100|50.3350|50.1300|50.2150|443742|0.0950|0.0250|0.0850|BEARISH
GIS|2025-09-08 16:30|50.2200|50.2365|50.0650|50.0950|400208|0.1250|0.0165|0.0300|BEARISH
GIS|2025-09-08 17:30|50.0950|50.1600|49.9200|49.9818|352201|0.1132|0.0650|0.0618|BEARISH
