Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
GL|2025-09-02 13:30|139.5700|140.8200|137.9350|139.1350|69520|0.4350|1.2500|1.2000|BEARISH
GL|2025-09-02 14:30|139.2500|139.3600|138.3500|138.5900|51246|0.6600|0.1100|0.2400|BEARISH
GL|2025-09-02 15:30|138.5800|138.6200|137.9000|137.9700|25879|0.6100|0.0400|0.0700|BEARISH
GL|2025-09-02 16:30|138.0500|138.4400|137.9000|138.3950|31249|0.3450|0.0450|0.1500|BULLISH
GL|2025-09-02 17:30|138.4700|139.2500|138.4700|139.2500|39433|0.7800|0.0000|0.0000|BULLISH
GL|2025-09-02 18:30|139.2300|139.8200|139.0100|139.6700|69822|0.4400|0.1500|0.2200|BULLISH
GL|2025-09-02 19:30|139.7000|140.0050|139.5900|139.9200|111322|0.2200|0.0850|0.1100|BULLISH
GL|2025-09-03 13:30|139.2700|140.7200|139.2700|139.8500|58434|0.5800|0.8700|0.0000|BULLISH
GL|2025-09-03 14:30|139.8600|140.8700|139.7600|140.8100|44941|0.9500|0.0600|0.1000|BULLISH
GL|2025-09-03 15:30|140.7700|140.9000|139.8850|139.8850|32157|0.8850|0.1300|0.0000|BEARISH
GL|2025-09-03 16:30|139.7700|139.9400|139.2700|139.5050|59624|0.2650|0.1700|0.2350|BEARISH
GL|2025-09-03 17:30|139.5250|140.1600|139.4900|140.1200|30496|0.5950|0.0400|0.0350|BULLISH
GL|2025-09-03 18:30|140.0500|140.1900|139.7100|139.9000|47322|0.1500|0.1400|0.1900|BEARISH
GL|2025-09-03 19:30|139.9300|140.6100|139.9300|140.5500|72487|0.6200|0.0600|0.0000|BULLISH
GL|2025-09-04 13:30|141.3900|141.8900|140.9450|141.2500|38153|0.1400|0.5000|0.3050|BEARISH
GL|2025-09-04 14:30|141.2900|141.3400|140.8550|140.8550|32494|0.4350|0.0500|0.0000|BEARISH
GL|2025-09-04 15:30|140.9400|141.1500|140.7550|141.1200|42657|0.1800|0.0300|0.1850|BULLISH
GL|2025-09-04 16:30|141.1700|141.3050|140.9950|141.1600|30422|0.0100|0.1350|0.1650|BEARISH
GL|2025-09-04 17:30|141.1150|141.1200|140.9100|140.9800|31328|0.1350|0.0050|0.0700|BEARISH
GL|2025-09-04 18:30|140.9200|141.0500|140.6900|141.0150|42564|0.0950|0.0350|0.2300|BULLISH
GL|2025-09-04 19:30|140.9900|141.6000|140.9900|141.4500|88439|0.4600|0.1500|0.0000|BULLISH
GL|2025-09-05 13:30|141.2600|141.5000|139.8775|139.8775|23824|1.3825|0.2400|0.0000|BEARISH
GL|2025-09-05 14:30|139.8850|139.8850|138.9100|139.1800|31699|0.7050|0.0000|0.2700|BEARISH
GL|2025-09-05 15:30|139.3050|139.3800|138.9100|139.0800|18970|0.2250|0.0750|0.1700|BEARISH
GL|2025-09-05 16:30|139.1100|139.1900|138.7500|138.7850|17346|0.3250|0.0800|0.0350|BEARISH
GL|2025-09-05 17:30|138.8200|138.8200|138.4400|138.6450|24728|0.1750|0.0000|0.2050|BEARISH
GL|2025-09-05 18:30|138.8000|139.4800|138.7400|139.4300|39538|0.6300|0.0500|0.0600|BULLISH
GL|2025-09-05 19:30|139.4300|139.9100|139.3700|139.8100|76357|0.3800|0.1000|0.0600|BULLISH
GL|2025-09-08 13:30|139.5400|139.5850|138.1500|138.9471|37307|0.5929|0.0450|0.7971|BEARISH
GL|2025-09-08 14:30|138.8300|139.8900|138.7500|139.8800|32756|1.0500|0.0100|0.0800|BULLISH
GL|2025-09-08 15:30|139.8800|139.9400|139.4700|139.5600|32586|0.3200|0.0600|0.0900|BEARISH
GL|2025-09-08 16:30|139.5900|139.6100|139.4300|139.4400|26034|0.1500|0.0200|0.0100|BEARISH
GL|2025-09-08 17:30|139.4500|139.4700|139.0000|139.4500|31785|0.0000|0.0200|0.4500|BULLISH
GL|2025-09-08 18:30|139.5100|139.7150|139.3550|139.6500|52056|0.1400|0.0650|0.1550|BULLISH
GL|2025-09-08 19:30|139.6900|140.6000|139.6200|140.3800|79595|0.6900|0.2200|0.0700|BULLISH
GL|2025-09-09 13:30|140.5500|140.8019|140.0100|140.0650|28257|0.4850|0.2519|0.0550|BEARISH
GL|2025-09-09 14:30|140.0800|140.2800|139.7000|140.0200|33147|0.0600|0.2000|0.3200|BEARISH
GL|2025-09-09 15:30|140.1300|140.1900|139.4600|139.7700|18519|0.3600|0.0600|0.3100|BEARISH
GL|2025-09-09 16:30|139.6200|139.7900|139.1100|139.3075|23295|0.3125|0.1700|0.1975|BEARISH
GL|2025-09-09 17:30|139.2909|140.5300|139.2909|140.3675|44009|1.0766|0.1625|0.0000|BULLISH
GL|2025-09-09 18:30|140.3650|140.8600|140.3650|140.4600|60629|0.0950|0.4000|0.0000|BULLISH
GL|2025-09-09 19:30|140.4600|140.7300|140.0100|140.4500|85233|0.0100|0.2700|0.4400|BEARISH
GL|2025-09-10 13:30|140.1100|140.4600|139.8200|139.8600|23654|0.2500|0.3500|0.0400|BEARISH
GL|2025-09-10 14:30|139.7100|139.9700|139.3100|139.8200|18375|0.1100|0.1500|0.4000|BULLISH
GL|2025-09-10 15:30|140.1700|140.5400|139.9900|139.9900|18735|0.1800|0.3700|0.0000|BEARISH
GL|2025-09-10 16:30|140.0600|140.1300|139.6200|139.7500|33523|0.3100|0.0700|0.1300|BEARISH
GL|2025-09-10 17:30|139.6100|140.1400|139.6100|140.0800|50743|0.4700|0.0600|0.0000|BULLISH
GL|2025-09-10 18:30|140.0300|140.1200|139.1400|139.1400|107532|0.8900|0.0900|0.0000|BEARISH
GL|2025-09-10 19:30|139.1450|139.2700|138.6000|138.9100|201615|0.2350|0.1250|0.3100|BEARISH
GL|2025-09-11 13:30|139.4200|141.1300|139.3100|141.1300|30448|1.7100|0.0000|0.1100|BULLISH
GL|2025-09-11 14:30|141.0900|141.7250|141.0900|141.6100|32263|0.5200|0.1150|0.0000|BULLISH
GL|2025-09-11 15:30|141.7400|141.7700|141.0500|141.3700|28764|0.3700|0.0300|0.3200|BEARISH
GL|2025-09-11 16:30|141.3750|141.7000|141.3400|141.4400|27433|0.0650|0.2600|0.0350|BULLISH
GL|2025-09-11 17:30|141.5200|142.1499|141.4200|141.9100|27848|0.3900|0.2399|0.1000|BULLISH
GL|2025-09-11 18:30|141.9100|142.2450|141.6400|142.1700|35534|0.2600|0.0750|0.2700|BULLISH
GL|2025-09-11 19:30|142.1950|142.9400|142.1900|142.4600|110816|0.2650|0.4800|0.0050|BULLISH
GL|2025-09-12 13:30|142.5200|143.6800|141.6500|141.9750|47957|0.5450|1.1600|0.3250|BEARISH
GL|2025-09-12 14:30|141.9900|142.4500|141.8400|142.2000|23818|0.2100|0.2500|0.1500|BULLISH
GL|2025-09-12 15:30|142.1950|142.2900|141.6000|141.6400|20279|0.5550|0.0950|0.0400|BEARISH
GL|2025-09-12 16:30|141.7200|142.0100|141.6900|141.9400|18441|0.2200|0.0700|0.0300|BULLISH
GL|2025-09-12 17:30|141.9500|142.6050|141.8400|142.5200|38660|0.5700|0.0850|0.1100|BULLISH
GL|2025-09-12 18:30|142.5450|142.8850|142.1650|142.2800|42459|0.2650|0.3400|0.1150|BEARISH
GL|2025-09-12 19:30|142.2300|142.5200|141.8900|142.2500|105393|0.0200|0.2700|0.3400|BULLISH
GL|2025-09-15 13:30|142.3200|143.3100|141.6100|143.1450|36358|0.8250|0.1650|0.7100|BULLISH
