Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
GOOGL|2025-09-02 13:30|208.3500|209.9600|207.5575|209.5200|11521581|1.1700|0.4400|0.7925|BULLISH
GOOGL|2025-09-02 14:30|209.5100|209.9110|206.5500|206.8950|5926040|2.6150|0.4010|0.3450|BEARISH
GOOGL|2025-09-02 15:30|206.8600|207.7150|206.1950|207.6550|3828289|0.7950|0.0600|0.6650|BULLISH
GOOGL|2025-09-02 16:30|207.6400|209.0550|207.5607|208.9800|2035601|1.3400|0.0750|0.0793|BULLISH
GOOGL|2025-09-02 17:30|208.9900|210.7150|208.9300|209.7000|2819461|0.7100|1.0150|0.0600|BULLISH
GOOGL|2025-09-02 18:30|209.7000|210.6900|209.4900|210.6450|2098416|0.9450|0.0450|0.2100|BULLISH
GOOGL|2025-09-02 19:30|210.6400|211.6750|210.5750|211.3200|3055723|0.6800|0.3550|0.0650|BULLISH
GOOGL|2025-09-03 13:30|226.1000|230.8600|224.7900|227.4600|44320836|1.3600|3.4000|1.3100|BULLISH
GOOGL|2025-09-03 14:30|227.4650|230.4899|227.4350|228.7800|11133421|1.3150|1.7099|0.0300|BULLISH
GOOGL|2025-09-03 15:30|228.7550|230.0500|228.2804|229.6701|8632653|0.9151|0.3799|0.4746|BULLISH
GOOGL|2025-09-03 16:30|229.6800|231.0500|229.3100|230.0400|6764324|0.3600|1.0100|0.3700|BULLISH
GOOGL|2025-09-03 17:30|230.0400|230.4500|228.5500|229.1737|5466356|0.8663|0.4100|0.6237|BEARISH
GOOGL|2025-09-03 18:30|229.1700|229.6350|228.0950|229.3500|6498569|0.1800|0.2850|1.0750|BULLISH
GOOGL|2025-09-03 19:30|229.3600|231.3100|227.1100|230.6300|12053965|1.2700|0.6800|2.2500|BULLISH
GOOGL|2025-09-04 13:30|229.7350|230.3100|226.1100|226.3900|15605480|3.3450|0.5750|0.2800|BEARISH
GOOGL|2025-09-04 14:30|226.3600|228.1108|226.1200|227.9300|4922266|1.5700|0.1808|0.2400|BULLISH
GOOGL|2025-09-04 15:30|227.9405|228.3700|227.5550|228.1050|3215869|0.1645|0.2650|0.3855|BULLISH
GOOGL|2025-09-04 16:30|228.1050|229.2000|227.8350|229.1510|3226756|1.0460|0.0490|0.2700|BULLISH
GOOGL|2025-09-04 17:30|229.1600|230.6600|229.1200|230.4450|3558409|1.2850|0.2150|0.0400|BULLISH
GOOGL|2025-09-04 18:30|230.4425|231.4000|230.2600|231.3550|4626492|0.9125|0.0450|0.1825|BULLISH
GOOGL|2025-09-04 19:30|231.3650|232.3675|231.3140|232.3000|6705864|0.9350|0.0675|0.0510|BULLISH
GOOGL|2025-09-05 13:30|232.2400|235.7600|232.1700|232.5500|11439165|0.3100|3.2100|0.0700|BULLISH
