Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
GRMN|2025-09-02 13:30|237.7000|239.6600|236.5229|239.2400|104995|1.5400|0.4200|1.1771|BULLISH
GRMN|2025-09-02 14:30|239.1300|239.2800|236.8300|237.3900|74948|1.7400|0.1500|0.5600|BEARISH
GRMN|2025-09-02 15:30|237.3000|237.3000|234.1000|234.1000|73087|3.2000|0.0000|0.0000|BEARISH
GRMN|2025-09-02 16:30|233.9400|234.9700|233.1500|234.9550|68857|1.0150|0.0150|0.7900|BULLISH
GRMN|2025-09-02 17:30|234.9200|235.1100|232.3400|232.4500|121042|2.4700|0.1900|0.1100|BEARISH
GRMN|2025-09-02 18:30|232.3950|233.2800|231.7400|232.8800|99844|0.4850|0.4000|0.6550|BULLISH
GRMN|2025-09-02 19:30|232.9100|234.3200|232.8600|234.3000|197592|1.3900|0.0200|0.0500|BULLISH
GRMN|2025-09-03 13:30|234.2400|238.0900|233.4150|236.5800|113356|2.3400|1.5100|0.8250|BULLISH
GRMN|2025-09-03 14:30|236.7550|237.5700|236.4220|237.1950|69565|0.4400|0.3750|0.3330|BULLISH
GRMN|2025-09-03 15:30|237.2800|237.5000|236.7900|236.9700|118289|0.3100|0.2200|0.1800|BEARISH
GRMN|2025-09-03 16:30|236.9600|236.9600|235.8250|236.0350|37275|0.9250|0.0000|0.2100|BEARISH
GRMN|2025-09-03 17:30|236.1200|236.2900|235.1200|236.2900|82854|0.1700|0.0000|1.0000|BULLISH
GRMN|2025-09-03 18:30|236.1950|236.5000|235.7000|235.7600|138384|0.4350|0.3050|0.0600|BEARISH
GRMN|2025-09-03 19:30|235.7800|237.4050|235.7700|237.0400|203890|1.2600|0.3650|0.0100|BULLISH
GRMN|2025-09-04 13:30|238.1900|240.9700|237.8950|240.5300|90629|2.3400|0.4400|0.2950|BULLISH
GRMN|2025-09-04 14:30|240.4000|240.7200|238.9700|239.8700|193401|0.5300|0.3200|0.9000|BEARISH
GRMN|2025-09-04 15:30|240.0150|240.1900|239.3000|239.7224|70972|0.2926|0.1750|0.4224|BEARISH
GRMN|2025-09-04 16:30|239.8200|239.8250|237.7129|238.1300|111459|1.6900|0.0050|0.4171|BEARISH
GRMN|2025-09-04 17:30|238.0121|238.1300|236.9800|237.2200|54818|0.7921|0.1179|0.2400|BEARISH
GRMN|2025-09-04 18:30|237.1300|237.2000|236.5300|237.0100|71419|0.1200|0.0700|0.4800|BEARISH
GRMN|2025-09-04 19:30|237.0600|238.0000|237.0300|237.6400|137838|0.5800|0.3600|0.0300|BULLISH
GRMN|2025-09-05 13:30|238.4800|239.9100|237.3300|237.3400|315072|1.1400|1.4300|0.0100|BEARISH
GRMN|2025-09-05 14:30|237.3200|237.4100|235.7050|236.6600|45078|0.6600|0.0900|0.9550|BEARISH
GRMN|2025-09-05 15:30|236.7122|237.0000|236.1950|236.5000|38727|0.2122|0.2878|0.3050|BEARISH
GRMN|2025-09-05 16:30|236.4800|237.7600|236.3900|237.5450|107554|1.0650|0.2150|0.0900|BULLISH
GRMN|2025-09-05 17:30|237.4100|237.6200|236.8100|237.2450|42368|0.1650|0.2100|0.4350|BEARISH
