Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
HAL|2025-09-02 13:30|22.6700|22.7800|22.2600|22.4700|1579010|0.2000|0.1100|0.2100|BEARISH
HAL|2025-09-02 14:30|22.4700|22.4700|22.3000|22.3350|1137036|0.1350|0.0000|0.0350|BEARISH
HAL|2025-09-02 15:30|22.3400|22.4700|22.3208|22.3950|881181|0.0550|0.0750|0.0192|BULLISH
HAL|2025-09-02 16:30|22.3950|22.5400|22.3600|22.4750|718760|0.0800|0.0650|0.0350|BULLISH
HAL|2025-09-02 17:30|22.4800|22.6200|22.4800|22.5200|1933824|0.0400|0.1000|0.0000|BULLISH
HAL|2025-09-02 18:30|22.5200|22.6300|22.4550|22.6300|1158581|0.1100|0.0000|0.0650|BULLISH
HAL|2025-09-02 19:30|22.6300|22.7000|22.5500|22.7000|1785992|0.0700|0.0000|0.0800|BULLISH
HAL|2025-09-03 13:30|22.3000|22.5300|21.7700|21.8000|2434467|0.5000|0.2300|0.0300|BEARISH
HAL|2025-09-03 14:30|21.8100|21.9500|21.6400|21.7400|1410438|0.0700|0.1400|0.1000|BEARISH
HAL|2025-09-03 15:30|21.7350|21.9500|21.7100|21.8100|955292|0.0750|0.1400|0.0250|BULLISH
HAL|2025-09-03 16:30|21.8150|21.9250|21.8150|21.9250|726820|0.1100|0.0000|0.0000|BULLISH
HAL|2025-09-03 17:30|21.9250|21.9300|21.7701|21.8950|890420|0.0300|0.0050|0.1249|BEARISH
HAL|2025-09-03 18:30|21.8950|21.9100|21.5900|21.5950|1750533|0.3000|0.0150|0.0050|BEARISH
HAL|2025-09-03 19:30|21.6000|21.6750|21.5650|21.6000|2754213|0.0000|0.0750|0.0350|BULLISH
HAL|2025-09-04 13:30|21.6500|21.9300|21.4000|21.9050|1295016|0.2550|0.0250|0.2500|BULLISH
HAL|2025-09-04 14:30|21.9099|22.2200|21.8701|22.1943|1536097|0.2844|0.0257|0.0398|BULLISH
HAL|2025-09-04 15:30|22.1900|22.4800|22.1700|22.4250|1300049|0.2350|0.0550|0.0200|BULLISH
HAL|2025-09-04 16:30|22.4250|22.4800|22.2700|22.3650|884603|0.0600|0.0550|0.0950|BEARISH
HAL|2025-09-04 17:30|22.3654|22.4458|22.3150|22.3900|729602|0.0246|0.0558|0.0504|BULLISH
HAL|2025-09-04 18:30|22.3800|22.4700|22.3650|22.4650|977297|0.0850|0.0050|0.0150|BULLISH
HAL|2025-09-04 19:30|22.4650|22.4800|22.3750|22.4650|1966001|0.0000|0.0150|0.0900|BULLISH
HAL|2025-09-05 13:30|22.1000|22.5550|21.9600|22.2650|1289003|0.1650|0.2900|0.1400|BULLISH
HAL|2025-09-05 14:30|22.2600|22.2650|22.0300|22.1200|983543|0.1400|0.0050|0.0900|BEARISH
HAL|2025-09-05 15:30|22.1150|22.3650|22.0900|22.2600|1302973|0.1450|0.1050|0.0250|BULLISH
HAL|2025-09-05 16:30|22.2650|22.3950|22.1850|22.1850|909828|0.0800|0.1300|0.0000|BEARISH
HAL|2025-09-05 17:30|22.1900|22.2250|22.0000|22.0400|1283436|0.1500|0.0350|0.0400|BEARISH
HAL|2025-09-05 18:30|22.0450|22.1600|22.0000|22.0650|1673675|0.0200|0.0950|0.0450|BULLISH
HAL|2025-09-05 19:30|22.0650|22.1150|21.9850|22.1000|2454609|0.0350|0.0150|0.0800|BULLISH
HAL|2025-09-08 13:30|22.0800|22.1500|21.4650|21.5550|2762331|0.5250|0.0700|0.0900|BEARISH
HAL|2025-09-08 14:30|21.5500|21.9050|21.5150|21.7750|1833044|0.2250|0.1300|0.0350|BULLISH
HAL|2025-09-08 15:30|21.7750|21.7900|21.6000|21.6600|1222825|0.1150|0.0150|0.0600|BEARISH
HAL|2025-09-08 16:30|21.6650|21.7500|21.6450|21.7300|679211|0.0650|0.0200|0.0200|BULLISH
HAL|2025-09-08 17:30|21.7350|21.7550|21.5100|21.6150|1234614|0.1200|0.0200|0.1050|BEARISH
HAL|2025-09-08 18:30|21.6150|21.7700|21.6000|21.6250|1686652|0.0100|0.1450|0.0150|BULLISH
HAL|2025-09-08 19:30|21.6300|21.7800|21.6100|21.7700|1873819|0.1400|0.0100|0.0200|BULLISH
HAL|2025-09-09 13:30|21.9100|22.2300|21.8950|22.0050|1907242|0.0950|0.2250|0.0150|BULLISH
HAL|2025-09-09 14:30|22.0050|22.2000|21.9950|22.1400|1313930|0.1350|0.0600|0.0100|BULLISH
HAL|2025-09-09 15:30|22.1350|22.1400|21.9200|21.9350|982738|0.2000|0.0050|0.0150|BEARISH
HAL|2025-09-09 16:30|21.9350|22.0000|21.8400|21.9676|1008874|0.0326|0.0324|0.0950|BULLISH
HAL|2025-09-09 17:30|21.9650|22.0100|21.9212|21.9950|899573|0.0300|0.0150|0.0438|BULLISH
HAL|2025-09-09 18:30|21.9950|22.0100|21.8650|21.8650|1179131|0.1300|0.0150|0.0000|BEARISH
HAL|2025-09-09 19:30|21.8600|21.8600|21.7300|21.7400|1725515|0.1200|0.0000|0.0100|BEARISH
HAL|2025-09-10 13:30|21.7500|22.4551|21.6100|22.1050|2522762|0.3550|0.3501|0.1400|BULLISH
HAL|2025-09-10 14:30|22.1000|22.1100|21.8400|21.9200|1209918|0.1800|0.0100|0.0800|BEARISH
HAL|2025-09-10 15:30|21.9150|22.3650|21.8750|22.2500|1198383|0.3350|0.1150|0.0400|BULLISH
HAL|2025-09-10 16:30|22.2450|22.4000|22.2100|22.3750|1127427|0.1300|0.0250|0.0350|BULLISH
HAL|2025-09-10 17:30|22.3750|22.4650|22.3250|22.4550|1064219|0.0800|0.0100|0.0500|BULLISH
HAL|2025-09-10 18:30|22.4550|22.5250|22.3700|22.4599|1361287|0.0049|0.0651|0.0850|BULLISH
HAL|2025-09-10 19:30|22.4900|22.6100|22.4800|22.6000|2760307|0.1100|0.0100|0.0100|BULLISH
HAL|2025-09-11 13:30|22.4500|22.7065|22.3300|22.6050|1543875|0.1550|0.1015|0.1200|BULLISH
HAL|2025-09-11 14:30|22.6050|22.6400|22.4500|22.5150|960539|0.0900|0.0350|0.0650|BEARISH
HAL|2025-09-11 15:30|22.5100|22.5400|22.3650|22.4250|1196307|0.0850|0.0300|0.0600|BEARISH
HAL|2025-09-11 16:30|22.4250|22.5750|22.3800|22.5500|668258|0.1250|0.0250|0.0450|BULLISH
HAL|2025-09-11 17:30|22.5550|22.6300|22.4700|22.4800|537872|0.0750|0.0750|0.0100|BEARISH
HAL|2025-09-11 18:30|22.4754|22.5100|22.3500|22.3750|708662|0.1004|0.0346|0.0250|BEARISH
HAL|2025-09-11 19:30|22.3800|22.4050|22.2900|22.3150|1550379|0.0650|0.0250|0.0250|BEARISH
HAL|2025-09-12 13:30|22.5000|22.7000|22.3200|22.3550|1274158|0.1450|0.2000|0.0350|BEARISH
HAL|2025-09-12 14:30|22.3600|22.5200|22.3350|22.4300|816377|0.0700|0.0900|0.0250|BULLISH
HAL|2025-09-12 15:30|22.4200|22.4850|22.3750|22.4350|597636|0.0150|0.0500|0.0450|BULLISH
HAL|2025-09-12 16:30|22.4400|22.4400|22.2750|22.2850|439720|0.1550|0.0000|0.0100|BEARISH
HAL|2025-09-12 17:30|22.2900|22.3300|22.2200|22.2850|727907|0.0050|0.0400|0.0650|BEARISH
HAL|2025-09-12 18:30|22.2800|22.3650|22.2150|22.2450|589264|0.0350|0.0850|0.0300|BEARISH
HAL|2025-09-12 19:30|22.2450|22.3250|22.2000|22.2450|1122074|0.0000|0.0800|0.0450|BULLISH
HAL|2025-09-15 13:30|22.4400|22.4830|22.1200|22.3450|1121005|0.0950|0.0430|0.2250|BEARISH
HAL|2025-09-15 14:30|22.3500|22.4150|22.0300|22.0500|707190|0.3000|0.0650|0.0200|BEARISH
HAL|2025-09-15 15:30|22.0450|22.1100|21.9450|22.0150|763517|0.0300|0.0650|0.0700|BEARISH
HAL|2025-09-15 16:30|22.0150|22.0398|21.9050|21.9350|801729|0.0800|0.0248|0.0300|BEARISH
HAL|2025-09-15 17:30|21.9350|21.9700|21.8226|21.8800|720380|0.0550|0.0350|0.0574|BEARISH
HAL|2025-09-15 18:30|21.8800|21.9100|21.7300|21.8300|1423830|0.0500|0.0300|0.1000|BEARISH
HAL|2025-09-15 19:30|21.8350|21.8450|21.7500|21.7950|1480158|0.0400|0.0100|0.0450|BEARISH
