Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
HBAN|2025-09-02 13:30|17.6300|17.7300|17.4900|17.6800|3281819|0.0500|0.0500|0.1400|BULLISH
HBAN|2025-09-02 14:30|17.6850|17.7100|17.4601|17.4958|5429384|0.1892|0.0250|0.0357|BEARISH
HBAN|2025-09-02 15:30|17.4950|17.5600|17.4500|17.5100|6096002|0.0150|0.0500|0.0450|BULLISH
HBAN|2025-09-02 16:30|17.5050|17.6158|17.5000|17.6000|4152283|0.0950|0.0158|0.0050|BULLISH
HBAN|2025-09-02 17:30|17.6042|17.6599|17.5900|17.6050|4005301|0.0008|0.0549|0.0142|BULLISH
HBAN|2025-09-02 18:30|17.6050|17.6600|17.5842|17.6500|2848595|0.0450|0.0100|0.0208|BULLISH
HBAN|2025-09-02 19:30|17.6500|17.6900|17.6300|17.6800|1971760|0.0300|0.0100|0.0200|BULLISH
HBAN|2025-09-03 13:30|17.6800|17.8900|17.5801|17.6150|3137807|0.0650|0.2100|0.0349|BEARISH
HBAN|2025-09-03 14:30|17.6200|17.6700|17.5200|17.5342|3833532|0.0858|0.0500|0.0142|BEARISH
HBAN|2025-09-03 15:30|17.5350|17.5599|17.4900|17.4950|3284883|0.0400|0.0249|0.0050|BEARISH
HBAN|2025-09-03 16:30|17.4903|17.5300|17.4647|17.5142|2613520|0.0239|0.0158|0.0256|BULLISH
HBAN|2025-09-03 17:30|17.5150|17.5400|17.4150|17.4850|3910622|0.0300|0.0250|0.0700|BEARISH
HBAN|2025-09-03 18:30|17.4800|17.5200|17.4600|17.5150|2922106|0.0350|0.0050|0.0200|BULLISH
HBAN|2025-09-03 19:30|17.5200|17.6300|17.5150|17.6250|3697544|0.1050|0.0050|0.0050|BULLISH
HBAN|2025-09-04 13:30|17.7600|17.8000|17.6245|17.7700|3613586|0.0100|0.0300|0.1355|BULLISH
HBAN|2025-09-04 14:30|17.7700|17.8700|17.7500|17.8400|5974097|0.0700|0.0300|0.0200|BULLISH
HBAN|2025-09-04 15:30|17.8330|17.8800|17.8000|17.8250|6561669|0.0080|0.0470|0.0250|BEARISH
HBAN|2025-09-04 16:30|17.8300|17.8750|17.8100|17.8450|4215604|0.0150|0.0300|0.0200|BULLISH
HBAN|2025-09-04 17:30|17.8499|17.9000|17.8200|17.8899|4201864|0.0400|0.0101|0.0299|BULLISH
HBAN|2025-09-04 18:30|17.8842|17.9050|17.8100|17.8600|5222786|0.0242|0.0208|0.0500|BEARISH
HBAN|2025-09-04 19:30|17.8650|17.9000|17.8300|17.8900|4333750|0.0250|0.0100|0.0350|BULLISH
HBAN|2025-09-05 13:30|17.9100|18.0300|17.6300|17.6550|5024747|0.2550|0.1200|0.0250|BEARISH
HBAN|2025-09-05 14:30|17.6500|17.6699|17.4300|17.5700|6043337|0.0800|0.0199|0.1400|BEARISH
HBAN|2025-09-05 15:30|17.5750|17.6458|17.5350|17.5700|4213869|0.0050|0.0708|0.0350|BEARISH
HBAN|2025-09-05 16:30|17.5750|17.6750|17.5400|17.6150|4725948|0.0400|0.0600|0.0350|BULLISH
HBAN|2025-09-05 17:30|17.6150|17.6400|17.5300|17.5700|3750039|0.0450|0.0250|0.0400|BEARISH
HBAN|2025-09-05 18:30|17.5605|17.6550|17.5605|17.6350|3463687|0.0745|0.0200|0.0000|BULLISH
HBAN|2025-09-05 19:30|17.6350|17.6983|17.6000|17.6400|4392282|0.0050|0.0583|0.0350|BULLISH
