Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
HIG|2025-09-02 13:30|131.9000|132.2750|130.8900|132.1300|153998|0.2300|0.1450|1.0100|BULLISH
HIG|2025-09-02 14:30|132.1400|132.4000|131.7000|131.8150|129752|0.3250|0.2600|0.1150|BEARISH
HIG|2025-09-02 15:30|131.8285|131.8300|130.9850|130.9950|92342|0.8335|0.0015|0.0100|BEARISH
HIG|2025-09-02 16:30|130.9900|131.1900|130.8050|131.1500|70892|0.1600|0.0400|0.1850|BULLISH
HIG|2025-09-02 17:30|131.1305|131.5681|131.1150|131.5500|95776|0.4195|0.0181|0.0155|BULLISH
HIG|2025-09-02 18:30|131.5400|131.8600|131.3000|131.7000|152472|0.1600|0.1600|0.2400|BULLISH
HIG|2025-09-02 19:30|131.7100|131.9600|131.7000|131.8900|262412|0.1800|0.0700|0.0100|BULLISH
HIG|2025-09-03 13:30|131.6700|132.2600|131.3900|132.1600|173315|0.4900|0.1000|0.2800|BULLISH
HIG|2025-09-03 14:30|132.1800|132.8100|132.0800|132.6550|144693|0.4750|0.1550|0.1000|BULLISH
HIG|2025-09-03 15:30|132.6600|132.7055|132.3200|132.4000|76539|0.2600|0.0455|0.0800|BEARISH
HIG|2025-09-03 16:30|132.4200|132.8100|132.4200|132.7900|82644|0.3700|0.0200|0.0000|BULLISH
HIG|2025-09-03 17:30|132.7900|133.3000|132.6000|132.9900|108342|0.2000|0.3100|0.1900|BULLISH
HIG|2025-09-03 18:30|132.9400|133.1200|132.5401|132.6400|114755|0.3000|0.1800|0.0999|BEARISH
HIG|2025-09-03 19:30|132.6250|133.2400|132.6100|133.1400|215967|0.5150|0.1000|0.0150|BULLISH
HIG|2025-09-04 13:30|134.0500|134.3100|133.6900|134.3100|124603|0.2600|0.0000|0.3600|BULLISH
HIG|2025-09-04 14:30|134.2700|134.8399|134.2100|134.7200|122646|0.4500|0.1199|0.0600|BULLISH
HIG|2025-09-04 15:30|134.7100|135.1700|134.7100|135.0700|121682|0.3600|0.1000|0.0000|BULLISH
HIG|2025-09-04 16:30|135.0800|135.1100|134.6600|134.8600|174192|0.2200|0.0300|0.2000|BEARISH
HIG|2025-09-04 17:30|134.8650|134.8650|134.5200|134.6800|219525|0.1850|0.0000|0.1600|BEARISH
HIG|2025-09-04 18:30|134.7000|134.7800|134.4600|134.5900|207041|0.1100|0.0800|0.1300|BEARISH
HIG|2025-09-04 19:30|134.5700|134.9900|134.5700|134.6900|433810|0.1200|0.3000|0.0000|BULLISH
HIG|2025-09-05 13:30|134.8100|135.0100|133.1750|133.3200|284326|1.4900|0.2000|0.1450|BEARISH
