Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
HLT|2025-09-02 13:30|273.1000|274.1000|271.0600|273.7200|257635|0.6200|0.3800|2.0400|BULLISH
HLT|2025-09-02 14:30|273.7000|274.1900|273.2500|273.5000|176775|0.2000|0.4900|0.2500|BEARISH
HLT|2025-09-02 15:30|273.5300|273.5500|272.6500|272.9500|166710|0.5800|0.0200|0.3000|BEARISH
HLT|2025-09-02 16:30|273.0000|274.6300|272.8500|274.4800|119378|1.4800|0.1500|0.1500|BULLISH
HLT|2025-09-02 17:30|274.4725|274.8250|274.3300|274.6725|125773|0.2000|0.1525|0.1425|BULLISH
HLT|2025-09-02 18:30|274.6500|275.3100|274.1650|275.3100|176381|0.6600|0.0000|0.4850|BULLISH
HLT|2025-09-02 19:30|275.3200|276.2600|275.2700|275.9900|281547|0.6700|0.2700|0.0500|BULLISH
HLT|2025-09-03 13:30|275.7800|279.7300|275.7800|277.2300|208629|1.4500|2.5000|0.0000|BULLISH
HLT|2025-09-03 14:30|277.2200|277.8846|276.1200|276.5400|103631|0.6800|0.6646|0.4200|BEARISH
HLT|2025-09-03 15:30|276.7000|276.7300|275.6050|276.1300|95032|0.5700|0.0300|0.5250|BEARISH
HLT|2025-09-03 16:30|276.1850|276.3700|275.8100|276.3100|61571|0.1250|0.0600|0.3750|BULLISH
HLT|2025-09-03 17:30|276.2200|276.2200|274.7950|275.2650|103022|0.9550|0.0000|0.4700|BEARISH
HLT|2025-09-03 18:30|275.1900|275.3400|274.6250|274.9550|132999|0.2350|0.1500|0.3300|BEARISH
HLT|2025-09-03 19:30|275.0000|275.4200|274.8100|274.9800|303014|0.0200|0.4200|0.1700|BEARISH
HLT|2025-09-04 13:30|275.7400|276.7400|274.6800|275.7600|276982|0.0200|0.9800|1.0600|BULLISH
HLT|2025-09-04 14:30|275.6900|277.7600|275.6900|277.3000|329816|1.6100|0.4600|0.0000|BULLISH
HLT|2025-09-04 15:30|277.4100|277.4400|276.4944|277.3200|211854|0.0900|0.0300|0.8256|BEARISH
HLT|2025-09-04 16:30|277.4100|277.4900|276.7244|277.2500|107665|0.1600|0.0800|0.5256|BEARISH
HLT|2025-09-04 17:30|277.2450|277.5775|276.9300|277.1200|156966|0.1250|0.3325|0.1900|BEARISH
HLT|2025-09-04 18:30|277.1600|278.8200|277.0700|278.5900|201338|1.4300|0.2300|0.0900|BULLISH
HLT|2025-09-04 19:30|278.6175|279.2600|277.7901|277.9600|391277|0.6575|0.6425|0.1699|BEARISH
HLT|2025-09-05 13:30|278.2000|279.8050|276.4100|276.8450|245910|1.3550|1.6050|0.4350|BEARISH
HLT|2025-09-05 14:30|276.8450|276.8450|274.3100|274.9500|181366|1.8950|0.0000|0.6400|BEARISH
HLT|2025-09-05 15:30|274.8800|274.8800|272.7200|272.7200|122287|2.1600|0.0000|0.0000|BEARISH
HLT|2025-09-05 16:30|272.7550|273.0200|271.7000|271.7000|112341|1.0550|0.2650|0.0000|BEARISH
HLT|2025-09-05 17:30|271.7250|272.3000|270.2300|272.2650|164760|0.5400|0.0350|1.4950|BULLISH
HLT|2025-09-05 18:30|272.2650|272.8400|271.9900|272.3500|196219|0.0850|0.4900|0.2750|BULLISH
HLT|2025-09-05 19:30|272.2900|272.6100|271.7250|272.2900|310477|0.0000|0.3200|0.5650|BULLISH
HLT|2025-09-08 13:30|272.4500|275.3300|271.8700|275.3100|163337|2.8600|0.0200|0.5800|BULLISH
HLT|2025-09-08 14:30|275.3300|276.0200|275.0600|276.0050|127222|0.6750|0.0150|0.2700|BULLISH
HLT|2025-09-08 15:30|275.9950|276.0000|274.8800|275.0800|99708|0.9150|0.0050|0.2000|BEARISH
HLT|2025-09-08 16:30|275.0800|275.9200|274.9550|275.7500|105573|0.6700|0.1700|0.1250|BULLISH
HLT|2025-09-08 17:30|275.7100|276.0300|274.9000|275.9900|110279|0.2800|0.0400|0.8100|BULLISH
HLT|2025-09-08 18:30|276.0050|277.0250|275.9521|276.8000|159565|0.7950|0.2250|0.0529|BULLISH
