Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
HOLX|2025-09-02 13:30|66.8700|67.4800|66.6700|67.0200|127011|0.1500|0.4600|0.2000|BULLISH
HOLX|2025-09-02 14:30|67.0000|67.0100|66.7116|66.7116|58456|0.2884|0.0100|0.0000|BEARISH
HOLX|2025-09-02 15:30|66.7100|66.8100|66.6100|66.6150|63605|0.0950|0.1000|0.0050|BEARISH
HOLX|2025-09-02 16:30|66.6100|66.7000|66.5100|66.6417|51707|0.0317|0.0583|0.1000|BULLISH
HOLX|2025-09-02 17:30|66.6500|66.8500|66.6500|66.7200|54818|0.0700|0.1300|0.0000|BULLISH
HOLX|2025-09-02 18:30|66.7400|66.7800|66.6300|66.7100|75247|0.0300|0.0400|0.0800|BEARISH
HOLX|2025-09-02 19:30|66.7000|66.7400|66.5400|66.6100|288558|0.0900|0.0400|0.0700|BEARISH
HOLX|2025-09-03 13:30|66.2700|66.6400|66.0800|66.0900|87236|0.1800|0.3700|0.0100|BEARISH
HOLX|2025-09-03 14:30|66.1400|66.1900|65.9600|66.0750|190782|0.0650|0.0500|0.1150|BEARISH
HOLX|2025-09-03 15:30|66.0900|66.0999|65.4300|65.5850|83571|0.5050|0.0099|0.1550|BEARISH
HOLX|2025-09-03 16:30|65.6400|65.9200|65.5800|65.9070|115754|0.2670|0.0130|0.0600|BULLISH
HOLX|2025-09-03 17:30|65.9151|66.1800|65.9000|66.1400|84857|0.2249|0.0400|0.0151|BULLISH
HOLX|2025-09-03 18:30|66.1300|66.2500|66.0900|66.1100|349872|0.0200|0.1200|0.0200|BEARISH
HOLX|2025-09-03 19:30|66.1200|66.3000|66.0800|66.2400|248539|0.1200|0.0600|0.0400|BULLISH
HOLX|2025-09-04 13:30|66.2500|66.2500|65.0900|65.4200|174340|0.8300|0.0000|0.3300|BEARISH
HOLX|2025-09-04 14:30|65.4200|65.7700|65.3450|65.7400|117027|0.3200|0.0300|0.0750|BULLISH
HOLX|2025-09-04 15:30|65.7300|66.0050|65.7300|65.9900|126306|0.2600|0.0150|0.0000|BULLISH
HOLX|2025-09-04 16:30|66.0200|66.0450|65.8410|65.9000|91769|0.1200|0.0250|0.0590|BEARISH
HOLX|2025-09-04 17:30|65.8800|66.1700|65.8400|66.0100|134468|0.1300|0.1600|0.0400|BULLISH
HOLX|2025-09-04 18:30|66.0150|66.3350|65.9450|66.2750|170567|0.2600|0.0600|0.0700|BULLISH
HOLX|2025-09-04 19:30|66.2750|66.4000|66.2170|66.3900|278372|0.1150|0.0100|0.0580|BULLISH
HOLX|2025-09-05 13:30|66.0743|67.5450|66.0743|67.1600|138655|1.0857|0.3850|0.0000|BULLISH
HOLX|2025-09-05 14:30|67.2000|67.2650|66.9100|67.1900|93019|0.0100|0.0650|0.2800|BEARISH
HOLX|2025-09-05 15:30|67.1950|67.1950|66.9500|66.9600|61085|0.2350|0.0000|0.0100|BEARISH
HOLX|2025-09-05 16:30|66.9300|67.0700|66.7100|66.7100|69261|0.2200|0.1400|0.0000|BEARISH
HOLX|2025-09-05 17:30|66.7300|66.7700|66.4900|66.5150|74576|0.2150|0.0400|0.0250|BEARISH
HOLX|2025-09-05 18:30|66.5300|66.6200|66.4800|66.6100|107475|0.0800|0.0100|0.0500|BULLISH
HOLX|2025-09-05 19:30|66.6100|66.7900|66.4500|66.7700|380058|0.1600|0.0200|0.1600|BULLISH
HOLX|2025-09-08 13:30|66.9500|66.9500|65.5800|66.1200|140413|0.8300|0.0000|0.5400|BEARISH
HOLX|2025-09-08 14:30|66.1200|66.6500|66.0800|66.4800|121279|0.3600|0.1700|0.0400|BULLISH
