Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
HUBB|2025-09-02 13:30|430.6100|430.6100|422.1400|429.1800|80648|1.4300|0.0000|7.0400|BEARISH
HUBB|2025-09-02 14:30|429.1400|429.9150|427.9750|428.7700|39338|0.3700|0.7750|0.7950|BEARISH
HUBB|2025-09-02 15:30|428.8350|428.9550|427.1601|428.1900|27769|0.6450|0.1200|1.0299|BEARISH
HUBB|2025-09-02 16:30|428.1800|428.5200|427.5910|428.4250|24874|0.2450|0.0950|0.5890|BULLISH
HUBB|2025-09-02 17:30|428.6100|429.6500|428.4800|428.6250|26269|0.0150|1.0250|0.1300|BULLISH
HUBB|2025-09-02 18:30|428.6550|430.1900|428.6550|429.4500|39600|0.7950|0.7400|0.0000|BULLISH
HUBB|2025-09-02 19:30|429.3000|431.3300|428.9700|430.1600|96923|0.8600|1.1700|0.3300|BULLISH
HUBB|2025-09-03 13:30|432.4000|432.4000|428.0000|428.4600|39637|3.9400|0.0000|0.4600|BEARISH
HUBB|2025-09-03 14:30|428.3700|428.9400|427.3000|427.3700|20783|1.0000|0.5700|0.0700|BEARISH
HUBB|2025-09-03 15:30|427.4400|428.1900|426.9500|427.4100|20814|0.0300|0.7500|0.4600|BEARISH
HUBB|2025-09-03 16:30|426.9650|427.0000|425.3000|426.1900|42084|0.7750|0.0350|0.8900|BEARISH
HUBB|2025-09-03 17:30|426.2400|426.5400|424.3800|426.1000|24862|0.1400|0.3000|1.7200|BEARISH
HUBB|2025-09-03 18:30|426.1550|426.1550|424.3100|424.9800|53729|1.1750|0.0000|0.6700|BEARISH
HUBB|2025-09-03 19:30|425.3600|428.9500|425.3600|428.7300|72098|3.3700|0.2200|0.0000|BULLISH
HUBB|2025-09-04 13:30|430.0000|431.2399|426.8850|430.2400|103859|0.2400|0.9999|3.1150|BULLISH
HUBB|2025-09-04 14:30|430.3450|433.8100|430.1650|432.8800|45634|2.5350|0.9300|0.1800|BULLISH
HUBB|2025-09-04 15:30|433.0200|433.5450|432.1700|432.1700|28696|0.8500|0.5250|0.0000|BEARISH
HUBB|2025-09-04 16:30|431.8700|432.7100|431.2400|432.7100|19782|0.8400|0.0000|0.6300|BULLISH
HUBB|2025-09-04 17:30|432.3200|434.1700|432.3200|434.1500|39494|1.8300|0.0200|0.0000|BULLISH
HUBB|2025-09-04 18:30|433.8850|435.3100|433.4400|435.2200|34854|1.3350|0.0900|0.4450|BULLISH
HUBB|2025-09-04 19:30|435.3479|437.5250|434.9535|437.2600|87885|1.9121|0.2650|0.3944|BULLISH
HUBB|2025-09-05 13:30|439.6300|443.0000|432.7700|433.0600|68079|6.5700|3.3700|0.2900|BEARISH
HUBB|2025-09-05 14:30|432.7200|433.3700|429.5900|431.8200|37479|0.9000|0.6500|2.2300|BEARISH
HUBB|2025-09-05 15:30|431.7000|433.2200|431.0935|431.0935|28576|0.6065|1.5200|0.0000|BEARISH
HUBB|2025-09-05 16:30|431.3950|431.8500|429.0000|431.1550|67724|0.2400|0.4550|2.1550|BEARISH
HUBB|2025-09-05 17:30|430.9850|433.9400|429.7750|433.9400|34049|2.9550|0.0000|1.2100|BULLISH
HUBB|2025-09-05 18:30|433.8350|436.0700|433.8350|435.4900|34392|1.6550|0.5800|0.0000|BULLISH
HUBB|2025-09-05 19:30|435.4550|436.5800|434.8300|436.1500|72685|0.6950|0.4300|0.6250|BULLISH
HUBB|2025-09-08 13:30|436.0100|436.3350|430.0550|433.9600|55949|2.0500|0.3250|3.9050|BEARISH
HUBB|2025-09-08 14:30|433.9600|437.3800|433.2700|436.8050|91177|2.8450|0.5750|0.6900|BULLISH
HUBB|2025-09-08 15:30|436.8100|437.2200|435.6900|436.4300|36934|0.3800|0.4100|0.7400|BEARISH
HUBB|2025-09-08 16:30|436.1700|436.5700|434.7500|436.2900|33098|0.1200|0.2800|1.4200|BULLISH
HUBB|2025-09-08 17:30|436.0100|436.5700|434.6400|436.3800|41742|0.3700|0.1900|1.3700|BULLISH
HUBB|2025-09-08 18:30|436.3300|436.7700|434.5200|434.5200|56775|1.8100|0.4400|0.0000|BEARISH
HUBB|2025-09-08 19:30|434.5100|436.9500|434.4200|436.7800|72319|2.2700|0.1700|0.0900|BULLISH
HUBB|2025-09-09 13:30|435.0600|435.6000|430.0450|430.5600|39776|4.5000|0.5400|0.5150|BEARISH
HUBB|2025-09-09 14:30|430.7680|430.7680|427.8500|429.9100|21887|0.8580|0.0000|2.0600|BEARISH
HUBB|2025-09-09 15:30|430.3850|431.8100|430.0400|431.0950|25910|0.7100|0.7150|0.3450|BULLISH
HUBB|2025-09-09 16:30|431.6000|432.2600|431.2900|432.2450|25771|0.6450|0.0150|0.3100|BULLISH
HUBB|2025-09-09 17:30|432.0200|434.3900|431.6100|434.3900|27451|2.3700|0.0000|0.4100|BULLISH
