Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
HUM|2025-09-02 13:30|304.5900|311.8500|303.0120|311.2500|303286|6.6600|0.6000|1.5780|BULLISH
HUM|2025-09-02 14:30|311.5000|313.4100|311.1900|312.5600|278281|1.0600|0.8500|0.3100|BULLISH
HUM|2025-09-02 15:30|312.5600|314.2800|311.8200|312.7900|257098|0.2300|1.4900|0.7400|BULLISH
HUM|2025-09-02 16:30|312.5600|312.8600|309.2400|309.4650|147065|3.0950|0.3000|0.2250|BEARISH
HUM|2025-09-02 17:30|309.4650|310.2000|306.3300|307.3350|122183|2.1300|0.7350|1.0050|BEARISH
HUM|2025-09-02 18:30|307.3350|310.0100|306.9600|309.9850|202999|2.6500|0.0250|0.3750|BULLISH
HUM|2025-09-02 19:30|310.0100|310.3725|309.3300|310.0000|417637|0.0100|0.3625|0.6700|BEARISH
HUM|2025-09-03 13:30|308.9100|311.6800|306.1400|306.9100|222059|2.0000|2.7700|0.7700|BEARISH
HUM|2025-09-03 14:30|306.9100|308.9700|306.8000|308.6950|178548|1.7850|0.2750|0.1100|BULLISH
HUM|2025-09-03 15:30|308.7850|309.5100|308.0700|308.6500|103571|0.1350|0.7250|0.5800|BEARISH
HUM|2025-09-03 16:30|308.9120|310.3650|308.4450|310.1200|154395|1.2080|0.2450|0.4670|BULLISH
HUM|2025-09-03 17:30|310.1050|312.3910|309.9500|312.0800|146068|1.9750|0.3110|0.1550|BULLISH
HUM|2025-09-03 18:30|312.1500|314.2800|312.1500|313.1000|198834|0.9500|1.1800|0.0000|BULLISH
HUM|2025-09-03 19:30|313.2300|313.6300|311.9600|311.9700|447749|1.2600|0.4000|0.0100|BEARISH
HUM|2025-09-04 13:30|310.9300|311.8200|308.0248|309.4400|213071|1.4900|0.8900|1.4152|BEARISH
HUM|2025-09-04 14:30|309.3850|310.9400|308.2850|310.5575|155123|1.1725|0.3825|1.1000|BULLISH
HUM|2025-09-04 15:30|310.5400|313.6299|310.3200|312.7900|161374|2.2500|0.8399|0.2200|BULLISH
HUM|2025-09-04 16:30|312.6900|313.3400|309.9250|310.3700|139326|2.3200|0.6500|0.4450|BEARISH
HUM|2025-09-04 17:30|310.3800|313.2300|309.8800|313.0900|130906|2.7100|0.1400|0.5000|BULLISH
HUM|2025-09-04 18:30|313.1000|313.7100|310.6400|310.8200|245301|2.2800|0.6100|0.1800|BEARISH
HUM|2025-09-04 19:30|310.8200|312.6699|310.0588|312.0200|361623|1.2000|0.6499|0.7612|BULLISH
HUM|2025-09-05 13:30|311.4600|315.3482|309.3800|310.9141|273480|0.5459|3.8882|1.5341|BEARISH
HUM|2025-09-05 14:30|310.9465|311.6600|309.2900|310.9850|163752|0.0385|0.6750|1.6565|BULLISH
HUM|2025-09-05 15:30|311.0100|311.2200|309.7001|310.1100|79544|0.9000|0.2100|0.4099|BEARISH
HUM|2025-09-05 16:30|310.1500|311.0800|309.0001|310.9800|70966|0.8300|0.1000|1.1499|BULLISH
HUM|2025-09-05 17:30|310.9850|311.3650|309.0000|309.2700|171187|1.7150|0.3800|0.2700|BEARISH
HUM|2025-09-05 18:30|309.3100|309.6100|307.2500|307.8100|147102|1.5000|0.3000|0.5600|BEARISH
HUM|2025-09-05 19:30|307.7900|308.2200|306.5300|307.6300|295542|0.1600|0.4300|1.1000|BEARISH
HUM|2025-09-08 13:30|309.9000|311.5900|302.7700|303.4850|191642|6.4150|1.6900|0.7150|BEARISH
HUM|2025-09-08 14:30|303.4600|308.7400|303.4500|307.9300|176095|4.4700|0.8100|0.0100|BULLISH
HUM|2025-09-08 15:30|307.9250|308.7450|307.3900|307.8600|110457|0.0650|0.8200|0.4700|BEARISH
HUM|2025-09-08 16:30|308.1700|308.8000|307.7700|308.3700|63759|0.2000|0.4300|0.4000|BULLISH
HUM|2025-09-08 17:30|308.5650|308.5650|306.7200|308.1200|78424|0.4450|0.0000|1.4000|BEARISH
HUM|2025-09-08 18:30|308.2150|309.1086|307.0000|308.6500|145246|0.4350|0.4586|1.2150|BULLISH
HUM|2025-09-08 19:30|308.8100|311.0300|308.7550|310.7100|210138|1.9000|0.3200|0.0550|BULLISH
HUM|2025-09-09 13:30|311.6900|314.5400|306.3900|307.7200|311846|3.9700|2.8500|1.3300|BEARISH
HUM|2025-09-09 14:30|307.7250|307.9400|302.5000|305.0200|214512|2.7050|0.2150|2.5200|BEARISH
HUM|2025-09-09 15:30|305.0400|306.3300|303.1650|306.2000|146132|1.1600|0.1300|1.8750|BULLISH
HUM|2025-09-09 16:30|306.0700|307.2550|304.8600|306.9000|255643|0.8300|0.3550|1.2100|BULLISH
HUM|2025-09-09 17:30|307.1100|307.1200|283.3500|286.3100|1118277|20.8000|0.0100|2.9600|BEARISH
HUM|2025-09-09 18:30|285.9450|287.9999|280.2300|280.8900|760345|5.0550|2.0549|0.6600|BEARISH
HUM|2025-09-09 19:30|281.3550|282.2000|271.2000|272.6800|1792069|8.6750|0.8450|1.4800|BEARISH
HUM|2025-09-10 13:30|270.0100|270.0100|254.0300|266.5000|1797994|3.5100|0.0000|12.4700|BEARISH
HUM|2025-09-10 14:30|266.6000|268.7999|265.0100|266.9500|357613|0.3500|1.8499|1.5900|BULLISH
HUM|2025-09-10 15:30|266.8450|271.5800|266.5853|270.3000|298786|3.4550|1.2800|0.2597|BULLISH
HUM|2025-09-10 16:30|270.3100|271.0000|268.1500|269.0400|152440|1.2700|0.6900|0.8900|BEARISH
HUM|2025-09-10 17:30|269.0700|272.9200|268.8050|272.6300|229982|3.5600|0.2900|0.2650|BULLISH
HUM|2025-09-10 18:30|272.6600|273.8700|271.5850|272.3000|383219|0.3600|1.2100|0.7150|BEARISH
HUM|2025-09-10 19:30|272.5550|273.6300|271.1100|273.3700|818733|0.8150|0.2600|1.4450|BULLISH
HUM|2025-09-11 13:30|273.9800|275.7100|271.0250|273.8000|259953|0.1800|1.7300|2.7750|BEARISH
HUM|2025-09-11 14:30|273.7550|278.5700|273.7550|277.8500|419312|4.0950|0.7200|0.0000|BULLISH
HUM|2025-09-11 15:30|277.7101|280.5800|277.1800|280.0400|398258|2.3299|0.5400|0.5301|BULLISH
HUM|2025-09-11 16:30|280.0400|282.4900|278.3100|280.0500|193042|0.0100|2.4400|1.7300|BULLISH
HUM|2025-09-11 17:30|280.0700|280.6000|278.5094|278.7100|114442|1.3600|0.5300|0.2006|BEARISH
HUM|2025-09-11 18:30|278.9700|279.8700|277.5900|279.7900|169859|0.8200|0.0800|1.3800|BULLISH
HUM|2025-09-11 19:30|279.9800|280.7200|278.3100|278.6300|344119|1.3500|0.7400|0.3200|BEARISH
HUM|2025-09-12 13:30|276.9900|279.9400|275.3100|278.2750|136188|1.2850|1.6650|1.6800|BULLISH
HUM|2025-09-12 14:30|278.2550|279.0000|276.0101|276.9650|102241|1.2900|0.7450|0.9549|BEARISH
HUM|2025-09-12 15:30|277.3100|278.4800|276.9650|277.8900|98427|0.5800|0.5900|0.3450|BULLISH
HUM|2025-09-12 16:30|278.2100|278.3570|277.0000|277.3000|76549|0.9100|0.1470|0.3000|BEARISH
HUM|2025-09-12 17:30|276.9800|277.4700|274.2000|275.1100|118212|1.8700|0.4900|0.9100|BEARISH
HUM|2025-09-12 18:30|275.1100|277.0300|274.7900|276.4900|147189|1.3800|0.5400|0.3200|BULLISH
HUM|2025-09-12 19:30|276.2100|277.4000|274.8300|276.3200|333384|0.1100|1.0800|1.3800|BULLISH
HUM|2025-09-15 13:30|275.3000|276.9000|271.1000|272.0900|162969|3.2100|1.6000|0.9900|BEARISH
HUM|2025-09-15 14:30|271.9900|273.9100|271.9900|272.4374|111870|0.4474|1.4726|0.0000|BULLISH
