Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
ICE|2025-09-02 13:30|175.5600|177.0000|174.5000|174.8900|421338|0.6700|1.4400|0.3900|BEARISH
ICE|2025-09-02 14:30|174.8900|175.2600|174.2375|174.5100|342212|0.3800|0.3700|0.2725|BEARISH
ICE|2025-09-02 15:30|174.5200|174.5200|173.8800|173.9200|252918|0.6000|0.0000|0.0400|BEARISH
ICE|2025-09-02 16:30|173.8900|174.5800|173.6600|174.5200|233539|0.6300|0.0600|0.2300|BULLISH
ICE|2025-09-02 17:30|174.5250|174.9600|174.5200|174.7900|297622|0.2650|0.1700|0.0050|BULLISH
ICE|2025-09-02 18:30|174.7850|174.9300|174.6300|174.7300|290661|0.0550|0.1450|0.1000|BEARISH
ICE|2025-09-02 19:30|174.7250|175.0800|174.5500|174.9800|536321|0.2550|0.1000|0.1750|BULLISH
ICE|2025-09-03 13:30|174.7100|175.4600|173.9000|174.1450|213842|0.5650|0.7500|0.2450|BEARISH
ICE|2025-09-03 14:30|174.1450|174.9350|173.8900|174.5200|199060|0.3750|0.4150|0.2550|BULLISH
ICE|2025-09-03 15:30|174.5800|174.5800|173.8300|174.0000|127699|0.5800|0.0000|0.1700|BEARISH
ICE|2025-09-03 16:30|174.0000|174.2100|173.7700|174.1950|135452|0.1950|0.0150|0.2300|BULLISH
ICE|2025-09-03 17:30|174.1700|174.6498|173.9100|174.5250|175553|0.3550|0.1248|0.2600|BULLISH
ICE|2025-09-03 18:30|174.5000|174.6000|174.3000|174.3690|155102|0.1310|0.1000|0.0690|BEARISH
ICE|2025-09-03 19:30|174.3450|175.1500|174.3090|175.1400|385852|0.7950|0.0100|0.0360|BULLISH
ICE|2025-09-04 13:30|175.9100|176.0500|175.1301|175.3100|169894|0.6000|0.1400|0.1799|BEARISH
ICE|2025-09-04 14:30|175.3100|175.3900|174.4900|174.7500|190468|0.5600|0.0800|0.2600|BEARISH
ICE|2025-09-04 15:30|174.7400|174.9130|174.2100|174.2100|177726|0.5300|0.1730|0.0000|BEARISH
ICE|2025-09-04 16:30|174.2500|174.3800|173.8700|174.0600|251771|0.1900|0.1300|0.1900|BEARISH
ICE|2025-09-04 17:30|174.0700|174.0700|173.2200|173.9900|352227|0.0800|0.0000|0.7700|BEARISH
ICE|2025-09-04 18:30|173.9900|174.2790|173.7400|173.7400|288188|0.2500|0.2890|0.0000|BEARISH
ICE|2025-09-04 19:30|173.7400|174.6000|173.7100|174.5000|627452|0.7600|0.1000|0.0300|BULLISH
ICE|2025-09-05 13:30|175.1400|175.1400|173.6000|174.0450|502313|1.0950|0.0000|0.4450|BEARISH
ICE|2025-09-05 14:30|174.0500|174.2450|172.8900|174.2450|512609|0.1950|0.0000|1.1600|BULLISH
ICE|2025-09-05 15:30|174.2500|174.4600|173.7000|173.8050|264051|0.4450|0.2100|0.1050|BEARISH
ICE|2025-09-05 16:30|173.8500|174.6300|173.7300|174.4500|197581|0.6000|0.1800|0.1200|BULLISH
ICE|2025-09-05 17:30|174.4500|174.4500|173.9300|174.3000|157465|0.1500|0.0000|0.3700|BEARISH
ICE|2025-09-05 18:30|174.3000|174.5200|174.0750|174.2469|206988|0.0531|0.2200|0.1719|BEARISH
ICE|2025-09-05 19:30|174.2450|174.4300|173.9500|174.3300|505070|0.0850|0.1000|0.2950|BULLISH
ICE|2025-09-08 13:30|173.3900|174.1400|172.0000|172.3200|321628|1.0700|0.7500|0.3200|BEARISH
ICE|2025-09-08 14:30|172.3400|173.1190|172.1200|173.0800|190842|0.7400|0.0390|0.2200|BULLISH
ICE|2025-09-08 15:30|173.0400|173.3400|172.6100|173.3400|199910|0.3000|0.0000|0.4300|BULLISH
ICE|2025-09-08 16:30|173.3500|173.6400|173.0900|173.4800|143764|0.1300|0.1600|0.2600|BULLISH
ICE|2025-09-08 17:30|173.5150|173.7100|173.3850|173.5900|154170|0.0750|0.1200|0.1300|BULLISH
ICE|2025-09-08 18:30|173.5900|173.7900|173.3300|173.4100|185769|0.1800|0.2000|0.0800|BEARISH
ICE|2025-09-08 19:30|173.4200|173.9600|173.2550|173.9600|364341|0.5400|0.0000|0.1650|BULLISH
ICE|2025-09-09 13:30|173.0400|174.7850|173.0400|174.1750|315873|1.1350|0.6100|0.0000|BULLISH
ICE|2025-09-09 14:30|174.2050|174.2200|173.5400|173.9300|311221|0.2750|0.0150|0.3900|BEARISH
ICE|2025-09-09 15:30|173.9350|174.1500|173.6300|174.0500|229133|0.1150|0.1000|0.3050|BULLISH
ICE|2025-09-09 16:30|173.9900|174.1400|173.8800|174.0700|133413|0.0800|0.0700|0.1100|BULLISH
ICE|2025-09-09 17:30|174.0700|174.3550|173.4700|173.8800|296698|0.1900|0.2850|0.4100|BEARISH
ICE|2025-09-09 18:30|173.8800|174.3600|173.6700|173.7700|236831|0.1100|0.4800|0.1000|BEARISH
ICE|2025-09-09 19:30|173.7350|173.7900|173.3900|173.4500|595909|0.2850|0.0550|0.0600|BEARISH
