Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
IDXX|2025-09-02 13:30|637.0500|639.4100|630.5389|638.6300|80766|1.5800|0.7800|6.5111|BULLISH
IDXX|2025-09-02 14:30|638.9850|639.6900|636.3700|636.3700|37400|2.6150|0.7050|0.0000|BEARISH
IDXX|2025-09-02 15:30|636.4100|638.0699|635.0300|636.5700|41916|0.1600|1.4999|1.3799|BULLISH
IDXX|2025-09-02 16:30|636.4200|638.5600|636.0650|638.4757|27364|2.0557|0.0843|0.3550|BULLISH
IDXX|2025-09-02 17:30|638.9950|640.7300|638.9950|639.3850|23742|0.3900|1.3450|0.0000|BULLISH
IDXX|2025-09-02 18:30|639.3300|641.2100|638.6600|641.1200|37447|1.7900|0.0900|0.6700|BULLISH
IDXX|2025-09-02 19:30|641.0050|641.0050|638.6300|639.5300|66798|1.4750|0.0000|0.9000|BEARISH
IDXX|2025-09-03 13:30|640.9900|642.0100|630.9150|632.4350|63615|8.5550|1.0200|1.5200|BEARISH
IDXX|2025-09-03 14:30|632.7650|634.1200|629.7700|630.3700|27797|2.3950|1.3550|0.6000|BEARISH
IDXX|2025-09-03 15:30|630.1000|630.3900|626.2430|627.1750|29074|2.9250|0.2900|0.9320|BEARISH
IDXX|2025-09-03 16:30|627.9900|628.6800|627.0500|627.0500|20584|0.9400|0.6900|0.0000|BEARISH
IDXX|2025-09-03 17:30|627.6700|630.9400|626.8400|630.9400|45672|3.2700|0.0000|0.8300|BULLISH
IDXX|2025-09-03 18:30|631.5400|632.7850|630.9500|631.5700|28897|0.0300|1.2150|0.5900|BULLISH
IDXX|2025-09-03 19:30|631.5550|634.7400|631.5550|634.2400|62957|2.6850|0.5000|0.0000|BULLISH
IDXX|2025-09-04 13:30|637.7100|637.7100|629.5600|631.2700|42548|6.4400|0.0000|1.7100|BEARISH
IDXX|2025-09-04 14:30|631.4900|639.8250|631.4900|639.8250|58235|8.3350|0.0000|0.0000|BULLISH
IDXX|2025-09-04 15:30|640.0725|641.8240|638.9300|640.3200|32597|0.2475|1.5040|1.1425|BULLISH
IDXX|2025-09-04 16:30|639.8400|641.0000|639.1000|639.8000|22405|0.0400|1.1600|0.7000|BEARISH
IDXX|2025-09-04 17:30|639.4700|640.1000|638.7550|639.5600|32324|0.0900|0.5400|0.7150|BULLISH
IDXX|2025-09-04 18:30|639.4375|642.4700|639.4300|641.5000|38909|2.0625|0.9700|0.0075|BULLISH
IDXX|2025-09-04 19:30|641.0900|641.6950|640.0750|640.4400|99128|0.6500|0.6050|0.3650|BEARISH
IDXX|2025-09-05 13:30|640.0000|649.1580|630.8667|643.9050|79962|3.9050|5.2530|9.1333|BULLISH
IDXX|2025-09-05 14:30|643.9050|648.0000|643.7300|648.0000|39790|4.0950|0.0000|0.1750|BULLISH
IDXX|2025-09-05 15:30|646.1350|648.6900|646.1350|646.7500|24801|0.6150|1.9400|0.0000|BULLISH
IDXX|2025-09-05 16:30|647.3800|648.2100|646.6700|648.2100|20093|0.8300|0.0000|0.7100|BULLISH
IDXX|2025-09-05 17:30|647.6150|647.6900|646.4400|647.4300|24732|0.1850|0.0750|0.9900|BEARISH
IDXX|2025-09-05 18:30|647.5450|648.1099|644.7650|644.7650|34104|2.7800|0.5649|0.0000|BEARISH
IDXX|2025-09-05 19:30|643.8800|644.0700|640.8450|642.9600|66734|0.9200|0.1900|2.1151|BEARISH
IDXX|2025-09-08 13:30|644.4200|651.0000|640.2601|650.9500|62690|6.5300|0.0500|4.1599|BULLISH
IDXX|2025-09-08 14:30|652.0790|654.0500|650.1200|653.0100|45458|0.9310|1.0400|1.9590|BULLISH
IDXX|2025-09-08 15:30|652.7500|653.8500|651.7500|652.8050|30898|0.0550|1.0450|1.0000|BULLISH
IDXX|2025-09-08 16:30|652.9650|652.9650|649.9361|650.7325|34722|2.2325|0.0000|0.7964|BEARISH
IDXX|2025-09-08 17:30|650.8800|650.8850|647.2800|650.6775|30672|0.2025|0.0050|3.3975|BEARISH
IDXX|2025-09-08 18:30|650.1950|650.2200|648.6590|649.6850|36655|0.5100|0.0250|1.0260|BEARISH
IDXX|2025-09-08 19:30|649.6000|653.5900|649.5650|652.7400|94345|3.1400|0.8500|0.0350|BULLISH
IDXX|2025-09-09 13:30|652.8300|652.8300|648.4350|649.9000|34849|2.9300|0.0000|1.4650|BEARISH
IDXX|2025-09-09 14:30|649.2300|652.1900|647.7850|652.1900|24389|2.9600|0.0000|1.4450|BULLISH
IDXX|2025-09-09 15:30|651.5600|652.4400|649.0850|649.2500|23980|2.3100|0.8800|0.1650|BEARISH
IDXX|2025-09-09 16:30|649.0500|652.8400|649.0500|652.8400|23392|3.7900|0.0000|0.0000|BULLISH
IDXX|2025-09-09 17:30|652.9600|653.9700|651.8100|652.4100|19009|0.5500|1.0099|0.6000|BEARISH
IDXX|2025-09-09 18:30|652.3400|653.9650|651.9700|653.3500|39486|1.0099|0.6151|0.3701|BULLISH
IDXX|2025-09-09 19:30|653.4700|655.7700|653.0500|655.1750|61046|1.7050|0.5950|0.4200|BULLISH
IDXX|2025-09-10 13:30|652.9100|653.6750|649.3250|650.0000|54673|2.9100|0.7650|0.6750|BEARISH
IDXX|2025-09-10 14:30|648.1400|648.8500|643.4226|643.4226|27335|4.7174|0.7100|0.0000|BEARISH
IDXX|2025-09-10 15:30|642.9800|643.6400|640.2300|640.2300|23470|2.7500|0.6600|0.0000|BEARISH
IDXX|2025-09-10 16:30|640.1200|640.1700|633.6600|634.9550|54286|5.1650|0.0500|1.2950|BEARISH
IDXX|2025-09-10 17:30|634.4500|635.9050|631.7400|632.2100|22418|2.2400|1.4550|0.4700|BEARISH
IDXX|2025-09-10 18:30|632.1700|634.5100|631.8450|633.4500|26310|1.2800|1.0600|0.3250|BULLISH
IDXX|2025-09-10 19:30|633.4625|638.1500|632.9200|637.9500|61120|4.4875|0.2000|0.5425|BULLISH
IDXX|2025-09-11 13:30|637.1400|644.2100|637.1400|644.2100|34115|7.0700|0.0000|0.0000|BULLISH
IDXX|2025-09-11 14:30|645.2050|647.3300|643.6100|647.1000|5261|1.8950|0.2300|1.5950|BULLISH
IDXX|2025-09-11 15:30|647.5300|648.2950|645.1000|645.2500|44773|2.2800|0.7650|0.1500|BEARISH
IDXX|2025-09-11 16:30|645.9400|646.8300|644.7350|645.3750|30867|0.5650|0.8900|0.6400|BEARISH
