Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
IFF|2025-09-02 13:30|66.9400|67.5000|65.9300|66.1306|314535|0.8094|0.5600|0.2006|BEARISH
IFF|2025-09-02 14:30|66.1800|66.1800|65.4500|65.4700|155696|0.7100|0.0000|0.0200|BEARISH
IFF|2025-09-02 15:30|65.4650|65.6900|65.3600|65.4850|223474|0.0200|0.2050|0.1050|BULLISH
IFF|2025-09-02 16:30|65.5100|66.1800|65.5100|66.1400|149187|0.6300|0.0400|0.0000|BULLISH
IFF|2025-09-02 17:30|66.1400|66.2600|66.0800|66.0900|106474|0.0500|0.1200|0.0100|BEARISH
IFF|2025-09-02 18:30|66.1100|66.5800|66.0750|66.3900|490611|0.2800|0.1900|0.0350|BULLISH
IFF|2025-09-02 19:30|66.4000|66.6550|66.3200|66.5500|539651|0.1500|0.1050|0.0800|BULLISH
IFF|2025-09-03 13:30|66.0300|66.7600|65.7800|65.8550|272960|0.1750|0.7300|0.0750|BEARISH
IFF|2025-09-03 14:30|65.9000|66.0320|65.6800|65.7700|89064|0.1300|0.1320|0.0900|BEARISH
IFF|2025-09-03 15:30|65.7500|66.0750|65.6800|66.0100|106557|0.2600|0.0650|0.0700|BULLISH
IFF|2025-09-03 16:30|65.9800|66.1500|65.9550|66.1000|103555|0.1200|0.0500|0.0250|BULLISH
IFF|2025-09-03 17:30|66.0800|66.2700|65.8950|66.2700|117024|0.1900|0.0000|0.1850|BULLISH
IFF|2025-09-03 18:30|66.2700|66.3100|65.7200|65.7200|160930|0.5500|0.0400|0.0000|BEARISH
IFF|2025-09-03 19:30|65.7300|65.7800|65.4900|65.7000|648369|0.0300|0.0500|0.2100|BEARISH
IFF|2025-09-04 13:30|65.7900|65.8750|65.1400|65.1800|247111|0.6100|0.0850|0.0400|BEARISH
IFF|2025-09-04 14:30|65.1600|65.2400|64.8800|65.0950|217182|0.0650|0.0800|0.2150|BEARISH
IFF|2025-09-04 15:30|65.0850|65.3500|64.9750|65.2700|148750|0.1850|0.0800|0.1100|BULLISH
IFF|2025-09-04 16:30|65.2500|65.5600|65.1500|65.5450|118644|0.2950|0.0150|0.1000|BULLISH
IFF|2025-09-04 17:30|65.5600|65.6500|65.2300|65.2850|122870|0.2750|0.0900|0.0550|BEARISH
IFF|2025-09-04 18:30|65.2900|65.5550|65.2600|65.4750|200485|0.1850|0.0800|0.0300|BULLISH
IFF|2025-09-04 19:30|65.4870|65.6100|65.3700|65.5400|452550|0.0530|0.0700|0.1170|BULLISH
IFF|2025-09-05 13:30|65.6100|67.2350|65.2900|66.4300|226177|0.8200|0.8050|0.3200|BULLISH
IFF|2025-09-05 14:30|66.4300|66.4900|65.9600|66.3200|154674|0.1100|0.0600|0.3600|BEARISH
IFF|2025-09-05 15:30|66.3200|66.3550|65.9500|66.0300|146310|0.2900|0.0350|0.0800|BEARISH
IFF|2025-09-05 16:30|66.0000|66.0400|65.7700|65.8200|163481|0.1800|0.0400|0.0500|BEARISH
IFF|2025-09-05 17:30|65.8300|65.8800|65.6100|65.6600|127820|0.1700|0.0500|0.0500|BEARISH
IFF|2025-09-05 18:30|65.6600|65.9600|65.6600|65.7755|257844|0.1155|0.1845|0.0000|BULLISH
IFF|2025-09-05 19:30|65.7600|66.0300|65.7150|66.0200|379478|0.2600|0.0100|0.0450|BULLISH
IFF|2025-09-08 13:30|67.0300|67.0300|65.5200|65.6750|222670|1.3550|0.0000|0.1550|BEARISH
IFF|2025-09-08 14:30|65.6900|66.1900|65.6300|66.1200|131548|0.4300|0.0700|0.0600|BULLISH
IFF|2025-09-08 15:30|66.1250|66.1400|65.8500|65.9100|139727|0.2150|0.0150|0.0600|BEARISH
IFF|2025-09-08 16:30|65.9100|65.9950|65.7300|65.9650|123212|0.0550|0.0300|0.1800|BULLISH
IFF|2025-09-08 17:30|65.9750|66.0100|65.6300|65.8300|102568|0.1450|0.0350|0.2000|BEARISH
IFF|2025-09-08 18:30|65.8100|66.0000|65.7500|65.9000|183223|0.0900|0.1000|0.0600|BULLISH
IFF|2025-09-08 19:30|65.8900|66.3100|65.8650|66.1900|454065|0.3000|0.1200|0.0250|BULLISH
IFF|2025-09-09 13:30|65.7900|66.0800|65.3500|65.7900|184526|0.0000|0.2900|0.4400|BULLISH
IFF|2025-09-09 14:30|65.7900|65.8000|65.3200|65.5000|120304|0.2900|0.0100|0.1800|BEARISH
IFF|2025-09-09 15:30|65.5100|65.5900|65.3200|65.4900|114021|0.0200|0.0800|0.1700|BEARISH
IFF|2025-09-09 16:30|65.4963|65.5600|65.1400|65.2950|102583|0.2013|0.0637|0.1550|BEARISH
IFF|2025-09-09 17:30|65.3200|65.4950|65.2900|65.4300|117871|0.1100|0.0650|0.0300|BULLISH
IFF|2025-09-09 18:30|65.4300|65.4450|64.9700|64.9920|245652|0.4380|0.0150|0.0220|BEARISH
IFF|2025-09-09 19:30|64.9800|65.1600|64.9100|65.0700|434061|0.0900|0.0900|0.0700|BULLISH
IFF|2025-09-10 13:30|64.8500|65.2100|64.4900|64.5000|205712|0.3500|0.3600|0.0100|BEARISH
IFF|2025-09-10 14:30|64.4900|64.5700|63.9800|64.1250|320825|0.3650|0.0800|0.1450|BEARISH
IFF|2025-09-10 15:30|64.1000|64.3400|63.9700|64.2400|131230|0.1400|0.1000|0.1300|BULLISH
IFF|2025-09-10 16:30|64.2000|64.3400|63.9800|64.2700|108652|0.0700|0.0700|0.2200|BULLISH
