Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
ILMN|2025-09-02 13:30|98.3400|98.6900|96.2000|97.2500|230349|1.0900|0.3500|1.0500|BEARISH
ILMN|2025-09-02 14:30|97.1800|97.3100|95.9700|96.0000|110626|1.1800|0.1300|0.0300|BEARISH
ILMN|2025-09-02 15:30|95.9000|96.3000|95.4400|96.0500|93918|0.1500|0.2500|0.4600|BULLISH
ILMN|2025-09-02 16:30|96.0777|96.4400|95.9200|96.4000|57648|0.3223|0.0400|0.1577|BULLISH
ILMN|2025-09-02 17:30|96.3300|97.0300|96.3200|96.7300|124652|0.4000|0.3000|0.0100|BULLISH
ILMN|2025-09-02 18:30|96.7179|97.6300|96.6200|97.5300|112250|0.8121|0.1000|0.0979|BULLISH
ILMN|2025-09-02 19:30|97.5100|98.0000|97.2900|97.8200|242142|0.3100|0.1800|0.2200|BULLISH
ILMN|2025-09-03 13:30|96.5991|98.0500|96.3900|96.8800|276222|0.2809|1.1700|0.2091|BULLISH
ILMN|2025-09-03 14:30|96.9500|97.2300|96.6700|96.7300|125968|0.2200|0.2800|0.0600|BEARISH
ILMN|2025-09-03 15:30|96.7600|96.8900|95.9601|96.2350|69286|0.5250|0.1300|0.2749|BEARISH
ILMN|2025-09-03 16:30|96.2250|96.5200|96.1750|96.4200|68164|0.1950|0.1000|0.0500|BULLISH
ILMN|2025-09-03 17:30|96.4050|96.5100|95.8000|96.4850|97538|0.0800|0.0250|0.6050|BULLISH
ILMN|2025-09-03 18:30|96.4600|96.6050|95.9900|96.0394|101588|0.4206|0.1450|0.0494|BEARISH
ILMN|2025-09-03 19:30|96.0100|96.3600|95.9300|96.0800|228286|0.0700|0.2800|0.0800|BULLISH
ILMN|2025-09-04 13:30|95.8600|96.0900|93.9440|94.8200|142490|1.0400|0.2300|0.8760|BEARISH
ILMN|2025-09-04 14:30|94.7750|95.2400|94.5000|95.0400|260893|0.2650|0.2000|0.2750|BULLISH
ILMN|2025-09-04 15:30|95.0850|95.8800|95.0300|95.5550|149574|0.4700|0.3250|0.0550|BULLISH
ILMN|2025-09-04 16:30|95.5694|96.5300|95.5694|96.3597|99694|0.7903|0.1703|0.0000|BULLISH
ILMN|2025-09-04 17:30|96.4700|96.6900|96.3600|96.5700|60578|0.1000|0.1200|0.1100|BULLISH
ILMN|2025-09-04 18:30|96.4800|97.5411|96.4800|97.2900|85288|0.8100|0.2511|0.0000|BULLISH
