Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
INVH|2025-09-02 13:30|31.0300|31.1600|30.8050|30.8400|444534|0.1900|0.1300|0.0350|BEARISH
INVH|2025-09-02 14:30|30.8400|30.8700|30.6400|30.6550|359983|0.1850|0.0300|0.0150|BEARISH
INVH|2025-09-02 15:30|30.6550|30.6850|30.4950|30.4950|320390|0.1600|0.0300|0.0000|BEARISH
INVH|2025-09-02 16:30|30.4900|30.5350|30.4300|30.4600|216040|0.0300|0.0450|0.0300|BEARISH
INVH|2025-09-02 17:30|30.4600|30.4900|30.2850|30.3450|332613|0.1150|0.0300|0.0600|BEARISH
INVH|2025-09-02 18:30|30.3499|30.3550|30.1900|30.2450|321886|0.1049|0.0051|0.0550|BEARISH
INVH|2025-09-02 19:30|30.2500|30.3650|30.2400|30.3300|801467|0.0800|0.0350|0.0100|BULLISH
INVH|2025-09-03 13:30|30.2100|30.4800|30.1200|30.2650|337087|0.0550|0.2150|0.0900|BULLISH
INVH|2025-09-03 14:30|30.2650|30.3500|30.2135|30.2900|233382|0.0250|0.0600|0.0515|BULLISH
INVH|2025-09-03 15:30|30.3000|30.3700|30.1350|30.1800|228799|0.1200|0.0700|0.0450|BEARISH
INVH|2025-09-03 16:30|30.1850|30.2650|30.1650|30.2650|179485|0.0800|0.0000|0.0200|BULLISH
INVH|2025-09-03 17:30|30.2600|30.3300|30.1550|30.3200|244133|0.0600|0.0100|0.1050|BULLISH
INVH|2025-09-03 18:30|30.3100|30.3300|30.1550|30.2250|320789|0.0850|0.0200|0.0700|BEARISH
INVH|2025-09-03 19:30|30.2300|30.2500|30.1800|30.2300|1140558|0.0000|0.0200|0.0500|BULLISH
INVH|2025-09-04 13:30|30.3700|30.4100|30.1500|30.2250|299683|0.1450|0.0400|0.0750|BEARISH
INVH|2025-09-04 14:30|30.2250|30.2950|30.1450|30.2300|438164|0.0050|0.0650|0.0800|BULLISH
INVH|2025-09-04 15:30|30.2250|30.2350|30.0650|30.0750|402308|0.1500|0.0100|0.0100|BEARISH
INVH|2025-09-04 16:30|30.0750|30.1050|29.9900|30.0535|353174|0.0215|0.0300|0.0635|BEARISH
INVH|2025-09-04 17:30|30.0550|30.1800|30.0000|30.1650|539057|0.1100|0.0150|0.0550|BULLISH
INVH|2025-09-04 18:30|30.1650|30.2500|30.1400|30.2400|534715|0.0750|0.0100|0.0250|BULLISH
INVH|2025-09-04 19:30|30.2350|30.3600|30.2250|30.3500|836383|0.1150|0.0100|0.0100|BULLISH
INVH|2025-09-05 13:30|30.5200|30.7100|30.2550|30.2750|1044635|0.2450|0.1900|0.0200|BEARISH
INVH|2025-09-05 14:30|30.2700|30.3900|30.1850|30.3850|539802|0.1150|0.0050|0.0850|BULLISH
INVH|2025-09-05 15:30|30.3890|30.3900|30.2650|30.2725|373574|0.1165|0.0010|0.0075|BEARISH
INVH|2025-09-05 16:30|30.2700|30.2950|30.1800|30.1800|303604|0.0900|0.0250|0.0000|BEARISH
INVH|2025-09-05 17:30|30.1850|30.2000|30.1150|30.1350|341411|0.0500|0.0150|0.0200|BEARISH
INVH|2025-09-05 18:30|30.1351|30.2800|30.1300|30.2200|697826|0.0849|0.0600|0.0051|BULLISH
INVH|2025-09-05 19:30|30.2250|30.2800|30.1800|30.2500|1033867|0.0250|0.0300|0.0450|BULLISH
INVH|2025-09-08 13:30|30.0000|30.2650|29.9200|29.9850|579140|0.0150|0.2650|0.0650|BEARISH
INVH|2025-09-08 14:30|29.9850|30.1150|29.9850|30.0600|375356|0.0750|0.0550|0.0000|BULLISH
INVH|2025-09-08 15:30|30.0600|30.1000|29.9650|30.0850|301695|0.0250|0.0150|0.0950|BULLISH
INVH|2025-09-08 16:30|30.0900|30.1150|30.0400|30.0650|208844|0.0250|0.0250|0.0250|BEARISH
INVH|2025-09-08 17:30|30.0700|30.0850|29.9450|29.9750|355826|0.0950|0.0150|0.0300|BEARISH
INVH|2025-09-08 18:30|29.9750|29.9900|29.8900|29.8928|445817|0.0822|0.0150|0.0028|BEARISH
INVH|2025-09-08 19:30|29.8950|30.1050|29.8800|30.1000|1079564|0.2050|0.0050|0.0150|BULLISH
INVH|2025-09-09 13:30|30.0250|30.3750|29.9900|30.3700|258477|0.3450|0.0050|0.0350|BULLISH
INVH|2025-09-09 14:30|30.3700|30.4750|30.3650|30.4350|361699|0.0650|0.0400|0.0050|BULLISH
INVH|2025-09-09 15:30|30.4350|30.4650|30.1400|30.1900|325077|0.2450|0.0300|0.0500|BEARISH
INVH|2025-09-09 16:30|30.1950|30.2200|30.1300|30.1950|171985|0.0000|0.0250|0.0650|BULLISH
INVH|2025-09-09 17:30|30.1900|30.2800|30.1900|30.2250|195407|0.0350|0.0550|0.0000|BULLISH
INVH|2025-09-09 18:30|30.2300|30.2400|30.1700|30.2000|258802|0.0300|0.0100|0.0300|BEARISH
INVH|2025-09-09 19:30|30.2000|30.3100|30.1800|30.2950|583617|0.0950|0.0150|0.0200|BULLISH
INVH|2025-09-10 13:30|30.2000|30.4100|30.1750|30.3100|524508|0.1100|0.1000|0.0250|BULLISH
INVH|2025-09-10 14:30|30.3100|30.3100|30.1450|30.1950|351085|0.1150|0.0000|0.0500|BEARISH
INVH|2025-09-10 15:30|30.1950|30.2400|30.0900|30.0950|227626|0.1000|0.0450|0.0050|BEARISH
INVH|2025-09-10 16:30|30.0950|30.1850|30.0500|30.0650|189289|0.0300|0.0900|0.0150|BEARISH
INVH|2025-09-10 17:30|30.0650|30.0800|29.9700|30.0450|266486|0.0200|0.0150|0.0750|BEARISH
INVH|2025-09-10 18:30|30.0500|30.0850|29.9750|29.9850|260600|0.0650|0.0350|0.0100|BEARISH
INVH|2025-09-10 19:30|29.9850|30.0600|29.9100|30.0075|810006|0.0225|0.0525|0.0750|BULLISH
INVH|2025-09-11 13:30|30.0500|30.3499|29.9701|30.2600|278401|0.2100|0.0899|0.0799|BULLISH
INVH|2025-09-11 14:30|30.2650|30.3300|30.2318|30.2750|168261|0.0100|0.0550|0.0332|BULLISH
INVH|2025-09-11 15:30|30.2800|30.3800|30.2700|30.3450|175117|0.0650|0.0350|0.0100|BULLISH
INVH|2025-09-11 16:30|30.3450|30.3493|30.2450|30.2950|157601|0.0500|0.0043|0.0500|BEARISH
INVH|2025-09-11 17:30|30.2950|30.4554|30.2900|30.4550|201801|0.1600|0.0004|0.0050|BULLISH
INVH|2025-09-11 18:30|30.4500|30.5700|30.3900|30.5700|300702|0.1200|0.0000|0.0600|BULLISH
INVH|2025-09-11 19:30|30.5700|30.6400|30.5650|30.6150|798311|0.0450|0.0250|0.0050|BULLISH
INVH|2025-09-12 13:30|30.5900|30.6500|30.4050|30.4050|444617|0.1850|0.0600|0.0000|BEARISH
INVH|2025-09-12 14:30|30.4000|30.4800|30.2800|30.2950|502953|0.1050|0.0800|0.0150|BEARISH
INVH|2025-09-12 15:30|30.2950|30.3083|30.1900|30.2350|288960|0.0600|0.0133|0.0450|BEARISH
INVH|2025-09-12 16:30|30.2350|30.2900|30.2100|30.2550|262325|0.0200|0.0350|0.0250|BULLISH
INVH|2025-09-12 17:30|30.2550|30.2850|30.1900|30.2750|333361|0.0200|0.0100|0.0650|BULLISH
INVH|2025-09-12 18:30|30.2750|30.3000|30.2100|30.2250|537179|0.0500|0.0250|0.0150|BEARISH
INVH|2025-09-12 19:30|30.2250|30.2700|30.1700|30.2000|1482287|0.0250|0.0450|0.0300|BEARISH
INVH|2025-09-15 13:30|30.1600|30.3000|29.9150|29.9700|238044|0.1900|0.1400|0.0550|BEARISH
INVH|2025-09-15 14:30|29.9600|30.1000|29.7700|29.7700|291267|0.1900|0.1400|0.0000|BEARISH
INVH|2025-09-15 15:30|29.7700|29.8900|29.7400|29.8350|327225|0.0650|0.0550|0.0300|BULLISH
INVH|2025-09-15 16:30|29.8300|29.8360|29.7000|29.7650|256846|0.0650|0.0060|0.0650|BEARISH
INVH|2025-09-15 17:30|29.7638|29.8100|29.6550|29.7750|734352|0.0112|0.0350|0.1088|BULLISH
INVH|2025-09-15 18:30|29.7750|29.7750|29.6050|29.7450|777391|0.0300|0.0000|0.1400|BEARISH
INVH|2025-09-15 19:30|29.7500|29.8000|29.6400|29.6500|1387158|0.1000|0.0500|0.0100|BEARISH
INVH|2025-09-16 13:30|29.7000|29.8300|29.6200|29.6850|865560|0.0150|0.1300|0.0650|BEARISH
INVH|2025-09-16 14:30|29.6900|29.8250|29.5700|29.5950|430374|0.0950|0.1350|0.0250|BEARISH
INVH|2025-09-16 15:30|29.5950|29.6000|29.4500|29.4899|396519|0.1051|0.0050|0.0399|BEARISH
INVH|2025-09-16 16:30|29.4800|29.5450|29.4450|29.4650|173235|0.0150|0.0650|0.0200|BEARISH
INVH|2025-09-16 17:30|29.4650|29.5400|29.4500|29.5300|621872|0.0650|0.0100|0.0150|BULLISH
INVH|2025-09-16 18:30|29.5300|29.6500|29.5300|29.5500|334033|0.0200|0.1000|0.0000|BULLISH
INVH|2025-09-16 19:30|29.5450|29.5500|29.4500|29.5200|991974|0.0250|0.0050|0.0700|BEARISH
INVH|2025-09-17 13:30|29.4200|29.7200|29.3800|29.6800|676507|0.2600|0.0400|0.0400|BULLISH
INVH|2025-09-17 14:30|29.6700|29.8500|29.6450|29.7500|339070|0.0800|0.1000|0.0250|BULLISH
INVH|2025-09-17 15:30|29.7500|29.7900|29.6750|29.6850|225896|0.0650|0.0400|0.0100|BEARISH
INVH|2025-09-17 16:30|29.6801|29.7100|29.6050|29.6350|243538|0.0451|0.0299|0.0300|BEARISH
INVH|2025-09-17 17:30|29.6400|30.0200|29.5900|29.9500|743100|0.3100|0.0700|0.0500|BULLISH
INVH|2025-09-17 18:30|29.9500|29.9550|29.6000|29.7350|1322833|0.2150|0.0050|0.1350|BEARISH
INVH|2025-09-17 19:30|29.7350|29.7350|29.5900|29.6400|834007|0.0950|0.0000|0.0500|BEARISH
INVH|2025-09-18 13:30|29.5100|29.8700|29.5075|29.6800|435482|0.1700|0.1900|0.0025|BULLISH
INVH|2025-09-18 14:30|29.6750|29.6850|29.5400|29.6050|326415|0.0700|0.0100|0.0650|BEARISH
INVH|2025-09-18 15:30|29.6100|29.6600|29.5450|29.6550|404877|0.0450|0.0050|0.0650|BULLISH
INVH|2025-09-18 16:30|29.6550|29.7000|29.5900|29.6150|254964|0.0400|0.0450|0.0250|BEARISH
INVH|2025-09-18 17:30|29.6150|29.6800|29.5950|29.6350|190879|0.0200|0.0450|0.0200|BULLISH
INVH|2025-09-18 18:30|29.6350|29.6500|29.5100|29.5150|309202|0.1200|0.0150|0.0050|BEARISH
INVH|2025-09-18 19:30|29.5150|29.5787|29.4700|29.5000|854252|0.0150|0.0637|0.0300|BEARISH
INVH|2025-09-19 13:30|29.4000|29.6000|29.2800|29.4550|1460462|0.0550|0.1450|0.1200|BULLISH
INVH|2025-09-19 14:30|29.4550|29.6000|29.4550|29.5350|246382|0.0800|0.0650|0.0000|BULLISH
INVH|2025-09-19 15:30|29.5350|29.6500|29.5300|29.5900|171597|0.0550|0.0600|0.0050|BULLISH
INVH|2025-09-19 16:30|29.5900|29.6550|29.5500|29.6550|159767|0.0650|0.0000|0.0400|BULLISH
INVH|2025-09-19 17:30|29.6600|29.7150|29.5800|29.6040|200154|0.0560|0.0550|0.0240|BEARISH
INVH|2025-09-19 18:30|29.6050|29.7450|29.5950|29.7350|273403|0.1300|0.0100|0.0100|BULLISH
INVH|2025-09-19 19:30|29.7400|29.8250|29.5800|29.6400|1065740|0.1000|0.0850|0.0600|BEARISH
INVH|2025-09-22 13:30|29.6500|29.6700|29.4400|29.6000|376328|0.0500|0.0200|0.1600|BEARISH
INVH|2025-09-22 14:30|29.6000|29.8000|29.6000|29.7600|327928|0.1600|0.0400|0.0000|BULLISH
INVH|2025-09-22 15:30|29.7700|29.7850|29.5450|29.5450|315147|0.2250|0.0150|0.0000|BEARISH
INVH|2025-09-22 16:30|29.5450|29.6600|29.5300|29.6500|342740|0.1050|0.0100|0.0150|BULLISH
INVH|2025-09-22 17:30|29.6500|29.6900|29.5747|29.6108|295921|0.0392|0.0400|0.0361|BEARISH
INVH|2025-09-22 18:30|29.6200|29.7100|29.6200|29.6550|347965|0.0350|0.0550|0.0000|BULLISH
INVH|2025-09-22 19:30|29.6550|29.7600|29.6300|29.6800|842726|0.0250|0.0800|0.0250|BULLISH
INVH|2025-09-23 13:30|29.7100|29.8100|29.5200|29.5750|329048|0.1350|0.1000|0.0550|BEARISH
INVH|2025-09-23 14:30|29.5700|29.7050|29.4850|29.6700|370205|0.1000|0.0350|0.0850|BULLISH
INVH|2025-09-23 15:30|29.6700|29.7850|29.6550|29.7100|229449|0.0400|0.0750|0.0150|BULLISH
INVH|2025-09-23 16:30|29.7100|29.7400|29.5950|29.6050|585328|0.1050|0.0300|0.0100|BEARISH
INVH|2025-09-23 17:30|29.6050|29.7600|29.5500|29.6350|467120|0.0300|0.1250|0.0550|BULLISH
INVH|2025-09-23 18:30|29.6350|29.6600|29.5850|29.6250|355795|0.0100|0.0250|0.0400|BEARISH
INVH|2025-09-23 19:30|29.6250|29.7150|29.6000|29.6700|959563|0.0450|0.0450|0.0250|BULLISH
INVH|2025-09-24 13:30|29.6700|29.7700|29.2850|29.3700|687808|0.3000|0.1000|0.0850|BEARISH
INVH|2025-09-24 14:30|29.3750|29.4750|29.3250|29.3350|201343|0.0400|0.1000|0.0100|BEARISH
INVH|2025-09-24 15:30|29.3338|29.4000|29.3050|29.3050|212709|0.0288|0.0662|0.0000|BEARISH
INVH|2025-09-24 16:30|29.3100|29.3900|29.3100|29.3586|326846|0.0486|0.0314|0.0000|BULLISH
INVH|2025-09-24 17:30|29.3600|29.3850|29.2200|29.2400|293134|0.1200|0.0250|0.0200|BEARISH
INVH|2025-09-24 18:30|29.2450|29.2700|29.1850|29.2150|361392|0.0300|0.0250|0.0300|BEARISH
INVH|2025-09-24 19:30|29.2100|29.3200|29.2000|29.2200|1089324|0.0100|0.1000|0.0100|BULLISH
INVH|2025-09-25 13:30|29.0800|29.1450|28.8350|28.8450|400040|0.2350|0.0650|0.0100|BEARISH
INVH|2025-09-25 14:30|28.8450|28.9350|28.7850|28.7900|267676|0.0550|0.0900|0.0050|BEARISH
INVH|2025-09-25 15:30|28.7900|28.8950|28.7635|28.8400|211351|0.0500|0.0550|0.0265|BULLISH
INVH|2025-09-25 16:30|28.8500|28.9600|28.8450|28.8750|303086|0.0250|0.0850|0.0050|BULLISH
INVH|2025-09-25 17:30|28.8750|28.9700|28.8650|28.9200|506678|0.0450|0.0500|0.0100|BULLISH
INVH|2025-09-25 18:30|28.9100|28.9600|28.8438|28.8750|741524|0.0350|0.0500|0.0312|BEARISH
INVH|2025-09-25 19:30|28.8750|28.9800|28.8700|28.9100|1127870|0.0350|0.0700|0.0050|BULLISH
INVH|2025-09-26 13:30|29.0100|29.2100|28.8200|29.1200|548472|0.1100|0.0900|0.1900|BULLISH
INVH|2025-09-26 14:30|29.1150|29.1500|29.0150|29.1300|479001|0.0150|0.0200|0.1000|BULLISH
INVH|2025-09-26 15:30|29.1300|29.2250|29.0700|29.2243|403022|0.0943|0.0007|0.0600|BULLISH
INVH|2025-09-26 16:30|29.2300|29.2500|29.1600|29.2201|419286|0.0099|0.0200|0.0601|BEARISH
INVH|2025-09-26 17:30|29.2300|29.2450|29.1450|29.1950|437509|0.0350|0.0150|0.0500|BEARISH
INVH|2025-09-26 18:30|29.1950|29.2100|29.1100|29.1850|701845|0.0100|0.0150|0.0750|BEARISH
INVH|2025-09-26 19:30|29.1850|29.2200|29.1500|29.1700|925051|0.0150|0.0350|0.0200|BEARISH
INVH|2025-09-29 13:30|29.2200|29.2200|28.9750|29.0475|262509|0.1725|0.0000|0.0725|BEARISH
INVH|2025-09-29 14:30|29.0400|29.1950|29.0050|29.1850|270465|0.1450|0.0100|0.0350|BULLISH
INVH|2025-09-29 15:30|29.1850|29.2000|29.0600|29.0650|361784|0.1200|0.0150|0.0050|BEARISH
INVH|2025-09-29 16:30|29.0700|29.1150|28.9950|28.9950|259792|0.0750|0.0450|0.0000|BEARISH
INVH|2025-09-29 17:30|28.9999|29.1000|28.9850|29.0750|324834|0.0751|0.0250|0.0149|BULLISH
INVH|2025-09-29 18:30|29.0799|29.0900|28.9200|28.9700|418878|0.1099|0.0101|0.0500|BEARISH
INVH|2025-09-29 19:30|28.9700|29.0600|28.9700|29.0250|814148|0.0550|0.0350|0.0000|BULLISH
INVH|2025-09-30 13:30|28.9400|29.1000|28.9350|29.0350|541557|0.0950|0.0650|0.0050|BULLISH
INVH|2025-09-30 14:30|29.0400|29.1700|28.9650|29.1600|349224|0.1200|0.0100|0.0750|BULLISH
INVH|2025-09-30 15:30|29.1650|29.1750|29.0700|29.1350|225285|0.0300|0.0100|0.0650|BEARISH
INVH|2025-09-30 16:30|29.1400|29.2150|29.1000|29.1250|239500|0.0150|0.0750|0.0250|BEARISH
INVH|2025-09-30 17:30|29.1300|29.2550|29.1250|29.2100|357339|0.0800|0.0450|0.0050|BULLISH
INVH|2025-09-30 18:30|29.2100|29.3100|29.1900|29.2950|429311|0.0850|0.0150|0.0200|BULLISH
