Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
IRM|2025-09-02 13:30|91.0500|91.1700|90.2100|90.6650|219704|0.3850|0.1200|0.4550|BEARISH
IRM|2025-09-02 14:30|90.6600|90.7700|89.6700|89.7100|207407|0.9500|0.1100|0.0400|BEARISH
IRM|2025-09-02 15:30|89.7000|89.7050|89.2000|89.3650|139773|0.3350|0.0050|0.1650|BEARISH
IRM|2025-09-02 16:30|89.3650|89.5300|89.1912|89.4150|127014|0.0500|0.1150|0.1738|BULLISH
IRM|2025-09-02 17:30|89.4150|89.5500|88.7600|88.9400|148196|0.4750|0.1350|0.1800|BEARISH
IRM|2025-09-02 18:30|88.9500|89.2400|88.7578|89.1650|267859|0.2150|0.0750|0.1922|BULLISH
IRM|2025-09-02 19:30|89.1675|89.5400|89.1600|89.4600|344135|0.2925|0.0800|0.0075|BULLISH
IRM|2025-09-03 13:30|88.9400|90.0000|88.5950|89.5350|362528|0.5950|0.4650|0.3450|BULLISH
IRM|2025-09-03 14:30|89.6000|89.6316|88.6950|88.7350|97305|0.8650|0.0316|0.0400|BEARISH
IRM|2025-09-03 15:30|88.7400|89.5300|88.6800|89.0900|199486|0.3500|0.4400|0.0600|BULLISH
IRM|2025-09-03 16:30|89.0950|89.1100|88.3200|88.3200|103623|0.7750|0.0150|0.0000|BEARISH
IRM|2025-09-03 17:30|88.3198|88.8100|87.8000|88.7500|206091|0.4302|0.0600|0.5198|BULLISH
IRM|2025-09-03 18:30|88.7550|89.3000|88.7550|89.2650|209417|0.5100|0.0350|0.0000|BULLISH
IRM|2025-09-03 19:30|89.2800|89.8700|89.2000|89.7300|479694|0.4500|0.1400|0.0800|BULLISH
IRM|2025-09-04 13:30|89.9100|90.9100|89.6450|90.5600|145794|0.6500|0.3500|0.2650|BULLISH
IRM|2025-09-04 14:30|90.5100|91.0250|90.4250|91.0250|105001|0.5150|0.0000|0.0850|BULLISH
IRM|2025-09-04 15:30|91.0350|91.1495|90.4500|90.5900|138981|0.4450|0.1145|0.1400|BEARISH
IRM|2025-09-04 16:30|90.5600|90.7700|90.4100|90.5100|105970|0.0500|0.2100|0.1000|BEARISH
