Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
IVZ|2025-09-02 13:30|21.3800|21.6350|21.0750|21.5450|796914|0.1650|0.0900|0.3050|BULLISH
IVZ|2025-09-02 14:30|21.5450|21.6050|21.4350|21.4650|411702|0.0800|0.0600|0.0300|BEARISH
IVZ|2025-09-02 15:30|21.4600|21.4600|21.3500|21.4150|314441|0.0450|0.0000|0.0650|BEARISH
IVZ|2025-09-02 16:30|21.4200|21.5600|21.4150|21.4850|297847|0.0650|0.0750|0.0050|BULLISH
IVZ|2025-09-02 17:30|21.4850|21.6100|21.4750|21.4750|342721|0.0100|0.1250|0.0000|BEARISH
IVZ|2025-09-02 18:30|21.4750|21.5500|21.4350|21.5450|1116943|0.0700|0.0050|0.0400|BULLISH
IVZ|2025-09-02 19:30|21.5500|21.6600|21.5450|21.6450|650476|0.0950|0.0150|0.0050|BULLISH
IVZ|2025-09-03 13:30|21.4500|21.7400|21.3650|21.6199|443146|0.1699|0.1201|0.0850|BULLISH
IVZ|2025-09-03 14:30|21.6200|21.6850|21.5700|21.5800|300269|0.0400|0.0650|0.0100|BEARISH
IVZ|2025-09-03 15:30|21.5900|21.6050|21.4850|21.5050|218637|0.0850|0.0150|0.0200|BEARISH
IVZ|2025-09-03 16:30|21.5050|21.5400|21.4600|21.5350|221600|0.0300|0.0050|0.0450|BULLISH
IVZ|2025-09-03 17:30|21.5350|21.5400|21.4300|21.5250|157005|0.0100|0.0050|0.0950|BEARISH
IVZ|2025-09-03 18:30|21.5200|21.5700|21.4700|21.4950|249336|0.0250|0.0500|0.0250|BEARISH
IVZ|2025-09-03 19:30|21.4950|21.7050|21.4900|21.7000|437554|0.2050|0.0050|0.0050|BULLISH
IVZ|2025-09-04 13:30|21.8100|21.9700|21.7100|21.7850|435888|0.0250|0.1600|0.0750|BEARISH
IVZ|2025-09-04 14:30|21.7800|21.9050|21.7500|21.8750|291140|0.0950|0.0300|0.0300|BULLISH
IVZ|2025-09-04 15:30|21.8650|21.8950|21.8300|21.8350|279051|0.0300|0.0300|0.0050|BEARISH
IVZ|2025-09-04 16:30|21.8350|21.8700|21.7900|21.8699|195542|0.0349|0.0001|0.0450|BULLISH
IVZ|2025-09-04 17:30|21.8700|21.9200|21.8450|21.8800|201304|0.0100|0.0400|0.0250|BULLISH
IVZ|2025-09-04 18:30|21.8800|21.9800|21.8700|21.9500|235828|0.0700|0.0300|0.0100|BULLISH
IVZ|2025-09-04 19:30|21.9450|21.9700|21.9200|21.9600|488241|0.0150|0.0100|0.0250|BULLISH
IVZ|2025-09-05 13:30|22.1100|22.2300|21.7750|21.8010|641793|0.3090|0.1200|0.0260|BEARISH
IVZ|2025-09-05 14:30|21.8000|21.8550|21.5850|21.8250|281560|0.0250|0.0300|0.2150|BULLISH
IVZ|2025-09-05 15:30|21.8300|21.9250|21.7900|21.8299|257652|0.0001|0.0950|0.0399|BEARISH
IVZ|2025-09-05 16:30|21.8300|21.8918|21.7982|21.8350|242185|0.0050|0.0568|0.0318|BULLISH
IVZ|2025-09-05 17:30|21.8300|21.8600|21.7550|21.8350|172475|0.0050|0.0250|0.0750|BULLISH
IVZ|2025-09-05 18:30|21.8400|21.9650|21.8400|21.9301|260367|0.0901|0.0349|0.0000|BULLISH
IVZ|2025-09-05 19:30|21.9382|22.0000|21.9050|22.0000|474042|0.0618|0.0000|0.0332|BULLISH
IVZ|2025-09-08 13:30|22.0000|22.0900|21.8300|21.9450|2748103|0.0550|0.0900|0.1150|BEARISH
IVZ|2025-09-08 14:30|21.9450|22.1000|21.9350|22.0900|401528|0.1450|0.0100|0.0100|BULLISH
IVZ|2025-09-08 15:30|22.0900|22.1550|21.9750|22.0550|431020|0.0350|0.0650|0.0800|BEARISH
IVZ|2025-09-08 16:30|22.0600|22.0899|21.9650|22.0000|228243|0.0600|0.0299|0.0350|BEARISH
IVZ|2025-09-08 17:30|22.0100|22.0250|21.9150|21.9550|204153|0.0550|0.0150|0.0400|BEARISH
IVZ|2025-09-08 18:30|21.9600|22.0350|21.8813|21.8950|319177|0.0650|0.0750|0.0137|BEARISH
IVZ|2025-09-08 19:30|21.8950|22.0100|21.8700|22.0000|553214|0.1050|0.0100|0.0250|BULLISH
IVZ|2025-09-09 13:30|22.0750|22.5600|21.9750|22.3600|1500766|0.2850|0.2000|0.1000|BULLISH
IVZ|2025-09-09 14:30|22.3700|22.5258|22.3050|22.4450|531604|0.0750|0.0808|0.0650|BULLISH
IVZ|2025-09-09 15:30|22.4450|22.4750|22.2800|22.3150|585125|0.1300|0.0300|0.0350|BEARISH
IVZ|2025-09-09 16:30|22.3150|22.3600|22.2350|22.2850|309839|0.0300|0.0450|0.0500|BEARISH
IVZ|2025-09-09 17:30|22.2850|22.4000|22.2650|22.3950|390921|0.1100|0.0050|0.0200|BULLISH
IVZ|2025-09-09 18:30|22.3950|22.4400|22.2400|22.2550|490179|0.1400|0.0450|0.0150|BEARISH
IVZ|2025-09-09 19:30|22.2550|22.3150|22.2200|22.2200|706595|0.0350|0.0600|0.0000|BEARISH
IVZ|2025-09-10 13:30|22.2400|22.3650|22.1000|22.3050|559481|0.0650|0.0600|0.1400|BULLISH
IVZ|2025-09-10 14:30|22.3000|22.3000|22.0500|22.0750|339797|0.2250|0.0000|0.0250|BEARISH
IVZ|2025-09-10 15:30|22.0750|22.2000|22.0600|22.1300|327431|0.0550|0.0700|0.0150|BULLISH
IVZ|2025-09-10 16:30|22.1300|22.2700|22.1050|22.1150|192121|0.0150|0.1400|0.0100|BEARISH
IVZ|2025-09-10 17:30|22.1150|22.1788|22.0800|22.1750|195250|0.0600|0.0038|0.0350|BULLISH
IVZ|2025-09-10 18:30|22.1800|22.2200|22.0650|22.0700|296454|0.1100|0.0400|0.0050|BEARISH
IVZ|2025-09-10 19:30|22.0850|22.1800|22.0512|22.1650|513497|0.0800|0.0150|0.0338|BULLISH
IVZ|2025-09-11 13:30|22.2500|22.7050|22.2300|22.6450|454076|0.3950|0.0600|0.0200|BULLISH
IVZ|2025-09-11 14:30|22.6500|22.7751|22.4850|22.4950|674713|0.1550|0.1251|0.0100|BEARISH
IVZ|2025-09-11 15:30|22.5099|22.5450|22.3550|22.4700|541876|0.0399|0.0351|0.1150|BEARISH
IVZ|2025-09-11 16:30|22.4650|22.4889|22.3750|22.4450|263795|0.0200|0.0239|0.0700|BEARISH
IVZ|2025-09-11 17:30|22.4450|22.5450|22.4450|22.4650|248424|0.0200|0.0800|0.0000|BULLISH
IVZ|2025-09-11 18:30|22.4600|22.5000|22.4000|22.4950|372362|0.0350|0.0050|0.0600|BULLISH
IVZ|2025-09-11 19:30|22.4950|22.5700|22.4950|22.5350|571001|0.0400|0.0350|0.0000|BULLISH
IVZ|2025-09-12 13:30|22.4100|22.4900|22.2850|22.3650|256631|0.0450|0.0800|0.0800|BEARISH
IVZ|2025-09-12 14:30|22.3600|22.4100|22.2750|22.3550|273889|0.0050|0.0500|0.0800|BEARISH
IVZ|2025-09-12 15:30|22.3600|22.4000|22.3200|22.3750|190681|0.0150|0.0250|0.0400|BULLISH
IVZ|2025-09-12 16:30|22.3800|22.4950|22.3750|22.4550|196590|0.0750|0.0400|0.0050|BULLISH
IVZ|2025-09-12 17:30|22.4568|22.5000|22.4400|22.4950|148786|0.0382|0.0050|0.0168|BULLISH
IVZ|2025-09-12 18:30|22.4950|22.5300|22.4300|22.4550|309499|0.0400|0.0350|0.0250|BEARISH
IVZ|2025-09-12 19:30|22.4550|22.4800|22.3625|22.4400|538582|0.0150|0.0250|0.0775|BEARISH
IVZ|2025-09-15 13:30|22.5100|22.7000|22.3500|22.6800|426474|0.1700|0.0200|0.1600|BULLISH
IVZ|2025-09-15 14:30|22.6850|22.7250|22.5850|22.6050|557687|0.0800|0.0400|0.0200|BEARISH
IVZ|2025-09-15 15:30|22.6100|22.6150|22.5150|22.5650|381442|0.0450|0.0050|0.0500|BEARISH
IVZ|2025-09-15 16:30|22.5650|22.5800|22.4650|22.4750|198869|0.0900|0.0150|0.0100|BEARISH
IVZ|2025-09-15 17:30|22.4716|22.5251|22.3850|22.4600|227411|0.0116|0.0535|0.0750|BEARISH
IVZ|2025-09-15 18:30|22.4600|22.4800|22.3850|22.4050|305784|0.0550|0.0200|0.0200|BEARISH
IVZ|2025-09-15 19:30|22.4000|22.4050|22.3100|22.3650|596482|0.0350|0.0050|0.0550|BEARISH
IVZ|2025-09-16 13:30|22.3500|22.4500|22.1300|22.1350|422640|0.2150|0.1000|0.0050|BEARISH
IVZ|2025-09-16 14:30|22.1350|22.1650|22.0100|22.0250|701364|0.1100|0.0300|0.0150|BEARISH
IVZ|2025-09-16 15:30|22.0257|22.0257|21.8850|22.0000|449202|0.0257|0.0000|0.1150|BEARISH
IVZ|2025-09-16 16:30|22.0000|22.0950|21.9943|22.0450|186475|0.0450|0.0500|0.0057|BULLISH
IVZ|2025-09-16 17:30|22.0450|22.1200|22.0450|22.0600|189362|0.0150|0.0600|0.0000|BULLISH
IVZ|2025-09-16 18:30|22.0650|22.1400|22.0300|22.0450|231174|0.0200|0.0750|0.0150|BEARISH
IVZ|2025-09-16 19:30|22.0450|22.1900|22.0000|22.1100|463203|0.0650|0.0800|0.0450|BULLISH
IVZ|2025-09-17 13:30|22.1200|22.3450|22.1100|22.2300|349798|0.1100|0.1150|0.0100|BULLISH
IVZ|2025-09-17 14:30|22.2300|22.4150|22.2099|22.3400|269719|0.1100|0.0750|0.0201|BULLISH
IVZ|2025-09-17 15:30|22.3500|22.4450|22.3150|22.3250|205361|0.0250|0.0950|0.0100|BEARISH
IVZ|2025-09-17 16:30|22.3201|22.3400|22.2600|22.2950|188576|0.0251|0.0199|0.0350|BEARISH
