Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
JBHT|2025-09-02 13:30|142.9600|143.9000|142.6500|143.8100|160784|0.8500|0.0900|0.3100|BULLISH
JBHT|2025-09-02 14:30|143.8450|143.9200|142.8500|143.2100|84608|0.6350|0.0750|0.3600|BEARISH
JBHT|2025-09-02 15:30|143.1800|143.5500|143.0300|143.0300|105449|0.1500|0.3700|0.0000|BEARISH
JBHT|2025-09-02 16:30|143.0100|143.5600|142.6300|143.5200|88118|0.5100|0.0400|0.3800|BULLISH
JBHT|2025-09-02 17:30|143.5200|143.8900|143.3000|143.3200|90994|0.2000|0.3700|0.0200|BEARISH
JBHT|2025-09-02 18:30|143.3650|143.9000|143.3400|143.8900|93667|0.5250|0.0100|0.0250|BULLISH
JBHT|2025-09-02 19:30|143.8400|144.3150|143.7700|144.1700|136269|0.3300|0.1450|0.0700|BULLISH
JBHT|2025-09-03 13:30|143.4300|145.1000|143.3100|143.3100|85758|0.1200|1.6700|0.0000|BEARISH
JBHT|2025-09-03 14:30|143.4400|144.4700|143.3300|143.6650|83194|0.2250|0.8050|0.1100|BULLISH
JBHT|2025-09-03 15:30|143.6800|144.0700|143.2700|143.9700|38830|0.2900|0.1000|0.4100|BULLISH
JBHT|2025-09-03 16:30|144.0800|145.0100|143.9800|144.9500|46617|0.8700|0.0600|0.1000|BULLISH
JBHT|2025-09-03 17:30|145.0200|145.2950|144.5069|145.2000|94789|0.1800|0.0950|0.5131|BULLISH
JBHT|2025-09-03 18:30|145.1100|145.2300|144.3200|144.4625|128686|0.6475|0.1200|0.1425|BEARISH
JBHT|2025-09-03 19:30|144.5300|145.3900|144.5300|145.3800|166592|0.8500|0.0100|0.0000|BULLISH
JBHT|2025-09-04 13:30|145.3300|145.3300|141.3000|142.7200|147340|2.6100|0.0000|1.4200|BEARISH
JBHT|2025-09-04 14:30|142.9325|142.9325|142.1000|142.7800|119518|0.1525|0.0000|0.6800|BEARISH
JBHT|2025-09-04 15:30|142.9000|143.7000|142.8200|143.6450|58519|0.7450|0.0550|0.0800|BULLISH
JBHT|2025-09-04 16:30|143.6400|144.0800|143.6200|143.6217|125314|0.0183|0.4400|0.0017|BEARISH
JBHT|2025-09-04 17:30|143.6300|143.9300|143.1800|143.6500|75464|0.0200|0.2800|0.4500|BULLISH
JBHT|2025-09-04 18:30|143.6400|144.7000|143.2800|144.6900|99492|1.0500|0.0100|0.3600|BULLISH
JBHT|2025-09-04 19:30|144.6900|145.4950|144.6600|145.2700|203014|0.5800|0.2250|0.0300|BULLISH
JBHT|2025-09-05 13:30|142.8700|147.7605|142.7500|145.7300|275820|2.8600|2.0305|0.1200|BULLISH
JBHT|2025-09-05 14:30|145.6800|145.6800|144.5800|145.2150|50615|0.4650|0.0000|0.6350|BEARISH
JBHT|2025-09-05 15:30|145.3000|145.3000|144.1004|144.1004|58658|1.1996|0.0000|0.0000|BEARISH
JBHT|2025-09-05 16:30|144.2800|144.2800|143.0650|143.0650|67393|1.2150|0.0000|0.0000|BEARISH
JBHT|2025-09-05 17:30|143.0800|143.5100|142.8600|143.4000|95042|0.3200|0.1100|0.2200|BULLISH
JBHT|2025-09-05 18:30|143.4650|143.9050|143.4000|143.8000|84118|0.3350|0.1050|0.0650|BULLISH
JBHT|2025-09-05 19:30|143.8200|143.9900|143.3500|143.7100|163686|0.1100|0.1700|0.3600|BEARISH
JBHT|2025-09-08 13:30|143.5400|143.7300|140.4800|141.3700|180893|2.1700|0.1900|0.8900|BEARISH
JBHT|2025-09-08 14:30|141.3300|143.0000|141.3300|142.8800|117003|1.5500|0.1200|0.0000|BULLISH
JBHT|2025-09-08 15:30|142.8500|142.9800|142.2900|142.6100|82007|0.2400|0.1300|0.3200|BEARISH
JBHT|2025-09-08 16:30|142.6500|143.0200|142.5400|142.5800|86365|0.0700|0.3700|0.0400|BEARISH
JBHT|2025-09-08 17:30|142.5950|142.7400|142.2250|142.7100|120072|0.1150|0.0300|0.3700|BULLISH
JBHT|2025-09-08 18:30|142.7600|143.4700|142.7600|142.9200|164269|0.1600|0.5500|0.0000|BULLISH
JBHT|2025-09-08 19:30|142.9000|143.2100|142.6050|143.0800|312419|0.1800|0.1300|0.2950|BULLISH
JBHT|2025-09-09 13:30|142.8600|142.8600|141.3900|141.9800|79081|0.8800|0.0000|0.5900|BEARISH
JBHT|2025-09-09 14:30|141.8650|142.0575|141.1950|142.0000|59813|0.1350|0.0575|0.6700|BULLISH
JBHT|2025-09-09 15:30|142.0300|142.2500|141.1200|141.4400|43814|0.5900|0.2200|0.3200|BEARISH
JBHT|2025-09-09 16:30|141.4500|141.4800|140.8250|141.1500|47511|0.3000|0.0300|0.3250|BEARISH
JBHT|2025-09-09 17:30|141.1550|141.2500|140.8500|141.2500|56497|0.0950|0.0000|0.3050|BULLISH
JBHT|2025-09-09 18:30|141.2800|141.3900|140.3550|140.6200|89388|0.6600|0.1100|0.2650|BEARISH
JBHT|2025-09-09 19:30|140.6400|141.1400|140.5550|140.9300|138761|0.2900|0.2100|0.0850|BULLISH
JBHT|2025-09-10 13:30|140.3400|141.2600|139.2600|139.2700|86433|1.0700|0.9200|0.0100|BEARISH
JBHT|2025-09-10 14:30|139.1500|139.3400|136.7100|137.3050|162250|1.8450|0.1900|0.5950|BEARISH
JBHT|2025-09-10 15:30|137.3100|137.5700|136.3300|136.3850|173751|0.9250|0.2600|0.0550|BEARISH
JBHT|2025-09-10 16:30|136.3850|136.8050|136.0400|136.4400|148291|0.0550|0.3650|0.3450|BULLISH
JBHT|2025-09-10 17:30|136.4800|136.5600|135.6900|136.2874|180363|0.1926|0.0800|0.5974|BEARISH
JBHT|2025-09-10 18:30|136.2700|137.0400|136.0400|136.4900|149032|0.2200|0.5500|0.2300|BULLISH
JBHT|2025-09-10 19:30|136.4300|137.2050|136.4300|136.8800|255500|0.4500|0.3250|0.0000|BULLISH
JBHT|2025-09-11 13:30|136.6100|139.3600|135.7250|139.2500|256699|2.6400|0.1100|0.8850|BULLISH
JBHT|2025-09-11 14:30|139.4200|140.0000|138.8750|139.8750|6528|0.4550|0.1250|0.5450|BULLISH
JBHT|2025-09-11 15:30|139.9500|140.2700|139.4100|140.1300|128833|0.1800|0.1400|0.5400|BULLISH
JBHT|2025-09-11 16:30|140.3000|140.5400|140.0900|140.3650|49260|0.0650|0.1750|0.2100|BULLISH
JBHT|2025-09-11 17:30|140.4150|141.3200|140.4000|141.1400|102124|0.7250|0.1800|0.0150|BULLISH
JBHT|2025-09-11 18:30|141.1375|141.2100|140.8400|141.0300|97176|0.1075|0.0725|0.1900|BEARISH
JBHT|2025-09-11 19:30|141.1900|141.9000|141.0968|141.4500|196492|0.2600|0.4500|0.0932|BULLISH
JBHT|2025-09-12 13:30|141.3600|141.3600|138.7000|138.7000|125236|2.6600|0.0000|0.0000|BEARISH
