Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
JCI|2025-09-02 13:30|105.0600|105.8150|103.8200|105.8150|586847|0.7550|0.0000|1.2400|BULLISH
JCI|2025-09-02 14:30|105.8250|105.9700|105.3300|105.8900|368300|0.0650|0.0800|0.4950|BULLISH
JCI|2025-09-02 15:30|105.8800|105.9800|105.3750|105.5021|308269|0.3779|0.1000|0.1271|BEARISH
JCI|2025-09-02 16:30|105.5200|105.7700|105.3550|105.7600|247730|0.2400|0.0100|0.1650|BULLISH
JCI|2025-09-02 17:30|105.7700|105.9900|105.3700|105.3933|433973|0.3767|0.2200|0.0233|BEARISH
JCI|2025-09-02 18:30|105.4000|105.7700|105.2800|105.7500|386155|0.3500|0.0200|0.1200|BULLISH
JCI|2025-09-02 19:30|105.7500|106.0300|105.6100|105.9600|699238|0.2100|0.0700|0.1400|BULLISH
JCI|2025-09-03 13:30|106.0100|106.1700|105.2600|105.8950|333623|0.1150|0.1600|0.6350|BEARISH
JCI|2025-09-03 14:30|105.9100|106.2900|105.6400|105.7000|315426|0.2100|0.3800|0.0600|BEARISH
JCI|2025-09-03 15:30|105.6900|105.9000|105.3850|105.3850|203910|0.3050|0.2100|0.0000|BEARISH
JCI|2025-09-03 16:30|105.4000|105.4100|104.8000|105.1950|272924|0.2050|0.0100|0.3950|BEARISH
JCI|2025-09-03 17:30|105.1900|105.2750|104.8650|105.1700|305087|0.0200|0.0850|0.3050|BEARISH
JCI|2025-09-03 18:30|105.1200|105.2100|104.9000|105.0050|273073|0.1150|0.0900|0.1050|BEARISH
JCI|2025-09-03 19:30|105.0000|105.5500|104.9810|105.3300|680199|0.3300|0.2200|0.0190|BULLISH
JCI|2025-09-04 13:30|105.8800|106.0750|105.2500|105.9000|375667|0.0200|0.1750|0.6300|BULLISH
JCI|2025-09-04 14:30|105.9200|107.0100|105.9100|106.8850|430536|0.9650|0.1250|0.0100|BULLISH
JCI|2025-09-04 15:30|106.9100|106.9800|106.5200|106.5350|206357|0.3750|0.0700|0.0150|BEARISH
JCI|2025-09-04 16:30|106.5300|106.6600|106.4200|106.6600|148061|0.1300|0.0000|0.1100|BULLISH
JCI|2025-09-04 17:30|106.6600|107.0200|106.6300|106.8100|231849|0.1500|0.2100|0.0300|BULLISH
JCI|2025-09-04 18:30|106.8200|106.9900|106.7400|106.8500|218670|0.0300|0.1400|0.0800|BULLISH
JCI|2025-09-04 19:30|106.8300|107.1600|106.7700|107.1500|499276|0.3200|0.0100|0.0600|BULLISH
JCI|2025-09-05 13:30|107.2600|107.6900|104.0300|105.3300|1121686|1.9300|0.4300|1.3000|BEARISH
JCI|2025-09-05 14:30|105.3750|105.4200|104.2500|104.8300|385103|0.5450|0.0450|0.5800|BEARISH
JCI|2025-09-05 15:30|104.8300|105.0700|104.5000|104.8200|357576|0.0100|0.2400|0.3200|BEARISH
JCI|2025-09-05 16:30|104.8100|105.1500|104.7600|104.9300|256488|0.1200|0.2200|0.0500|BULLISH
JCI|2025-09-05 17:30|104.9500|105.3100|104.8250|105.2500|372205|0.3000|0.0600|0.1250|BULLISH
JCI|2025-09-05 18:30|105.2500|106.1400|105.1900|106.1300|425615|0.8800|0.0100|0.0600|BULLISH
JCI|2025-09-05 19:30|106.1350|106.2400|105.8400|106.2400|675079|0.1050|0.0000|0.2950|BULLISH
JCI|2025-09-08 13:30|106.5700|107.6300|105.7100|107.5900|465628|1.0200|0.0400|0.8600|BULLISH
JCI|2025-09-08 14:30|107.5950|108.2600|107.5800|108.1820|421822|0.5870|0.0780|0.0150|BULLISH
