Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
KEYS|2025-09-02 13:30|159.8900|162.1900|159.8200|162.1900|105166|2.3000|0.0000|0.0700|BULLISH
KEYS|2025-09-02 14:30|162.0500|162.2400|160.9700|161.3500|84571|0.7000|0.1900|0.3800|BEARISH
KEYS|2025-09-02 15:30|161.2300|161.3100|160.5000|160.6650|103474|0.5650|0.0800|0.1650|BEARISH
KEYS|2025-09-02 16:30|160.7300|161.4200|160.5200|161.3900|98435|0.6600|0.0300|0.2100|BULLISH
KEYS|2025-09-02 17:30|161.3350|162.1300|161.3100|162.1300|167734|0.7950|0.0000|0.0250|BULLISH
KEYS|2025-09-02 18:30|162.0450|163.0400|162.0450|163.0000|228444|0.9550|0.0400|0.0000|BULLISH
KEYS|2025-09-02 19:30|163.0000|163.8800|162.8000|163.8600|276522|0.8600|0.0200|0.2000|BULLISH
KEYS|2025-09-03 13:30|163.8200|165.2700|163.8200|164.4650|76549|0.6450|0.8050|0.0000|BULLISH
KEYS|2025-09-03 14:30|164.4350|165.1000|164.3500|164.4500|73810|0.0150|0.6500|0.0850|BULLISH
KEYS|2025-09-03 15:30|164.4500|165.3200|164.4500|164.9700|46484|0.5200|0.3500|0.0000|BULLISH
KEYS|2025-09-03 16:30|164.9350|165.9400|164.6700|165.7300|51352|0.7950|0.2100|0.2650|BULLISH
KEYS|2025-09-03 17:30|165.7600|165.7900|164.5000|164.5950|86233|1.1650|0.0300|0.0950|BEARISH
KEYS|2025-09-03 18:30|164.5900|165.1400|164.2700|165.0700|114529|0.4800|0.0700|0.3200|BULLISH
KEYS|2025-09-03 19:30|165.1300|165.8700|165.1300|165.3900|293158|0.2600|0.4800|0.0000|BULLISH
KEYS|2025-09-04 13:30|165.2800|165.3800|163.9700|164.8300|53861|0.4500|0.1000|0.8600|BEARISH
KEYS|2025-09-04 14:30|164.9700|165.7100|164.9300|165.6125|45912|0.6425|0.0975|0.0400|BULLISH
KEYS|2025-09-04 15:30|165.6450|165.8600|165.4600|165.6200|43569|0.0250|0.2150|0.1600|BEARISH
KEYS|2025-09-04 16:30|165.6200|165.7700|165.2350|165.4800|45428|0.1400|0.1500|0.2450|BEARISH
KEYS|2025-09-04 17:30|165.4800|166.5850|165.2800|166.4600|81163|0.9800|0.1250|0.2000|BULLISH
KEYS|2025-09-04 18:30|166.4900|166.7800|166.0900|166.1950|108465|0.2950|0.2900|0.1050|BEARISH
KEYS|2025-09-04 19:30|166.1950|166.9600|166.1600|166.9600|241201|0.7650|0.0000|0.0350|BULLISH
KEYS|2025-09-05 13:30|168.0000|169.9000|167.0000|167.5100|109964|0.4900|1.9000|0.5100|BEARISH
KEYS|2025-09-05 14:30|167.4200|167.5801|165.8200|166.7200|39910|0.7000|0.1601|0.9000|BEARISH
KEYS|2025-09-05 15:30|166.7600|167.4300|166.5700|167.1500|47781|0.3900|0.2800|0.1900|BULLISH
KEYS|2025-09-05 16:30|166.9200|167.0500|166.2000|166.4600|44426|0.4600|0.1300|0.2600|BEARISH
KEYS|2025-09-05 17:30|166.4000|167.0200|165.8900|166.9050|66181|0.5050|0.1150|0.5100|BULLISH
KEYS|2025-09-05 18:30|166.9150|167.7150|166.9000|167.2000|84031|0.2850|0.5150|0.0150|BULLISH
KEYS|2025-09-05 19:30|167.1900|168.3600|166.8850|167.8700|395812|0.6800|0.4900|0.3050|BULLISH
KEYS|2025-09-08 13:30|168.0000|168.0000|166.7000|167.7000|127705|0.3000|0.0000|1.0000|BEARISH
KEYS|2025-09-08 14:30|167.8600|169.0000|167.8475|168.9400|51559|1.0800|0.0600|0.0125|BULLISH
KEYS|2025-09-08 15:30|168.9400|168.9450|168.3200|168.4250|40900|0.5150|0.0050|0.1050|BEARISH
KEYS|2025-09-08 16:30|168.3500|168.3500|167.9000|168.2500|36516|0.1000|0.0000|0.3500|BEARISH
KEYS|2025-09-08 17:30|168.2000|168.2238|167.2100|168.0400|57043|0.1600|0.0238|0.8300|BEARISH
KEYS|2025-09-08 18:30|168.1200|168.6900|168.1000|168.3000|119740|0.1800|0.3900|0.0200|BULLISH
KEYS|2025-09-08 19:30|168.3800|169.3600|168.2300|169.3200|254184|0.9400|0.0400|0.1500|BULLISH
KEYS|2025-09-09 13:30|169.0350|169.0400|168.0900|168.2350|41964|0.8000|0.0050|0.1450|BEARISH
KEYS|2025-09-09 14:30|168.0100|168.4300|167.3760|168.4100|44308|0.4000|0.0200|0.6340|BULLISH
KEYS|2025-09-09 15:30|168.4100|168.9000|168.3100|168.9000|71894|0.4900|0.0000|0.1000|BULLISH
KEYS|2025-09-09 16:30|168.8150|168.9500|168.4100|168.7700|38351|0.0450|0.1350|0.3600|BEARISH
KEYS|2025-09-09 17:30|168.7365|168.7500|168.3900|168.4600|67222|0.2765|0.0135|0.0700|BEARISH
KEYS|2025-09-09 18:30|168.4300|168.7200|167.9150|168.3800|90953|0.0500|0.2900|0.4650|BEARISH
KEYS|2025-09-09 19:30|168.3700|169.2350|168.2000|169.1700|219999|0.8000|0.0650|0.1700|BULLISH
KEYS|2025-09-10 13:30|169.0000|170.8400|168.9050|170.0000|110697|1.0000|0.8400|0.0950|BULLISH
KEYS|2025-09-10 14:30|169.9600|170.2300|169.8000|170.0700|89739|0.1100|0.1600|0.1600|BULLISH
KEYS|2025-09-10 15:30|170.0700|170.4700|169.7301|169.9250|106965|0.1450|0.4000|0.1949|BEARISH
KEYS|2025-09-10 16:30|169.8950|170.5800|169.7700|170.1900|69238|0.2950|0.3900|0.1250|BULLISH
KEYS|2025-09-10 17:30|170.1850|170.2550|169.1850|169.2550|100788|0.9300|0.0700|0.0700|BEARISH
KEYS|2025-09-10 18:30|169.2500|169.7900|169.2300|169.3100|105164|0.0600|0.4800|0.0200|BULLISH
KEYS|2025-09-10 19:30|169.2500|170.3800|169.0300|170.2200|197340|0.9700|0.1600|0.2200|BULLISH
KEYS|2025-09-11 13:30|171.3600|172.9900|169.4400|172.1750|142714|0.8150|0.8150|1.9200|BULLISH
KEYS|2025-09-11 14:30|172.0600|172.2300|171.3850|171.7250|79251|0.3350|0.1700|0.3400|BEARISH
KEYS|2025-09-11 15:30|171.7250|171.9150|171.2750|171.4600|60339|0.2650|0.1900|0.1850|BEARISH
KEYS|2025-09-11 16:30|171.4400|172.4200|171.1300|172.3700|90953|0.9300|0.0500|0.3100|BULLISH
KEYS|2025-09-11 17:30|172.5000|172.9200|172.1400|172.3300|87070|0.1700|0.4200|0.1900|BEARISH
KEYS|2025-09-11 18:30|172.2600|172.5600|172.0200|172.1800|58622|0.0800|0.3000|0.1600|BEARISH
KEYS|2025-09-11 19:30|172.2200|172.8500|172.0700|172.3500|158023|0.1300|0.5000|0.1500|BULLISH
KEYS|2025-09-12 13:30|171.9800|172.3100|170.8201|171.2100|81947|0.7700|0.3300|0.3899|BEARISH
KEYS|2025-09-12 14:30|171.2350|171.2350|170.6800|170.7900|45984|0.4450|0.0000|0.1100|BEARISH
KEYS|2025-09-12 15:30|170.7250|170.8800|170.1000|170.4300|39827|0.2950|0.1550|0.3300|BEARISH
KEYS|2025-09-12 16:30|170.5000|170.5400|169.7400|170.1865|57477|0.3135|0.0400|0.4465|BEARISH
KEYS|2025-09-12 17:30|170.0600|170.2700|170.0100|170.2700|39155|0.2100|0.0000|0.0500|BULLISH
KEYS|2025-09-12 18:30|170.3300|170.7500|169.6600|169.7700|57667|0.5600|0.4200|0.1100|BEARISH
KEYS|2025-09-12 19:30|169.7350|170.9900|169.3950|170.6100|299826|0.8750|0.3800|0.3400|BULLISH
KEYS|2025-09-15 13:30|170.8300|172.7600|170.5850|172.7600|39532|1.9300|0.0000|0.2450|BULLISH
KEYS|2025-09-15 14:30|172.5900|172.9650|172.1050|172.2500|34410|0.3400|0.3750|0.1450|BEARISH
KEYS|2025-09-15 15:30|172.1150|172.1750|171.6900|171.8650|28099|0.2500|0.0600|0.1750|BEARISH
KEYS|2025-09-15 16:30|171.8100|172.2450|171.7800|172.0200|39092|0.2100|0.2250|0.0300|BULLISH
KEYS|2025-09-15 17:30|172.0950|172.9600|172.0950|172.7323|51867|0.6373|0.2277|0.0000|BULLISH
KEYS|2025-09-15 18:30|172.7500|172.8450|171.9450|171.9900|72688|0.7600|0.0950|0.0450|BEARISH
KEYS|2025-09-15 19:30|171.9250|172.0100|171.6000|171.7600|203728|0.1650|0.0850|0.1600|BEARISH
KEYS|2025-09-16 13:30|172.3200|172.3700|171.0750|171.5300|90653|0.7900|0.0500|0.4550|BEARISH
KEYS|2025-09-16 14:30|171.4500|171.7700|171.1708|171.5700|57713|0.1200|0.2000|0.2792|BULLISH
KEYS|2025-09-16 15:30|171.4660|172.2650|171.4300|171.8800|50482|0.4140|0.3850|0.0360|BULLISH
KEYS|2025-09-16 16:30|171.9200|172.4200|171.8150|172.0300|50895|0.1100|0.3900|0.1050|BULLISH
KEYS|2025-09-16 17:30|171.9900|172.4400|171.9600|172.4400|45562|0.4500|0.0000|0.0300|BULLISH
KEYS|2025-09-16 18:30|172.4700|173.0500|171.8700|171.8900|76010|0.5800|0.5800|0.0200|BEARISH
KEYS|2025-09-16 19:30|171.8800|172.8600|171.6800|172.0700|219578|0.1900|0.7900|0.2000|BULLISH
KEYS|2025-09-17 13:30|172.6600|173.4900|172.0050|173.3200|54359|0.6600|0.1700|0.6550|BULLISH
KEYS|2025-09-17 14:30|173.2200|173.7800|173.0050|173.4150|47789|0.1950|0.3650|0.2150|BULLISH
KEYS|2025-09-17 15:30|173.4100|174.3000|173.2700|173.7800|83494|0.3700|0.5200|0.1400|BULLISH
KEYS|2025-09-17 16:30|173.6850|173.8400|172.7280|172.7550|66570|0.9300|0.1550|0.0270|BEARISH
KEYS|2025-09-17 17:30|172.8000|175.1000|172.7530|174.4300|105085|1.6300|0.6700|0.0470|BULLISH
KEYS|2025-09-17 18:30|174.3700|174.3700|171.2700|173.1500|123726|1.2200|0.0000|1.8800|BEARISH
KEYS|2025-09-17 19:30|173.0200|173.2600|172.4900|172.9100|178364|0.1100|0.2400|0.4200|BEARISH
KEYS|2025-09-18 13:30|174.4800|176.1950|173.5550|176.1950|96979|1.7150|0.0000|0.9250|BULLISH
KEYS|2025-09-18 14:30|176.3000|176.5000|175.5272|176.1500|63697|0.1500|0.2000|0.6228|BEARISH
KEYS|2025-09-18 15:30|176.2500|176.6800|175.9500|176.5800|53243|0.3300|0.1000|0.3000|BULLISH
KEYS|2025-09-18 16:30|176.6800|177.2600|176.6800|176.9750|59458|0.2950|0.2850|0.0000|BULLISH
KEYS|2025-09-18 17:30|177.0100|177.2000|176.5900|177.1500|53687|0.1400|0.0500|0.4200|BULLISH
KEYS|2025-09-18 18:30|177.1600|177.9500|176.9200|177.1850|94407|0.0250|0.7650|0.2400|BULLISH
KEYS|2025-09-18 19:30|177.1400|177.4800|176.9760|177.2100|189262|0.0700|0.2700|0.1640|BULLISH
KEYS|2025-09-19 13:30|178.0100|178.0100|175.9500|176.2500|175635|1.7600|0.0000|0.3000|BEARISH
KEYS|2025-09-19 14:30|176.0800|176.5600|175.4400|175.7500|96860|0.3300|0.4800|0.3100|BEARISH
KEYS|2025-09-19 15:30|175.7475|177.6100|175.7000|177.5600|127790|1.8125|0.0500|0.0475|BULLISH
KEYS|2025-09-19 16:30|177.4500|177.9500|177.2896|177.6800|76911|0.2300|0.2700|0.1604|BULLISH
