Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
KEY|2025-09-02 13:30|18.9600|19.1000|18.8144|19.0000|2801067|0.0400|0.1000|0.1456|BULLISH
KEY|2025-09-02 14:30|19.0050|19.0199|18.7900|18.8100|4548994|0.1950|0.0149|0.0200|BEARISH
KEY|2025-09-02 15:30|18.8150|18.8299|18.7500|18.7650|3817983|0.0500|0.0149|0.0150|BEARISH
KEY|2025-09-02 16:30|18.7700|18.8600|18.7700|18.8401|2327279|0.0701|0.0199|0.0000|BULLISH
KEY|2025-09-02 17:30|18.8411|18.9200|18.8200|18.8350|2970173|0.0061|0.0789|0.0150|BEARISH
KEY|2025-09-02 18:30|18.8350|18.9199|18.8300|18.9050|2923669|0.0700|0.0149|0.0050|BULLISH
KEY|2025-09-02 19:30|18.9050|18.9600|18.9000|18.9550|1774364|0.0500|0.0050|0.0050|BULLISH
KEY|2025-09-03 13:30|18.8900|19.1250|18.8500|18.9142|3416976|0.0242|0.2108|0.0400|BULLISH
KEY|2025-09-03 14:30|18.9200|18.9800|18.8250|18.8350|4258142|0.0850|0.0600|0.0100|BEARISH
KEY|2025-09-03 15:30|18.8400|18.8800|18.7700|18.7950|4695009|0.0450|0.0400|0.0250|BEARISH
KEY|2025-09-03 16:30|18.7900|18.8100|18.7500|18.8050|2610550|0.0150|0.0050|0.0400|BULLISH
KEY|2025-09-03 17:30|18.8071|18.8277|18.6900|18.7801|3695940|0.0270|0.0206|0.0901|BEARISH
KEY|2025-09-03 18:30|18.7800|18.8200|18.7500|18.7950|2572913|0.0150|0.0250|0.0300|BULLISH
KEY|2025-09-03 19:30|18.7950|18.9300|18.7949|18.9300|3590643|0.1350|0.0000|0.0001|BULLISH
KEY|2025-09-04 13:30|19.0300|19.1000|18.9000|19.0500|3257798|0.0200|0.0500|0.1300|BULLISH
KEY|2025-09-04 14:30|19.0537|19.1200|19.0200|19.0899|4334045|0.0362|0.0301|0.0337|BULLISH
KEY|2025-09-04 15:30|19.0850|19.1400|19.0600|19.1100|3153376|0.0250|0.0300|0.0250|BULLISH
KEY|2025-09-04 16:30|19.1150|19.1600|19.0900|19.1450|2570686|0.0300|0.0150|0.0250|BULLISH
KEY|2025-09-04 17:30|19.1450|19.2300|19.1348|19.2199|3355737|0.0749|0.0101|0.0102|BULLISH
KEY|2025-09-04 18:30|19.2100|19.2200|19.1400|19.2050|3938341|0.0050|0.0100|0.0650|BEARISH
KEY|2025-09-04 19:30|19.2050|19.2300|19.1600|19.2000|3116954|0.0050|0.0250|0.0400|BEARISH
KEY|2025-09-05 13:30|19.2600|19.3200|18.9100|18.9350|4674118|0.3250|0.0600|0.0250|BEARISH
KEY|2025-09-05 14:30|18.9350|18.9600|18.7300|18.8606|6988893|0.0744|0.0250|0.1306|BEARISH
KEY|2025-09-05 15:30|18.8604|18.9300|18.8200|18.8664|4387795|0.0060|0.0636|0.0404|BULLISH
KEY|2025-09-05 16:30|18.8650|18.9700|18.8500|18.8950|5621217|0.0300|0.0750|0.0150|BULLISH
KEY|2025-09-05 17:30|18.8950|18.9300|18.8045|18.8350|3270043|0.0600|0.0350|0.0305|BEARISH
KEY|2025-09-05 18:30|18.8396|18.9600|18.8350|18.9415|3815273|0.1019|0.0185|0.0046|BULLISH
KEY|2025-09-05 19:30|18.9400|19.0050|18.9142|18.9450|2158378|0.0050|0.0600|0.0258|BULLISH
KEY|2025-09-08 13:30|18.9500|18.9500|18.6541|18.7150|8233644|0.2350|0.0000|0.0609|BEARISH
KEY|2025-09-08 14:30|18.7192|18.8700|18.7000|18.8550|6029658|0.1358|0.0150|0.0192|BULLISH
KEY|2025-09-08 15:30|18.8500|18.9350|18.6900|18.8900|7097713|0.0400|0.0450|0.1600|BULLISH
KEY|2025-09-08 16:30|18.8900|19.0650|18.8000|18.9363|10691103|0.0463|0.1287|0.0900|BULLISH
KEY|2025-09-08 17:30|18.9400|19.0600|18.9100|19.0200|6951067|0.0800|0.0400|0.0300|BULLISH
KEY|2025-09-08 18:30|19.0300|19.1600|19.0200|19.1000|5583740|0.0700|0.0600|0.0100|BULLISH
KEY|2025-09-08 19:30|19.0950|19.1900|19.0900|19.1850|4800521|0.0900|0.0050|0.0050|BULLISH
KEY|2025-09-09 13:30|19.1300|19.4100|19.1210|19.2650|2083490|0.1350|0.1450|0.0090|BULLISH
KEY|2025-09-09 14:30|19.2600|19.3000|19.1601|19.2879|5181661|0.0279|0.0121|0.0999|BULLISH
KEY|2025-09-09 15:30|19.2850|19.3000|19.0350|19.0801|6635137|0.2049|0.0150|0.0451|BEARISH
KEY|2025-09-09 16:30|19.0842|19.1200|18.9745|19.0250|5991613|0.0592|0.0358|0.0505|BEARISH
KEY|2025-09-09 17:30|19.0247|19.1600|19.0126|19.1331|3264794|0.1084|0.0269|0.0121|BULLISH
KEY|2025-09-09 18:30|19.1350|19.1600|19.0200|19.0450|5421023|0.0900|0.0250|0.0250|BEARISH
KEY|2025-09-09 19:30|19.0450|19.1100|19.0300|19.0950|2950355|0.0500|0.0150|0.0150|BULLISH
KEY|2025-09-10 13:30|19.1200|19.2850|19.0450|19.2550|3418676|0.1350|0.0300|0.0750|BULLISH
KEY|2025-09-10 14:30|19.2500|19.2550|19.1100|19.1650|3612635|0.0850|0.0050|0.0550|BEARISH
KEY|2025-09-10 15:30|19.1650|19.3150|19.1500|19.2250|3756711|0.0600|0.0900|0.0150|BULLISH
KEY|2025-09-10 16:30|19.2250|19.3000|19.2100|19.2150|3599066|0.0100|0.0750|0.0050|BEARISH
KEY|2025-09-10 17:30|19.2150|19.2400|19.1300|19.1650|5183264|0.0500|0.0250|0.0350|BEARISH
KEY|2025-09-10 18:30|19.1650|19.2600|19.1400|19.1450|3340968|0.0200|0.0950|0.0050|BEARISH
KEY|2025-09-10 19:30|19.1450|19.2350|19.1200|19.2300|2328333|0.0850|0.0050|0.0250|BULLISH
KEY|2025-09-11 13:30|19.2700|19.3099|19.1135|19.2850|2221567|0.0150|0.0249|0.1565|BULLISH
KEY|2025-09-11 14:30|19.2900|19.3500|19.2000|19.2550|3725607|0.0350|0.0600|0.0550|BEARISH
KEY|2025-09-11 15:30|19.2550|19.3100|19.1800|19.1950|2746506|0.0600|0.0550|0.0150|BEARISH
KEY|2025-09-11 16:30|19.1999|19.2399|19.1701|19.2200|2915168|0.0201|0.0199|0.0298|BULLISH
KEY|2025-09-11 17:30|19.2200|19.2500|19.1400|19.1600|4005207|0.0600|0.0300|0.0200|BEARISH
KEY|2025-09-11 18:30|19.1600|19.1601|19.0900|19.1300|5810447|0.0300|0.0001|0.0400|BEARISH
KEY|2025-09-11 19:30|19.1250|19.1900|19.1250|19.1550|3165610|0.0300|0.0350|0.0000|BULLISH
KEY|2025-09-12 13:30|19.1400|19.1800|19.0100|19.0150|3556918|0.1250|0.0400|0.0050|BEARISH
KEY|2025-09-12 14:30|19.0150|19.1000|19.0050|19.0801|4909406|0.0651|0.0199|0.0100|BULLISH
KEY|2025-09-12 15:30|19.0900|19.1100|19.0400|19.0600|3558302|0.0300|0.0200|0.0200|BEARISH
KEY|2025-09-12 16:30|19.0650|19.1500|19.0500|19.1150|2446699|0.0500|0.0350|0.0150|BULLISH
KEY|2025-09-12 17:30|19.1150|19.1400|19.0700|19.1150|1816031|0.0000|0.0250|0.0450|BULLISH
KEY|2025-09-12 18:30|19.1150|19.1600|19.0900|19.1250|2407037|0.0100|0.0350|0.0250|BULLISH
KEY|2025-09-12 19:30|19.1250|19.1350|19.0500|19.0600|2874817|0.0650|0.0100|0.0100|BEARISH
KEY|2025-09-15 13:30|19.1300|19.1500|18.9700|19.1299|2839571|0.0001|0.0200|0.1599|BEARISH
KEY|2025-09-15 14:30|19.1300|19.1400|18.8650|18.8750|5440886|0.2550|0.0100|0.0100|BEARISH
KEY|2025-09-15 15:30|18.8750|18.9100|18.7900|18.8650|5330118|0.0100|0.0350|0.0750|BEARISH
KEY|2025-09-15 16:30|18.8650|18.8950|18.7800|18.8065|5788012|0.0585|0.0300|0.0265|BEARISH
KEY|2025-09-15 17:30|18.8001|18.8799|18.7700|18.8357|4057756|0.0356|0.0442|0.0301|BULLISH
KEY|2025-09-15 18:30|18.8350|18.9050|18.8300|18.8599|4799480|0.0249|0.0451|0.0050|BULLISH
KEY|2025-09-15 19:30|18.8550|18.8600|18.7950|18.8350|2655371|0.0200|0.0050|0.0400|BEARISH
KEY|2025-09-16 13:30|18.8600|18.8700|18.4500|18.4650|2493825|0.3950|0.0100|0.0150|BEARISH
KEY|2025-09-16 14:30|18.4650|18.5199|18.4200|18.4375|5968013|0.0275|0.0549|0.0175|BEARISH
KEY|2025-09-16 15:30|18.4300|18.4999|18.4000|18.4550|5779669|0.0250|0.0449|0.0300|BULLISH
KEY|2025-09-16 16:30|18.4500|18.5600|18.4400|18.5450|4799919|0.0950|0.0150|0.0100|BULLISH
KEY|2025-09-16 17:30|18.5451|18.6400|18.5300|18.6101|4742260|0.0650|0.0299|0.0151|BULLISH
KEY|2025-09-16 18:30|18.6150|18.6399|18.5350|18.5500|5101284|0.0650|0.0249|0.0150|BEARISH
KEY|2025-09-16 19:30|18.5600|18.6600|18.5300|18.6300|2547390|0.0700|0.0300|0.0300|BULLISH
KEY|2025-09-17 13:30|18.6700|18.8100|18.6300|18.7600|4120366|0.0900|0.0500|0.0400|BULLISH
KEY|2025-09-17 14:30|18.7550|18.8900|18.7350|18.8000|4804674|0.0450|0.0900|0.0200|BULLISH
KEY|2025-09-17 15:30|18.8050|18.8350|18.7250|18.7250|2529840|0.0800|0.0300|0.0000|BEARISH
KEY|2025-09-17 16:30|18.7250|18.7600|18.7150|18.7250|1898826|0.0000|0.0350|0.0100|BULLISH
KEY|2025-09-17 17:30|18.7250|19.0200|18.7100|18.9250|3078489|0.2000|0.0950|0.0150|BULLISH
KEY|2025-09-17 18:30|18.9250|18.9350|18.4750|18.7300|6566282|0.1950|0.0100|0.2550|BEARISH
KEY|2025-09-17 19:30|18.7200|18.7800|18.6900|18.7200|3941732|0.0000|0.0600|0.0300|BULLISH
KEY|2025-09-18 13:30|18.7900|19.0200|18.6200|19.0100|2863239|0.2200|0.0100|0.1700|BULLISH
KEY|2025-09-18 14:30|19.0100|19.0500|18.8700|18.9194|5335654|0.0906|0.0400|0.0494|BEARISH
KEY|2025-09-18 15:30|18.9177|19.0900|18.9143|19.0650|7105189|0.1473|0.0250|0.0034|BULLISH
KEY|2025-09-18 16:30|19.0700|19.1300|19.0200|19.0301|2917677|0.0399|0.0600|0.0101|BEARISH
KEY|2025-09-18 17:30|19.0301|19.0800|19.0000|19.0172|4746756|0.0129|0.0499|0.0172|BEARISH
KEY|2025-09-18 18:30|19.0100|19.1500|18.9922|19.1050|4883055|0.0950|0.0450|0.0178|BULLISH
KEY|2025-09-18 19:30|19.1050|19.1300|19.0700|19.1250|3407300|0.0200|0.0050|0.0350|BULLISH
KEY|2025-09-19 13:30|19.1600|19.1600|18.9650|19.0800|2415296|0.0800|0.0000|0.1150|BEARISH
KEY|2025-09-19 14:30|19.0800|19.1200|19.0100|19.0350|5141245|0.0450|0.0400|0.0250|BEARISH
KEY|2025-09-19 15:30|19.0344|19.2000|19.0150|19.1750|4387752|0.1406|0.0250|0.0194|BULLISH
KEY|2025-09-19 16:30|19.1800|19.1900|19.1100|19.1450|4273129|0.0350|0.0100|0.0350|BEARISH
KEY|2025-09-19 17:30|19.1400|19.1600|19.0450|19.0554|3925440|0.0846|0.0200|0.0104|BEARISH
KEY|2025-09-19 18:30|19.0550|19.1400|19.0300|19.1350|2522493|0.0800|0.0050|0.0250|BULLISH
KEY|2025-09-19 19:30|19.1350|19.1400|19.0350|19.0700|3977541|0.0650|0.0050|0.0350|BEARISH
KEY|2025-09-22 13:30|18.9200|19.0400|18.8500|18.9350|1894830|0.0150|0.1050|0.0700|BULLISH
KEY|2025-09-22 14:30|18.9300|18.9800|18.8750|18.9250|2207827|0.0050|0.0500|0.0500|BEARISH
KEY|2025-09-22 15:30|18.9300|18.9300|18.8100|18.8700|1977982|0.0600|0.0000|0.0600|BEARISH
KEY|2025-09-22 16:30|18.8600|18.8900|18.8200|18.8450|1743810|0.0150|0.0300|0.0250|BEARISH
KEY|2025-09-22 17:30|18.8500|18.8750|18.7201|18.7250|2153516|0.1250|0.0250|0.0049|BEARISH
KEY|2025-09-22 18:30|18.7250|18.7400|18.6441|18.6700|2496062|0.0550|0.0150|0.0259|BEARISH
KEY|2025-09-22 19:30|18.6750|18.7500|18.6700|18.7150|2555300|0.0400|0.0350|0.0050|BULLISH
KEY|2025-09-23 13:30|18.7500|19.0800|18.7201|18.9999|1983534|0.2499|0.0801|0.0299|BULLISH
KEY|2025-09-23 14:30|18.9950|19.0700|18.9600|18.9650|3010962|0.0300|0.0750|0.0050|BEARISH
KEY|2025-09-23 15:30|18.9600|18.9700|18.8801|18.9350|3868764|0.0250|0.0100|0.0549|BEARISH
KEY|2025-09-23 16:30|18.9300|18.9600|18.8499|18.8499|3272082|0.0801|0.0300|0.0000|BEARISH
KEY|2025-09-23 17:30|18.8440|18.8600|18.7000|18.7500|5094950|0.0940|0.0160|0.0500|BEARISH
KEY|2025-09-23 18:30|18.7500|18.8000|18.7400|18.7450|2259208|0.0050|0.0500|0.0050|BEARISH
KEY|2025-09-23 19:30|18.7450|18.7863|18.7300|18.7500|1929773|0.0050|0.0363|0.0150|BULLISH
KEY|2025-09-24 13:30|18.8000|18.9189|18.7400|18.8950|4213697|0.0950|0.0239|0.0600|BULLISH
KEY|2025-09-24 14:30|18.8950|18.9600|18.7900|18.7950|3018118|0.1000|0.0650|0.0050|BEARISH
KEY|2025-09-24 15:30|18.7900|18.8300|18.6600|18.7311|3745136|0.0589|0.0400|0.0711|BEARISH
KEY|2025-09-24 16:30|18.7350|18.7650|18.6300|18.6550|2380945|0.0800|0.0300|0.0250|BEARISH
KEY|2025-09-24 17:30|18.6500|18.6999|18.5650|18.6850|4252925|0.0350|0.0149|0.0850|BULLISH
KEY|2025-09-24 18:30|18.6801|18.7500|18.6600|18.7350|3631642|0.0549|0.0150|0.0201|BULLISH
KEY|2025-09-24 19:30|18.7350|18.7750|18.7200|18.7600|2530668|0.0250|0.0150|0.0150|BULLISH
KEY|2025-09-25 13:30|18.6600|18.8400|18.5350|18.8000|3037282|0.1400|0.0400|0.1250|BULLISH
KEY|2025-09-25 14:30|18.8000|18.8600|18.7450|18.7550|3234376|0.0450|0.0600|0.0100|BEARISH
KEY|2025-09-25 15:30|18.7600|18.9000|18.7600|18.8150|3267930|0.0550|0.0850|0.0000|BULLISH
KEY|2025-09-25 16:30|18.8200|18.8560|18.7600|18.7800|4660880|0.0400|0.0360|0.0200|BEARISH
KEY|2025-09-25 17:30|18.7750|18.8300|18.6900|18.7851|4398028|0.0101|0.0449|0.0850|BULLISH
KEY|2025-09-25 18:30|18.7850|18.8250|18.7200|18.7350|3284561|0.0500|0.0400|0.0150|BEARISH
KEY|2025-09-25 19:30|18.7350|18.8100|18.7350|18.8000|2481171|0.0650|0.0100|0.0000|BULLISH
KEY|2025-09-26 13:30|18.8800|19.0900|18.8600|18.8950|2837978|0.0150|0.1950|0.0200|BULLISH
KEY|2025-09-26 14:30|18.8900|18.9044|18.8001|18.8950|4631140|0.0050|0.0094|0.0899|BULLISH
KEY|2025-09-26 15:30|18.9000|18.9600|18.8350|18.9400|2881382|0.0400|0.0200|0.0650|BULLISH
KEY|2025-09-26 16:30|18.9400|18.9600|18.8950|18.9200|2699390|0.0200|0.0200|0.0250|BEARISH
KEY|2025-09-26 17:30|18.9250|18.9500|18.8750|18.9350|2315526|0.0100|0.0150|0.0500|BULLISH
KEY|2025-09-26 18:30|18.9400|18.9550|18.8650|18.9100|2811802|0.0300|0.0150|0.0450|BEARISH
KEY|2025-09-26 19:30|18.9050|18.9100|18.8600|18.8850|1816437|0.0200|0.0050|0.0250|BEARISH
KEY|2025-09-29 13:30|18.9500|19.0750|18.7700|18.7700|2443014|0.1800|0.1250|0.0000|BEARISH
KEY|2025-09-29 14:30|18.7750|18.8000|18.6400|18.6850|3651102|0.0900|0.0250|0.0450|BEARISH
KEY|2025-09-29 15:30|18.6850|18.7050|18.6300|18.6900|3592063|0.0050|0.0150|0.0550|BULLISH
KEY|2025-09-29 16:30|18.6900|18.7450|18.6800|18.7350|4035064|0.0450|0.0100|0.0100|BULLISH
KEY|2025-09-29 17:30|18.7350|18.8100|18.7100|18.8050|3230609|0.0700|0.0050|0.0250|BULLISH
KEY|2025-09-29 18:30|18.8000|18.8700|18.7901|18.8650|3705068|0.0650|0.0050|0.0099|BULLISH
KEY|2025-09-29 19:30|18.8650|18.9150|18.8500|18.8900|2770037|0.0250|0.0250|0.0150|BULLISH
KEY|2025-09-30 13:30|18.9400|18.9950|18.6050|18.6500|2507366|0.2900|0.0550|0.0450|BEARISH
KEY|2025-09-30 14:30|18.6499|18.6550|18.4000|18.4550|5294625|0.1949|0.0051|0.0550|BEARISH
KEY|2025-09-30 15:30|18.4550|18.4650|18.3300|18.4050|5370090|0.0500|0.0100|0.0750|BEARISH
KEY|2025-09-30 16:30|18.4000|18.4181|18.2950|18.3350|3727858|0.0650|0.0181|0.0400|BEARISH
KEY|2025-09-30 17:30|18.3300|18.5100|18.3000|18.4650|4305774|0.1350|0.0450|0.0300|BULLISH
KEY|2025-09-30 18:30|18.4650|18.6900|18.4600|18.6750|4183214|0.2100|0.0150|0.0050|BULLISH
KEY|2025-09-30 19:30|18.6750|18.7100|18.6500|18.6900|3193308|0.0150|0.0200|0.0250|BULLISH
