Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
KIM|2025-09-02 13:30|22.3600|22.4500|22.2300|22.3850|361199|0.0250|0.0650|0.1300|BULLISH
KIM|2025-09-02 14:30|22.3850|22.4050|22.2750|22.3100|428869|0.0750|0.0200|0.0350|BEARISH
KIM|2025-09-02 15:30|22.3100|22.3100|22.2250|22.2250|236365|0.0850|0.0000|0.0000|BEARISH
KIM|2025-09-02 16:30|22.2200|22.2950|22.2200|22.2650|205069|0.0450|0.0300|0.0000|BULLISH
KIM|2025-09-02 17:30|22.2650|22.2961|22.1600|22.2000|343371|0.0650|0.0311|0.0400|BEARISH
KIM|2025-09-02 18:30|22.2050|22.2100|22.1406|22.1900|392545|0.0150|0.0050|0.0494|BEARISH
KIM|2025-09-02 19:30|22.1900|22.2700|22.1750|22.2400|841490|0.0500|0.0300|0.0150|BULLISH
KIM|2025-09-03 13:30|22.1500|22.3852|22.1300|22.2100|359565|0.0600|0.1752|0.0200|BULLISH
KIM|2025-09-03 14:30|22.2200|22.2700|22.2050|22.2650|247011|0.0450|0.0050|0.0150|BULLISH
KIM|2025-09-03 15:30|22.2650|22.3090|22.2250|22.2600|214296|0.0050|0.0440|0.0350|BEARISH
KIM|2025-09-03 16:30|22.2700|22.3950|22.2700|22.3900|240868|0.1200|0.0050|0.0000|BULLISH
KIM|2025-09-03 17:30|22.3900|22.4400|22.3550|22.4350|225168|0.0450|0.0050|0.0350|BULLISH
KIM|2025-09-03 18:30|22.4300|22.4450|22.3350|22.3950|285886|0.0350|0.0150|0.0600|BEARISH
KIM|2025-09-03 19:30|22.4000|22.4900|22.4000|22.4800|740506|0.0800|0.0100|0.0000|BULLISH
KIM|2025-09-04 13:30|22.6400|22.7850|22.5100|22.5800|275367|0.0600|0.1450|0.0700|BEARISH
KIM|2025-09-04 14:30|22.5800|22.6199|22.5000|22.5950|413702|0.0150|0.0249|0.0800|BULLISH
KIM|2025-09-04 15:30|22.5950|22.6054|22.4850|22.5050|318929|0.0900|0.0104|0.0200|BEARISH
KIM|2025-09-04 16:30|22.5100|22.5900|22.4800|22.5850|196528|0.0750|0.0050|0.0300|BULLISH
KIM|2025-09-04 17:30|22.5800|22.6600|22.5400|22.6450|288012|0.0650|0.0150|0.0400|BULLISH
KIM|2025-09-04 18:30|22.6500|22.7550|22.6100|22.7450|426118|0.0950|0.0100|0.0400|BULLISH
KIM|2025-09-04 19:30|22.7450|22.8000|22.7250|22.7900|617352|0.0450|0.0100|0.0200|BULLISH
KIM|2025-09-05 13:30|22.7000|22.9700|22.6750|22.8054|282686|0.1054|0.1646|0.0250|BULLISH
KIM|2025-09-05 14:30|22.8050|22.8100|22.6350|22.7150|339631|0.0900|0.0050|0.0800|BEARISH
KIM|2025-09-05 15:30|22.7150|22.7850|22.6350|22.6950|295891|0.0200|0.0700|0.0600|BEARISH
KIM|2025-09-05 16:30|22.6950|22.7250|22.6300|22.6650|240258|0.0300|0.0300|0.0350|BEARISH
KIM|2025-09-05 17:30|22.6650|22.6800|22.5682|22.5850|267145|0.0800|0.0150|0.0168|BEARISH
