Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
KMB|2025-09-02 13:30|129.6500|130.0250|128.1400|128.1700|239867|1.4800|0.3750|0.0300|BEARISH
KMB|2025-09-02 14:30|128.2000|128.6764|128.1100|128.2300|230258|0.0300|0.4464|0.0900|BULLISH
KMB|2025-09-02 15:30|128.2500|128.6752|128.1345|128.4700|188145|0.2200|0.2052|0.1155|BULLISH
KMB|2025-09-02 16:30|128.4950|128.5200|128.0400|128.4650|152744|0.0300|0.0250|0.4250|BEARISH
KMB|2025-09-02 17:30|128.4650|128.6085|128.2500|128.3500|126148|0.1150|0.1435|0.1000|BEARISH
KMB|2025-09-02 18:30|128.3300|128.4900|128.1500|128.3975|206626|0.0675|0.0925|0.1800|BULLISH
KMB|2025-09-02 19:30|128.3900|128.8800|128.3700|128.8200|408772|0.4300|0.0600|0.0200|BULLISH
KMB|2025-09-03 13:30|128.8400|129.3200|127.8610|128.0400|252734|0.8000|0.4800|0.1790|BEARISH
KMB|2025-09-03 14:30|128.0400|128.0900|127.4600|127.7750|315627|0.2650|0.0500|0.3150|BEARISH
KMB|2025-09-03 15:30|127.8000|127.8900|127.1000|127.3750|276222|0.4250|0.0900|0.2750|BEARISH
KMB|2025-09-03 16:30|127.4100|127.9300|127.3500|127.4400|209452|0.0300|0.4900|0.0600|BULLISH
KMB|2025-09-03 17:30|127.4300|127.8700|127.3200|127.8050|186822|0.3750|0.0650|0.1100|BULLISH
KMB|2025-09-03 18:30|127.8138|128.0100|127.5750|127.7200|282226|0.0938|0.1962|0.1450|BEARISH
KMB|2025-09-03 19:30|127.7200|128.1100|127.6400|127.9800|467952|0.2600|0.1300|0.0800|BULLISH
KMB|2025-09-04 13:30|128.5000|129.1800|127.8400|129.1485|253868|0.6485|0.0315|0.6600|BULLISH
KMB|2025-09-04 14:30|129.1450|129.4090|128.8400|129.1500|194035|0.0050|0.2590|0.3050|BULLISH
KMB|2025-09-04 15:30|129.1700|129.3100|128.7123|128.8950|343986|0.2750|0.1400|0.1827|BEARISH
KMB|2025-09-04 16:30|128.8950|128.9483|128.7000|128.7400|183194|0.1550|0.0533|0.0400|BEARISH
KMB|2025-09-04 17:30|128.7400|128.7700|128.4125|128.7200|112121|0.0200|0.0300|0.3075|BEARISH
KMB|2025-09-04 18:30|128.7450|129.1800|128.7200|129.1450|212850|0.4000|0.0350|0.0250|BULLISH
KMB|2025-09-04 19:30|129.1600|129.3200|129.0600|129.1800|353229|0.0200|0.1400|0.1000|BULLISH
KMB|2025-09-05 13:30|128.1700|130.6000|128.0000|129.7950|353952|1.6250|0.8050|0.1700|BULLISH
KMB|2025-09-05 14:30|129.8400|130.3844|129.3750|130.3000|177685|0.4600|0.0844|0.4650|BULLISH
KMB|2025-09-05 15:30|130.3167|130.3600|129.5250|129.6500|133890|0.6667|0.0433|0.1250|BEARISH
KMB|2025-09-05 16:30|129.6200|129.7300|129.3500|129.3950|82018|0.2250|0.1100|0.0450|BEARISH
KMB|2025-09-05 17:30|129.3975|129.4700|128.6850|128.7050|182349|0.6925|0.0725|0.0200|BEARISH
