Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
KR|2025-09-02 13:30|68.1400|68.9800|68.0300|68.2450|1278832|0.1050|0.7350|0.1100|BULLISH
KR|2025-09-02 14:30|68.2600|68.6450|68.2150|68.6000|623843|0.3400|0.0450|0.0450|BULLISH
KR|2025-09-02 15:30|68.5800|68.8150|68.5800|68.6950|559969|0.1150|0.1200|0.0000|BULLISH
KR|2025-09-02 16:30|68.7000|68.7400|68.5300|68.5950|496678|0.1050|0.0400|0.0650|BEARISH
KR|2025-09-02 17:30|68.5900|68.7672|68.5150|68.5300|525053|0.0600|0.1772|0.0150|BEARISH
KR|2025-09-02 18:30|68.5350|68.5750|68.3200|68.4150|543470|0.1200|0.0400|0.0950|BEARISH
KR|2025-09-02 19:30|68.4150|68.6600|68.3450|68.6500|1193178|0.2350|0.0100|0.0700|BULLISH
KR|2025-09-03 13:30|68.3500|68.5800|67.1700|67.5550|1543857|0.7950|0.2300|0.3850|BEARISH
KR|2025-09-03 14:30|67.5500|67.8050|67.4500|67.7600|719047|0.2100|0.0450|0.1000|BULLISH
KR|2025-09-03 15:30|67.7600|67.8100|67.3200|67.5800|561097|0.1800|0.0500|0.2600|BEARISH
KR|2025-09-03 16:30|67.5700|67.7400|67.4250|67.7000|486071|0.1300|0.0400|0.1450|BULLISH
KR|2025-09-03 17:30|67.7000|67.7500|67.4800|67.6200|476699|0.0800|0.0500|0.1400|BEARISH
KR|2025-09-03 18:30|67.6250|67.8200|67.6200|67.8050|567492|0.1800|0.0150|0.0050|BULLISH
KR|2025-09-03 19:30|67.8000|68.2100|67.7500|68.2000|919568|0.4000|0.0100|0.0500|BULLISH
KR|2025-09-04 13:30|68.4600|68.7250|68.1100|68.3363|681970|0.1237|0.2650|0.2263|BEARISH
KR|2025-09-04 14:30|68.3400|68.6000|68.3400|68.3808|482248|0.0408|0.2192|0.0000|BULLISH
KR|2025-09-04 15:30|68.3700|68.4400|67.9900|68.0800|456722|0.2900|0.0700|0.0900|BEARISH
KR|2025-09-04 16:30|68.0700|68.0900|67.8650|68.0000|491535|0.0700|0.0200|0.1350|BEARISH
KR|2025-09-04 17:30|67.9900|68.1300|67.8950|68.0450|598918|0.0550|0.0850|0.0950|BULLISH
KR|2025-09-04 18:30|68.0425|68.1200|67.7300|67.8550|818941|0.1875|0.0775|0.1250|BEARISH
