Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
LDOS|2025-09-02 13:30|180.9200|181.5000|179.3550|180.5950|57724|0.3250|0.5800|1.2400|BEARISH
LDOS|2025-09-02 14:30|180.6700|181.0400|180.5400|180.8600|76993|0.1900|0.1800|0.1300|BULLISH
LDOS|2025-09-02 15:30|180.8400|180.9900|180.4700|180.4700|35157|0.3700|0.1500|0.0000|BEARISH
LDOS|2025-09-02 16:30|180.4700|180.7200|180.4126|180.4800|38151|0.0100|0.2400|0.0574|BULLISH
LDOS|2025-09-02 17:30|180.5400|180.8500|180.4400|180.8500|48480|0.3100|0.0000|0.1000|BULLISH
LDOS|2025-09-02 18:30|180.8900|181.0000|180.6400|180.9500|51466|0.0600|0.0500|0.2500|BULLISH
LDOS|2025-09-02 19:30|180.9500|181.0000|180.6900|180.8000|141113|0.1500|0.0500|0.1100|BEARISH
LDOS|2025-09-03 13:30|180.7700|181.0500|178.3000|178.4300|55284|2.3400|0.2800|0.1300|BEARISH
LDOS|2025-09-03 14:30|178.6200|178.8080|178.0100|178.4625|55313|0.1575|0.1880|0.4525|BEARISH
LDOS|2025-09-03 15:30|178.4000|178.7700|178.1450|178.5000|41460|0.1000|0.2700|0.2550|BULLISH
LDOS|2025-09-03 16:30|178.4900|179.3900|177.8700|177.8700|59993|0.6200|0.9000|0.0000|BEARISH
LDOS|2025-09-03 17:30|177.8850|178.3500|177.4301|177.8000|68652|0.0850|0.4650|0.3699|BEARISH
LDOS|2025-09-03 18:30|177.8050|177.8050|176.6600|176.7850|91437|1.0200|0.0000|0.1250|BEARISH
LDOS|2025-09-03 19:30|176.8800|177.7600|176.8300|177.6500|141273|0.7700|0.1100|0.0500|BULLISH
LDOS|2025-09-04 13:30|177.0000|178.4000|174.6400|178.3150|225123|1.3150|0.0850|2.3600|BULLISH
LDOS|2025-09-04 14:30|178.3500|178.5700|177.6400|178.1400|103231|0.2100|0.2200|0.5000|BEARISH
LDOS|2025-09-04 15:30|178.1500|178.3400|177.2400|177.4700|48433|0.6800|0.1900|0.2300|BEARISH
LDOS|2025-09-04 16:30|177.4750|178.3100|177.3400|177.5350|100060|0.0600|0.7750|0.1350|BULLISH
LDOS|2025-09-04 17:30|177.5350|178.0500|177.4400|177.6200|93829|0.0850|0.4300|0.0950|BULLISH
