Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
LHX|2025-09-02 13:30|277.5700|277.9500|274.9300|276.6300|127197|0.9400|0.3800|1.7000|BEARISH
LHX|2025-09-02 14:30|276.6900|277.3600|276.3200|276.5400|137612|0.1500|0.6700|0.2200|BEARISH
LHX|2025-09-02 15:30|276.5850|276.7000|275.3400|275.6400|108042|0.9450|0.1150|0.3000|BEARISH
LHX|2025-09-02 16:30|275.5800|276.1700|275.4800|275.9750|95267|0.3950|0.1950|0.1000|BULLISH
LHX|2025-09-02 17:30|275.9800|276.1488|274.8050|275.0250|121009|0.9550|0.1688|0.2200|BEARISH
LHX|2025-09-02 18:30|275.0500|275.8950|275.0300|275.5200|123767|0.4700|0.3750|0.0200|BULLISH
LHX|2025-09-02 19:30|275.4700|275.7300|274.8300|275.0700|467121|0.4000|0.2600|0.2400|BEARISH
LHX|2025-09-03 13:30|275.2500|275.6994|273.6800|274.0900|115682|1.1600|0.4494|0.4100|BEARISH
LHX|2025-09-03 14:30|274.0750|274.1700|273.3650|273.3650|77487|0.7100|0.0950|0.0000|BEARISH
LHX|2025-09-03 15:30|273.3150|273.4480|272.2700|272.4900|88331|0.8250|0.1330|0.2200|BEARISH
LHX|2025-09-03 16:30|272.5000|272.5000|271.6394|271.8900|90143|0.6100|0.0000|0.2506|BEARISH
LHX|2025-09-03 17:30|272.0900|272.6900|271.9300|272.6800|77329|0.5900|0.0100|0.1600|BULLISH
LHX|2025-09-03 18:30|272.5900|272.6900|271.9800|272.0050|82512|0.5850|0.1000|0.0250|BEARISH
LHX|2025-09-03 19:30|272.0100|273.2400|272.0100|273.0800|290695|1.0700|0.1600|0.0000|BULLISH
LHX|2025-09-04 13:30|273.3600|274.0500|272.7450|273.9500|112481|0.5900|0.1000|0.6150|BULLISH
LHX|2025-09-04 14:30|273.9500|274.2500|273.4450|273.5650|108986|0.3850|0.3000|0.1200|BEARISH
LHX|2025-09-04 15:30|273.5600|274.1500|272.6900|272.9300|126349|0.6300|0.5900|0.2400|BEARISH
LHX|2025-09-04 16:30|272.9300|273.3000|272.7000|273.2500|97106|0.3200|0.0500|0.2300|BULLISH
LHX|2025-09-04 17:30|273.2500|273.8800|272.8400|273.1100|86473|0.1400|0.6300|0.2700|BEARISH
LHX|2025-09-04 18:30|273.0600|273.4200|272.8200|272.9500|93658|0.1100|0.3600|0.1300|BEARISH
LHX|2025-09-04 19:30|272.9450|273.2100|272.3100|273.0500|250919|0.1050|0.1600|0.6350|BULLISH
LHX|2025-09-05 13:30|272.3000|272.6100|269.5000|271.0200|105365|1.2800|0.3100|1.5200|BEARISH
LHX|2025-09-05 14:30|271.1900|271.1900|269.8739|270.3300|92326|0.8600|0.0000|0.4561|BEARISH
LHX|2025-09-05 15:30|270.6150|270.6150|269.0200|269.4300|67801|1.1850|0.0000|0.4100|BEARISH
LHX|2025-09-05 16:30|269.7100|270.9650|269.5600|270.7200|80663|1.0100|0.2450|0.1500|BULLISH
LHX|2025-09-05 17:30|270.7250|271.7600|270.7250|271.4900|85633|0.7650|0.2700|0.0000|BULLISH
LHX|2025-09-05 18:30|271.5800|272.8250|271.4633|272.5300|119062|0.9500|0.2950|0.1167|BULLISH
LHX|2025-09-05 19:30|272.5400|273.1050|272.1269|272.5000|199762|0.0400|0.5650|0.3731|BEARISH
LHX|2025-09-08 13:30|271.7100|272.5400|269.2600|272.5400|136614|0.8300|0.0000|2.4500|BULLISH
LHX|2025-09-08 14:30|272.7100|274.2650|272.6900|274.2000|104175|1.4900|0.0650|0.0200|BULLISH
LHX|2025-09-08 15:30|274.3000|274.5232|273.8100|273.8100|71668|0.4900|0.2232|0.0000|BEARISH
LHX|2025-09-08 16:30|273.8200|274.5100|273.4000|274.4466|77321|0.6266|0.0634|0.4200|BULLISH
LHX|2025-09-08 17:30|274.5000|274.6800|273.9700|274.4800|82450|0.0200|0.1800|0.5100|BEARISH
LHX|2025-09-08 18:30|274.5400|274.6988|273.5600|273.6400|131448|0.9000|0.1588|0.0800|BEARISH
LHX|2025-09-08 19:30|273.6375|274.2500|273.1800|273.9400|370285|0.3025|0.3100|0.4575|BULLISH
LHX|2025-09-09 13:30|272.5100|272.7900|269.1200|269.2820|104504|3.2280|0.2800|0.1620|BEARISH
LHX|2025-09-09 14:30|269.3250|269.7300|268.9900|269.3500|102913|0.0250|0.3800|0.3350|BULLISH
LHX|2025-09-09 15:30|269.3500|269.8499|268.6000|269.7400|198970|0.3900|0.1099|0.7500|BULLISH
LHX|2025-09-09 16:30|269.7300|270.6600|269.5300|270.5100|98247|0.7800|0.1500|0.2000|BULLISH
LHX|2025-09-09 17:30|270.6600|271.7800|270.4000|271.5800|107293|0.9200|0.2000|0.2600|BULLISH
LHX|2025-09-09 18:30|271.6300|271.9190|271.0800|271.3300|109077|0.3000|0.2890|0.2500|BEARISH
LHX|2025-09-09 19:30|271.3300|271.3300|270.4800|270.7100|210167|0.6200|0.0000|0.2300|BEARISH
LHX|2025-09-10 13:30|270.6400|272.7501|269.8550|272.5450|119551|1.9050|0.2051|0.7850|BULLISH
LHX|2025-09-10 14:30|272.5200|273.3200|272.3800|272.8650|102941|0.3450|0.4550|0.1400|BULLISH
LHX|2025-09-10 15:30|272.8650|275.1250|272.8650|274.5000|125192|1.6350|0.6250|0.0000|BULLISH
LHX|2025-09-10 16:30|274.5100|274.8400|274.1100|274.3600|101648|0.1500|0.3300|0.2500|BEARISH
LHX|2025-09-10 17:30|274.3800|274.6659|273.9350|274.3950|72900|0.0150|0.2709|0.4450|BULLISH
LHX|2025-09-10 18:30|274.4731|275.0650|274.0900|274.8700|97338|0.3969|0.1950|0.3831|BULLISH
LHX|2025-09-10 19:30|274.8400|275.6700|274.5800|275.6400|196410|0.8000|0.0300|0.2600|BULLISH
LHX|2025-09-11 13:30|275.8200|278.9600|274.3400|278.7000|113695|2.8800|0.2600|1.4800|BULLISH
LHX|2025-09-11 14:30|278.5600|279.6800|278.3950|279.5334|82630|0.9734|0.1466|0.1650|BULLISH
